מספר,שם משתמש,תאריך,תצוגה לסטודנט (משולב),לייקים,לינק
1,nav09284172,2026-01-13 23:17:45,כמה שווי הייתם נותנים היום לאנטרופיק אחרי הכלי המטרף שהיא השיקה היום https://t.co/PqDNt4HZMc,1,https://x.com/nav09284172/status/2011185924172808228
2,nav09284172,2026-01-13 23:22:15,"למי שלא הבין זה הכלי המדובר
https://t.co/F0ygp9VfY2",1,https://x.com/nav09284172/status/2011187059143422091
3,nav09284172,2026-01-13 22:05:02,"הציוץ המקורי (ציטוט/תגובה ל:):
""He personally ordered the massacre of 12,000 Iranians in two days. 

Allowing him to survive even one more day is morally bankrupt https://t.co/KQc2fPNUQV""

--------------

תגובת המשתמש:
עם כל הרחמנות וכו' בל נשכח שגם השאה במהומות שהיו לפני המהפכה שם הרג כמאה אלף אנשים והעולם שתק ואף מקדם את הבן שלו אז תעשו לי טובה 12 אלף זה כלום במיוחד לאור גידול האוכלוסיה שם",3,https://x.com/nav09284172/status/2011167625972506716
4,nav09284172,2026-01-13 21:04:26,"אם זה יקרה באמת הנדלן והבנקים פה יחגגו כמובן
ובשולי, פעם חבר של אבא שלי אמר לי אתה יודע למה נדלן לעולם לא ירד פה בישראל, כי לפוליטיקאים אין אפשרות להשקיע בשוק ההון רק בנדלן אז נראה לך שהם יתנו לו לרדת https://t.co/7eE3xP436O",11,https://x.com/nav09284172/status/2011152376640737569
5,nav09284172,2026-01-12 17:18:01,"קמטק $camt הטריידים בתוך יומי נפלאים תראו בגרף של נרות רבע שעה הvwap פה עובד מושלם יש גם תבנית ראש וכתפיים 
כרגע אנחנו יושבם על התנגדות של הקו המגמה העולה לכן פריצה חזקה טובה כדי לשבור https://t.co/ZhBvsDzNnS",3,https://x.com/nav09284172/status/2010733008165478736
6,nav09284172,2026-01-13 10:13:05,$camt https://t.co/BZs6zJCqv8,0,https://x.com/nav09284172/status/2010988458483896509
7,nav09284172,2026-01-13 20:50:35,אחרי היעד שהושלם היפוך פה ויהיה בוננזה $camt https://t.co/Bdrm0cp9nv,0,https://x.com/nav09284172/status/2011148889240531133
8,nav09284172,2026-01-13 20:03:03,"הציוץ המקורי (ציטוט/תגובה ל:):
""🚨 TRUMP: GOOD IDEA IF AMERICANS EVACUATE FROM IRAN""

--------------

תגובת המשתמש:
כנראה הולכת להיות תקיפה",9,https://x.com/nav09284172/status/2011136929753182417
9,nav09284172,2026-01-13 16:15:31,"הציוץ המקורי (ציטוט/תגובה ל:):
""דרך אגב זה שם את קמטק על מכפיל עתידי (Forward P/E Ratio) של 26 על הרווח הנקי 
כי הרווח הנקי של קמטק ב2025 עומד על כ-32.5% 
אז רווח משוער בתרחיש 750 מיליון דולר: 750 * 0.325 = 243.75 מיליון דולר רווח נקי.
חישוב המכפיל: $6,310 (שווי שוק במליארדים) / $243.75 (רווח משוער במליונים) = מכפיל  25.89.""

--------------

תגובת המשתמש:
והנה האנליסטים חזרו לרדוף אחרי מחיר המניה $camt
בנק אוף אמריקה העלה את מחיר היעד למניית קמטק ל160 דולר, לעומת 140 דולר קודם לכן, והותיר את המלצת ה""קנייה"" על כנה
המניה עולה 10% בתא https://t.co/kupmb5Domo",7,https://x.com/nav09284172/status/2011079668024352998
10,nav09284172,2026-01-13 15:00:14,"הציוץ המקורי (ציטוט/תגובה ל:):
""קמטק מעלה תחזיות ל750 מליון דולר ל2026 לדעתי זה יהיה מליארד לפחות https://t.co/RWsrummLoB""

--------------

תגובת המשתמש:
דרך אגב זה שם את קמטק על מכפיל עתידי (Forward P/E Ratio) של 26 על הרווח הנקי 
כי הרווח הנקי של קמטק ב2025 עומד על כ-32.5% 
אז רווח משוער בתרחיש 750 מיליון דולר: 750 * 0.325 = 243.75 מיליון דולר רווח נקי.
חישוב המכפיל: $6,310 (שווי שוק במליארדים) / $243.75 (רווח משוער במליונים) = מכפיל  25.89.",8,https://x.com/nav09284172/status/2011060721040191943
11,nav09284172,2026-01-13 14:21:59,"הציוץ המקורי (ציטוט/תגובה ל:):
""750 מליון דולר 750 מליון דולר $camt""

--------------

תגובת המשתמש:
קמטק מעלה תחזיות ל750 מליון דולר ל2026 לדעתי זה יהיה מליארד לפחות https://t.co/RWsrummLoB",19,https://x.com/nav09284172/status/2011051096286900454
