username,date,full_display_text
Abdulilah_UK,28/04/2026 18:18,"""A believer calls upon Allh with complete certainty that their du' will be answered. Why? Because they believe with certainty of Allh's generosity, knowing that He never lets down those who turn to Him sincerely, calling upon Him directly and alone with an attentive heart."
Abdulilah_UK,28/04/2026 18:17,"""A beautiful admonition from Ubayy bin Kab raAllhuanhu"
Abdulilah_UK,27/04/2026 09:28,"""Aisha (may Allah be pleased with her), who said that the Prophet () said:
""Indeed, it (good character) increases homes in prosperity and prolongs lifespans.""

Imam Ahmad (6/159).

This hadith is Saheeh"""
Abdulilah_UK,27/04/2026 06:26,"""A news series of lessons beginning in-sh-Allh this Tuesday 28th April, 2026, with Shaykh 'Abdulilah Lahmami @Abdulilah_UK (may Allh protect him). Tafseer of selected verses by the Muhaddith of Madeenah, al-'Allmah, Shaykh 'Abdul Muhsin al-'Abbd al-Badr (may Allh protect him):"""
Abdulilah_UK,27/04/2026 05:44,"""Beware of pride that prevents us from doing what is right and accepting the truth. The Messenger  said, The one who has an atoms weight of pride in his heart will not enter Paradise. Then he explained, Pride is to reject the truth and look down on people. (Muslim, 91)"""
Abdulilah_UK,25/04/2026 00:06,"""The true ihsaan is that you be good to those who were bad to you. Not easy except for the muhsin. Life short what level do u want to reach?"""
Abdulilah_UK,24/04/2026 10:21,"""[Clip: 5:55 mins] The Sunnah is Clear! -Abdulilah Lahmami @Abdulilah_UK @learnaboutislam"
Abdulilah_UK,23/04/2026 03:25,"Imam Ibn al-Qayyim (may Allah have mercy on him) said:
No matter how long a trial lasts, it will come to an end.
Allah has made hardships, pains, and evils in this world cut off (they do not last forever).
[Mukhtaar al-Sawaaiq al-Mursalah (p. 268)]
Abdulilah lahmami"
Abdulilah_UK,22/04/2026 19:05,"""Generation after generation, the masjid (mosques) have been the blessed foundation for every student of knowledge and the path of the scholars in seeking & spreading knowledge. Step by step, until many were raised by Allh to become illustrious Imms, beacons of guidance who combined true knowledge with righteous action, benefiting both themselves and the Ummah."""
Abdulilah_UK,22/04/2026 19:03,""" The Salaf and their Fear of the Fitnah of Women"
Abdulilah_UK,22/04/2026 19:02,"""A hadeeth that should shake the heart of every Muslim, reminding us not to take lightly the sins of the heart, which sadly some neglect, despite their deep and damaging effects on the heart and limbs."
Abdulilah_UK,21/04/2026 20:02,"""When will the Dajjal (the False Messiah) appear? 

A return to the age of swords, spears and shields."""
Abdulilah_UK,21/04/2026 20:01,"""[Clip: 4:51 mins] Advice for the Newly Married or Youth Looking to Get Married - Abdulilah Lahmami @Abdulilah_UK"
Abdulilah_UK,21/04/2026 19:58,""" The Stance of the Believer During Times of Tribulation  Excerpts from al-Allmah Ibn Bz Raimahullh.

 Sh Abu Fuayl Abdur Raqb."
Abdulilah_UK,19/04/2026 20:10,"""A beautiful du' of the great Companion- 'Abdullh ibn Mas'oud (may Allh be pleased with him). A Companion about whom the Prophet (peace and blessings of Allh be upon him) said:
""I am pleased for my Ummah with what ibn Ummi 'Abd ('Abdullh ibn Mas'oud) is pleased for it.""
[Silsilah al-Ahadeeth as-Saheehah, no.1225]"""
abubakarkhalafi,21/04/2026 10:40,"""May Allah have mercy Sa'ud bin Mutlaq al-Wad'ani, one of the noble mashaykh of Ahlus-Sunnah in Al-Ahsa region, he passed away after delivering his Fajr lesson on Saturday. Lived a life full of knowledge and teaching."
abubakarkhalafi,08/04/2026 07:40,"Unity is not blind togetherness.

It is founded upon Tawd, and it exists to preserve Tawd."
abubakarkhalafi,01/04/2026 13:53,"""A single moment of sin can destroy what took a lifetime to build.

Be alert.

Dont underestimate the One you disobeyed."""
abubakarkhalafi,30/03/2026 15:17,"""Just get divorced is lazy advice.

Never rush to separate what Allah joined, especially when children are involved.

If theres a path to reconcile, find it.

If not, let proper channels handle it"""
abubakarkhalafi,30/03/2026 13:14,"""*A Muslim in a World Full of Desires*

 Confirmed Speakers:
- Ustadh Abul Abbaas
- Ustadh Abubakar al Khalafi
- Ustadh Basak al Kurdi
- Ustadh Muhammad Huzaifah

*Sat 4th April, from Asr 5pm till late*

All are welcome.

 Masjid Sunnah Nelson, BB9 9AR"
abubakarkhalafi,30/03/2026 05:11,"""A Muslim in a World Full of Desires

@SunnahMasjid Nelson

 Confirmed Speakers:
- Ust Abul Abbaas
- Ust Abubakar al Khalafi
- Ust Basak al Kurdi
- Ust Muhammad Huzaifah

Sat 4th April 2026, from Asr 5pm till late

All are welcome.
Brothers, sisters, children

 BB9 9AR"
