Tweet ID,Text,Final Decision,date,username,date_source,date_match_status,matched_dates
u6s1rx8zb,"Sheikh   : 

 Beware of defending or praising Tawaghit, otherwise you will be complicit in all their crimes..",Salafi jihadi,26/04/2026 07:45,AfgSunni,python/FullData_round4/jihad_full2.csv,matched,26/04/2026 07:45
kyyk0nttt,"Spubs Shaykh Nizar bin Hashim al-Abbas has a whole audio about current affairs including A warning against the Emirati state.

Why isnt Nizar an Ikhwani Qutbi Khariji Sururi Takfiri for this? He was making Du'a for the Emirates back in 2016, what changed?",Salafi jihadi,10/04/2026 15:16,_ibnNuh,python/FullData_round4/data_full_JIHAD_ALL.csv,matched,10/04/2026 15:16
la4u9jo6s,"""""When we attack its so sad to see the Ummah fighting 

When they attack, no one cares. 

Defend your home. No matter who is invading it. TTP isnt a Rightful Caliphate that you submit to their attacks, bomb them wherever they are.""
""
--------------

They call themselves salafi but in reality they are upon the way of the munafiqeen, May Allah protect us from such a filthy ideology.",Salafi jihadi,24/02/2026 14:07,mjhdlover,python/FullData_round4/jihad_full2.csv,matched,24/02/2026 14:07
odvriguq3,"When you point out the kufr and shirk of the awtthat are worshipped by the Madkhilah heretics

Instead of addressing, they start testing you on definitions and rulings of purification.

Look what Imm Muammad bin Abdul Wahhb and a senior perished Madkhal scholar said.",Salafi jihadi,26/04/2026 12:24,StrangerAthari,python/FullData_round4/jihad_full2.csv,matched,26/04/2026 12:24
c4ua5am66,"""A sect is emerging that will make the Madhkalees look like the Khawarij. They will include amongst them those that claim to be Salafi and Sufi.",Salafi jihadi,03/04/2026 18:49,Aadil_2001,python/FullData_round4/data_full_JIHAD_ALL.csv,matched,03/04/2026 18:49
0vmxezl3z,"""""scholars belonging to their own creed, and etc. 

Everyone knows the tyranny of Asim Munir, but Asrar continues on with his bootlicking despite what occurred to TLP.

Asrar Rashid is still embraced by the Dawah Mafia. 
""
--------------

Btw as much as I hate Assad Rashid, I must say that you should also condemn the so called defenders of Sunnis from Pak whom are no different than this idiot.

They act anti-Iran and anti-Israel but at the same time praise Asim Munir like Assadists praise Assad (minus the shirk.)",Salafi jihadi,16/04/2026 04:22,asim448191,python/FullData_round4/data_full_JIHAD_ALL.csv,matched,16/04/2026 04:22
fsi5j8dzu,"""May Allah have mercy upon Abu Obaidah 

People like @Haqiqatjou and @HarounKanj hate his belief

They support Palestine; but wage war against the belief of the Mujahidn fighting for it.",Salafi jihadi,22/03/2026 18:36,Abumuwahid123,python/FullData_round4/data_full_JIHAD_ALL.csv,matched,22/03/2026 18:36
8vfk6axkt,"""""Uncle Faris before the Iran war VS Uncle Faris after the Iran war 
""
--------------

Mbz tugged his leash",Salafi jihadi,02/04/2026 11:23,mjhdlover,python/FullData_round4/jihad_full2.csv,matched,02/04/2026 11:23
g95pb68o0,The madkhalis and those like them will direct your arrows away from the kuffar towards the Muslims.,Salafi jihadi,17/04/2026 12:00,mjhdlover,python/FullData_round4/jihad_full2.csv,matched,17/04/2026 12:00
l6mr4db1v,"""""Istightha coupled with the right belief/intention can never be shirk, just like our belief about Sayyidun Izrl taking souls and Sayyidun Jibrl granting Sayyidatun Maryam a child isnt shirk either. Majz Aql is the word.

Y Raslu Llh  madad, y Ab Bakr madad, y Umar madad, y Uthmn madad, y Al madad.

It is permitted to say this. for example, the Prophet  as a sabab (means) and to attribute the effect to the sabab, as long as one knows that the musabbib (the one who brings about the effect) and the creator of the effect is Allh, since everything is created by Allh. This is known as kasb (occasionalism), which is what distinguishes us from this takfiri imbecile.""
""
--------------

According to this  mushrik worshipping other than Allah wouldn't be shirk as long as it's  done with intention, Acording to this mushrik worshipping Zeus wouldn't be shirk either as long as they believe zeus isn't  equal to Allah.",Salafi jihadi,09/04/2026 21:09,followerofgod96,python/FullData_round4/data_full_JIHAD_ALL.csv,matched,09/04/2026 21:09
