Tweet ID,Text,Final Decision,date,username,date_source,date_match_status,matched_dates
h8f44f439,"""  NEW: Reality of the Rafidah  By Al-Allamah Salih Al-Fawzan and Al-Allamah Rabee 

Excerpt: In The Name of Allah, The Most Merciful, The Bestower of Mercy.
Al-Allamah Salih Al-Fawzan, may Allah preserve him, was asked:

Is it correct that the first to innovate the path of the Raafidah was Abdullah Ibn Saba - a Yahudi?

Response:

Yes, without a doubt. The Rafidah or the Shiites in general are of two types: The Shiites from the fire worshipers and the Shiites from the...

 Read the full post: 

 Join our Telegram Channel:,",Salafi taklidi,,,,unmatched,
xn03hmokx,""" NEW UPLOAD - Music is from the Sunnah of The Mushrikn (Polytheists) 

By Sh. Abdulilah Lahmami  
@Abdulilah_UK 

Link  

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah,",Salafi taklidi,,,,unmatched,
3va0wxwx7,"May Allah reward our brothers @salafidawahdub for facilitating the conference over the past weekend. The enthusiasm of all involved in the community was extremely encouraging. We ask Allah that their dawah continues to go from strength to strength,",Salafi taklidi,,,,unmatched,
c2ue8i5r9,"""To those who call for Unity with the Rafidha.,",Salafi taklidi,,,,unmatched,
ujqbf0v57,"Inna lillahi wa inna ilahyi rajioon

Sheikh Rabee Bin Hadi al-Madkhali has passed away, may Allah forgive him, have mercy on him and grant him paradise ameen.

Certainly the passing of the scholars is a loss for the Ummah.,",Salafi taklidi,,,,unmatched,
un6dbh9ts,"""Our story is one of transient venues in an effort to seek knowledge and call the people to it

Moving from one venue to another for 12 years. 

Alhamdulilaah Allah has made it easy for us to buy a building and we are in the process of refurbishing it. 

A Markz built upon the correct Aqeedah and sound Manhaj. 

Dawah Salafiyah is a blessed dawah that calls people to the Quran and Sunnah upon the understanding of the 
Salaf Us Saalih.



Ways to donate 

 



 Lloyds Bank
Markaz Bukhari
41059860
309089"",",Salafi taklidi,,,,unmatched,
pmevszoq8,""" A Mistake in Children's Tarbiyah

In many communities, there are children who grow up memorising Qur'an but without learning Iman.

This leads to a generation of Huffadh, who are ignorant of the correct Aqidah and the basics of Islam.

Jundub (radihaAllhu anhu) said, ""We were with the Prophet as young boys, we learnt Iman before we learnt the Qur'an, then we learnt the Qur'an and we increased by it our Iman."" [Ibn Majah]"",",Salafi taklidi,,,,unmatched,
ptf9vwurj,"Guidance Lost Through Shirk (Associating Partners with Allah)  |ClickDEE...  via @YouTube,",Salafi taklidi,,,,unmatched,
5l2jc55qo,""" Continuation of the 4-Part Series taking place in Nottingham

 The 3 Principles of Islm

 Ustdh Abu 'AbdirRahmn Hill

 Lesson 2 of 4: Monday 19th May @ 7pm

 The Vine Community Centre, Bobbersmill Road, NG7 5GZ

Brothers &amp; Sisters Welcome,",Salafi taklidi,,,,unmatched,
t83ocjkxv,"""""It is far past time we Christians and Muslims unite on our shared similarities rather than fight over our minor differences. 

They spit on Christians and bomb the Muslims. Why are we deceived into hating each other by those who hate the Messiah?""
""
--------------

Shirk is not a minor difference

We only unite on Islam

Say, ""O People of the Scripture, come to a word that is equitable between us and you - that we will not worship except Allah and not associate anything with Him and not take one another as lords instead of Allah..."" [3:64],",Salafi taklidi,,,,unmatched,
