"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2011765572217036824","A Poem on the Etiquette of the Student of Knowledge

By the Noble Scholar Ahmad al-Najmi (may Allah have mercy upon him). https://t.co/nEirH8UMRV","en","Retweet","Hikmah Publications","hikmahpubs","9830","2","168","1","289","119","2026-01-15 13:41:03","https://x.com/hikmahpubs/status/2011765572217036824","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2011764778910564358/vid/avc1/3840x2140/3dhPHltUWgs1ZpbZ.mp4?tag=21"
"1722962709325418699","Why Iran or their proxy networks can never be trusted to aid the Palestinian plight.

In order to fully grasp the reality of Iran we will concisely prove why they cannot be trusted: religiously, historically and geopolitically.

May Allah protect the honorable Palestinian people. https://t.co/VRSZVU6TKU","en","Retweet","Hikmah Publications","hikmahpubs","221368","64","996","34","1467","525","2023-11-10 15:01:35","https://x.com/hikmahpubs/status/1722962709325418699","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/F-kxckFXIAAzfEp.jpg
https://pbs.twimg.com/media/F-kxckGWgAAAlnb.jpg
https://pbs.twimg.com/media/F-kxckDXsAAiQBi.jpg
https://pbs.twimg.com/media/F-kxckEXwAAGpny.jpg"
"1341381896840876033","📢 New Audio!

📕A supplication that every Muslim should memorize. 

📍It covers all the good of this world &amp; the next. 

🎙Audio &amp; text

👤 Read by Shaikh Hassan Somali https://t.co/HImsALDxHN","en","Retweet","Germantown Masjid","GtownMasjid","","6","504","7","745","205","2020-12-22 15:55:40","https://x.com/GtownMasjid/status/1341381896840876033","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/ext_tw_video/1341381839135633408/pu/vid/480x480/TrYvuyJGygqM6mnQ.mp4?tag=10"
"2009973958691680259","Beneficial lesson by one of the senior scholars, al-ʿAllāmah Sh Salih Āl al-Shaykh:

“The Comprehensive Principles for Understanding the Evidences of Tawhid of Worship.”

If someone is able to translate it and share clips, it would be beneficial.

https://t.co/Aje2Ctmj7K https://t.co/QUFpHCwN6z","en","Retweet","Hikmah Publications","hikmahpubs","12252","2","93","1","224","55","2026-01-10 15:01:49","https://x.com/hikmahpubs/status/2009973958691680259","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://www.youtube.com/live/_RndSYiZLbs?si=K1XO_eDkemLEXn0s","video","https://video.twimg.com/amplify_video/2009973815510499329/vid/avc1/1180x580/aa3MR9_Nne85uqge.mp4?tag=21"
"2009767547000734031","The Only Competition That Truly Matters: Are You In It ?

Shaykh Hassan Somali 

Khutbah 01/09/2026

https://t.co/4f41TFVrfj","en","Retweet","Germantown Masjid","GtownMasjid","11331","0","52","0","76","18","2026-01-10 01:21:37","https://x.com/GtownMasjid/status/2009767547000734031","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://soundcloud.com/germantown-masjid/the-only-competition-that-truly-matters-are-you-in-it?ref=clipboard&p=i&c=0&si=C8BD1CA420B4478785C60A998FBC10C9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing","",""
"2009665925092643242","Join us March 27-29, in'shā-Allāh for a weekend if knowledge @AbuHafsahKK @Mustafa_George @RahaBatts @MTWSNC and Sh. Abul-Hasan Malik https://t.co/HOZ6ouqCly","en","Retweet","MasjidAdDawah","MasjidAdDawah","6851","1","90","0","137","19","2026-01-09 18:37:48","https://x.com/MasjidAdDawah/status/2009665925092643242","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-PEdJvXwAA4zTp.jpg"
"2006011023438815534","📢 Conference Schedule 📢

The full schedule for our upcoming conference with Shaykh Dr. Khalid al-Dhafiri @almadani_k is now available. Please see the poster for full details. https://t.co/8wmnxS5civ","en","Retweet","Masjid At-Tawheed","TawheedCardiff","26862","3","100","2","141","14","2025-12-30 16:34:32","https://x.com/TawheedCardiff/status/2006011023438815534","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G9bIZSYXkAILL4e.jpg"
"2005991842383552757","A book that changed lives, by the permission of Allah.

The scholar Abu Samh  ‘Abdul Dhahir b. Muhammad (d. 1370h) mentioned that the first book through which Allah guided him to the truth was:

📖 The Disease &amp; The Cure by Imam Ibn al-Qayyim

https://t.co/I8U8a8zULP https://t.co/e414ISheSz","en","Retweet","Hikmah Publications","hikmahpubs","13226","5","148","3","270","52","2025-12-30 15:18:19","https://x.com/hikmahpubs/status/2005991842383552757","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://youtube.com/playlist?list=PLcNmEBnwyvx5YR62nmOiIIPUVPT5jf0IF&si=lUyECr_6qw298DwY","photo","https://pbs.twimg.com/media/G9a28p6WUAAAKSZ.jpg"
"2005343951826354625","[2 Lectures] The Importance of Good Eating - Abul-Hasan Malik @IbnAkhdar 
 https://t.co/qhg9hJCyGq","en","Retweet","Salafi Audio UNLIMITED","SalafiAudioULTD","2374","0","21","0","33","13","2025-12-28 20:23:50","https://x.com/SalafiAudioULTD/status/2005343951826354625","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://sau.posthaven.com/the-importance-of-good-eating-abul-hasan-malik","",""
"2004891966933533126","Surah Al-Kahf | Recitation by Shaykh ʿUbayd al-Jābirī رحمه الله

___    

Help Support The Masjid Expansion. 
Don't miss out on the reward. 
Donate via https://t.co/eVY1KiwEXF https://t.co/cXgzrhS51r","ca","Retweet","Daar us Sunnah","DaarusSunnah","4993","1","69","0","147","27","2025-12-27 14:27:48","https://x.com/DaarusSunnah/status/2004891966933533126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","http://dusmasjidappeal.com","video","https://video.twimg.com/amplify_video/2004891871370510336/vid/avc1/1920x1080/52TfD8aYBtZKDXgt.mp4?tag=21"
"2004650657370792367","📢NEW📢

✨ Alhamdulillah! We are delighted to announce that our esteemed Shaykh Dr. Khalid Al-Dhafiri @almadani_k will be joining us for another inspiring conference, Inshaa Allaah.

🗓 Friday, 2nd – Sunday, 4th January 2026

Brothers &amp; Sisters are welcome

Details on poster ⬇️ https://t.co/sMeeOJPAH6","en","Retweet","Masjid At-Tawheed","TawheedCardiff","51757","4","138","2","203","19","2025-12-26 22:28:55","https://x.com/TawheedCardiff/status/2004650657370792367","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G9Hn5KOWUAEHbKW.jpg"
"2003957448298954903","Biography of Imam Ibn Al-Qayyim Shaykh Abu Hakeem Bilal @AbuHakeemBilal 

Starting Dhuhr tomorrow insha Allah:

🇺🇸 Philadelphia ➡ 12:15 PM
🇬🇧 London ➡ 5:15 PM
🇸🇦 Makkah➡ 8:15 PM https://t.co/DJkXuWkKBA","in","Retweet","Germantown Masjid","GtownMasjid","7024","4","83","1","141","11","2025-12-25 00:34:22","https://x.com/GtownMasjid/status/2003957448298954903","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G898rOGWsAAptAZ.jpg"
"2003858223900856508","Alhamdulillāh the Conference is well under way, may Allāh reward all the attendees, volunteers. Currently over 1200 people tuning in to Shaikh @AbuIyaadSP online, with thousands more in-person. 

We have 2 more lectures to go for today, and another day of lectures tomorrow! https://t.co/P6YhfBpaZh","en","Retweet","Salafi Publications","SalafiPubs","23946","7","131","1","295","17","2025-12-24 18:00:05","https://x.com/SalafiPubs/status/2003858223900856508","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G88ibaYXAAAxwfR.jpg
https://pbs.twimg.com/media/G88iXRKXwAAu6fv.jpg"
"2003737476972839325","The first lecture of the 2025 Winter Conference in Birmingham kicks off in a couple of hours with Sh. @Abdulilah_UK inshā’Allāh

We ask Allāh's tawfīq, and we hope that everyone benefits, whether joining us in-person, or tuning in at https://t.co/ondhU4MWvL. Allāh bless you all! https://t.co/8IQGxPjApo","en","Retweet","Salafi Publications","SalafiPubs","12901","0","71","1","102","3","2025-12-24 10:00:16","https://x.com/SalafiPubs/status/2003737476972839325","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","http://RadioSalafi.com","animated_gif","https://video.twimg.com/tweet_video/G86z1dKXgAA9Nex.mp4"
"2001767660258795756","💎 Your Awe of Allāh Should Supersede Your Awe of Any Man; Regardless of their Haybah (Prestige, and Reverential Fear & Awe that the People Have for them).

""...So Abū Saʿīd Al-Khudriyy (radhiyallāhu anhu) began to weep, and he said: 'Verily we saw things, and we were prevented by fear and awe.' And in another narration he said: 'I wished that I had never heard this...'""

Containing excerpts from the speech of the Salaf, as well as Imām Al-Albāni's amazing commentary (rahimahullāh) upon the hadīth of Abū Saʿīd Al-Khudriyy (radhiyAllāhu anhu), regarding the importance of placing the truth before all else.

[Full PDF (4 pages) here 👉🏽 https://t.co/AbgQFPiNla]","en","Retweet","Abdullah Abdul-Wahid Alam","AbdullahAWAlam","8336","1","76","1","143","35","2025-12-18 23:32:55","https://x.com/AbdullahAWAlam/status/2001767660258795756","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G8e0xsMW8AE12p7.jpg
https://pbs.twimg.com/media/G8e0yj0XMAAnjSX.jpg
https://pbs.twimg.com/media/G8e0zhXW4AAuWYd.jpg
https://pbs.twimg.com/media/G8e00TqWgAAHW-6.jpg"
"2001671730809471277","📖 Preliminary Schedule Winter Seminar 1447 AH | 2026

From Disease to Remedy
The Path to Healing &amp; Rectification

The Disease and the Cure: Imām Ibn al-Qayyim

• Familiarize themselves with the themes
• Begin reading ahead

May Allah bless this conference and the community. https://t.co/KhOs2CDxPj","en","Retweet","Germantown Masjid","GtownMasjid","27630","12","207","3","278","47","2025-12-18 17:11:44","https://x.com/GtownMasjid/status/2001671730809471277","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G8dd0_zXIAA5Zti.jpg
https://pbs.twimg.com/media/G8dd0_zW8AEvV80.jpg
https://pbs.twimg.com/media/G8dd0_yWoAAKtKs.jpg
https://pbs.twimg.com/media/G8dd0_4XsAAzSSv.jpg"
"1610183456461557761","💥New💥

📃𝗧𝗲𝗻 𝗦𝘁𝗲𝗽𝘀 𝗧𝗼 𝗔𝗶𝗱 𝗧𝗵𝗲 𝗥𝗮𝗶𝘀𝗶𝗻𝗴 𝗼𝗳 𝗨𝗽𝗿𝗶𝗴𝗵𝘁 𝗖𝗵𝗶𝗹𝗱𝗿𝗲𝗻

A Summary of Points taken from the Book ❝Asbāb Istiqāmatul Shabāb❞ 

By Shaykh Zayd ibn Hādī al-Madkhalī رحمه الله 

May Allah bless it &amp; make it beneficial for all parents آمين https://t.co/xEThEYHLEJ","ca","Retweet","Abu Idrees","AbuIdrees","41010","5","513","3","635","162","2023-01-03 09:57:06","https://x.com/AbuIdrees/status/1610183456461557761","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/FliFUNeWQAU5tfi.jpg
https://pbs.twimg.com/media/FliFUNeX0AEUdR4.jpg
https://pbs.twimg.com/media/FliFUNiWIAAtAMO.jpg"
"1999826113434956038","Whoever considers his speech as part of his actions will speak little, except in matters that concern him.

من عد كلامه من عمله قل كلامه إلا فيما يعنيه

‘Umar b. ‘Abd al-‘Aziz","und","Retweet","Hikmah Publications","hikmahpubs","10957","2","158","0","360","41","2025-12-13 14:57:55","https://x.com/hikmahpubs/status/1999826113434956038","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
