"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012482926953259315","Remember this rule: when any scholar before Bin Baz &amp; Albani mentions the word istihlal in cotext of Hakimiyyah, they also mean replace/tabdil/istibdal/refusal of adherance etc. https://t.co/ZK0xnym4br","en","Tweet","Al Don Fodio","AlDonFodio","72","1","0","0","2","3","2026-01-17 13:11:34","https://x.com/AlDonFodio/status/2012482926953259315","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-3Gd-RX0AAKNvR.jpg"
"2012480305744015805","Alhamdulillah

Its without a doubt now that Shaykhul Islam meant here that 

‘the one who replaces the Shari’ah is a kafir by ijma. As proven by [ayah of hukm in Ma’idah], as tabdil = istibdal = istihlal which is kufr’ https://t.co/rnzZNh2N5y","in","Tweet","Al Don Fodio","AlDonFodio","165","0","2","0","1","5","2026-01-17 13:01:09","https://x.com/AlDonFodio/status/2012480305744015805","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-3DTZCXQAAsJ1Q.jpg
https://pbs.twimg.com/media/G-3DZvbW0AAk85Q.jpg
https://pbs.twimg.com/media/G-3DbV0W8AEw-eQ.jpg"
"2012476274208387179","https://t.co/rgu5CgQZAH","zxx","Tweet","Al Don Fodio","AlDonFodio","59","0","0","0","0","0","2026-01-17 12:45:08","https://x.com/AlDonFodio/status/2012476274208387179","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-3AAaxWkAAO-jY.png
https://pbs.twimg.com/media/G-3AKABW4AE_LYU.png
https://pbs.twimg.com/media/G-3ANCfXUAA9Hkm.png
https://pbs.twimg.com/media/G-3APjXWYAAlrzQ.png"
"2009159959653830912","التبيين لمخاطر التطبيع على المسلمين للشيخ المحدث ناصر بن حمد الفهد:
https://t.co/YyLHzZONUl

حكم التطبيع مع العدو اليهودي المحتل لفلسطين وبيان مخاطره على المسلمين للشيخ الدكتور صالح حسين الرقب:
https://t.co/Cs2pssGw6N https://t.co/aqnBScKMC7","ar","Retweet","Febby Angga 🩷🩷🩷","mfebbyangga0","1031","1","3","0","10","12","2026-01-08 09:07:17","https://x.com/mfebbyangga0/status/2009159959653830912","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://t.me/mfebby_angga/19480
https://t.me/mfebby_angga/19481","photo","https://pbs.twimg.com/media/G-H4Ur4aAAAfXvn.jpg
https://pbs.twimg.com/media/G-H4Ur8b0AAw6fv.jpg"
"2003456342472970682","How many nullifiers does legislating manmade laws entail?

1. Setting yourself up Taghut &amp; Shirk in Ta'ah &amp; Hukm (Ibn al-Qayyim, MiAW, Shinqiti)
2. Istihlal (Ibn Uthaymeen)
3. Wala' to kuffar (Ibn Taymiyyah, Fawzan)
4. Mockery (Ibn Uthaymeen)
5. Ta'ifah Mumtani'ah (Ibn Taymiyyah)","in","Retweet","Al Don Fodio","AlDonFodio","602","2","3","1","10","5","2025-12-23 15:23:09","https://x.com/AlDonFodio/status/2003456342472970682","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2003136512528163050","Further classifications

Kufr Akbar

Democracy
21. Believing in democracy, secularism, communism &amp; other conventions/systems
22. Puting yourself forward for a democratic election, being party of a party
23. Voting in a democratic election, or for legislature, bills &amp; constitution","en","Retweet","Al Don Fodio","AlDonFodio","1130","1","2","1","3","9","2025-12-22 18:12:15","https://x.com/AlDonFodio/status/2003136512528163050","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2012445780162875818","Where did I get from 20+ categorisation of hukm bighayr ma anzal Allah &amp; Ibn Taymiyyah’s classifications?

I thought it was my own idea but I must’ve read it from these scholars; Sh Abi Ulaa bin Rashid &amp; Sh Khalid Al-Maradhy Al-Ghamidy https://t.co/iOx5We1ju0","en","Origin","Al Don Fodio","AlDonFodio","127","1","0","0","2","4","2026-01-17 10:43:58","https://x.com/AlDonFodio/status/2012445780162875818","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-2kZYuW8AANvvn.jpg
https://pbs.twimg.com/media/G-2kZYyXEAAv41a.jpg
https://pbs.twimg.com/media/G-2kZY3XoAAgzK1.jpg
https://pbs.twimg.com/media/G-2kZYqXcAApRJi.jpg"
"2012448441243259252","https://t.co/bhfMeCIzvD","zxx","Reply","Al Don Fodio","AlDonFodio","55","1","0","0","0","0","2026-01-17 10:54:32","https://x.com/AlDonFodio/status/2012448441243259252","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://x.com/AlDonFodio/status/2003136512528163050?s=20","",""
"2012449017578283015","https://t.co/ms9xe7zYnP","zxx","Reply","Al Don Fodio","AlDonFodio","52","0","0","0","0","0","2026-01-17 10:56:49","https://x.com/AlDonFodio/status/2012449017578283015","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://x.com/AlDonFodio/status/2003456342472970682?s=20","",""
"2002922343543574654","Scholars have classified around 20+ types of ḥukm bi-ghayr mā anzal Allāh &amp; taḥākum ilā ṭāghūt into different categories: 

16 constitute kufr akbar (some of these are ṭāghūt i.e. from Tawhīd to takfīr) 
1 is kufr aṣghar 
1 falls under ikrāh 
1 gets one reward 
1 is sinful","ro","Retweet","Al Don Fodio","AlDonFodio","2976","2","5","1","24","26","2025-12-22 04:01:13","https://x.com/AlDonFodio/status/2002922343543574654","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
