"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012286211847520327","🎧 New Audio

👤 Ustādh Abu Ukkasha @Abu_Ukkaashah

📖 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله

https://t.co/TaonNpHZQa","ca","Tweet","Masjid Bin Bāz","Athariyyah","643","0","4","0","5","0","2026-01-17 00:09:54","https://x.com/Athariyyah/status/2012286211847520327","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://masjidbinbaz.com/playlist-masail-al-jahiliyyah/","",""
"2012253855673717154","📢 LIVE NOW!

📚 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله

👤 Ustādh Abu Ukkasha @Abu_Ukkaashah

🎧 Listen Live: https://t.co/RLPdOQLOYG","ca","Tweet","Masjid Bin Bāz","Athariyyah","865","0","6","0","9","0","2026-01-16 22:01:19","https://x.com/Athariyyah/status/2012253855673717154","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://masjidbinbaz.com/radio/","",""
"2012251031783018769","📢Starting soon...

📚 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله

👤 Ustādh Abu Ukkasha @Abu_Ukkaashah

🎧 Listen Live: https://t.co/RLPdOQLOYG","ca","Tweet","Masjid Bin Bāz","Athariyyah","674","0","4","0","6","0","2026-01-16 21:50:06","https://x.com/Athariyyah/status/2012251031783018769","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://masjidbinbaz.com/radio/","",""
"2012140363746841036","📢 LIVE NOW! 

🎤 Jumu'ah Khutbah 

🎙 By Ustādh @AbuRayhaana Yahya #MasjidBinBaz

🌐 https://t.co/RLPdOQMmOe","in","Tweet","Masjid Bin Bāz","Athariyyah","718","0","3","0","7","0","2026-01-16 14:30:21","https://x.com/Athariyyah/status/2012140363746841036","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#MasjidBinBaz","https://masjidbinbaz.com/radio/","",""
"2011843349540401405","📢 This Friday | Lesson Continues!

📖 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله 

📝 “The Twentieth Aspect: Believing that the Acts of Sorcerers and Magicians is from the Miraculous Endowments of the Righteous”

🗓 Friday 16th January ان شاء الله

🕗 7:30pm GMT | 10:30pm KSA | 2:30pm EST

🎙️ Ustādh Abu Ukkasha @Abu_Ukkaashah 

📝 Alternating Fridays with Ustādh Abu 'Ināyah Seif @Oxford_Dawah

🕌 Masjid Bin Bāz East Rd London E15 3QR

👥 All Welcome 

🌐 https://t.co/SNbI64ZWDo","ca","Tweet","Masjid Bin Bāz","Athariyyah","1916","0","13","0","28","1","2026-01-15 18:50:07","https://x.com/Athariyyah/status/2011843349540401405","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-uA3IBWcBAsKC2.jpg
https://pbs.twimg.com/media/G-uA3JXWcAcphZ7.jpg"
"2011164190959157574","📢 LIVE NOW!

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali
#MasjidBinBaz

🎧 Listen Live: https://t.co/RLPdOQMmOe","ro","Tweet","Masjid Bin Bāz","Athariyyah","863","0","0","0","5","0","2026-01-13 21:51:23","https://x.com/Athariyyah/status/2011164190959157574","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#MasjidBinBaz","https://masjidbinbaz.com/radio/","",""
"2011163092001108268","📢 Starting soon...

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali

🎧 Listen Live: https://t.co/RLPdOQMmOe","ro","Tweet","Masjid Bin Bāz","Athariyyah","1157","0","4","0","10","0","2026-01-13 21:47:01","https://x.com/Athariyyah/status/2011163092001108268","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://masjidbinbaz.com/radio/","",""
"2011018067241755104","📌 Additional Class Today 

📚 'Etiquettes of Walking to the Prayer' of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

🎙Ustādh Abu Maymūnah Sa'īd Ali

🗓 13th January 2026

🕕 7.45PM GMT UK - After 'Eesha Prayer

🕌 Masjid Bin Baz East Rd London E15 3QR

👥 All Welcome 

🌐 https://t.co/SNbI64ZWDo","ro","Tweet","Masjid Bin Bāz","Athariyyah","1020","0","7","0","12","1","2026-01-13 12:10:44","https://x.com/Athariyyah/status/2011018067241755104","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-iSRdNXIAAtMbC.jpg"
"2010439814089465953","📢 LIVE NOW!

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali
#MasjidBinBaz

🎧 Listen Live: https://t.co/RLPdOQMmOe","ro","Tweet","Masjid Bin Bāz","Athariyyah","1028","0","1","0","2","0","2026-01-11 21:52:58","https://x.com/Athariyyah/status/2010439814089465953","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#MasjidBinBaz","https://masjidbinbaz.com/radio/","",""
"2010438657925365790","Starting soon...

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali

🎧 Listen Live: https://t.co/RLPdOQMmOe","ro","Tweet","Masjid Bin Bāz","Athariyyah","898","0","2","0","4","1","2026-01-11 21:48:22","https://x.com/Athariyyah/status/2010438657925365790","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://masjidbinbaz.com/radio/","",""
