"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012302039406035013","Unironically agree, especially in a Muslim household like you have your sons for that reason. Certain aspects of welfare should stay as to ensure ppl are not below the poverty line.","en","Origin","David the Jatt","DavidTheJatt","54","1","0","0","2","0","2026-01-17 01:12:47","https://x.com/DavidTheJatt/status/2012302039406035013","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2012302043210293589","@WDLD0712 what do you think? Do you think welfare and pensions are a scam? (phoning for an unc)","en","Reply","David the Jatt","DavidTheJatt","35","0","0","0","0","0","2026-01-17 01:12:48","https://x.com/DavidTheJatt/status/2012302043210293589","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2012294032051913166","What was America founded as?

(your friend blocked me for some reason after accusing me of being a 'boon of the jews')","en","Origin","David the Jatt","DavidTheJatt","37","1","0","0","0","0","2026-01-17 00:40:58","https://x.com/DavidTheJatt/status/2012294032051913166","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2012296889916395574","""it's all too tiresome""

https://t.co/2EY13U0P77 https://t.co/n3X6ZyKMty","en","Reply","David the Jatt","DavidTheJatt","33","1","0","0","0","0","2026-01-17 00:52:19","https://x.com/DavidTheJatt/status/2012296889916395574","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://x.com/Family_FirstBro/status/2012295090757128500?s=20","photo","https://pbs.twimg.com/media/G-0dVH2XAAInLv0.png"
"2012234185780461710","""Goys are not human"" https://t.co/AOvDiVIk67","en","Tweet","David the Jatt","DavidTheJatt","35","0","0","0","2","0","2026-01-16 20:43:10","https://x.com/DavidTheJatt/status/2012234185780461710","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-zkTSXWwAE-XRR.png"
"2012229753193795659","@FanoftheEraGal Never denied that Jews had an oligarchy and lobbying groups. I just dislike low IQ antisemitism that has been bred on Xitter","en","Quoted","David the Jatt","DavidTheJatt","69","1","0","1","1","0","2026-01-16 20:25:33","https://x.com/DavidTheJatt/status/2012229753193795659","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2011828851718959131","https://t.co/tNwB8a1Oin","zxx","Retweet","Amerikanets 📉","ripplebrain","26380","12","114","1","1240","103","2026-01-15 17:52:30","https://x.com/ripplebrain/status/2011828851718959131","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-tzrembQAIIfzc.jpg"
"2011916566565171316","""For anything""

Do inter Biradri clashes count?","en","Tweet","David the Jatt","DavidTheJatt","112","0","0","0","1","0","2026-01-15 23:41:03","https://x.com/DavidTheJatt/status/2011916566565171316","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2011901071132901729","Damn these Pahlavitards are insane

A Jew on top of that https://t.co/IW2vltHAxh","en","Tweet","David the Jatt","DavidTheJatt","85","0","0","0","0","0","2026-01-15 22:39:29","https://x.com/DavidTheJatt/status/2011901071132901729","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","animated_gif","https://video.twimg.com/tweet_video/G-u1W1JbsAAwFLx.mp4"
"2011781291859959997","I'm seeing a lot of people say Trump is planning a much larger attack to end the regime, and is buying time to get all the pieces into place.

Do you think this is what he's doing?

Or do you think he's backed out?","en","Quoted","𝐍𝐢𝐨𝐡 𝐁𝐞𝐫𝐠 ✡︎ 🇮🇷","NiohBerg","218525","3186","536","114","5385","142","2026-01-15 14:43:31","https://x.com/NiohBerg/status/2011781291859959997","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
