"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2011791702881624562","Muṣʿab ibn ʿUmayr (RA) embodied true sacrifice at Uhud, holding the banner of Islam high to distract the enemies in order to attack him, instead of the prophet ﷺ. 

When his right hand was cut, he held it with his left; when that was severed, he clenched it with his teeth. https://t.co/8FDpFgIbBr","en","Retweet","Rain.","Rainypainyy","10176","9","50","3","370","151","2026-01-15 15:24:53","https://x.com/Rainypainyy/status/2011791702881624562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2011791593204785152/vid/avc1/720x720/v0UkrYgEuG8OUhQN.mp4?tag=21"
"2011361802240839997","https://t.co/ElgeJdVJOF","zxx","Retweet","Xavier","xavierjp__","30655","12","32","1","1063","35","2026-01-14 10:56:37","https://x.com/xavierjp__/status/2011361802240839997","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-nK5YsaIAEkJ-O.jpg"
"2011590438642495566","Bruh Israeli border agents went thru my phone and seen this pic LMFAO https://t.co/Fhqyjg0JvQ","en","Retweet","🇵🇸","JoeDaActivist","125868","16","150","3","7796","327","2026-01-15 02:05:08","https://x.com/JoeDaActivist/status/2011590438642495566","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-qa17rWkAEK3rt.jpg"
"2011513698205221273","Jowlani Fans are loosing it ong, do they even know who is speaking there 😭?
https://t.co/kwsNxTqEPM","en","Tweet","𝕯𝖍𝖎𝖒𝖒𝖎𝖘 𝖐𝖊𝖊𝖕 𝖈𝖗𝖞𝖎𝖓𝖌","ESandzaki85074","105","0","0","0","0","2","2026-01-14 21:00:12","https://x.com/ESandzaki85074/status/2011513698205221273","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://x.com/i/status/2011193981879636033","",""
"2011193981879636033","https://t.co/MszcYlAYkx","zxx","Quoted","Syrian Aura","syraura","15899","21","56","3","526","138","2026-01-13 23:49:46","https://x.com/syraura/status/2011193981879636033","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2011193837071253504/vid/avc1/1720x1080/l3V1GEZyMcaI_YWj.mp4?tag=21"
"1772502769473106174","THREAD THE IDOLS OF SAUDI ARABIA. 

So Saudi Gov and Saudi Entertainment Authority had Riyadh Season. They built a place called “Boulevard World Riyadh” 

@BlvdWorldSA 

They have built statues of what? FALSE GODS OTHER THAN ALLAH. https://t.co/RVSxOHAAPk","en","Retweet","Abu Tankeel","AbuTankeel","89522","14","62","43","150","163","2024-03-26 07:56:06","https://x.com/AbuTankeel/status/1772502769473106174","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/GJkx3mcXEAE_bwX.jpg
https://pbs.twimg.com/media/GJkx3mbWsAAYgUD.jpg
https://pbs.twimg.com/media/GJkx3maXsAAaoDQ.jpg"
"2011311477169574197","Watching pro-SDF accounts go insane was funny for a while but now it’s just sad

https://t.co/uPzxCgp36R https://t.co/hP2IRXByHm","en","Retweet","Free Syrian Memes","FreeSyrianMemes","5363","8","12","0","187","5","2026-01-14 07:36:39","https://x.com/FreeSyrianMemes/status/2011311477169574197","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://x.com/D_abdulkader/status/2011200345612173441?s=20","animated_gif","https://video.twimg.com/tweet_video/G-mdIGSWUAAhg3q.mp4"
"2010801065512321071","The Wahhābī assault on Karbalāʾ in 1802

• Saʾūd Ibn ʿAbd al-ʿAzīz said:

❝And [as for] your statement: “We took Karbalāʾ, slaughtered its people, and seized their wealth”—then praise be to Allāh, Lord of the worlds. We do not make excuses for that, and we say: {And for the disbelievers there are similar [punishments]}. [47:10]❞

📚 (Al-Durar al-Sanīyyah Fī Ajwibat al-Najdīyyah 9/284)","en","Retweet","Ibrāhīm Ibn Maḥmūd","ibmsulaymani","66479","45","66","21","339","164","2026-01-12 21:48:27","https://x.com/ibmsulaymani/status/2010801065512321071","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","","","animated_gif","https://video.twimg.com/tweet_video/G-fM6KKWEAALMFb.mp4"
"2010802257298907532","I love how westernes cry about the Dating Market but then promote slut behavior Like this one, like what benefit is there in a women showing herself to millions of people? Like Wallahi one Guy asked for her OF Audhubillah 🤣🤣

https://t.co/1EnufzRkDx","en","Tweet","𝕯𝖍𝖎𝖒𝖒𝖎𝖘 𝖐𝖊𝖊𝖕 𝖈𝖗𝖞𝖎𝖓𝖌","ESandzaki85074","157","0","1","0","1","1","2026-01-12 21:53:11","https://x.com/ESandzaki85074/status/2010802257298907532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://x.com/i/status/2010507392291623251","",""
"2010507392291623251","❤️‍🔥🔥💥 https://t.co/xx9fLmasRK","qme","Quoted","Jaimee Michell","JaimeeUSA","254329","291","2065","60","29374","606","2026-01-12 02:21:30","https://x.com/JaimeeUSA/status/2010507392291623251","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-bB0RMWkAAyP9v.jpg"
