"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012462193787216377","UK is Khamaaaaas","in","Tweet","𝔈𝔟𝔫 ℌ𝔲𝔰𝔰𝔢𝔦𝔫 | حسن شمرانـــي","EbnHussein1424","242","1","0","0","3","1","2026-01-17 11:49:11","https://x.com/EbnHussein1424/status/2012462193787216377","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2012306893390205107","Met Police in London under Sadiq Khan and Shabana Mahmood is now an IRGC proxy.","en","Quoted","Mahyar Tousi","MahyarTousi","67749","142","1428","28","4850","69","2026-01-17 01:32:04","https://x.com/MahyarTousi/status/2012306893390205107","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2012343573757182109","A Special Dars at al-Azhar by the Supreme Pontiff of the Roman Church: A Comprehensive Guide to Mastering the Clean-Shaven Appearance and Its Proper Etiquette","en","Tweet","𝔈𝔟𝔫 ℌ𝔲𝔰𝔰𝔢𝔦𝔫 | حسن شمرانـــي","EbnHussein1424","843","0","5","0","16","1","2026-01-17 03:57:50","https://x.com/EbnHussein1424/status/2012343573757182109","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2012113657879302316","قال ﷺ: ... حتَّى إذا لم يترُك عالمًا اتَّخذَ النَّاسُ رؤوسًا جُهَّالًا ، فسُئلوا فأفتوا بغيرِ عِلمٍ فضلُّوا وأضلُّوا.

#طناجر_السوء https://t.co/1gvO0hC6JM","ar","Quoted","في أقل من ثلاث","aqalmn3","5307","3","23","1","141","10","2026-01-16 12:44:13","https://x.com/aqalmn3/status/2012113657879302316","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#طناجر_السوء","","photo","https://pbs.twimg.com/media/G-x2tHkaUAAjCJg.jpg"
"2012323503320584477","اللهم احشره مع إخوانه المجوس الرافضة","ar","Tweet","𝔈𝔟𝔫 ℌ𝔲𝔰𝔰𝔢𝔦𝔫 | حسن شمرانـــي","EbnHussein1424","815","1","2","0","10","1","2026-01-17 02:38:05","https://x.com/EbnHussein1424/status/2012323503320584477","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2011772324060528916","تخسى يا كـ.ـلب انت ومن على شاكلتك 
والله لا هم اخوانا ولا نعترف بهم
 ونبرأ الى منهم ومن امثالك يا نجـ..ـس 

كيف لمن يقر بتحريف القرأن يكون مسلم؟ 
كيف لمن يطعن بعرض رسول الله يكون مسلم ؟
كيف لمن يسب الصحابة ويكفرهم ويتهمهم يكون مسلم ؟
والكثير من الشركيات والكفريات التي يفعلونها
لعـ..ـنك الله انت وهم وكل من يقول نفس كلامك","ar","Quoted","مُهاب الشمري","GQUI171","27720","277","99","10","593","26","2026-01-15 14:07:53","https://x.com/GQUI171/status/2011772324060528916","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-tARHjWUAA1Dfo.jpg"
"2012109749022834825","Just vibecoded an I’rab for beginners website in 25 mins.

Lesson &amp; study notes
Flashcards for revision
Cheat sheet
Quizzes to practise I’rab https://t.co/WM9LSVJcyK","en","Retweet","آل معلم","Aal_Moalim","12213","9","20","0","193","206","2026-01-16 12:28:42","https://x.com/Aal_Moalim/status/2012109749022834825","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2012109537776668672/vid/avc1/1152x720/A7DVApBqmi2CduPa.mp4?tag=21"
"2012321467413770243","https://t.co/oDbaHZmb2O","zxx","Tweet","𝔈𝔟𝔫 ℌ𝔲𝔰𝔰𝔢𝔦𝔫 | حسن شمرانـــي","EbnHussein1424","994","2","0","0","16","4","2026-01-17 02:29:59","https://x.com/EbnHussein1424/status/2012321467413770243","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2012321457208983552/pu/vid/avc1/640x360/p0KJvTxv_blo2bSK.mp4?tag=19"
"2012284051076350232","😂😂😂😂 https://t.co/BkcEkv2m8w","qme","Quoted","Ebi Zandi","ebzandi","159928","232","1429","67","6156","450","2026-01-17 00:01:18","https://x.com/ebzandi/status/2012284051076350232","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2012283970705121284/vid/avc1/720x1280/DcRN6pcEW1Pwg9gY.mp4?tag=21"
"2012264131982708764","In Pakistan (💚) they say: KKSK","tl","Tweet","𝔈𝔟𝔫 ℌ𝔲𝔰𝔰𝔢𝔦𝔫 | حسن شمرانـــي","EbnHussein1424","2959","3","0","0","26","3","2026-01-16 22:42:09","https://x.com/EbnHussein1424/status/2012264131982708764","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
