"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012369900111548607","Allah spoke about these evil indivduals:

""O you who have believed, indeed many of the (Jewish) scholars and the (Christian) monks devour the wealth of people unjustly and avert [them] from the way of Allah.

And those who hoard gold and silver and spend it not in the way of Allāh - give them tidings of a painful punishment.""

۞ يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓا۟ إِنَّ كَثِيرًۭا مِّنَ ٱلْأَحْبَارِ وَٱلرُّهْبَانِ لَيَأْكُلُونَ أَمْوَٰلَ ٱلنَّاسِ بِٱلْبَـٰطِلِ وَيَصُدُّونَ عَن سَبِيلِ ٱللَّهِ ۗ وَٱلَّذِينَ يَكْنِزُونَ ٱلذَّهَبَ وَٱلْفِضَّةَ وَلَا يُنفِقُونَهَا فِى سَبِيلِ ٱللَّهِ فَبَشِّرْهُم بِعَذَابٍ أَلِيمٍۢ ٣٤","en","Tweet","سِدْر","FirmUponHaqq","459","0","2","0","12","4","2026-01-17 05:42:26","https://x.com/FirmUponHaqq/status/2012369900111548607","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-1fuxuWQAADbhC.jpg"
"2012320338550337874","Pastor Todd Hall says someone must donate $10,000 in 90 seconds for God to make them a millionaire https://t.co/zzO6FARK1o","en","Quoted","Daily Loud","DailyLoud","1644833","835","1926","575","26355","2934","2026-01-17 02:25:30","https://x.com/DailyLoud/status/2012320338550337874","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2012260836966817795/vid/avc1/1118x1080/5psSF1mPdhJdQ6G8.mp4?tag=21"
"2012327054155395504","""dress up in a skirt and play the bagpipes, that will show them!!""","en","Tweet","سِدْر","FirmUponHaqq","844","0","0","0","22","0","2026-01-17 02:52:11","https://x.com/FirmUponHaqq/status/2012327054155395504","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2011846388875960437","That’s how’s it’s done lol https://t.co/NHcX6MyXGO","en","Quoted","The Truth 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧","KevinTheRanter","575385","1325","6920","393","47491","1910","2026-01-15 19:02:12","https://x.com/KevinTheRanter/status/2011846388875960437","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2011846321313914882/vid/avc1/576x1024/cvFLp9rdrp84rjjs.mp4?tag=21"
"2012314961914089613","May Allah bless the ones upon Salafiyyah.

Despite what the deviants want you to believe, the middle path is the path of the salaf.

It is not the path of emotion, desire or opinion.

There is no ""hardline salafist"" or ""overzealous-Salafi phase""

It is only truth vs falsehood.","en","Tweet","سِدْر","FirmUponHaqq","118","0","1","0","9","0","2026-01-17 02:04:08","https://x.com/FirmUponHaqq/status/2012314961914089613","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2012008126736720358","Isa ibn Maryam (ﷺ) was only a Prophet and nowhere in the Gospel did he claim to be God.

Allah informed us of a conversation that will occur between Him and Isa.

مَا قُلْتُ لَهُمْ إِلَّا مَآ أَمَرْتَنِى بِهِۦٓ أَنِ ٱعْبُدُوا۟ ٱللَّهَ رَبِّى وَرَبَّكُمْ ۚ

""I (Isa) said not to them except what You commanded me - to worship Allāh, my Lord and your Lord."" - (Al-Ma'idah - 117)

In the Bible, Isa was reported to have said the same:

""The most important one,” answered Jesus, “is this: ‘Hear, O Israel: The Lord our God, the Lord is one. Love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength"" - (Mark 12:29-30)

Isa in Quran said he is a Servant of Allah:

قَالَ إِنِّى عَبْدُ ٱللَّهِ ءَاتَىٰنِىَ ٱلْكِتَـٰبَ وَجَعَلَنِى نَبِيًّۭا

""[Jesus] said, ""Indeed, I am the servant of Allāh. He has given me the Scripture and made me a prophet."" - (Surah Maryam 30)

In the Bible, Isa was reported to have said the same:

""By myself I can do nothing; I judge only as I hear, and my judgment is just, for I seek not to please myself but him who sent me."" - (John 5:30)

It is only from the traditions of the currupt Christians that he is labeled anything more then a Messenger of Allah.

As this is all he said about himself:

""Nevertheless I must walk to day, and to morrow, and the day following: for it cannot be that a prophet perish out of Jerusalem."" - (Luke 13:33)

Isa ibn Maryam (ﷺ) is free from those who exaggerated his status.

And they will be the losers who will reside in the hellfire for eternity.

I ask Allah to guide the Christians to the truth, and unite us upon what all the Messengers were upon.

""Say, ""O People of the Scripture, come to a word that is equitable between us and you - that we will not worship except Allāh and not associate anything with Him and not take one another as lords instead of Allāh.""1 But if they turn away, then say, ""Bear witness that we are Muslims [submitting to Him]."" - (Ali 'Imran 64)

---------------------------------------------------------

Allah's Messenger (ﷺ) said: 

""The Hour will not be established until the son of Mary (i.e. Jesus) descends amongst you as a just ruler, he will break the cross, kill the pigs, and abolish the Jizya tax. Money will be in abundance so that nobody will accept it (as charitable gifts).""
(Sahih al-Bukhari 2476)","und","Tweet","سِدْر","FirmUponHaqq","306","1","1","0","7","2","2026-01-16 05:44:53","https://x.com/FirmUponHaqq/status/2012008126736720358","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-wQf8ZbQAA1xCJ.jpg
https://pbs.twimg.com/media/G-wWlMHWoAAA7cV.png
https://pbs.twimg.com/media/G-wWp5QbQAYBXJX.jpg
https://pbs.twimg.com/media/G-wWuHdasAAqRGc.png"
"2011872140149342452","IShowSpeed finds out Egypt isnt a Muslim country lol.

Egypt is led by Kuffar who are funded by America and loved by Israel.

They are Apostates and the Apostates are the worst of Disbelievers.

""Indeed, the hypocrites will be in the lowest depths of the Fire"" - (An-Nisa 145)","en","Tweet","سِدْر","FirmUponHaqq","1268","0","2","0","15","5","2026-01-15 20:44:31","https://x.com/FirmUponHaqq/status/2011872140149342452","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2011713738131587381","Ishowspeed was genuinely confused after he was told he couldn’t wear the traditional Muslim attire (a jalabeya) cause it’s considered disrespectful while touring the museum in Egypt 🫩🥀

“Whatchu doing, I really gotta take this off ?how’s it disrespectful? Who’s they ?” https://t.co/h4uOjtQ4yg","en","Quoted","𝕷𝖆𝖒𝖆𝖗⛥","lamarviiii","2216551","378","339","267","9230","2143","2026-01-15 10:15:05","https://x.com/lamarviiii/status/2011713738131587381","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2011713632166379520/vid/avc1/1920x1080/6RGKszkNB1lYYGwQ.mp4?tag=21"
"2011712762179616783","""When God alone is not the ultimate goal of the servant’s desire and the end of his purpose, and He is the beloved and desired one for him by nature and the first purpose, and everything else is only loved, desired, and sought after for His sake, then he has not fulfilled the testimony that there is no god but God, and he has in him a deficiency, a defect, and polytheism to the extent of that, and he has the causes of that in terms of pain, regret, and torment according to what he missed of that.""

Ibn Al-Qayyim said:

""Whoever knows God Almighty, His names and attributes best, desires Him most, loves Him most, and is closest to Him. He found in his heart a sweetness that cannot be expressed, and can only be known through taste and longing.

 When the heart tastes that, it cannot give precedence to love for anyone else, or his relatives. And the more his love for Him increases, the more his servitude, humility, submission, and bondage to Him increases, and he is free from the bondage of others.

The heart cannot prosper, be rectified, find joy, delight, pleasure, tranquility, or peace except through the worship and love of its Lord and turning to Him in repentance. 

Even if it were to possess all the pleasures of creation, it would not find contentment or peace in them; rather, they would only increase its need and anxiety until it attains what it was created and prepared for: that God alone be the ultimate goal and the fulfillment of its desires. 

For within it lies an inherent need for its Lord and God, insofar as He is its object of worship, its beloved, its God, and its ultimate goal, just as within it lies an inherent need for Him insofar as He is its Lord, its Creator, its Provider, and its Sustainer. And whenever the love of God takes root in the heart and strengthens therein, it expels from it any worship or servitude to anything other than Him.

He became free, honorable, and dignified. His face shone with light and radiance.

There is no believer who does not have in his heart love for God Almighty, tranquility in remembering Him, delight in knowing Him, pleasure and joy in remembering Him, longing to meet Him, and comfort in being near Him, even if he does not feel it, because his heart is preoccupied with something else, and he is distracted by what he is preoccupied with. The existence of something is not the same as feeling and being aware of it.

Its strength, weakness, increase, and decrease: are according to the strength, weakness, increase, and decrease of faith.

When God alone is not the ultimate goal of the servant’s desire and the end of his purpose, and He is the beloved and desired one for him by nature and the first purpose, and everything else is only loved, desired, and sought after for His sake, then he has not fulfilled the testimony that there is no god but God, and he has in him a deficiency, a defect, and polytheism to the extent of that, and he has the causes of that in terms of pain, regret, and torment according to what he missed of that.

Even if one were to strive for this desired goal by every means and try every avenue, without seeking God's help, relying on Him, and acknowledging one's dependence on Him for its attainment, and without being certain that it can only be achieved through His grace, will, and assistance—for there is no other way whatsoever—he would not achieve his goal. For whatever God wills comes to pass, and whatever He does not will does not come to pass. Therefore, none but He can lead to it, none but He can guide to it, none but He can be worshipped except through His assistance, and none but He can be obeyed except by His will.""

(Ighāthat al-Lahfān min Maṣāyid al-Shayṭān, vol. 2, pg. 197-198)","en","Tweet","سِدْر","FirmUponHaqq","333","0","1","0","6","5","2026-01-15 10:11:12","https://x.com/FirmUponHaqq/status/2011712762179616783","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-sKBz1XoAA5TgH.png"
"2011644412711850391","These stupid Christians dont even follow their own religion.

""You shall not make for yourself an image in the form of anything in heaven above or on the earth beneath or in the waters below.""

(Exodus 20:4-5) https://t.co/C1sLW6n7Qk","en","Tweet","سِدْر","FirmUponHaqq","465","1","0","0","6","1","2026-01-15 05:39:37","https://x.com/FirmUponHaqq/status/2011644412711850391","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-rLxdgbMAAbfgh.png"
"2011169230016966797","Islam is retarded.","en","Quoted","Ridvan Aydemir | Apostate Prophet 🎗","ApostateProphet","59706","62","225","4","3341","42","2026-01-13 22:11:24","https://x.com/ApostateProphet/status/2011169230016966797","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2011569788276117564","Despite what the Disbelievers want, The Muslims who rule by the Shariah will take over the entire world.","en","Tweet","سِدْر","FirmUponHaqq","252","0","1","0","6","0","2026-01-15 00:43:05","https://x.com/FirmUponHaqq/status/2011569788276117564","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2011472788993745331","One of the Fitan that i see currupting the Ummah nowadays is IG and Tiktok edits of individuals, groups, etc.  

This is Haram due to the music which is accompanied by it.  

The reason why it is enjoyed, is only because of the Music.  

There is no benefit in disobeying Allah https://t.co/NrdJ4I6gM5","en","Tweet","سِدْر","FirmUponHaqq","311","0","0","0","7","0","2026-01-14 18:17:38","https://x.com/FirmUponHaqq/status/2011472788993745331","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-ov1p5bcAAg6Dt.png"
