"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012377577453949152","دفاع عن الشيخ عرفات المحمدي حفظه الله
والرد على الشبهات المُثارة حوله
https://t.co/8dSYEgg5HM
@abdulahaldafiri
@AbuMuadhTaqweem @Arafatbinhassan @dr_albukhary @IbnAkhdar","ar","Retweet","Al Tawhid Centre Sydney","TawhidCentreSyd","992","0","3","0","7","1","2026-01-17 06:12:57","https://x.com/TawhidCentreSyd/status/2012377577453949152","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://t.me/TawhidCentreSyd/1589","",""
"2012285266619146534","أمجد رفيق السائر على خطى محمد بن هادي 
""إحياء فتنة محمد بن هادي المفرق، لكن في ثوب جديد وبأسماء مختلفة""
https://t.co/OhZDCWYPsd

@AbuMuadhTaqweem @Arafatbinhassan @dr_albukhary @IbnAkhdar @rifshadh","ar","Retweet","Al Tawhid Centre Sydney","TawhidCentreSyd","4262","2","4","2","11","5","2026-01-17 00:06:08","https://x.com/TawhidCentreSyd/status/2012285266619146534","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://t.me/TawhidCentreSyd/1584","",""
"2012167228955722152","Refutation of Bilal Salimi
What is truly ironic is that these people never even mentioned him in previous years, nor did they pay him any attention. Today, however, they present him as the muhaddith of Egypt, despite his major and well-known errors. This only exposes their extremes and instability.

Their principle is clear: “If you are with us, then you are righteous and elevated; if not, then you are debased.”

https://t.co/kflssBJ43l","en","Tweet","Hamza Farah","Htiooooe","3216","6","0","2","14","16","2026-01-16 16:17:06","https://x.com/Htiooooe/status/2012167228955722152","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2011748369857687645","A Clarification to End the Confusion Surrounding False Claims of Tazkiyah & Taḥd͟hīr for Al-Biyalī

S͟hayk͟h Aḥmad Bāduk͟hn @ahmedbadokhon2 (may Allāh preserve him) writes:

This statement which some people distort: “read it as it was circulated in image form” does not mean that transmitting information is only accepted through audio or writing. Rather, it explains the customary practice of the S͟hayk͟hs in exercising caution when issuing Tazkiyah. However, the one who intends to cause agitation will cling even to seaweed!

And if some of our brothers, may Allāh guide them, did not refrain from believing lies, or from failing to verify what they transmit, and from exploiting that for agitation, as I clarified in the previous audio, then it is no surprise that they would deliberately distort the statement and interpret it, whether with good intent or bad intent.

What is astonishing is that not long ago they were transmitting from these very S͟hayk͟hs (S͟hayk͟h ʿArafāt and S͟hayk͟h ʿAbbās) that they were praising His͟hām Al-Biyalī, and they even wrote refutations based on that—let alone the insinuations and disparagement directed at the virtuous S͟hayk͟hs. Then after that, they transmitted from S͟hayk͟h ʿArafāt that he does not praise Al-Biyalī, and that whoever attributes such praise to him is a liar!

In reality, they know that S͟hayk͟h ʿArafāt does not hold the view that Al-Biyalī should be declared an innovator, nor does he see him as a Ḥaddādī or a Quṭbī. However, no tazkiyah has been issued for him. Brother S͟hihāb Al-Bannā informed me of this and said: “S͟hayk͟h ʿArafāt discussed with me his view of not declaring Al-Biyalī an innovator”, and he said: “nevertheless, no Tazkiyah has issued from me for him.” So S͟hihāb began transmitting some of the S͟hayk͟h's words while concealing other parts of them.

For this reason, I said: it is the practice of the S͟hayk͟hs to be keen on documenting and verifying Tazkiyah, especially when there is disagreement and confusion.

Source: https://t.co/dknHwGs06P

Translation: Zubayr ʿAbbāsī","en","Retweet","Zubayr Abbasi","ZubayrAbbasi","10854","0","9","1","18","6","2026-01-15 12:32:42","https://x.com/ZubayrAbbasi/status/2011748369857687645","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2011487529619636693","Yaa muneeb Somali what do you have you to say about Abu iyaads I’ll speech against shauyk bukahri and words of انكار.? 
 الحمدلله  we don’t return affairs of jarh wa tadeel to small students like muneeb Somali and those likes him ! https://t.co/zL1Qd7qioW","und","Origin","Hamza Farah","Htiooooe","7928","4","3","2","14","12","2026-01-14 19:16:13","https://x.com/Htiooooe/status/2011487529619636693","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-o9NNAbQAAe_Wm.jpg
https://pbs.twimg.com/media/G-o9NNJbQAQ-n43.jpg"
"2011497060965466142","Our brother @shkybaldny739  clarified already https://t.co/nl2f7nBiPz","en","Reply","Hamza Farah","Htiooooe","2110","2","2","0","5","5","2026-01-14 19:54:05","https://x.com/Htiooooe/status/2011497060965466142","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2011496021755379712/vid/avc1/886x1920/2uHctpGSBhOLw887.mp4?tag=21"
"2009874044586250305","خوافون ضيعوا الحق، صم كم كأنهم لم يروا شيئا","ar","Retweet","Hamza Farah","Htiooooe","785","0","1","0","4","0","2026-01-10 08:24:48","https://x.com/Htiooooe/status/2009874044586250305","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2010443846535217355","@anwarphilly May Allah reward Sh Abdullah alBukhari for his beneficial books and teaching. Like all scholars his honour is kept since he is from the scholars of Ahlu Sunnah. We love all the scholars of Ahlu Sunnah from those that taught us like Sh Muhammad alBanna and Sh Ubayd رحمهم الله","en","Retweet","Dr. Abdulilah Lahmami","Abdulilah_UK","12009","1","101","0","274","28","2026-01-11 22:08:59","https://x.com/Abdulilah_UK/status/2010443846535217355","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2010340557315621336","https://t.co/gf1nVC6nLY","zxx","Retweet","Ahlus Sunnah Fort Wayne Masjid","AHLUSSUNNAHFW","3475","0","19","0","50","8","2026-01-11 15:18:33","https://x.com/AHLUSSUNNAHFW/status/2010340557315621336","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-YqE2EWUAAImfD.jpg"
"2010418717595693223","“ولا تصح الصلاة خلف من صلاته فاسدة إلا من لم يعلم حدث  نفسه ولم يعلمه المأموم حتى سلم فإنه يعيد وحده”
ابن قدامة عمدة الفقه

“Prayer is not valid behind one whose own prayer is invalid, except in the case where he himself did not know of his state of impurity, and the follower also did not know of it until after the imam had completed the prayer. In that case, the imam alone repeats the prayer.” Ibn Qudamah – ʿUmdat al-Fiqh

قال الشيخ اللحيدان   "" إذا صلى إمام بالناس وهو على غير طهارة فالذين يعلمون انه على غير طهارة صلاتهم غير صحيحة والذين لم يعلموا الا بعد انتهائه منها صلاتهم صحيحة ولكن صلاته هو غير صحيحة لأن عمر بن الخطاب صلى بالناس الفجر وكان جنبا من الاحتلام ولم يكن يعلم وفي الضحى رأى أثر الاحتلام فما كان منه إلا أن اغتسل وأعاد صلاة الفجر ولم يأمر الناس بأن يعيدوا ""

Al-Shaykh Al-Luhaydan explains:
If the imam leads the people in prayer and he is not in a state of purity, then those who know he is not in a state of purity, their prayer is invalid , and those who did not know until the imam had completed the prayer, then their prayer (meaning the followers) is correct. However, the imam himself, his prayer is invalid. That is because ʿUmar ibn al-Khaṭṭāb led the people in the Fajr prayer while he was in a state of impurity due to a wet dream, which he was not aware of. By the early forenoon, he noticed the traces of the wet dream, so he took a bath and repeated the Fajr prayer, but he never commanded the people to repeat the prayer.

This is explained by Al-Shaykh Al-Luhaydan in ʿUmdat al-Fiqh, page 293
Volume 1","und","Tweet","Hamza Farah","Htiooooe","1299","0","1","0","8","5","2026-01-11 20:29:08","https://x.com/Htiooooe/status/2010418717595693223","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-ZxKnwWsAAazcZ.jpg"
