"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012112989382729956","رحم الله العلامة الإثيوبي 
كان جبلاً شامخاً من العلم ... https://t.co/To45SHoFYl","ar","Retweet","إذاعة اﻷندلس السلفية","alandalussalafe","9018","1","20","0","104","16","2026-01-16 12:41:34","https://x.com/alandalussalafe/status/2012112989382729956","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2012112907841228800/pu/vid/avc1/320x564/YN76gv--q5AaIfw-.mp4?tag=12"
"2012211949455483381","His eminence, al-Shaykh ʿAbd al-ʿAzīz bin Bāz (رحمه الله تعالى) said:

“The scholars have expounded upon the clarification of this meaning (tawḥīd) in the books of creed and tafsīr, such as Tafsīr Ibn Jarīr, Ibn Kathīr, al-Baghawī, and others…

(1/4) https://t.co/Gl5Peh5oQS","ca","Retweet","Ghareeb","StrangeMuwahhid","818","1","2","0","16","4","2026-01-16 19:14:48","https://x.com/StrangeMuwahhid/status/2012211949455483381","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-zQGgaWgAADDGK.jpg"
"2011496941662744747","al-Baghawī: “Allah is not unjust to his servants” means He does not punish a person without sin.

Ibn Rajab: Injustice is that Allah punish a person for the sins of another.

Ash’ari belief: If Allah were to punish a person that has committed no sin, this would be perfectly just. https://t.co/qZ3nE2dnY2","en","Retweet","Ibn al-Qayyim","qayyimtaqleed","10168","11","25","0","133","73","2026-01-14 19:53:37","https://x.com/qayyimtaqleed/status/2011496941662744747","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-pFzYsaQAA1f-8.jpg
https://pbs.twimg.com/media/G-pFzUGXsAAaEOI.jpg"
"2011860460815974553","Imam Ibn Rajab al-Hanbali lavishly praised his teacher, Imam Ibn Qadi al-Jabal, for his mastery in a variety of fields, and concluded by saying: 

“And how could it not be so? He was a student of Ibn Taymiyyah!”

[al-Dhayl ’ala Tabaqat al-Hanabilah] https://t.co/P0r7XnbqCZ","en","Retweet","al-Darawardi","SchizoPashtun","4652","4","22","0","151","48","2026-01-15 19:58:07","https://x.com/SchizoPashtun/status/2011860460815974553","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-uQbAUWwAASJIQ.jpg
https://pbs.twimg.com/media/G-uQbANW0AAJ5LK.jpg"
"2012130557937725888","“And when they see a sign, they ridicule”

(37:14)","en","Retweet","ONE","One_Dawah","86836","63","89","14","959","347","2026-01-16 13:51:23","https://x.com/One_Dawah/status/2012130557937725888","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2012130479009406976/pu/vid/avc1/720x720/UHylkZKZCNts6xWS.mp4?tag=19"
"1805571532090994975","The Hanafī Madhab was one of the most comprehensive Madhabs when it came to reconciliation of ahadīth &amp; applying them in a unique way as evidence not known to any of the other Madhāhib, and this was primarily due to al-Tahāwi’s efforts

See what a Shafi’ī Ahlul Hadith has to say https://t.co/3KgkIxhQkF","en","Retweet","ابن محبوب","IbnMahbub_","10419","2","7","2","61","38","2024-06-25 14:59:33","https://x.com/IbnMahbub_/status/1805571532090994975","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/ext_tw_video/1805571481025318912/pu/vid/avc1/848x400/yBn96ev_cWUcDK32.mp4?tag=12"
"1839411889278963984","Shaykh Muhammad al-Nūrustānī’s lesson on Abū Hanīfah’s Fiqh al-Akbar, he mentions Mulla Alī Qāri al-Hanafī’s sharh on it and he praises him in refuting Kalām. https://t.co/fEy9GYlPiu","ro","Retweet","ابن محبوب","IbnMahbub_","4146","1","7","0","42","22","2024-09-27 00:09:03","https://x.com/IbnMahbub_/status/1839411889278963984","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/1839411712585551872/vid/avc1/576x322/DFUo_y80EvqU1YJc.mp4?tag=14"
"2011298791165739363","Taqiyatjou lost to @provingislam and look how he pathetically behaves

Victimhood https://t.co/EIdqRpNB2t","en","Retweet","ONE","One_Dawah","50105","35","28","6","438","221","2026-01-14 06:46:14","https://x.com/One_Dawah/status/2011298791165739363","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2011298744319512576/pu/vid/avc1/1280x720/XnC5hPkJy8fWDQ8M.mp4?tag=19"
"2011122460524212433","Witr is 3 units according to the Hanābilah and Hanafiyyah","ro","Origin","ابن محبوب","IbnMahbub_","14646","8","4","1","76","26","2026-01-13 19:05:34","https://x.com/IbnMahbub_/status/2011122460524212433","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2011122755752608049","https://t.co/nVL0vtnt9V","zxx","Reply","ابن محبوب","IbnMahbub_","4026","0","4","0","19","24","2026-01-13 19:06:44","https://x.com/IbnMahbub_/status/2011122755752608049","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://x.com/ibnmahbub_/status/1820145759192272930","",""
