"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2005820194225004739","New Year Celebrations in Islam https://t.co/odoCJwBudv","en","Retweet","Ahmad Musā Jibrīl","sh_Ahmad_Jibril","20675","6","74","4","439","59","2025-12-30 03:56:15","https://x.com/sh_Ahmad_Jibril/status/2005820194225004739","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2005798919922388992/vid/avc1/1920x1080/asCf3RXeVKsWAVRD.mp4?tag=21"
"2005825796452311496","The Shaykh always sets the standard with these topics, Allahumma Bārek Lah.","en","Retweet","Project Guiding Light","ProjectGuiding","5992","1","22","0","121","17","2025-12-30 04:18:30","https://x.com/ProjectGuiding/status/2005825796452311496","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2002925670221975576","The Duʿāʾ of the People of the Cave:
رَبَّنَا آتِنَا مِن لَّدُنكَ رَحْمَةً وَهَيِّئْ لَنَا مِنْ أَمْرِنَا رَشَدًا https://t.co/eKReJJbBQk","ar","Retweet","Ahmad Musā Jibrīl","sh_Ahmad_Jibril","8255","2","58","0","245","57","2025-12-22 04:14:26","https://x.com/sh_Ahmad_Jibril/status/2002925670221975576","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2002888731246710784/vid/avc1/1920x1080/1XZOPjVHtvSD4uqx.mp4?tag=21"
"2001400136463987193","Truth Demands Firmness. When Met With Leniency, the Ummah Fades into Ruin.

During the Khilāfah of ‘Umar (رضي الله عنه), a man called Subaigh Ibn ‘Asal came to Madinah and asked persistently about the Mutashābihāt. 

ʿUmar (رضي الله عنه) summoned him and struck him until his head bled. Subaigh then said, “Enough, O Commander of the Faithful! What I used to find in my head has now gone.”

‘Umar (رضي الله عنه) then exiled him to Basra and wrote to its people, “Do not sit with him.”

Years later, when the Khawārij emerged, they invited Subaigh to join them and become a leader. Look at his response:

“Far be it! Allah has benefited me through the admonition of the righteous man, the Commander of the Faithful, ʿUmar (رضي الله عنه).”

Subaigh remained humbled until his death, after once been noble. 

We need men like ‘Umar (رضي الله عنه). Through firm discipline, exile, and social restriction, ‘Umar (رضي الله عنه) cut off a potential source of deviation, encouraged Subaigh’s repentance, and set an example for all who stubbornly questioned that which brought no benefit.

 - Shaykh Musa Jibril (حفظه الله تعالى)","ca","Retweet","Shaykh Musa Jibril","sh_musa_jibril","3908","1","23","1","56","8","2025-12-17 23:12:31","https://x.com/sh_musa_jibril/status/2001400136463987193","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G8ZmpXRWUAATC-D.jpg"
"2000414084936712365","Invisible Behind Bars: Muslim Prisoners in the Maldives
#VaanuvaaSarcar #EndVaanuvaa https://t.co/6EkWWEhYbQ","en","Retweet","Ahmad Musā Jibrīl","sh_Ahmad_Jibril","31069","15","156","32","498","87","2025-12-15 05:54:18","https://x.com/sh_Ahmad_Jibril/status/2000414084936712365","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#VaanuvaaSarcar, #EndVaanuvaa","","video","https://video.twimg.com/amplify_video/2000388001310937095/vid/avc1/1920x1080/LhYEp8MFDd-SpWCM.mp4?tag=21"
"1999506259368636842","When Allah (سبحانه وتعالى) tested Shaykh Musa (حفظه الله تعالى) with trials weeks ago, his joyous and upbeat demeanor did not falter for a second, rather it increased. And when advised to step back from speaking with others, he firmly refused, asking ALL who reach out to speak with him be sent his way, Allahumma barek Lahu.

His own trials only strengthened his resolve to help others. Anytime Allah resolved a conflict through him, he rejoiced, celebrating and weeping in joy.

When we spoke to the Shaykh during this health crisis, may Allah protect him, he did not complain once. Though his voice bore the weight of fatigue, he spoke with unwavering strength, constantly praising Allah.

Trials reveal true character, so what do we say of someone whose character only grew more radiant through them? May Allah protect him, preserve him, grant him full Shifaa' and a long life filled with good deeds.

As always, please reach out to the Shaykh’s Instagram (https://t.co/QnomCeCKg2) for any assistance or questions, or call, InshaAllah.","en","Retweet","Shaykh Musa Jibril","sh_musa_jibril","10492","5","30","1","343","22","2025-12-12 17:46:55","https://x.com/sh_musa_jibril/status/1999506259368636842","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G7-sT2rWIAURqsz.jpg"
"1998026982043394373","Saudi Arabia has widened access to alcohol sales, allowing non-Muslim expatriates earning at least 50,000 riyals ($13,300) a month to buy from the country’s only liquor store in Riyadh.

Shoppers must show proof of income and are capped by a monthly points-based system.

Source: Bloomberg","en","Retweet","Clash Report","clashreport","88482","31","63","13","413","90","2025-12-08 15:48:48","https://x.com/clashreport/status/1998026982043394373","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G7pq6NQXsAABvx-.jpg"
"1994089646750367875","Seven Daily Ibadat to Kick-Start a Blessed Day and Elevate Your Akhirah https://t.co/LhgC0nuN0A","en","Retweet","Ahmad Musā Jibrīl","sh_Ahmad_Jibril","14258","14","105","2","541","136","2025-11-27 19:03:14","https://x.com/sh_Ahmad_Jibril/status/1994089646750367875","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/1994078357185544192/vid/avc1/1920x1080/bKW3NB61oASdf1eL.mp4?tag=21"
"1992864958586261749","In the very handwriting of Imam Jamil Al-Amin, sent shortly before he returned to his Lord. رحمه الله

Ahmad Musa Jibril 
2 Jumāda ath-Thānī 1447 https://t.co/zhUkXX9YYa","ca","Retweet","Ahmad Musā Jibrīl","sh_Ahmad_Jibril","12784","6","52","5","229","39","2025-11-24 09:56:46","https://x.com/sh_Ahmad_Jibril/status/1992864958586261749","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G6gRpgpWYAA39Er.jpg
https://pbs.twimg.com/media/G6gRpgkXoAAWuPm.jpg"
"1992784540075475229","Imam Jamil Al-Amin passed away today while still confined within the prison walls. Like his companion, Imam Luqman Abdullah, who preceded him, these were men who, in shā’Allāh, remained steadfast and true to their covenant with Allāh. They stood in stark contrast to many other “imams” in the West, who faltered and compromised.

Though they may not have been formally recognized as ulama, they—in shā’Allāh—acted upon the knowledge they possessed, which is what truly matters. نَحْسُبُهُمْ كَذَلِك، وَاللَّهُ حَسِيبُهُمْ، وَلَا نُزَكِّي عَلَى اللَّهِ أَحَدًا. Even amid his suffering, Imam Jamil remained thoughtful, conveying his salām to me through some who were in touch with him.

May Allāh forgive them both, envelop them in His infinite mercy, illuminate their graves with radiant light, and elevate their ranks among the righteous.

Ahmad Musa Jibril 
2 Jumāda ath-Thānī 1447","en","Retweet","Ahmad Musā Jibrīl","sh_Ahmad_Jibril","44956","35","164","8","764","93","2025-11-24 04:37:13","https://x.com/sh_Ahmad_Jibril/status/1992784540075475229","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G6fK-XWXIAAdyBw.jpg
https://pbs.twimg.com/media/G6fK-XXXcAADCvc.jpg"
