"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2011865465388220906","We support the Red Ribbon Campaign demanding the freedom of all Palestinian hostages.Their freedom is inseparable from the liberation of Palestine! #FreePalHostages #الحرية_للأسرى","en","Retweet","CAGE International","CAGEintl","321","0","15","0","16","0","2026-01-15 20:18:00","https://x.com/CAGEintl/status/2011865465388220906","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#FreePalHostages, #الحرية_للأسرى","","",""
"2012063805472198920","They pull the trigger but who funds and sponsors them, and provides the military and political cover for them if not the Xtian liberal Western democracies.","en","Tweet","Muhammad Akhtar","MAkhtar59405","29","0","0","0","0","0","2026-01-16 09:26:08","https://x.com/MAkhtar59405/status/2012063805472198920","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2011841669197607423","Never forget that the IDF dressed up as doctors and nurses and stormed a hospital.

This is terrorism. https://t.co/aJ0S0PItHp","en","Quoted","Censored Humans","CensoredHumans","300874","476","5699","76","28043","825","2026-01-15 18:43:26","https://x.com/CensoredHumans/status/2011841669197607423","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-t_VieaUAAKG20.jpg
https://pbs.twimg.com/media/G-t_VgabQAEjZ7i.jpg"
"2011842175223369742","Activists stage a die-in at the BBC office in Glasgow, protesting against the BBC's biased coverage of the genocide in Palestine. https://t.co/cl6jD6jdhp","en","Retweet","PALESTINE ONLINE 🇵🇸","OnlinePalEng","10887","83","640","8","1533","31","2026-01-15 18:45:27","https://x.com/OnlinePalEng/status/2011842175223369742","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2011841712831021066/pu/vid/avc1/720x1280/GMvrMYkQlWRbwogU.mp4?tag=19"
"2012057032988434844","Lol. Looks like the West are done wid these deplorable govts in the Muslim world.","en","Tweet","Muhammad Akhtar","MAkhtar59405","22","0","0","0","0","0","2026-01-16 08:59:13","https://x.com/MAkhtar59405/status/2012057032988434844","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2011936187800592436","Qatar's former PM, Sheikh Hamad bin Jassim calls for the formation of a strategic defense alliance Pakistan, Turkiye, KSA and Egypt. He says, the alliance ""has long been, and remains, an urgent necessity to safeguard our interests and enhance our collective strength in the face of rapid changes in the policies of Western alliance countries""

https://t.co/zDQQdDrxwM","en","Quoted","Amir Husain","amirhusain_tx","66439","14","95","12","404","71","2026-01-16 00:59:01","https://x.com/amirhusain_tx/status/2011936187800592436","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","","","",""
"2012002957240512593","https://t.co/XyNCI1G7L6","zxx","Tweet","Muhammad Akhtar","MAkhtar59405","22","0","0","0","0","0","2026-01-16 05:24:20","https://x.com/MAkhtar59405/status/2012002957240512593","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://youtu.be/AQIrvPeNtds?si=Uh8TqCMnIcgEWQ8G","",""
"2011979683223494739","https://t.co/PKtAdqj6Mt","zxx","Tweet","Muhammad Akhtar","MAkhtar59405","28","0","0","0","0","0","2026-01-16 03:51:51","https://x.com/MAkhtar59405/status/2011979683223494739","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://youtu.be/dTf80Lo4FWs?si=ocyDQI0fzBGM4Oum","",""
"2011975153807184026","https://t.co/xl7cS8upAE","zxx","Tweet","Muhammad Akhtar","MAkhtar59405","16","0","0","0","0","0","2026-01-16 03:33:52","https://x.com/MAkhtar59405/status/2011975153807184026","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://youtu.be/grUQKTsIUGg?si=4z90pNrFzY20HCxA","",""
"2011763973398675814","On the very same day British political &amp; media class went after police for banning Maccabi Tel Aviv hooligans from running riot in the UK

Maccabi Tel Aviv hooligans ran riot in Israel, chanting “Death to Arabs” attacking Arab-owned car wash &amp; workers https://t.co/jww8ROifVU","en","Retweet","Double Down News","DoubleDownNews","43187","69","1795","75","3024","128","2026-01-15 13:34:42","https://x.com/DoubleDownNews/status/2011763973398675814","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/ext_tw_video/2011575685240987648/pu/vid/avc1/260x480/Q2Hw3JcxcslTjjL3.mp4?tag=19"
