"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2010443846535217355","@anwarphilly May Allah reward Sh Abdullah alBukhari for his beneficial books and teaching. Like all scholars his honour is kept since he is from the scholars of Ahlu Sunnah. We love all the scholars of Ahlu Sunnah from those that taught us like Sh Muhammad alBanna and Sh Ubayd رحمهم الله","en","Retweet","Dr. Abdulilah Lahmami","Abdulilah_UK","12010","1","101","0","274","28","2026-01-11 22:08:59","https://x.com/Abdulilah_UK/status/2010443846535217355","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2010123126391415267","The real question to Iranians may be: is it the religion that oppresses, or is it the way a particular interpretation is imposed and enforced by those in power? 

There’s no doubt that Persia had its own rich civilization and deep intellectual traditions long before the arrival of Islam to the empire.

However, we should note that Persians were also among the peoples involved in the army that took over the Sasanian Empire. It wasn’t a purely “Arab” army. There were in Arabs, Persians, Ethiopians, and others in that army. 

Then, Persians embraced Islam and contributed enormously - through scholarship, governance, literature, and the sciences to the growth and enrichment of the Islamic world. For 1400 years, no Iranian/Persian blamed the religion. 

Moreover, Iranians did not view Islam itself as the problem prior to Khomeini’s rise. If you ask secular Iranians who lived during the Shah’s reign (or earlier), many will tell you their issue was not with the faith as a personal religion, they had no problem with it. So what changed?

By contrast, you rarely hear citizens of countries such as Kuwait, Qatar, or Saudi Arabia - where they generally follow the teachings of Ibn Abd al-Wahhab, say they want to flee because of Islam itself. 

That comparison is something worth reflecting on.","en","Retweet","Salah al-Iranee","SalahIranee","6308","4","22","1","67","25","2026-01-11 00:54:34","https://x.com/SalahIranee/status/2010123126391415267","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-VkBYWXcAEjhlg.jpg"
"2008875010723913989","Heartwarming Exchange Between Two Mountains of Knowledge 

Shaykh al-Albani &amp; Shaykh Rabee https://t.co/dHjesdMQm7","en","Retweet","Daar us Sunnah","DaarusSunnah","9326","3","113","2","285","91","2026-01-07 14:15:00","https://x.com/DaarusSunnah/status/2008875010723913989","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2008836495512334336/vid/avc1/1920x1080/dVHHimaOiKXYm5aT.mp4?tag=21"
"2008261269695176920","Alhamdulilāh this weekend a group of 16 year olds traveled nearly 2 hours from a nearby city to visit @troidorg 

When asked about how they came to know about the manhaj from the first things mentioned was the website of Shaykh @AbuIyaadSP حفظه الله

Busying the youth with Khayr https://t.co/UFfJGev446","en","Retweet","Abū Turāb ‘Aseyr أبو تراب","AbuTurabAseyr","7347","2","71","0","154","20","2026-01-05 21:36:13","https://x.com/AbuTurabAseyr/status/2008261269695176920","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G97G99vWcAE-UvY.jpg"
"2008671054009651588","📣📣 𝑼𝑷𝑪𝑶𝑴𝑰𝑵𝑮 𝐋𝐢𝐯𝐞 𝐓𝐚𝐥𝐤‼️

𝐓𝐡𝐞 𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐢𝐨𝐧 𝐚𝐧𝐝 𝐉𝐮𝐬𝐭𝐢𝐜𝐞 𝐨𝐟 𝐓𝐡𝐞 𝐏𝐞𝐨𝐩𝐥𝐞 𝐨𝐟 𝐒𝐮𝐧𝐧𝐚𝐡 𝐢𝐧 𝐄𝐯𝐞𝐫𝐲 𝐒𝐩𝐡𝐞𝐫𝐞 𝐨𝐟 𝐑𝐞𝐥𝐢𝐠𝐢𝐨𝐧 - Sh. Abu Iyaad Amjad Rafiq حفظه الله 

Lesson at The Salafi Centre of Manchester

We are pleased to announce an upcoming lecture by Sh. Abu Iyaad Amjad Rafiq on a vital topic for every Muslim.

📖 𝐓𝐨𝐩𝐢𝐜: The Moderation and Justice of The People of Sunnah in Every Sphere of Religion 

📅 𝐃𝐚𝐭𝐞: 𝐒𝐚𝐭𝐮𝐫𝐝𝐚𝐲 𝟏𝟎𝐭𝐡 𝐉𝐚𝐧𝐮𝐚𝐫𝐲 
⏰ 𝐓𝐢𝐦𝐞: 𝟕:𝟎𝟎 𝐏𝐌 
📍𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧: 2 Dudley Street, Manchester, M8 9DA

Can't make it in person? Join the live broadcast at: 
🌐 https://t.co/dKzWuMefXz

👍 All are welcome to attend. 
Please share and benefit others!","en","Retweet","Salafi Centre","SalafiCentre","5560","1","69","0","88","10","2026-01-07 00:44:33","https://x.com/SalafiCentre/status/2008671054009651588","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-A7rNRWwAAg3LC.jpg"
"2006428040516260045","Supplicate For The Righteous, Do Not Ask From Them - Shaykh @Abdulilah_UK Lahmami حفظه الله

Taken from the lecture on The Prophet Eesa - Tafseer of Surah Al Maryam:

https://t.co/its5NTbeBO…

🎥 WATCH AND SHARE https://t.co/NswAjaDvuz","en","Retweet","Salafi Dawah Manchester","salafidawahmcr","2994","0","37","2","54","11","2025-12-31 20:11:37","https://x.com/salafidawahmcr/status/2006428040516260045","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","http://soundcloud.com/learnaboutisla","video","https://video.twimg.com/amplify_video/2006427945238204416/vid/avc1/1080x1920/JhN7zb2fejCZ1AhB.mp4?tag=21"
"2006414340904087603","https://t.co/JojLPUgZvs

Lesson Four

A glimpse into the life of the Third Khaleef- 'Uthmān ibn 'Affān (may Allāh be pleased with him).

By Shaykh 'Abdulilah Lahmami @Abdulilah_UK (may Allāh protect him).*

• His nickname- the possessor of two lights.
• He made the first migration to Abyssinia and also the second migration to Madeenah.
• He had 16 children, 9 boys and 7 daughters. 
• He possessed tremendous shyness and even the angels were shy in his presence. 
• He was very generous. 
• Islām spread far and wide during the reign of 'Uthmān. 
• The tears of 'Uthmān at the graveyard. 
• 'Uthmān's martyrdom was testified by the prophet (peace and blessings of Allāh be upon him).
• The oppression of the khawarij against 'Uthmān  
• The people of Sunnah love all the companions and it is not allowed to speak ill of any one of them, we only mention them with good.","en","Retweet","Markaz Mu’aadh","MarkazMuaadh","3422","0","13","0","20","6","2025-12-31 19:17:10","https://x.com/MarkazMuaadh/status/2006414340904087603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://soundcloud.com/markazmuaadh/lesson-four-a-glimpse-into-the-lives-of-the-four-rightly-guided-khulafa-a-glimpse-into-the-life-of-the-third-khaleef-uthman-ibn-affan-may-allah-be-pleased-with-him","",""
"2004918943304028334","🎬 NEW VIDEO

And On That Day a Man Will Flee From His Close Family - Al-Allamah Umar Ibn Muhammad Fallatah

Al-Allamah Umar Ibn Muhammad Fallatah (May Allah have mercy on him) gives a weighty warning of the state of the people and how they will be with one another on the day of judgement.

🎥 WATCH & SHARE","en","Retweet","Salafi Dawah Manchester","salafidawahmcr","1795","0","23","0","32","10","2025-12-27 16:15:00","https://x.com/salafidawahmcr/status/2004918943304028334","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","video","https://video.twimg.com/amplify_video/2004709544174235648/vid/avc1/1080x1350/14rr7z8Ri4w2oqoz.mp4?tag=21"
"2004956532430307746","“I guarantee a house in paradise for one who gives up arguing, even if he is in the right”. — Sahih Abu Dawud 4800

https://t.co/mV2TU4I66E","en","Retweet","Salafi Dawah Manchester","salafidawahmcr","3246","0","35","0","58","12","2025-12-27 18:44:22","https://x.com/salafidawahmcr/status/2004956532430307746","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://salafidawahmanchester.com/2025/04/14/i-guarantee-a-house-in-paradise-for-one-who-gives-up-arguing/","",""
"2005254537712693319","4 things prevent provision: 

• Sleeping in the morning 
• Neglecting prayer
• Laziness 
• Deception  

Zād al-Maʿād 4/378","en","Retweet","Daar us Sunnah","DaarusSunnah","3682","0","58","0","152","36","2025-12-28 14:28:32","https://x.com/DaarusSunnah/status/2005254537712693319","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
