"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"1206231978133147648","It’s allowed to say Bismillah in the bathroom when making Wudū.

Is the position of: 

1. Sh Ibn Baz (it’s not disliked as there is a need to say it) 
2. Permanent committee 
3. Sh Albani (it’s only prohibited to mention Allāh’s name when USING the toilet)
4. Sh Fawzān","en","Retweet","Hikmah Publications","hikmahpubs","","1","211","1","281","24","2019-12-15 17:18:08","https://x.com/hikmahpubs/status/1206231978133147648","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1866152952659878169","The Truth is More Beloved to Us - Ibnul Qayyim https://t.co/ahJdLOL4IA","in","Retweet","Salafi Dawah Manchester","salafidawahmcr","3495","0","43","2","68","5","2024-12-09 18:08:30","https://x.com/salafidawahmcr/status/1866152952659878169","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/GeXoNs6XMAEfMuu.jpg"
"2012317633324974413","Over 1,100+ live listeners on Mixlr.

The Masjid filled with brothers and sisters.

Shaykh Abul Hasan delivering an excellent and timely address on this topic.

https://t.co/yOzYnqtjRf https://t.co/iLaB7rE4qU","en","Retweet","GT Masjid Dawah Cent","gtdawahcenter","2218","0","29","0","65","4","2026-01-17 02:14:45","https://x.com/gtdawahcenter/status/2012317633324974413","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://germantown-masjid.mixlr.com/events/4791983","photo","https://pbs.twimg.com/media/G-0wOQcXAAA_tph.jpg"
"2012212655218385398","Jummah khutbah Mustafa Fulaani  https://t.co/xM1VImQFOE","in","Retweet","Fouta Islamic Center Of Philadelphia","fouta_of","752","0","6","0","10","0","2026-01-16 19:17:36","https://x.com/fouta_of/status/2012212655218385398","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://foutaislamiccenterphiladelphia.mixlr.com/events/4791468","",""
"2012194328404504665","Conference 2025: The Methodology of Ahlul-Hadith - That is the path of Ahlus-Sunnah wal-Jamāʿah &amp; the Salaf in truth. Shaykh @AbuHafsahKK حفظه الله

https://t.co/fTKgtFNO3N https://t.co/rYvSiUMBBI","ro","Retweet","Maktabah Salafiyyah Islamabad","SalafiMaktabah","406","0","2","0","0","2","2026-01-16 18:04:47","https://x.com/SalafiMaktabah/status/2012194328404504665","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://youtube.com/shorts/bHrcs1_5Yy0?si=PBWLRcHBb3qbq79h","video","https://video.twimg.com/amplify_video/2012194130366238720/vid/avc1/720x1280/Isx5PHh3VDt8oeL7.mp4?tag=21"
"1347252864662581248","Unable to visit father's grave, can I still be righteous towards him? https://t.co/qitUfENmEP","en","Retweet","Markaz Mu’aadh","MarkazMuaadh","","0","110","1","180","6","2021-01-07 20:44:48","https://x.com/MarkazMuaadh/status/1347252864662581248","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/ErJnVWCXcAEfzaT.jpg"
"1097532812234756097","Imām Rabī' bin Hādī said:

""If you see yourself refusing (to accept) the truth if it comes from a particular party, and you accept falsehood if it comes from a particular party and you deem it to be the truth, then know that your heart is diseased!""

📚 Asnāf Al-Qulūb (pg. 12)","en","Retweet","Tower Hamlets Dawah","DawahTH","","0","157","1","242","22","2019-02-18 18:26:28","https://x.com/DawahTH/status/1097532812234756097","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2012367048446214466","Unity Upon the Truth

The Path to Strength, Guidance, and Success. 

#UnityUponTruth
#HoldingFirmTogether
#UponTheSunnah
#StrengthInUnity
#OneUmmah https://t.co/00YndO01IR","en","Retweet","Knowledge 1st London","Knowledge1stLDN","376","0","10","0","10","1","2026-01-17 05:31:06","https://x.com/Knowledge1stLDN/status/2012367048446214466","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#UnityUponTruth, #HoldingFirmTogether, #UponTheSunnah, #StrengthInUnity, #OneUmmah","","photo","https://pbs.twimg.com/media/G-1dKTdXkAA-Wwo.jpg"
"2012283066144739622","You were never truly “Salafist,” and you are still in need of tazkiyyah.

It would serve you well to step away from social media.

A proper understanding of tazkiyyah would restrain a person from issuing fatawa on global events without the requisite knowledge or qualification.","en","Retweet","GT Masjid Dawah Cent","gtdawahcenter","14799","11","39","2","195","25","2026-01-16 23:57:24","https://x.com/gtdawahcenter/status/2012283066144739622","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2010540182504898899","Representatives of Iblis amongst humans Shaykh Allamah Abdullah Al Bukhari https://t.co/Ma29RGnykW","ca","Retweet","Fouta Islamic Center Of Philadelphia","fouta_of","4473","1","36","0","74","35","2026-01-12 04:31:48","https://x.com/fouta_of/status/2010540182504898899","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2010539972554534912/vid/avc1/864x480/18BZDlMMtuWOorq6.mp4?tag=21"
