"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2010036139022041592","We have reached new levels of slop","en","Tweet","Jaafar AlRashid","jaafar31424","482","1","0","0","1","0","2026-01-10 19:08:54","https://x.com/jaafar31424/status/2010036139022041592","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2009991395373953265","#SDF are terrorists who target 🎯 civilians and their attacks today in #Aleppo show that terrorism knows no religion, race, or creed. https://t.co/JG7Aa8cL5e","en","Quoted","Syria Retold Daily","SyriaRetold","87934","123","468","34","2013","55","2026-01-10 16:11:07","https://x.com/SyriaRetold/status/2009991395373953265","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#SDF, #Aleppo","","photo","https://pbs.twimg.com/media/G-TshbRXUAA2u2G.jpg"
"2009999102755647592","@AbuAsimHanbali So if Palestine is freed from the grip of the Jews, it becomes permissible to join the Abrahamic accords? May Allahs curse be upon the apostate leaders of the Muslims and all those who argue on their behalf","en","Retweet","Ulama’ ad-Da’wah an-Najdiyyah","PiousCall","1794","2","3","1","42","3","2026-01-10 16:41:44","https://x.com/PiousCall/status/2009999102755647592","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2010000404487250305","The kurdish and balochi regions are the most likely 'candidates' for an insurgency after the collapse of eyeran","en","Retweet","عَزَّامُ الكُرْدِيّ 🗻","KurdishTea_","4911","1","1","0","13","0","2026-01-10 16:46:55","https://x.com/KurdishTea_/status/2010000404487250305","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2009960614408663168","عالم عجيب 
"" بعض الحكومات العربية تقول إن انهيار #ايران يعني فوضى في الشرق الأوسط، اين كانت عبارتكم عند احتلال #بغداد 2003 بل بعضكم فتح بلدانه للقوات المحتلة لغزو العراق  ""
#مجلة_الف_باء 🔰 https://t.co/h2c51vzOEu","ar","Retweet","‏مجلة ألف باء🔰","majalat_AB","31540","96","79","8","996","47","2026-01-10 14:08:48","https://x.com/majalat_AB/status/2009960614408663168","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ايران, #بغداد, #مجلة_الف_باء","","photo","https://pbs.twimg.com/media/G-TQhVPWsAALgw-.jpg"
"2009556962761912566","To clarify since people like to take what i say completely out of context

Of course not all Kurds are backed by the Mossad. I’m obviously only talking about the Kurds who were given money and weapons to go and commit atrocities in Aleppo against civilians and sow chaos","en","Retweet","The Muslim Cowboy","MercifulMessage","20243","78","18","9","294","7","2026-01-09 11:24:50","https://x.com/MercifulMessage/status/2009556962761912566","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2009953592913080656","All praise to Allah the creator of worlds.
The hypocrisy in many of the kurds parading as salafi muslims is exposed by the war between the atheist SDF and apostate STG.
I have been labelled as a baathist and racist by arabs, kurds and more but no one can deny the truth now.","en","Origin","Jaafar AlRashid","jaafar31424","643","5","1","1","6","0","2026-01-10 13:40:54","https://x.com/jaafar31424/status/2009953592913080656","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2009964301688430922","SDF and peshmerga supporter https://t.co/G3iYdAaiHH","en","Reply","Jaafar AlRashid","jaafar31424","178","1","0","0","0","0","2026-01-10 14:23:27","https://x.com/jaafar31424/status/2009964301688430922","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-TTz9iXEAAMvz8.png
https://pbs.twimg.com/media/G-TT0i4XQAA6FN5.png"
"2009964449894171066","https://t.co/NlGjptIKyl","zxx","Reply","Jaafar AlRashid","jaafar31424","208","0","0","0","0","0","2026-01-10 14:24:02","https://x.com/jaafar31424/status/2009964449894171066","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://x.com/M2infinity22/status/2009546738982588847?s=20","",""
"2009963750170956027","https://t.co/zvRp0Jk6Zj","zxx","Origin","Jaafar AlRashid","jaafar31424","183","0","0","0","0","0","2026-01-10 14:21:16","https://x.com/jaafar31424/status/2009963750170956027","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://x.com/kurdishmuwahhid/status/2009707458596642951?s=20","",""
