"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012296832035008526","I'd say that if you're actually worried about anti-semitism, it's probably a bad idea to announce to Americans that you now have developed AI tech to monitor Americans' speech about Israel and Jews, and you have a mega-network of 50,000 lawyers ready to sue them for free.","en","Retweet","Glenn Greenwald","ggreenwald","412992","426","3466","86","14677","1352","2026-01-17 00:52:06","https://x.com/ggreenwald/status/2012296832035008526","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2009918568427635153","U.S. Federal Appeals Court thrown out all the remaining convictions against Sheikh Dr Ali al-Timimi and ruled his convictions were unlawful and unconstitutional. 

This was Sheikh Ali's short speech before his arrest many years ago... https://t.co/IRIpEXwPXM","en","Retweet","DOAM","doamuslims","7719","4","49","4","155","37","2026-01-10 11:21:43","https://x.com/doamuslims/status/2009918568427635153","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2009918539126190080/pu/vid/avc1/320x240/H2ACc-LZeecPhsLv.mp4?tag=19"
"2007618522931941551","@Keir_Starmer ""We regarded Maduro as an illegitimate President and we shed no tears about the end of his regime.""

Pretty sure Putin regarded Zelenskiy as an ""illegitimate president"" too.

So presumably invading Ukraine was okay, then?","en","Retweet","Jonathan Cook","Jonathan_K_Cook","109071","70","435","2","3494","40","2026-01-04 03:02:10","https://x.com/Jonathan_K_Cook/status/2007618522931941551","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2006583308067405982","The Tikvah Fund—which just got a $10.4M grant from the Trump admin to fight ""anti-Semitism"" and teach the Talmud—released a 22-min video touting ""Jewish exceptionalism"" and attacking the ""Tucker Carlson-AOC alliance.""

""American Jews are the wealthiest Jewish community in the history of the world,"" Tikvah's President and CEO Eric Cohen says after arguing that every Jewish youth should attend a Jewish day school (rather than assimilate into America).

He says throughout the speech that Israelis and American Jews are one and need to understand that ""being Jewish is the most important thing in the world, and in our own lives.""

Simply incredible that this outfit is now being funded by US taxpayers.","en","Retweet","Chris Menahan 🇺🇸","infolibnews","302260","641","1942","258","5197","1258","2026-01-01 06:28:35","https://x.com/infolibnews/status/2006583308067405982","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2006578706874007553/vid/avc1/1280x720/Dvjb6bx9bLAJ0_cQ.mp4?tag=21"
"2004377402957500436","You dumb scumbag the source of Islamic law are the Qur’an, the Sunnah, the athār (reports) of the Prophet’s Companions, the consensus (ijmāʿ) of the scholars, and qiyās (analogical reasoning) - not the actions or policies of the rulers of the UAE.

The rulers of the UAE permitted the sale of alcohol and filled Dubai with escort natashas from Russia and Ukraine - does that now make it permissible in Islam?

The holidays of the disbelievers are prohibited by the unanimous agreement of the scholars of Islam.","en","Retweet","مسلم روسي","abuismailrusi","8144","4","8","0","114","12","2025-12-26 04:23:07","https://x.com/abuismailrusi/status/2004377402957500436","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2002528834160345154","Reminder while it’s being shoved down our throats with ads that gambling is goyslop slave activity","en","Retweet","SNEAKO","sneako","645070","282","566","34","13238","340","2025-12-21 01:57:33","https://x.com/sneako/status/2002528834160345154","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2002568055117717880","Anybody who uses buzzwords such as Islamist or political Islam to demonise Sunni Muslims or to use “UK Muslims” as a slur is a Zionist, or a Zionist in spirit.

Islam is through and through political, just as Christianity was before it was castrated (liberalised) by the small-hat people.","en","Retweet","𝔈𝔟𝔫 ℌ𝔲𝔰𝔰𝔢𝔦𝔫 | حسن شمرانـــي","EbnHussein1424","7962","11","31","0","196","17","2025-12-21 04:33:24","https://x.com/EbnHussein1424/status/2002568055117717880","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2002878543383110130","it's always about the money with these people","en","Tweet","Jason Ding","jasonding34","57","0","0","0","1","0","2025-12-22 01:07:11","https://x.com/jasonding34/status/2002878543383110130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2002544803654086959","Mr Ahmad was an utter hero, no question. But he gets a $2.5 million check and all the press, because it's a great story and a useful 'feel good' narrative, while the Jews who also tried and fought back and died or were gravely injured get very little attention. Interesting.","en","Quoted","Dr David Berger BSc MBBS MRCP(UK) FRACGP-RG DTM+H","YouAreLobbyLud","45898","140","156","7","1301","55","2025-12-21 03:01:01","https://x.com/YouAreLobbyLud/status/2002544803654086959","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2002436775608775113","Dr Ellen Kriesels (@EllenKriesels) has just been arrested by the london met police on behalf of the 'israeli' jewish lobby for two X posts.

Ellen is a senior consultant paediatrician with an unblemished record. The lobby began hunting her in September because of her sign at a Palestine national demonstration.

They doxxed her and smeared her in the press.
3000+ zionist jews and pro-'israelis' complained to her hospital (that she had worked in for 15 years)
She was suspended from the Whittington Hospital within 4 days.
They (UKLFI and CAA) reported her to the medical board (GMC) and then to the tribunal (MPTS) where she had her licence suspended for 9 months.

And now they've had her arrested.

Her crimes:
- Opposing the Holocaust in Gaza
- Naming and criticising jewish supremacy.

Britain is doing this to our NHS doctors for 'israel'.
Britain is occupied.","en","Retweet","Dr Rahmeh Aladwan","doctor_rahmeh","147569","415","3750","167","6704","348","2025-12-20 19:51:45","https://x.com/doctor_rahmeh/status/2002436775608775113","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G8oVoqpXAAASyE2.jpg"
"2002344126730416614","The most important line of this exchange:

“I’m here on the invite of the Emiratis who I am meeting tomorrow to discuss terrorist organisations in the UK.”

The Emirates is a kha’in state - one that needs to be reclassified an enemy of Muslims globally and Islam itself.","en","Retweet","Dr Asim Qureshi 🏞️➡️🌊🇵🇸🕊️","AsimCP","79181","73","304","12","1161","127","2025-12-20 13:43:36","https://x.com/AsimCP/status/2002344126730416614","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2001774492918698391","English subtitles have been added to the interview with the brother of Muhammad Zaki Hamad, author of Beneath the Banner of the Flood.

I can’t overstate how essential this episode is. It isn’t just worth listening to, it’s one of those conversations that fundamentally clarifies what’s at stake and stays with you long after it ends.","en","Retweet","Huthaifa | حذيفة","Shack_Rat","6054","1","23","0","81","49","2025-12-19 00:00:04","https://x.com/Shack_Rat/status/2001774492918698391","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2001697569613975938","If chants to globalise Palestinian struggle against genocide, ethnic cleansing &amp; occupation are to be deemed violent and illegal, then it should only be fair that the ideology - zionism - predicated on genocide, ethnic cleansing &amp; occupation should also be made  illegal.","en","Retweet","Adnan Hussain MP","AdnanHussainMP","68506","807","263","61","882","24","2025-12-18 18:54:24","https://x.com/AdnanHussainMP/status/2001697569613975938","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
