"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012357924178239579","Yk what’s interesting as a revert

Whenever Muslims try to crowdfund

They don’t market “you’ll make more money in this life”

They talk about the deeds you’ll get in the afterlife

Interesting distinction","en","Retweet","SonnyFaz","NotSonnyFaz","63301","25","127","0","1884","100","2026-01-17 04:54:51","https://x.com/NotSonnyFaz/status/2012357924178239579","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2012225029329883184","Chaos in Sudan, collapse in Libya, bloodshed in Yemen and Gaza followed by moral lectures about peace, while their islands are still occupied.
Protect sovereignty first, then speak.","en","Retweet","Emelia","Emeliarjl","37471","30","118","1","481","39","2026-01-16 20:06:46","https://x.com/Emeliarjl/status/2012225029329883184","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2012451045268390203","Who are my peers in a multicultural society?","en","Retweet","Morgoth","MorgothsReview","17030","35","51","0","1085","21","2026-01-17 11:04:53","https://x.com/MorgothsReview/status/2012451045268390203","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2012236098932551937","But but IRAAAAN","en","Retweet","Marwa Osman || مروة عثمان","Marwa__Osman","220349","66","2694","8","18804","232","2026-01-16 20:50:46","https://x.com/Marwa__Osman/status/2012236098932551937","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2012226125767102582","Reporter: Why would you want someone else’s Nobel Prize?

Trump: She offered it to me. https://t.co/sTZbtZEIzK","en","Retweet","Acyn","Acyn","677275","1232","843","304","5176","531","2026-01-16 20:11:08","https://x.com/Acyn/status/2012226125767102582","<a href=""https://snapstream.com"" rel=""nofollow"">SnapStream TV Search</a>","","","video","https://video.twimg.com/amplify_video/2012226096021020672/vid/avc1/1280x720/WFUolRshsaf9jcqh.mp4?tag=14"
"2012167987730555312","He literally bombed hospitals every week, they gave it to him cause he’s black","en","Retweet","Kaguya’s Top Gal","hayasaka_aryan","246321","113","1038","12","18532","363","2026-01-16 16:20:07","https://x.com/hayasaka_aryan/status/2012167987730555312","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2012356199082246477","New Restaurant Rules in Thailand🇹🇭. https://t.co/2AsgdwJv9O","en","Retweet","The Resonance","Partisan_12","351115","248","3564","94","22319","479","2026-01-17 04:48:00","https://x.com/Partisan_12/status/2012356199082246477","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2012356027346481153/vid/avc1/720x1280/2pCqViZ1wbk4C7fv.mp4?tag=21"
"2012145670971666763","ماشاء الله https://t.co/MO9fn4YrZk","ar","Retweet","محمد بن عبدالمجيد الزنداني","moohhha","7253","11","21","1","281","1","2026-01-16 14:51:26","https://x.com/moohhha/status/2012145670971666763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2012145409368420352/vid/avc1/720x1280/a1LX-YuNPpe0tt5v.mp4?tag=21"
"2012047109911171344","He is South African.","en","Retweet","Phumzile Van Damme","zilevandamme","846526","403","4132","76","51729","680","2026-01-16 08:19:47","https://x.com/zilevandamme/status/2012047109911171344","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2012277752854913207","""I used to work with a guy who was unemployed"" https://t.co/YPSquni1Mq","en","Retweet","BladeoftheSun","BladeoftheS","136208","97","295","10","9898","85","2026-01-16 23:36:17","https://x.com/BladeoftheS/status/2012277752854913207","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-0L8qkX0AIgB2U.jpg"
"2012276778790764771","How on earth do people watch this shite.

Society is a shambles","en","Retweet","Harry 🇬🇧💫","utdHarryy","1225691","327","1432","20","45870","1204","2026-01-16 23:32:25","https://x.com/utdHarryy/status/2012276778790764771","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
