"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012463184448209327","Explanation of Kitāb at-Tawḥīd

Shaykh Hassan Somali 

Tonight after Maghrib 5:30pm EST | 10:30pm UK

Broadcast LIVE : YouTube &amp; Germantown Masjid Radio https://t.co/ELZqpCNcpx","en","Retweet","Germantown Masjid","GtownMasjid","576","0","13","0","19","0","2026-01-17 11:53:07","https://x.com/GtownMasjid/status/2012463184448209327","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-20mTQXYAAu-yX.jpg"
"2012283066144739622","You were never truly “Salafist,” and you are still in need of tazkiyyah.

It would serve you well to step away from social media.

A proper understanding of tazkiyyah would restrain a person from issuing fatawa on global events without the requisite knowledge or qualification.","en","Retweet","GT Masjid Dawah Cent","gtdawahcenter","14969","11","39","2","196","25","2026-01-16 23:57:24","https://x.com/gtdawahcenter/status/2012283066144739622","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2012241004972126212","قال رسول الله صلى الله عليه وسلم :

” إنَّ اللهَ تعالى: لا ينامُ، ولا ينبَغِي لهُ أن ينامَ، يخْفِضُ القِسْطَ ويَرْفَعُهُ، ويُرفَعُ إليهِ عمَلُ الليلِ قَبْلَ عملِ النهارِ، وعملُ النهارِ قبلَ عملِ الليلِ، حِجابُهُ النورُ، لو كَشَفَهُ لأحْرَقَتْ سُبُحاتُ وجْهِهِ ما انتَهى إليهِ بَصَرُهُ من خلقِهِ “ .

[ أخرجه مسلم (١٧٩) ]","ar","Retweet","صَــحَّـحَـهُ الْأَلْبَــــــانِيُّ","Sahih_Albany","6567","3","53","1","153","11","2026-01-16 21:10:15","https://x.com/Sahih_Albany/status/2012241004972126212","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2012317633324974413","Over 1,100+ live listeners on Mixlr.

The Masjid filled with brothers and sisters.

Shaykh Abul Hasan delivering an excellent and timely address on this topic.

https://t.co/yOzYnqtjRf https://t.co/iLaB7rE4qU","en","Retweet","GT Masjid Dawah Cent","gtdawahcenter","2246","0","29","0","65","4","2026-01-17 02:14:45","https://x.com/gtdawahcenter/status/2012317633324974413","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://germantown-masjid.mixlr.com/events/4791983","photo","https://pbs.twimg.com/media/G-0wOQcXAAA_tph.jpg"
"2012318396033954083","Truthfulness with Allāh and His creation will save a person in this life and in the Hereafter. 

Allāh, the Most High, says:
هَٰذَا يَوْمُ يَنفَعُ الصَّادِقِينَ صِدْقُهُمْ
""This is the Day when the truthful will benefit from their truthfulness."" [Sūrah al-Māidah, verse no.119] https://t.co/IJmw28NRsl","ro","Retweet","Markaz Mu’aadh","MarkazMuaadh","2881","0","77","0","122","13","2026-01-17 02:17:47","https://x.com/MarkazMuaadh/status/2012318396033954083","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-0w6IvWUAAM6NG.jpg"
"2012433325609165153","تبدأ دُروس شيخنا من هذا الأسبوع بإذن الله https://t.co/5SqgiUdvGx","ar","Retweet","أ.د. عبدالله البخاري","dr_albukhary","2389","2","53","0","89","5","2026-01-17 09:54:28","https://x.com/dr_albukhary/status/2012433325609165153","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G-2ZcLuWwAEoFo0.jpg"
"2012193209494143249","That Which is Worse Than Death: Wasting Time
Imām Ibn al-Qayyim

https://t.co/MeHEFiDe0J https://t.co/beGZLnU3Tm","en","Retweet","𝐭𝐫𝐨𝐢𝐝.𝐨𝐫𝐠","troidorg","1748","1","29","0","68","10","2026-01-16 18:00:20","https://x.com/troidorg/status/2012193209494143249","<a href=""https://www.troid.org"" rel=""nofollow"">Twitter Social Push</a>","","https://www.troid.org/that-which-is-worse-than-death-wasting-time/","photo","https://pbs.twimg.com/media/G-y_DyWbIAA5tOM.jpg"
"2012196158853247364","Conference 2025: The Methodology of Ahlul-Hadith - That is the path of Ahlus-Sunnah wal-Jamāʿah &amp; the Salaf in truth. Shaykh @AbuHafsahKK حفظه الله

https://t.co/fTKgtFNO3N https://t.co/KAS9uCpM5z","ro","Retweet","Maktabah Salafiyyah Islamabad","SalafiMaktabah","1867","0","11","0","31","5","2026-01-16 18:12:03","https://x.com/SalafiMaktabah/status/2012196158853247364","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://youtube.com/shorts/bHrcs1_5Yy0?si=PBWLRcHBb3qbq79h","video","https://video.twimg.com/amplify_video/2012195893269950464/vid/avc1/720x1280/i3quwlvTz9JR-AFt.mp4?tag=21"
"2012212589434937611","The Honest Businessman and Trader 

Abdullah ibn Mas‘ud (radiyallahu anhu) used to say: “How astonishing is the state of the merchant; how can he remain safe? When he sells, he excessively praises [the product to raise the price]; and when he buys, he finds fault [to lower the price].”

Ibn Rushd (rahimahullah) said: “He means, how can he remain safe from falling into sin through praise, it is feared that he may be deceitful by praising or by finding fault. The Messenger of Allāh (sallallahu alayhi wa sallam) said: “Whoever cheats us is not from us,” (Muslim) meaning he is not upon our guidance and our path.”

(al-Bayan wal-Tahsil of Ibn Rushd 18/412)","en","Retweet","Abu Muhammad Walid","AbuMuhammadWA","4288","0","37","0","113","31","2026-01-16 19:17:21","https://x.com/AbuMuhammadWA/status/2012212589434937611","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-zQrZNXAAAZW_6.jpg"
"2011929804702961869","How to Begin Seeking Knowledge and What to Focus On 

Shaykh Saalih Al-Fawzan 

The answer, insight, and guidance given by Shaykh Fawzan show us why they are scholars, and why we should connect ourselves to them and adhere to their advice.

https://t.co/XGTOkWhUfb","en","Retweet","AlBinaa Publishing LLC","albinaapubs","487","0","2","0","5","1","2026-01-16 00:33:39","https://x.com/albinaapubs/status/2011929804702961869","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://youtu.be/KdtDbkgdDgw?si=c_jYTt3KFpmT3eIE","",""
