Text,Final Decision
"Tafseer, Palestine Update &amp; Q&amp;A 
 Today @ 1PM UK  All welcome!
  Sheikh Muhammad Al- Massari
 Zoom: 
 ID: 744 6271 2970 |  Pass: hello
 Surah Ash-Shu'araa: 
 YouTube:,70.0",Salafi jihadi
"""Ahmed al-Sharaa states in his Consitution:

""Citizens are equal before the law in rights and duties, without discrimination based on race, religion, gender, or lineage.""

Who would risk throwing themselves into Hellfire by declaring that the one who holds this belief is a Muslim?,",Salafi jihadi
"""Sh.Abdul-Aziz Bin Baz (may Allah have mercy on him) said:

""As for National Day and celebrating National Day on any day...then all of this is an innovation, all of it is from the innovations &amp; an imitation of the enemies of Allah.""

#Saudi_National_Day_92
#__"",",Salafi jihadi
"""05 | #Ramadan1447 | THE NAMES &amp; ATTRIBUTES OF ALLAH | Shaykh Musa Jibril (  )
PDF: 
SRT:,",Salafi jihadi
"""""American embassies in the Islamic world are not like other embassies. Rather, they are embassies that perform an intelligence role and seek to extend American influence in Muslim lands. The ongoing war against Islam,  including the war against jihad (which they call terrorism) and the spread of the democratic creed,  is all planned from within these embassies.

American embassies present in Muslim lands have no legal (shar') status whatsoever. Indeed, the religious obligation requires severing relations with the American government and expelling its ambassadors, since it is a state at war with Islam and occupying Muslim lands.""

Shaykh Abu Mundhir as Shanqiti"",",Salafi jihadi
"""Zarqawi cutting their head off was understandable"",",Salafi jihadi
"""14 | #Ramadan1447 | REFLECTION: A PATH TO CERTAINTY AND FAITH | Shaykh Musa Jibril (  )
PDF: 
SRT:,",Salafi jihadi
"""""#Taliban spokesman Zabihullah Mujahid to Radio Tehran: We hope the war between US and #Iran does not occur. However, if such a conflict happens, Iran will emerge victorious and #Afghans will cooperate with Iranian people to fullest extent of our capabilities. 
""
--------------

The Taliban and their Rafidha brothers Mushriks in one camp.  Ya Allah destroy them like you destroyed the people of Madyan,",Salafi jihadi
"""Shaykh Ahmad Musa Jibril warns against those who misuse statements of scholars to make mass Takfir.

Note: This is NOT in reference to falling into clear kufr like Shirk without valid Ikrah (coercion).,",Salafi jihadi
"""""Haqiqatjou has to be the least masculine anti-lgbt and anti-feminist, constantly engaging in zesty and bizarrely feminine behavior, emulating women in voice and gestures, with endless snorts and other unbearable sound effects. This guy is such a psyop. 
""
--------------

It is genuinely laughable. This zindiq Haqiqatjou postures as some kind of giga chad because he loudly attacks liberalism, yet the moment shirk and Rafidism appear he turns into a full-blown simp. When tawhid demands an actual backbone, he completely collapses, waters down the creed, prostitutes Athari principles, and humiliates himself by twisting every line of belief just to accommodate every mushrik zindiq, all in the name of a hollow, fraudulent unity.  He has even adopted their majoosi lingo (Wahhabi takfiri this and that) and their effeminate mannerisms.,40.0",Salafi jihadi
"""Shaykh Muqbil never mentioned specific rulers., absolute copium, here he called specific people Tawagheet. The brainlets have 2 options

1. Claim he retracted these statements (They are all on his website) &amp; admit he was a Khariji before this.

2. Accept that this was his view."",",Salafi jihadi
"Posting Othman Khabeeth in pics with martyred Syrian fighters doesnt change fact that he called the soldiers of Kuwait fighting for American interests Murabitun lol 
You can cope as long as you want but Khabeeth called out Hamas for aligning with Iran 
Allah exposes him and you,",Salafi jihadi
"Madkhals never surprise me with their nifq,101.0",Salafi jihadi
"To them - defending awght who replace and abolish the Sharah is part of the Sunnah that none may defy, and anyone who is willing to defend Muslims from aggression of kuffr is a ""khrij"" and/or ""emotional.""

 .,102.0",Salafi jihadi
"""That's my position too. There is no contradiction in takfiring Rawafid, particularly their leaders, yet still standing with them against Zionists. This is different from the approach of shirk defenders like the zindiq Daniel Haqiqatjou, who went as far as painting Khamenei and his cult as some sort of heroes of Islam and canonising him into a martyr saint.

So there are two extremes:

- Those cheerleading this attack on Iran, although most casualties are innocent civilians, including Sunnis.

- Those who try to water down all the crimes and shirk of the Rawafid.

As Muslims, we should support even mushrik Christian non-Zionists against Zionists and, by extension, Rawafid. However, that does not mean we cannot takfir them or expose their kufr and falsehood (notice how the Sudani general at the end did not even add takfir for the Rawafid)."",",Salafi jihadi
"""25 | #Ramadan1447 | ALLAH WILL ANSWER THIS SUPPLICATION | Shaykh Musa Jibril (  )
PDF:,",Salafi jihadi
"Shaykh Sad bin Zuayr, one of the students of Shaykh amd bin Uql ash-Shuayb, mentioned that Shaykh Muammad ibn Ibrhm would not issue a fatw until he presented it to his student Shaykh amd bin Uql.,11.0",Salafi jihadi
"""Shaykh li al-Fawzn speaks about those who allow the disbelievers into the lands of muslims when assisting them against the muslims and how this is disbelief even if he hates their religion.

Interestingly, he then speaks about those who bring them in and enabled them to build churches and the likes, and this is what he says :

_

Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al Wahhb said: [That if someone openly displays their] agreement with their religion [of the Mushrikin]

Shaykh li al-Fawzn said: Meaning: He enabled them [the mushrikin] to establish churches in the lands of the Muslims, and granted them freedom, and said to the Muslims: Do not prevent them from anything; whatever they request from you, comply with it. This is mudhanah, because our religion forbids this.



Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al-Wahhb said: [And if he does this then] indeed he is a disbeliever like them.

Shaykh li al-Fawzn commentates: Because he enabled the [religion of the] disbelievers and was pleased with their religion, and he forewent what the religion of Islm obliged upon him  namely disassociating the religion of the disbelievers and disavowing it. He did not disavow it; rather, he permitted it, justified it, and granted them freedom [to establish their religion] in the lands of the Muslims.

Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al-Wahhb said: [And if he does this then indeed he is a disbeliever like them] even if he detests their religion and hates them.

Shaykh li al-Fawzn commentates: Meaning: if he loves their religion, then this makes him a disbeliever (kfir), an apostate, if he establish them. And if he establishes them while he hates their religion, then this act of his constitutes apostasy from Islm, because he has assisted them against the Muslims.

        (31,32)"",",Salafi jihadi
"""""A Messege From Shamsi To Br Sneako
@DusDawah 
""
--------------

Zindeeq Shamsi why is Murtad bin Salman praying for forgiveness and paradise for a Mushrik Rafidhi?,",Salafi jihadi
"""Remember all those moronic Madkhalis blindly defending their lord MBS? Some claiming the photo is fake, some claiming its a completely different guy, some claiming its AI. The original photo was released in the recent Epstein file dump by the American (in)justice department. 



Keep in mind, this meeting occurred after he was a convicted sex offender. This is who your Taghut MBS spends his time with, and whom your rabbis bootlick and condition Salafiyyah with. Look at that beaming smile! A picture of close friends. 

May Allah continue to expose these Tawagheet."",",Salafi jihadi
"""Those happy with the bombing of Iran &amp; the killing of the khabith Ali Khamenei need to be remember what the apostate Arab &amp; Gulf states have done to Ahlus-Sunnah &amp; the Muwahideen!

These tawagheet are two sides of the same coin, anyone who can not see this reality is an imbecile"",",Salafi jihadi
"Saudi Army of Kufr Shaykh Turki al-Binali Rahimahullah,",Salafi jihadi
"""""..Dont Deceive The Muslims .. 
""
--------------

Funny how this Munafiq is speaking about Iran allying with America what about your Taghut kingdomof Saudi Arabia ya Munafiq 
(Check thread),",Salafi jihadi
""" and  are the two websites to follow for uncompromising Dawah in our era.

Free from bowing down the Taghut and free from sugarcoating to please the masses.,",Salafi jihadi
"""13 | #Ramadan1447 | WHOEVER KNOWS ALLAH MORE WILL FEAR HIM MORE | Shaykh Musa Jibril (  )
PDF: 
SRT:,",Salafi jihadi
"""Rfidah are worse than donkeys! 

- Shaykh Ahmad Musa Jibril,",Salafi jihadi
"""10 | #Ramadan1447 | RIGHTEOUS CONDUCT | Shaykh Musa Jibril (  )
PDF: 
SRT:,",Salafi jihadi
"""07 | #Ramadan1447 | AL-WALA WAL BARA' | Shaykh Musa Jibril (  )
PDF: 
SRT:,",Salafi jihadi
