text,id
"""""Never forget that the IDF dressed up as doctors and nurses and stormed a hospital.

This is terrorism. 
""
--------------

They pull the trigger but who funds and sponsors them, and provides the military and political cover for them if not the Xtian liberal Western democracies.",29.0
"""""Wahhabism is the tool of extremism and modern day terrorism. 

It began as theology fused with power.

Muhammad ibn Abd al-Wahhab was an 18th-century cleric from Najd who preached uncompromising monotheism and condemned what he saw as religious deviation. But his defining weapon was not spirituality. It was takfir: declaring other Muslims outside the fold.

And even inside his own home, there was alarm.

His father, Abd al-Wahhab ibn Sulayman, reportedly warned people not to follow his sons extremism. His own brother, Sulayman ibn Abd al-Wahhab, wrote an entire refutation:

      
Al-Sawaiq al-Ilahiyya fi al-Radd ala al-Wahhabiyya
(Divine Thunderbolts in Refutation of the Wahhabis)

In it, he warned that reckless takfir leads to bloodshed. He compared the movement to early Kharijite extremism  religion weaponized against Muslims. And, that is exactly what happened in the following years.

Then came 1744.

The pact between Ibn Abd al-Wahhab and Muhammad bin Saud in Diriyah.

The formula was simple and ruthless:

Al-Sheikh holds religion.
Al-Saud holds power.

Through that alliance, theology became state machinery.

Expansion was framed as purification. Campaigns like the attack on Karbala in 1802 are documented in multiple chronicles. Sectarian violence was justified as religious correction. Unity meant obedience. Dissent meant deviance.

That fusion : Religion as political legitimacy became the backbone of the Saudi state model.

Fast forward to the 20th century.

Oil wealth globalized the doctrine. Religious institutions expanded. Clerical authority was centralized. Universities such as Imam Muhammad ibn Saud Islamic University became exporters of a rigid interpretation of Salafism.

Then came Afghanistan.

During the Soviet war, Saudi religious rhetoric aligned with U.S. anti-communist strategy. Arab Afghans were mobilized under religious banners. The ideological infrastructure created centuries earlier proved adaptable to modern geopolitics.

From that environment emerged figures like Osama bin Laden, founder of Al-Qaeda. Later movements from Al-Qaeda to ISIS drew heavily from Takfiri Wahhabi logic: excommunication as a political weapon to justify jihad and murder. 

This does not mean Ibn Abd al-Wahhab sat in the 18th century planning 9/11.

It means that when you normalize declaring Muslims apostates, and when state power protects that logic, you build an intellectual ecosystem extremists can later radicalize further.

The 9/11 hijackers, European terror cells, sectarian militias in Iraq and Syria  they justified violence using theological frameworks built on takfir and militant purification.

That ideological pipeline matters.

Throughout modern Middle Eastern politics, religion was repeatedly used as leverage:

Against Arab nationalism.
Against Jamal Abdulnasser.
During Cold War alignments.
During regional rivalries.

Each time, theology served strategy.

And now?

When Saudi enters political conflict whether in Yemen, Qatar, or against the UAE  the instinctive tool is familiar: religious framing. Accuse. Label. Delegitimize.

Same method. New arena.

History shows the pattern:

When religion becomes state armor, power hides behind piety.
When dissent becomes heresy, control becomes sacred.
And when takfir becomes political currency, violence follows.

The earliest warning came from inside the family itself. But were silenced so Bin Saud and Alsheikh can carry out their gruesome acts of genocide against the Shia people in Alhassa and then in 1802, Saudi-Wahhabi forces attacked Karbala and killed under the justification of Takfir.""
""
--------------

Zio-Emiratism is a tool of 

The reality, as i stated before, is that many of these  funded Emiratis hate Islam and Tawheed

May Allah have mercy on Shaykh Muhammad Ibn Abdulwahhab

He is free from the lies you associate with him",
"""Youre a Kafir, and hes a Kafir, and whoever knows of him and his actions, yet doesnt label him a Kafir, is also a Kafir who hasnt smelt the scent of Islam. The Muslims get closer to Allah by Takfiring you and your likes, as well as your filthy Tawagheet.""",
"""Aid the Dawah in Coventry 

We are running low on funds!

Whatever you can give 1, 2, 5, 10, 20 it will all add up insha Allah and go towards the running of the free lessons that are on offer",
"""You know we're cooked when the bare minimum is considered ""significantly stricter"" and a ""win.""""",
"""  NEW: Reality of the Rafidah  By Al-Allamah Salih Al-Fawzan and Al-Allamah Rabee 

Excerpt: In The Name of Allah, The Most Merciful, The Bestower of Mercy.
Al-Allamah Salih Al-Fawzan, may Allah preserve him, was asked:

Is it correct that the first to innovate the path of the Raafidah was Abdullah Ibn Saba - a Yahudi?

Response:

Yes, without a doubt. The Rafidah or the Shiites in general are of two types: The Shiites from the fire worshipers and the Shiites from the...

 Read the full post: 

 Join our Telegram Channel:",
No Salvation With Shirk |ClickDEEN360  via @YouTube,
"""08 | #Ramadan1447 | WOULD A LIE LAST THAT LONG | Shaykh Musa Jibril (  )
PDF: 
SRT:",
""" NEW UPLOAD - Music is from the Sunnah of The Mushrikn (Polytheists) 

By Sh. Abdulilah Lahmami  
@Abdulilah_UK 

Link  

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah",
"""The best of women and the worst of women.",61.0
