tweet_id,text,model_text,label,source_file,normalized_text
t9ilnpaks,Im ngl you gotta go,Im ngl you gotta go,Irrelevant,python/tweetsFromSite/tweets_from_the_site3.csv,Im ngl you gotta go
wf3sh80nx,"""The Old City [11] @taqwatravels","""The Old City [11] @USER",Irrelevant,python/tweetsFromSite/tests_from_site4.csv,"""The Old City [11] @taqwatravels"
oi5j4k25q,"""It looks like Dr. Ruhayli did as the Islamic affairs said &amp; delivered the Khutbah they wanted. Just listen to this, We love our rulers, we make Dua for them, we have Ghayrah over their honour, to get closer to Allah. They love us &amp; make Dua for us. Allahul Mustaaan.","""It looks like Dr. Ruhayli did as the Islamic affairs said &amp; delivered the Khutbah they wanted. Just listen to this, We love our rulers, we make Dua for them, we have Ghayrah over their honour, to get closer to Allah. They love us &amp; make Dua for us. Allahul Mustaaan.",Irrelevant,python/tweetsFromSite/tweets_from_site4.csv,"""It looks like Dr. Ruhayli did as the Islamic affairs said &amp; delivered the Khutbah they wanted. Just listen to this, We love our rulers, we make Dua for them, we have Ghayrah over their honour, to get closer to Allah. They love us &amp; make Dua for us. Allahul Mustaaan."
pegxjf52w,"""Don't neglect the Quran by Sh Saalih alFawzan","""Don't neglect the Quran by Sh Saalih alFawzan",Salafi taklidi,python/tweetsFromSite/tweets_from_the_site3.csv,"""Don't neglect the Quran by Sh Saalih alFawzan"
xoiezui0o,"""When a person online says the UAE is waging war on Islam they get refuted, but when one of Salafi Publications' own scholars says the same thing, they dont even mention it &amp; they continue quoting him. One rule for me &amp; another for thee.

    ""","""When a person online says the UAE is waging war on Islam they get refuted, but when one of Salafi Publications' own scholars says the same thing, they dont even mention it &amp; they continue quoting him. One rule for me &amp; another for thee. """,Irrelevant,python/tweetsFromSite/tweets_from_site4.csv,"""When a person online says the UAE is waging war on Islam they get refuted, but when one of Salafi Publications' own scholars says the same thing, they dont even mention it &amp; they continue quoting him. One rule for me &amp; another for thee. """
lka2nb9qn,"""Between 2000-2020, Saudi Arabia has provided more than $6,473,586,361 in aid to the State of Palestine,



People want to act like Saudi does nothing for the Muslims of Palestine, when in reality they have donated billions of dollars.

If we gathered all these people shouting and marching the streets in Protests, or those online making takfir of Salafis and Saudi en masse as we speak, (calling them munafiqin, kuffar)

Would we even reach 100 million total donated? Hmm... food for thought, who is really helping the Muslims in Palestine and who is really just giving lip service, posturing and acting as if they care,

But when it comes to, as they put your money where your mouth is.... it's silence...""","""Between 2000-2020, Saudi Arabia has provided more than $6,473,586,361 in aid to the State of Palestine, People want to act like Saudi does nothing for the Muslims of Palestine, when in reality they have donated billions of dollars. If we gathered all these people shouting and marching the streets in Protests, or those online making takfir of Salafis and Saudi en masse as we speak, (calling them munafiqin, kuffar) Would we even reach 100 million total donated? Hmm... food for thought, who is really helping the Muslims in Palestine and who is really just giving lip service, posturing and acting as if they care, But when it comes to, as they put your money where your mouth is.... it's silence...""",Irrelevant,python/tweetsFromSite/tweets_from_site4.csv,"""Between 2000-2020, Saudi Arabia has provided more than $6,473,586,361 in aid to the State of Palestine, People want to act like Saudi does nothing for the Muslims of Palestine, when in reality they have donated billions of dollars. If we gathered all these people shouting and marching the streets in Protests, or those online making takfir of Salafis and Saudi en masse as we speak, (calling them munafiqin, kuffar) Would we even reach 100 million total donated? Hmm... food for thought, who is really helping the Muslims in Palestine and who is really just giving lip service, posturing and acting as if they care, But when it comes to, as they put your money where your mouth is.... it's silence..."""
hmomqgvz0,"""Head of Madkhali sect, Abdul-Aziz Ar-Rayyis:

Sh Saleh l-Shaykh was wrong to say all the lands in the Muslim world are Darul kufr, as in their Govs are kuffar, and for attributing it to his grandfather, Mufti Ibn Ibrahim that he says ruling by other than Sharah is major kufr","""Head of Madkhali sect, Abdul-Aziz Ar-Rayyis: Sh Saleh l-Shaykh was wrong to say all the lands in the Muslim world are Darul kufr, as in their Govs are kuffar, and for attributing it to his grandfather, Mufti Ibn Ibrahim that he says ruling by other than Sharah is major kufr",Salafi jihadi,python/tweetsFromSite/tweets_from_site4.csv,"""Head of Madkhali sect, Abdul-Aziz Ar-Rayyis: Sh Saleh l-Shaykh was wrong to say all the lands in the Muslim world are Darul kufr, as in their Govs are kuffar, and for attributing it to his grandfather, Mufti Ibn Ibrahim that he says ruling by other than Sharah is major kufr"
q79xv03zj,If speaking out and rebelling against rulers was enough to make one khawarij then many tabieen and sahaba would be from the khawarij not to mention scholars like albani amd uthaymeen who have criticised Saudi rulers and even legitimised rebelling against others.,If speaking out and rebelling against rulers was enough to make one khawarij then many tabieen and sahaba would be from the khawarij not to mention scholars like albani amd uthaymeen who have criticised Saudi rulers and even legitimised rebelling against others.,Salafi jihadi,python/tweetsFromSite/tweets_from_site5.csv,If speaking out and rebelling against rulers was enough to make one khawarij then many tabieen and sahaba would be from the khawarij not to mention scholars like albani amd uthaymeen who have criticised Saudi rulers and even legitimised rebelling against others.
91iartk71,"""The school of dilution and adaptation 

Question:
What do you mean by the dilution (tamyee) and adaptation (tatwee) that you mentioned?

Shaykh Abu Yahya al-Libi (may Allah have mercy upon him) said:

This approach is one of the afflictions that has befallen our Islamic Ummah in this age, and many have been tested by it, those described as thinkers, enlightened individuals, moderates, or centrists.

The reality of this methodology is the dilution of the truths of the deen and their reshaping and subjugation so that they conform to understandings, perspectives, and convictions that its proponents have adopted, especially in matters where they feel there is conflict or tension with ideas promoted by Westerners.

So you find these adapters sparing no effort and leaving no means unused to try to prove that Islam agrees with Western ideas, matches their rulings, or even preceded them in what they have proposed.

Unfortunately, this contagion has affected many Muslim scholars and preachers, to the point that some of them have become leaders of this school, those scholars upon whom Allah placed the responsibility of conveying His message to people as it is, without distortion or deception, and who should not be swayed by desire or fear.

As Allah the Exalted said:

Those who convey the messages of Allah and fear Him, and do not fear anyone except Allah. And sufficient is Allah as a Reckoner.

This school of dilution and adaptation has made all matters of the deen into an open domain, freely entered by their intellects, polluted by their ideas, and subjected to their research, without any restraint or trustworthiness holding them back.

This is a great calamity of our time.

The Quran has already clarified this reality and exposed the inner motives of such people, namely deviation and corruption of the heart, which can be summarized as infatuation with Western culture, and being carried away by intellectual temptation.

Allah says:

As for those in whose hearts is deviation, they follow what is ambiguous, seeking Fitna and seeking its interpretation.

The Prophet (salallahu alayhi wa salam) recited this verse and then said:

If you see those who follow what is ambiguous, they are the ones Allah has named, so beware of them.

Therefore, a Muslim, so that his deen remains sound and he protects himself from deviation and getting lost in paths of misguidance, must beware of such people and not be deceived by names, titles, or fame.

What they are doing is polluting our Islamic sources and corrupting our pure concepts, which Islam was keen to preserve in their independence, in terminology, meanings, and substance, so that no impurity would enter and disturb this pure spring.

In this regard, there is the incident when the Prophet (salallahu alayhi wa salam) was approached by Umar (may Allah be pleased with him), who said:
We hear statements from the Jews that we find appealing, should we write some of them down?

The Prophet (salallahu alayhi wa salam) replied:

Are you becoming confused as the Jews and Christians became confused? I have brought it to you pure and clear. If Musa were alive, he would have no choice but to follow me.

Today, you see that whenever a Western thinker praises something from Islam, it is taken as proof of the truth of the message, as though we are in need of such endorsements.
Even worse, and more dangerous, is that the situation has reversed, these people of such thinking now reshape Islamic meanings so that they serve as evidence for the correctness of many aspects of Western culture, even when that culture fundamentally contradicts Islam in both concepts and terminology.

I believe we are in need of a thorough study of the foundations and principles of this deviant and manipulative school, in order to uproot it and expose its danger to the core principles of the religion, the extent to which it corrupts its concepts, ......

Continued  ""","""The school of dilution and adaptation Question: What do you mean by the dilution (tamyee) and adaptation (tatwee) that you mentioned? Shaykh Abu Yahya al-Libi (may Allah have mercy upon him) said: This approach is one of the afflictions that has befallen our Islamic Ummah in this age, and many have been tested by it, those described as thinkers, enlightened individuals, moderates, or centrists. The reality of this methodology is the dilution of the truths of the deen and their reshaping and subjugation so that they conform to understandings, perspectives, and convictions that its proponents have adopted, especially in matters where they feel there is conflict or tension with ideas promoted by Westerners. So you find these adapters sparing no effort and leaving no means unused to try to prove that Islam agrees with Western ideas, matches their rulings, or even preceded them in what they have proposed. Unfortunately, this contagion has affected many Muslim scholars and preachers, to the point that some of them have become leaders of this school, those scholars upon whom Allah placed the responsibility of conveying His message to people as it is, without distortion or deception, and who should not be swayed by desire or fear. As Allah the Exalted said: Those who convey the messages of Allah and fear Him, and do not fear anyone except Allah. And sufficient is Allah as a Reckoner. This school of dilution and adaptation has made all matters of the deen into an open domain, freely entered by their intellects, polluted by their ideas, and subjected to their research, without any restraint or trustworthiness holding them back. This is a great calamity of our time. The Quran has already clarified this reality and exposed the inner motives of such people, namely deviation and corruption of the heart, which can be summarized as infatuation with Western culture, and being carried away by intellectual temptation. Allah says: As for those in whose hearts is deviation, they follow what is ambiguous, seeking Fitna and seeking its interpretation. The Prophet (salallahu alayhi wa salam) recited this verse and then said: If you see those who follow what is ambiguous, they are the ones Allah has named, so beware of them. Therefore, a Muslim, so that his deen remains sound and he protects himself from deviation and getting lost in paths of misguidance, must beware of such people and not be deceived by names, titles, or fame. What they are doing is polluting our Islamic sources and corrupting our pure concepts, which Islam was keen to preserve in their independence, in terminology, meanings, and substance, so that no impurity would enter and disturb this pure spring. In this regard, there is the incident when the Prophet (salallahu alayhi wa salam) was approached by Umar (may Allah be pleased with him), who said: We hear statements from the Jews that we find appealing, should we write some of them down? The Prophet (salallahu alayhi wa salam) replied: Are you becoming confused as the Jews and Christians became confused? I have brought it to you pure and clear. If Musa were alive, he would have no choice but to follow me. Today, you see that whenever a Western thinker praises something from Islam, it is taken as proof of the truth of the message, as though we are in need of such endorsements. Even worse, and more dangerous, is that the situation has reversed, these people of such thinking now reshape Islamic meanings so that they serve as evidence for the correctness of many aspects of Western culture, even when that culture fundamentally contradicts Islam in both concepts and terminology. I believe we are in need of a thorough study of the foundations and principles of this deviant and manipulative school, in order to uproot it and expose its danger to the core principles of the religion, the extent to which it corrupts its concepts, ...... Continued """,Salafi jihadi,python/tweetsFromSite/tweets_from_site5.csv,"""The school of dilution and adaptation Question: What do you mean by the dilution (tamyee) and adaptation (tatwee) that you mentioned? Shaykh Abu Yahya al-Libi (may Allah have mercy upon him) said: This approach is one of the afflictions that has befallen our Islamic Ummah in this age, and many have been tested by it, those described as thinkers, enlightened individuals, moderates, or centrists. The reality of this methodology is the dilution of the truths of the deen and their reshaping and subjugation so that they conform to understandings, perspectives, and convictions that its proponents have adopted, especially in matters where they feel there is conflict or tension with ideas promoted by Westerners. So you find these adapters sparing no effort and leaving no means unused to try to prove that Islam agrees with Western ideas, matches their rulings, or even preceded them in what they have proposed. Unfortunately, this contagion has affected many Muslim scholars and preachers, to the point that some of them have become leaders of this school, those scholars upon whom Allah placed the responsibility of conveying His message to people as it is, without distortion or deception, and who should not be swayed by desire or fear. As Allah the Exalted said: Those who convey the messages of Allah and fear Him, and do not fear anyone except Allah. And sufficient is Allah as a Reckoner. This school of dilution and adaptation has made all matters of the deen into an open domain, freely entered by their intellects, polluted by their ideas, and subjected to their research, without any restraint or trustworthiness holding them back. This is a great calamity of our time. The Quran has already clarified this reality and exposed the inner motives of such people, namely deviation and corruption of the heart, which can be summarized as infatuation with Western culture, and being carried away by intellectual temptation. Allah says: As for those in whose hearts is deviation, they follow what is ambiguous, seeking Fitna and seeking its interpretation. The Prophet (salallahu alayhi wa salam) recited this verse and then said: If you see those who follow what is ambiguous, they are the ones Allah has named, so beware of them. Therefore, a Muslim, so that his deen remains sound and he protects himself from deviation and getting lost in paths of misguidance, must beware of such people and not be deceived by names, titles, or fame. What they are doing is polluting our Islamic sources and corrupting our pure concepts, which Islam was keen to preserve in their independence, in terminology, meanings, and substance, so that no impurity would enter and disturb this pure spring. In this regard, there is the incident when the Prophet (salallahu alayhi wa salam) was approached by Umar (may Allah be pleased with him), who said: We hear statements from the Jews that we find appealing, should we write some of them down? The Prophet (salallahu alayhi wa salam) replied: Are you becoming confused as the Jews and Christians became confused? I have brought it to you pure and clear. If Musa were alive, he would have no choice but to follow me. Today, you see that whenever a Western thinker praises something from Islam, it is taken as proof of the truth of the message, as though we are in need of such endorsements. Even worse, and more dangerous, is that the situation has reversed, these people of such thinking now reshape Islamic meanings so that they serve as evidence for the correctness of many aspects of Western culture, even when that culture fundamentally contradicts Islam in both concepts and terminology. I believe we are in need of a thorough study of the foundations and principles of this deviant and manipulative school, in order to uproot it and expose its danger to the core principles of the religion, the extent to which it corrupts its concepts, ...... Continued """
rpdhl2ur3,"""Hamas Is Not Going To Give Victory To Islaam  Shaykh Muqbil Bin Hadi Al-Wadiee","""Hamas Is Not Going To Give Victory To Islaam Shaykh Muqbil Bin Hadi Al-Wadiee",Salafi taklidi,python/tweetsFromSite/tweets_from_site5.csv,"""Hamas Is Not Going To Give Victory To Islaam Shaykh Muqbil Bin Hadi Al-Wadiee"
