threshold,accuracy,macro_f1,salafi_jihadi_precision,salafi_jihadi_recall,salafi_jihadi_f1,salafi_jihadi_f2
0.05,0.19455252918287938,0.10857763300760043,0.19455252918287938,1.0,0.3257328990228013,0.5470459518599562
0.06,0.19455252918287938,0.10857763300760043,0.19455252918287938,1.0,0.3257328990228013,0.5470459518599562
0.07,0.19844357976653695,0.11369436663554311,0.1953125,1.0,0.32679738562091504,0.5482456140350878
0.08,0.20233463035019456,0.12371335799703582,0.19607843137254902,1.0,0.32786885245901637,0.5494505494505495
0.09,0.20622568093385213,0.13345864661654136,0.1968503937007874,1.0,0.32894736842105265,0.5506607929515418
0.1,0.2140077821011673,0.1480005547981106,0.1984126984126984,1.0,0.33112582781456956,0.5530973451327433
0.11,0.22178988326848248,0.15817025278139793,0.20080321285140562,1.0,0.33444816053511706,0.5567928730512249
0.12,0.2490272373540856,0.2002096376845706,0.2074688796680498,1.0,0.3436426116838488,0.5668934240362812
0.13,0.26459143968871596,0.22670262199673963,0.211864406779661,1.0,0.34965034965034963,0.573394495412844
0.14,0.2840466926070039,0.2594180542322641,0.2183406113537118,1.0,0.35842293906810035,0.5827505827505828
0.15,0.311284046692607,0.2950963671127394,0.22624434389140272,1.0,0.36900369003690037,0.5938242280285035
0.16,0.3346303501945525,0.3293144172642995,0.23113207547169812,0.98,0.37404580152671757,0.5946601941747572
0.17,0.35797665369649806,0.35536882771942535,0.23880597014925373,0.96,0.38247011952191234,0.5985037406483791
0.18,0.3968871595330739,0.3997740468328704,0.2553191489361702,0.96,0.40336134453781514,0.6185567010309279
0.19,0.43190661478599224,0.436055397069222,0.26857142857142857,0.94,0.4177777777777778,0.6266666666666667
0.2,0.46303501945525294,0.4601752761637701,0.2795031055900621,0.9,0.4265402843601896,0.6232686980609419
0.21,0.48638132295719844,0.4776369301970213,0.2894736842105263,0.88,0.43564356435643564,0.625
0.22,0.5369649805447471,0.5216208228398912,0.31654676258992803,0.88,0.4656084656084656,0.6489675516224189
0.23,0.5680933852140078,0.5448632457605539,0.33858267716535434,0.86,0.4858757062146893,0.6574923547400612
0.24,0.5992217898832685,0.5766137055915261,0.3644067796610169,0.86,0.5119047619047619,0.6761006289308176
0.25,0.6264591439688716,0.6023974358974359,0.39090909090909093,0.86,0.5375,0.6935483870967742
0.26,0.6536964980544747,0.6239686695562253,0.4158415841584158,0.84,0.5562913907284768,0.6976744186046512
0.27,0.6848249027237354,0.6498922461186613,0.45161290322580644,0.84,0.5874125874125874,0.7167235494880546
0.28,0.7003891050583657,0.6660219076077513,0.4883720930232558,0.84,0.6176470588235294,0.7342657342657343
0.29,0.7042801556420234,0.6699456607853554,0.5061728395061729,0.82,0.6259541984732825,0.7295373665480427
0.3,0.7120622568093385,0.676826690821256,0.5256410256410257,0.82,0.640625,0.737410071942446
0.31,0.7276264591439688,0.6911831957524318,0.5694444444444444,0.82,0.6721311475409836,0.7536764705882353
0.32,0.7392996108949417,0.7048484702365165,0.6029411764705882,0.82,0.6949152542372882,0.7649253731343284
0.33,0.754863813229572,0.7184800899971178,0.640625,0.82,0.7192982456140351,0.7765151515151515
0.34,0.7587548638132295,0.7222906403940886,0.6612903225806451,0.82,0.7321428571428571,0.7824427480916031
0.35,0.7509727626459144,0.7127171914843148,0.65,0.78,0.7090909090909091,0.75
0.36,0.7470817120622568,0.7067407007008141,0.6607142857142857,0.74,0.6981132075471698,0.72265625
0.37,0.7392996108949417,0.6959123530309972,0.66,0.66,0.66,0.66
