id,text
1,"[משתמש עשה ריטוויט]
""One of the beautiful things Sh Muhammad alBanna rahimahullah said to me is ""inshaaAllah we will meet in Jannah and we will remember the good there.""

In 1995 he was the best we had in Jeddah.
He was teaching Tafseer ibn Katheer, Mukhtasar Saheeh Muslim and Umdatul Ahkaam."""
2,"[משתמש עשה ריטוויט]
""Nurelhuda programme
Children busy with learning. 
Blessing from Allah. May Allah accept."
3,"[משתמש עשה ריטוויט]
""Recommended Playlist Videos for Learning Fiqh - Abdulilah Lahmami @Abdulilah_UK"
4,"[משתמש עשה ריטוויט]
""[الذّاكرُ لله تعالى في سائرِ البِقاع يكثُر شُهودُه] 
عدّدَ الإمامُ ابنُ القيّم فوائدَ ذِكر الله تعالى،منها:""الحاديةُ والسّبعون:
أنّ في دَوامِ الذِّكْرِ في الطّريقِ والبيتِ والحضَرِ والسّفرِوالبِقَاعِ؛تكثيرَ الشُّهودِ للعبدِ يومَ القِيامة؛فإنّ البُقعةَ والدّارَ والجَبلَ والأرضَ تَشْهدُ للذَّاكِرِ يومَ القِيامةِ...والذّاكِرُ لله عزّوجلّ
 في سائرِالبِقاعِ يَكْثُرُ شُهُودُه،ولعلَّهم أو أكثرهم أنْ يُقبَلوا يومَ قِيامِ الأشهادِ،وأداءِ الشّهاداتِ؛فيَفرحُ ويَغتبِطُ بشهادتِهم""
(الوابل الصَّيّب)(١٩٧-١٩٨)"""
5,"[משתמש עשה ריטוויט]
""The Path to Allāh and the Hereafter 

By Imām 'Abdur Rahmān bin Nāsir as-S'adī (d.1376AH), may Allāh have mercy upon him. 

Beautiful lines of poetry on the believer's journey back to Allāh and how they traverse that path."
6,Purification...
7,"قال الشَّوكاني - رحمه الله -:
مَن أراد الاستكثار مِن فضل الله مِن 
الحسنات؛ فليقل:
*(اللَّهمَّ اغفر للمؤمنين والمؤمنات)*
*فإنَّه يُكتب له مِن الحسنات؛*
*ما لا يحيط به حصرٌ ولا يتصوَّره فكرٌ*
*وفضل الله واسعٌ.*
  تحفة الذَّاكرين (384) ]
Supplicate for the believers"
8,"[משתמש עשה ריטוויט]
""The Mercy of Allah:"
9,"[משתמש עשה ריטוויט]
""Abandoning Differing Is From Good Islamic Character | Shaykh Al-Albani

 

____  

For Islamic reminders, benefits &amp; cancellations (WhatsApp):


Masjid Appeal – Support DuSunnah’s move:"
10,"[משתמש עשה ריטוויט]
""#فوائد من كتاب 
""تكحيل العينين بشرح عقيدة الرازيين""
لشيخنا رحمه الله تعالى 
▪️قناة شيخنا -رحمه الله- عبر [التيليجرام] ⬇️: 

نسأل الله تعالى للجميع الانتفاع بالعلم النافع والتوفيق للعمل الصالح📚"
