id,text
1,"[משתמש עשה ריטוויט]
""Refuting the Notion of Bid'ah Hasanah (Good Innovation) in Worship: Part 1 - Ibn Hajar Al-Asqalani on the Usage of the Word Bid'ah in Its Linguistic Sense"
2,"[משתמש עשה ריטוויט]
""📢 This Friday | Lesson Continues!

📖 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله 

📝 “The Twentieth Aspect: Believing that the Acts of Sorcerers and Magicians is from the Miraculous Endowments of the Righteous”

🗓 Friday 16th January ان شاء الله

🕗 7:30pm GMT | 10:30pm KSA | 2:30pm EST

🎙️ Ustādh Abu Ukkasha @Abu_Ukkaashah 

📝 Alternating Fridays with Ustādh Abu 'Ināyah Seif @Oxford_Dawah

🕌 Masjid Bin Bāz East Rd London E15 3QR

👥 All Welcome 

🌐"
3,"[משתמש עשה ריטוויט]
""قال الشَّوكاني - رحمه الله -:
مَن أراد الاستكثار مِن فضل الله مِن 
الحسنات؛ فليقل:
*(اللَّهمَّ اغفر للمؤمنين والمؤمنات)*
*فإنَّه يُكتب له مِن الحسنات؛*
*ما لا يحيط به حصرٌ ولا يتصوَّره فكرٌ*
*وفضل الله واسعٌ.*
  تحفة الذَّاكرين (384) ]
Supplicate for the believers"""
4,Self-scrutiny
5,"Must carefully examine, if you are able, everything presented to you - in your era a- s Maslahah or a pursuit in the name of Bir and Taqwah. One must safeguard himself first &amp; foremost."
6,He keeps on giving me insights and today he shared this!
7,"[משתמש עשה ריטוויט]
""Complete Playlist



Important Lessons For Every Muslim

By Imām 'Abdul 'Azeez bin Bāz (may Allāh have mercy upon him)

Read by Ustādh Abū 'Ināyah Seif (may Allāh protect him)

A highly beneficial series of 17 lessons covering 'Aqeedah (belief), Tawḥeed, matters related to acts of worship, and Islamic etiquette and manners.

These lessons are simple, beneficial, and enjoyable. We highly recommend them for new Muslims, those newly practising Islām, and for families to study together with their children on a weekly basis.

This will help provide both parents and children with a sound foundational understanding of their religion and, in-shā-Allāh serve as the beginning of a journey towards studying Islām in greater depth.

May Allāh reward our beloved teacher Abu 'Ināyah tremendously and make his efforts heavy upon his scales of good deeds."""
8,"[משתמש עשה ריטוויט]
""Last few days to lock in your seat on this Ramadan trip inshāAllāh! 

Call now at this number 07503131494 — discounts are available!"
9,"[משתמש עשה ריטוויט]
""📣📣 𝑼𝑷𝑪𝑶𝑴𝑰𝑵𝑮 𝐋𝐢𝐯𝐞 𝐓𝐚𝐥𝐤‼️

𝐓𝐡𝐞 𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐢𝐨𝐧 𝐚𝐧𝐝 𝐉𝐮𝐬𝐭𝐢𝐜𝐞 𝐨𝐟 𝐓𝐡𝐞 𝐏𝐞𝐨𝐩𝐥𝐞 𝐨𝐟 𝐒𝐮𝐧𝐧𝐚𝐡 𝐢𝐧 𝐄𝐯𝐞𝐫𝐲 𝐒𝐩𝐡𝐞𝐫𝐞 𝐨𝐟 𝐑𝐞𝐥𝐢𝐠𝐢𝐨𝐧 - Sh. Abu Iyaad Amjad Rafiq حفظه الله 

Lesson at The Salafi Centre of Manchester

We are pleased to announce an upcoming lecture by Sh. Abu Iyaad Amjad Rafiq on a vital topic for every Muslim.

📖 𝐓𝐨𝐩𝐢𝐜: The Moderation and Justice of The People of Sunnah in Every Sphere of Religion 

📅 𝐃𝐚𝐭𝐞: 𝐒𝐚𝐭𝐮𝐫𝐝𝐚𝐲 𝟏𝟎𝐭𝐡 𝐉𝐚𝐧𝐮𝐚𝐫𝐲 
⏰ 𝐓𝐢𝐦𝐞: 𝟕:𝟎𝟎 𝐏𝐌 
📍𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧: 2 Dudley Street, Manchester, M8 9DA

Can't make it in person? Join the live broadcast at: 
🌐 

👍 All are welcome to attend. 
Please share and benefit others!"""
10,"[משתמש עשה ריטוויט]
""📢 REMINDER: LESSON THIS SATURDAy

📔 THE THREE FUNDAMENTAL PRINCIPLES

🎙️Ustādh Abū ‘Abd Allāh Zubayr

🗓 This Saturday, 7th January 
Insha Allah

🕰 3:15pm-4:30pm

🏢 Conel college - Tottenham High road, London N15 4RU

🔹 All welcome

📺 Tune in via:"
11,"“Reviving the Manners and Morals of the Prophet ﷺ and the Early Salaf.” 
PLAYLIST - SalafiPublications Winter Conference 2025."
12,"Among The Robust Principles and Admonitions Al-Allamah Rabee Bin Hadi Al-Mad'khali, may Allah have mercy upon him, Left Behind"
13,"[משתמש עשה ריטוויט]
""Shaykh Rabīʿ Bin Hādī on Reckless Bigotries: ‘Do Not Abandon Me and Refer to Other Shaykhs’"
14,Sins breed other sins!
15,"[משתמש עשה ריטוויט]
""Ibn al-Qayyim: Accepting the Truth From Wherever and With Whomever it is Found"
16,"[משתמש עשה ריטוויט]
""O student of knowledge! Caution! Different types of false views. May Allah protect us all Amin."
17,"[משתמש עשה ריטוויט]
""Propagandists in the Guise of Advice and Dawah on Twitter Find These Reiterated Clarifications Bitter to Swallow"
18,Reflect
19,"[משתמש עשה ריטוויט]
""Shaykh Rabīʿ Bin Hādī: Disparagement and Appraisal Are Made In Accordance With A Methodology and Principles, Not Statuses of Scholars"
20,
21,"[משתמש עשה ריטוויט]
""Regarding the Nature of the Excellence of the Arabs and the Saying of the Shuʿūbiyyah"
22,"[משתמש עשה ריטוויט]
""🌟25 WELLS BEFORE RAMADĀN🌟

With Allāh’s Permission, we intend to establish 25 NEW WELLS before Ramadān in the following countries

🌟 #Bangladesh
🌟 #Gambia
🌟 #Indonesia
🌟 #Somaliland
🌟 #SriLanka
🌟 #Uganda

Ref:25Wells

Along with…
🌟GAMBIA WELL REPAIRS🌟

Ref:WellRepairs

DONATION DETAILS ⬇️

PayPal Link 🔗 


DonorBox Link 🔗 


UK & INTERNATIONAL BANK TRANSFERS

💥(UK) Santander
Sc: 09 01 29
Acc No: 20 27 46 90
Acc Name: City Centre Dawah

💥International Bank Account Number (IBAN)
GB88ABBY09012920274690

💥SWIFTBIC: ABBYGB2LXXX"""
23,
24,"[משתמש עשה ריטוויט]
""For the many brothers asking about the condition of my mother, it is with a heavy heart and a burdened soul that I say that my mother returned to her Lord in the early hours of this morning. Indeed the eyes shed tears and the heart feels grief but we do not say except that which pleases our Lord. I ask that Allah shower her with His mercy and enter her into Jannatul Firdous Al A’laa 
إنا لله و إنا إليه راجعون"""
