id,text
1,"[משתמש עשה ריטוויט]
""A Poem on the Etiquette of the Student of Knowledge

By the Noble Scholar Ahmad al-Najmi (may Allah have mercy upon him)."
2,"[משתמש עשה ריטוויט]
""Why Iran or their proxy networks can never be trusted to aid the Palestinian plight.

In order to fully grasp the reality of Iran we will concisely prove why they cannot be trusted: religiously, historically and geopolitically.

May Allah protect the honorable Palestinian people."
3,"[משתמש עשה ריטוויט]
""📢 New Audio!

📕A supplication that every Muslim should memorize. 

📍It covers all the good of this world &amp; the next. 

🎙Audio &amp; text

👤 Read by Shaikh Hassan Somali"
4,"[משתמש עשה ריטוויט]
""Beneficial lesson by one of the senior scholars, al-ʿAllāmah Sh Salih Āl al-Shaykh:

“The Comprehensive Principles for Understanding the Evidences of Tawhid of Worship.”

If someone is able to translate it and share clips, it would be beneficial."
5,"[משתמש עשה ריטוויט]
""The Only Competition That Truly Matters: Are You In It ?

Shaykh Hassan Somali 

Khutbah 01/09/2026"
6,"[משתמש עשה ריטוויט]
""Join us March 27-29, in'shā-Allāh for a weekend if knowledge @AbuHafsahKK @Mustafa_George @RahaBatts @MTWSNC and Sh. Abul-Hasan Malik"
7,"[משתמש עשה ריטוויט]
""📢 Conference Schedule 📢

The full schedule for our upcoming conference with Shaykh Dr. Khalid al-Dhafiri @almadani_k is now available. Please see the poster for full details."
8,"[משתמש עשה ריטוויט]
""A book that changed lives, by the permission of Allah.

The scholar Abu Samh  ‘Abdul Dhahir b. Muhammad (d. 1370h) mentioned that the first book through which Allah guided him to the truth was:

📖 The Disease &amp; The Cure by Imam Ibn al-Qayyim"
9,"[משתמש עשה ריטוויט]
""[2 Lectures] The Importance of Good Eating - Abul-Hasan Malik @IbnAkhdar"
10,"[משתמש עשה ריטוויט]
""Surah Al-Kahf | Recitation by Shaykh ʿUbayd al-Jābirī رحمه الله

___    

Help Support The Masjid Expansion. 
Don't miss out on the reward. 
Donate via"
11,"[משתמש עשה ריטוויט]
""📢NEW📢

✨ Alhamdulillah! We are delighted to announce that our esteemed Shaykh Dr. Khalid Al-Dhafiri @almadani_k will be joining us for another inspiring conference, Inshaa Allaah.

🗓 Friday, 2nd – Sunday, 4th January 2026

Brothers &amp; Sisters are welcome

Details on poster ⬇️"
12,"[משתמש עשה ריטוויט]
""Biography of Imam Ibn Al-Qayyim Shaykh Abu Hakeem Bilal @AbuHakeemBilal 

Starting Dhuhr tomorrow insha Allah:

🇺🇸 Philadelphia ➡ 12:15 PM
🇬🇧 London ➡ 5:15 PM
🇸🇦 Makkah➡ 8:15 PM"
13,"[משתמש עשה ריטוויט]
""Alhamdulillāh the Conference is well under way, may Allāh reward all the attendees, volunteers. Currently over 1200 people tuning in to Shaikh @AbuIyaadSP online, with thousands more in-person. 

We have 2 more lectures to go for today, and another day of lectures tomorrow!"
14,"[משתמש עשה ריטוויט]
""The first lecture of the 2025 Winter Conference in Birmingham kicks off in a couple of hours with Sh. @Abdulilah_UK inshā’Allāh

We ask Allāh's tawfīq, and we hope that everyone benefits, whether joining us in-person, or tuning in at  Allāh bless you all!"
15,"[משתמש עשה ריטוויט]
""💎 Your Awe of Allāh Should Supersede Your Awe of Any Man; Regardless of their Haybah (Prestige, and Reverential Fear & Awe that the People Have for them).

""...So Abū Saʿīd Al-Khudriyy (radhiyallāhu anhu) began to weep, and he said: 'Verily we saw things, and we were prevented by fear and awe.' And in another narration he said: 'I wished that I had never heard this...'""

Containing excerpts from the speech of the Salaf, as well as Imām Al-Albāni's amazing commentary (rahimahullāh) upon the hadīth of Abū Saʿīd Al-Khudriyy (radhiyAllāhu anhu), regarding the importance of placing the truth before all else.

[Full PDF (4 pages) here 👉🏽"
16,"[משתמש עשה ריטוויט]
""📖 Preliminary Schedule Winter Seminar 1447 AH | 2026

From Disease to Remedy
The Path to Healing &amp; Rectification

The Disease and the Cure: Imām Ibn al-Qayyim

• Familiarize themselves with the themes
• Begin reading ahead

May Allah bless this conference and the community."
17,"[משתמש עשה ריטוויט]
""💥New💥

📃𝗧𝗲𝗻 𝗦𝘁𝗲𝗽𝘀 𝗧𝗼 𝗔𝗶𝗱 𝗧𝗵𝗲 𝗥𝗮𝗶𝘀𝗶𝗻𝗴 𝗼𝗳 𝗨𝗽𝗿𝗶𝗴𝗵𝘁 𝗖𝗵𝗶𝗹𝗱𝗿𝗲𝗻

A Summary of Points taken from the Book ❝Asbāb Istiqāmatul Shabāb❞ 

By Shaykh Zayd ibn Hādī al-Madkhalī رحمه الله 

May Allah bless it &amp; make it beneficial for all parents آمين"
18,"[משתמש עשה ריטוויט]
""Whoever considers his speech as part of his actions will speak little, except in matters that concern him.

من عد كلامه من عمله قل كلامه إلا فيما يعنيه

‘Umar b. ‘Abd al-‘Aziz"""
19,"[משתמש עשה ריטוויט]
""📣 MONTHLY LESSON THIS SATURDAY

📕 Faḍlul Islām by Imām Muḥammad ibn ʿAbdil-Wahhāb

📝 Explanation by Shaykh Ibn Bāz

🎙️ Delivered by Ustādh Abū ‘Ukkāshah

📅 Saturday | Isha 19:30

📍 Masjid Ibn Seereen

📻 Listen live: 

All welcome!"
20,"[משתמש עשה ריטוויט]
""إنا لله وإنا إليه راجعون 
لله ما أخذ، وله ما أعطى، وكل شيء عنده بأجل مسمى، فاصبر واحتسب،
عظم الله اجركم 
اسال الله ان يدخلها في الجنة الفردوس الأعلى."""
21,"[משתמש עשה ריטוויט]
""For the many brothers asking about the condition of my mother, it is with a heavy heart and a burdened soul that I say that my mother returned to her Lord in the early hours of this morning. Indeed the eyes shed tears and the heart feels grief but we do not say except that which pleases our Lord. I ask that Allah shower her with His mercy and enter her into Jannatul Firdous Al A’laa 
إنا لله و إنا إليه راجعون"""
22,"[משתמש עשה ריטוויט]
""May Allah, the Most Merciful, cure the mother of Shaykh Abu Hakeem @AbuHakeemBilal, who is seriously ill in hospital. 

O Allah, remove her hardship, heal her completely, and grant strength and patience to her family."""
23,"[משתמש עשה ריטוויט]
""May Allah protect the community at @MasjidAshShura 

Someone vandalized the Masjid by drawing crosses on its walls.

As Islamophobia continues to rise, it’s vital for our communities to remain vigilant."
24,"[משתמש עשה ריטוויט]
""📣 MAW ❄️ Winter 2025 Seminar 

Studying the monumental text:

منظومة القواعد الفقهية
Poem on the Legal Maxims of Fiqh (Islamic Jurisprudence) 

Authored by Shaykh Abd Al-Rahmān ibn Nāsir As-Sa’di (رحمه الله)

Our Esteemed Guest:
Shaykh Abū Ḥakīm Bilāl Davis @AbuHakeemBilal 
(from the UK - in person)

The text will discuss some of the universal legal fiqh principles and maxims that govern Islamic Jurisprudence.

Wednesday, December 10th – Sunday, December 14th, 2025 

Starting Wednesday, after Isha (6:20pm CST) إن شاء الله. 

📍Location: Masjid al-Wahyain MN
670 Payne Ave, St. Paul, MN 55130"""
