id,text
1,"[משתמש עשה ריטוויט]
"""
2,"[משתמש עשה ריטוויט]
""শবে মি'রাজ কি উদযাপন করা উচিত আর এর সাথে সম্পর্কিত কি নির্দিষ্ট কোনো ‘ইবাদত আছে?

ইমাম ‘আব্দুল আযীয বিন বায (রাহিমাহুল্লাহ)"
3,"[משתמש עשה ריטוויט]
""“We Need a Ramadhaan!”– By Abu Uwais ‘Abdullah ‘Alee (rahimahullaah)"
4,"[משתמש עשה ריטוויט]
""দশম দারস

মানহাজুস সালিকীন (ফিক্বহ)
লেখক: শাইখ আব্দুর রহমান নাসির আস-সা'দী"
5,"[משתמש עשה ריטוויט]
""ইসলামে মৃত্যু থেকে দাফন পর্যন্ত জানাযার বিধান সম্পর্কিত একটি সহজ নির্দেশিক

লেখক: আবু খাদীজাহ আবদুল-ওয়াহিদ আলাম"
6,"[משתמש עשה ריטוויט]
""Ibn Taymiyyah: ""How many are those who seek highness whilst this pursuit only increases them in lowliness."" السياسة الشرعية (p. 237)."""
7,"[משתמש עשה ריטוויט]
""উসমান-এর আযান রাদ্বিয়াল্লাহু আনহু

বায়ান তালবীস আল-হাজাওয়িরাহ

আহলুস সুন্নাহর অতীত ও বর্তমান যুগের আলেমদের তাহক্বীক্বের আলোকে ইয়াহইয়া আল-হাজুরী এবং তার হাদ্দাদী অনুসারীদের দাবির বিরুদ্ধে উসমান (রাদ্বিয়াল্লাহু আনহু)-এর প্রতিরক্ষা



@AbuIyaadSP"
8,"[משתמש עשה ריטוויט]
""Alhamdulillāh, we have completed the study of 'Manhajus Salaf as-Salih wa' Hajatul Ummati Ilayhi' of Shaykh Sālih Al-Fawzān (hafizahullāh).

May Allāh reward the author, the explainer, the translator and the learners with good in this life and the next."
9,"[משתמש עשה ריטוויט]
""SOUTH ASIA CYCLONE & MONSOON APPEAL

UK & INTERNATIONAL BANK TRANSFERS

💥(UK) Santander
Sc: 09 01 29
Acc No: 20 27 46 90
Acc Name: City Centre Dawah

💥International Bank Account Number (IBAN)
GB88ABBY09012920274690

💥SWIFTBIC: ABBYGB2LXXX

PayPal Link 🔗


DonorBox Link 🔗 


Ref: SLFloodAppeal"""
10,"[משתמש עשה ריטוויט]
""সালিহ বিন মিহরান আশ-শায়বানী (রাহিমাহুল্লাহ) বলেছেন:

“কোনো কারিগর তার সরঞ্জাম ব্যতীত তার কারিগরি চর্চা করতে পারে না আর ইসলামের সরঞ্জাম হলো ইলম।”

উৎস: ত্বাবাক্বাত আল-মুহাদ্দিসীন বি-আসবাহান (২/২১৬) (পৃ. ২৬)"
11,"[משתמש עשה ריטוויט]
""নবী (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন:
“প্রতিটি ধর্মের একটি বৈশিষ্ট্য আছে আর ইসলামের বৈশিষ্ট্য হলো আল-হায়া [শালীনতা]।”
উৎস: সিলসিলাহ আল-আহাদীস আস-সাহীহাহ (নং  ৯৪০)"
12,"[משתמש עשה ריטוויט]
""অষ্টম দারস

মানহাজুস সালিকীন (ফিক্বহ)
লেখক: শাইখ আব্দুর রহমান নাসির আস-সা'দী"
13,"[משתמש עשה ריטוויט]
""Birmingham Lesson Schedule @MasjidSalafi | @AstonMasjid"
14,Fitnah arises either due to abandoning the truth or by abandoning patience.
15,"[משתמש עשה ריטוויט]
""নতুন দারস! শুরু: ২১/১১/২০২৫

সালাফে সালিহীনের মানহাজ এবং উম্মতের জন্য এই মানহাজের প্রয়োজনীয়তা

শাইখ সালিহ আল-ফাওযানের (হাফিযাহুল্লাহ) ""মানহাজুস-সালাফ
আস-সালেহ ওয়া হাজাতুল উম্মাতি ইলাইহি"" থেকে আলোচনা

প্রতি শুক্রবার: সকাল ১১টা-দুপুর ১২টা

বক্তা:
রাকিব বিন আব্দুল জলিল (হাফিযাহুল্লাহ)

আসুন! সালাফে সালিহীনের মানহাজ এবং উম্মতের জন্য এই মানহাজের প্রয়োজনীয়তা সম্পর্কে জানুন!

এই দারসগুলো আমাদের YouTube @markaztahawee চ্যানেলে আপলোড করা হবে। চ্যানেলটি সাবস্ক্রাইব করে পাশে থাকুন।"""
