id,text
1,"Seems like the younger brother of Mullah Dadullah (called Akhtar Mansoor Dadullah) was not like Mullah Dadullah.

Mullah Umar hated Mansoor Dadullah and kicked him out of Waziristan for spilling blood in 2007/2008.

OBL also warned against Mansoor Dadullah being oppressive."
2,"Any Talib spilling innocent blood in Waziristan is not one of us and may he be condemned to Hell for kidnapping family members of police officers for money.

This was with Mansoor Dadullah and some IMU militants."
3,"🪵Some untold histories of Jihadi politics Part 5:

Mansoor Dadullah. 
He was the younger brother of Mullah Dadullah. He was not happy with the leadership changes in IEA and eventually turned against IEA and that led him to his doom.

But some misconceptions need to be cleared."
4,"Another deviant Taliban was called Muhammad Rasul who also rejected Mullah Hibatullah. But in 2021 he surrendered and admitted he was wrong.

He gave bayah to IEA in 2021 again and his faction rejoined IEA.

He is still alive today but no longer military active."
5,"I don't know what Mansoor Dadullah did in Waziristan but Mullah Umar really hated him for some reason.

This was the news piece related to Mullah Umar warning everyone about Mansoor Dadullah."
6,"[משתמש עשה ריטוויט]
""A Commentary by an Arab Scholar on the Book “Tatimmat al-Niẓām” by Chief Justice Sheikh Abdul Hakim Haqqani of the Islamic Emirate

This book encompasses comprehensive knowledge of the judicial system in Islam, covering its history from the Prophetic era to the era of the Islamic Emirate.

It has also been translated into Turkish and Bengali."""
7,"Sayyid Qutb was the opposite of Mustafa Kemal

Mustafa Kemal abolished Shariah, seperated religion from governance and made women rights to rule.

Sayyid Qutb completely reversed his work and made his theology that the only acceptable Islam is political Islam with shariah."
8,"Sayyid Qutb's project was a mixture of Rashidun Caliphate, Ibn Taymiyya works, Jihadi conquests, historic Islamic fitnah civil wars and Muhammad ibn abdul Wahhab work.

His version of Islam was mainly political Islam opposed to tyrants and Shariah can truly free societies."
9,"Sayyid Qutb interpetation that political Islam can truly free societies has been adopted by some groups nowadays.

When you lookup ideology of AQ, ISIS and others then you find Qutbism in it.

Sayyid Qutb directly influenced people like Abdullah Azzam &amp; OBL"
10,"AQ terror organization was quoting Sayyid Qutb (may Allah have mercy on him)

""The individual that testifies to the Prayer Unity and Oneness of Allah in every Prayer refuses to submit to even an inch of a tyrant oppressor."""
