id,text
1,"[משתמש עשה ריטוויט]
""Truthfulness with Allāh and His creation will save a person in this life and in the Hereafter. 

Allāh, the Most High, says:
هَٰذَا يَوْمُ يَنفَعُ الصَّادِقِينَ صِدْقُهُمْ
""This is the Day when the truthful will benefit from their truthfulness."" [Sūrah al-Māidah, verse no.119]"
2,"[משתמש עשה ריטוויט]
""Imām Rabī' bin Hādī said:

""If you see yourself refusing (to accept) the truth if it comes from a particular party, and you accept falsehood if it comes from a particular party and you deem it to be the truth, then know that your heart is diseased!""

📚 Asnāf Al-Qulūb (pg. 12)"""
3,"[משתמש עשה ריטוויט]
""LIVE now via"
4,"[משתמש עשה ריטוויט]
""Imam Bukhari’s Advice to His Student: Knowledge is Better than Entertainment and Business

Muhammad ibn al-Abbas al-Firabri said:

One day, Imam al-Bukhari narrated to me a great number of hadiths, and he feared that I might become bored [or tired], so he said: ‘Be happy [and content], for those who spend their time on entertainment are busy with them, those skilled in crafts are busy with their work, and businessmen with their trade, while you are with the Prophet (sallallahu alayhi wa sallam) and his Companions.”

So I said: There is none of these, may Allah have mercy on you, except that I see myself in a better state.

(Siyar A‘lam al-Nubala 12/445)"""
5,"[משתמש עשה ריטוויט]
""🔊 Ten Ill Effects of Being Undutiful to Your Parents. 

🎙️ Sh Uways At-Ṭaweel | @uwaysT"
6,"[משתמש עשה ריטוויט]
""🔊 Unifying the Ranks of Ahlus-Sunnah in Light of the Quran and Sunnah.
 
🎙️ Abu Khadeejah ‘Abdul Wāḥid | @AbuKhadeejahSP"
7,"[משתמש עשה ריטוויט]
""🔊 The Pursuit of Worldly Glitter, Pomp, and Rank Leads to Dishonour.
 
🎙️ By Abu Idrees Muḥammad Khān | @AbuIdrees"
8,"[משתמש עשה ריטוויט]
""[2006] Selected Chapters from Kitāb At-Tawhīd 
- Chapter: The Chosen Messenger Protecting Tawhīd &amp; Blocking Every Path That Leads to Shirk  
- By Al-‘Allāmah ‘Abdullāh Al-Ghudayyān Raḥimahullāh - Translated by Abu Ṭalhah Dawood Burbank Raḥimahullāh"
9,"[משתמש עשה ריטוויט]
""[From the Signs of Sincerity and Humility]

Al Imaam Ash- Shaafi’ee said: “ I have never had a discussion with anyone whilst wanting them to be wrong. There is not a piece of knowledge in my heart except I loved that others possessed it....without it being attributed to me.”"
10,"[משתמש עשה ריטוויט]
""Abū ʿUmar Fārūq (رحمه الله): A Sāhib al-Sunnah who loved ʿilm and the ʿulamā. His passing is a great loss and his likes are much needed."
