id,text
1,"[משתמש עשה ריטוויט]
""تبدأ دُروس شيخنا من هذا الأسبوع بإذن الله"
2,"[משתמש עשה ריטוויט]
"""
3,"[משתמש עשה ריטוויט]
""كلمة توجيهية لفضيلة الشيخ الدكتور عرفات بن حسن المحمدي حفظه الله : {مراتب المؤمنين}"
4,"[משתמש עשה ריטוויט]
""All the lessons from the conference with @AbuMuadhTaqweem were reuploaded with higher quality recordings:"
5,"[משתמש עשה ריטוויט]
""[إذا تَمَّ العَقلُ نَقصَ الكلامُ]
أخرج الخطيبُ في(الفقيه والمُتفقّه)(٢/ ٥٢)بسنده عن عبدِاللَّهِ بنِ المُعْتزِّ قوله:""إذا تَمَّ العَقلُ نَقصَ الكلامُ،وإِنْ بَدَرَتْ مِن خَصْمِه في جِدَالِه كلمَةٌ كرِههَا؛أغْضَى عليها،ولَمْ يُجَازِه بمِثْلِها؛فإنّ اللَّهَ تعالى يقولُ{ادْفَعْ بالَّتِي هِيَ أحْسَنُ السَّيِّئَةَ}،وقال تعالى{وإذَا خَاطَبَهُمُ الجَاهِلُونَ قَالُوا سَلَاماً}"""""
6,"[משתמש עשה ריטוויט]
""📹 محاضرة مرئية بعنوان:

📚 الإنحراف عن الحق وأسبابه

🎙️لفضيلة الشيخ أ. د.
 عبداللّٰه بن عبدالرحيم البخاري
حفظه اللّٰه

🗓️ والتي أقيمت يوم الخميس ١٤٤٧/٧/٥ه‍

🕌بجامع سيد الشهداء بالمدينة النبوية

📺 للمشاهدة"
7,"[משתמש עשה ריטוויט]
""Its clear. Salafis want ilm &amp; ulamaa, knowledge &amp; scholars to clarify for them. They want teachers who have spent real time at the feet of scholars, to share knowledge &amp; manners. They are sick of social media controversy, false accusations &amp; obnoxious egotism. Al-hamdu lillah."""
8,"[משתמש עשה ריטוויט]
""Some people on social media: 

Pass Fatawa about global events like senior scholars. 

Discuss military matters like generals.

Issue directives like rulers. 

Amazingly they fall into none of these categories. 

The semi qualified (or unqualified) are responsible for the chaos."""
9,"[משתמש עשה ריטוויט]
""[مِنْ توفيقِ الله للمَرءِ مُجالستُه إمامَ سُنّةٍ]
قال الإمامُ أبو داود:""قال حمّادُ بنُ زيدٍ:كان الخليلُ-أي الفراهيديّ-يَرى رأي الإباضيّةِ؛حتّى مَنَّ اللهُ عليه بِمُجَالَسَةِ أيّوب""
وهو السّختيانيّ
(سُؤالاتُ الآجريّ للإمامِ أبي داود)(٢/رقم١٤٣٩)
وينظر(تهذيب الكمال)(٨/ ٣٢٧)"""
10,"[משתמש עשה ריטוויט]
""(PDF) Workbook – Kitāb al-Fitan (Ṣaḥīḥ al-Bukhārī)

This workbook can be used during the upcoming conference with @AbuMuadhTaqweem in-shā'-Allāh.

Download link:"
11,"[משתמש עשה ריטוויט]
""Winter Seminar 2025

From Disease to Remedy:
The Path to Healing and Reconciliation

📅 Schedule for Sunday December 28, 2025"
12,"[משתמש עשה ריטוויט]
""📢 Conference Update

📞 Telephone Lecture by Shaykh Khalid al-Dhafiri (from the scholars of Kuwait)

Friday 26th December 

🕒 3:00 PM (USA) | 🕗 8:00 PM (UK) - insha Allah!"
13,"[משתמש עשה ריטוויט]
""محاضرة الخميس لفضيلة شيخنا العلامة عبد الله بن عبد الرحيم البخاري حفظه الله."""
14,"[משתמש עשה ריטוויט]
""We are required to stop our brothers when they transgress. Remember the hadeeth which means: ""Aid your brother, whether he oppresses or is oppressed.""

Think carefully about your betrayal when you are too weak or shy to show real love & concern by telling your brother, ""No, let's not take this course of action. Let's rethink this. Let's consult our scholars, etc."" 

Consider that your weakness & failure to uphold real brotherhood contributes to his corruption. You empower a transgressor & enable him. When you fail to step in, your shyness or weakness is truly harmful, and all people involved suffer.

If it is someone involved in da'wah, it harms the da'wah & the people who carry it. It harms the transgressor & his victims. Look how transgressions snowball, from minor violations of the rights of students of knowledge, eventually into open attacks on the scholars.

People who love this da'wah: Man up, seek Allah's Assistance, & speak with the noble words which Allah commands His believing worshippers to say:

يا أيها الذين آمنوا اتقوا الله وقولوا قولا سديدا
""O you who believe! Have taqwaa of Allah & speak with words of truth, firmly grounded & to the point...""

May Allah bless the tongue & pen of every sincere advisor & the heart of every erroneous person being advised. May Allah save us from transgression & terrible trials & may He grant us firmness & steadfastness upon what He loves."""
