id,text
1,"Remember this rule: when any scholar before Bin Baz &amp; Albani mentions the word istihlal in cotext of Hakimiyyah, they also mean replace/tabdil/istibdal/refusal of adherance etc."
2,"Alhamdulillah

Its without a doubt now that Shaykhul Islam meant here that 

‘the one who replaces the Shari’ah is a kafir by ijma. As proven by [ayah of hukm in Ma’idah], as tabdil = istibdal = istihlal which is kufr’"
3,
4,"[משתמש עשה ריטוויט]
""التبيين لمخاطر التطبيع على المسلمين للشيخ المحدث ناصر بن حمد الفهد:


حكم التطبيع مع العدو اليهودي المحتل لفلسطين وبيان مخاطره على المسلمين للشيخ الدكتور صالح حسين الرقب:"
5,"[משתמש עשה ריטוויט]
""How many nullifiers does legislating manmade laws entail?

1. Setting yourself up Taghut &amp; Shirk in Ta'ah &amp; Hukm (Ibn al-Qayyim, MiAW, Shinqiti)
2. Istihlal (Ibn Uthaymeen)
3. Wala' to kuffar (Ibn Taymiyyah, Fawzan)
4. Mockery (Ibn Uthaymeen)
5. Ta'ifah Mumtani'ah (Ibn Taymiyyah)"""
6,"[משתמש עשה ריטוויט]
""Further classifications

Kufr Akbar

Democracy
21. Believing in democracy, secularism, communism &amp; other conventions/systems
22. Puting yourself forward for a democratic election, being party of a party
23. Voting in a democratic election, or for legislature, bills &amp; constitution"""
7,"Where did I get from 20+ categorisation of hukm bighayr ma anzal Allah &amp; Ibn Taymiyyah’s classifications?

I thought it was my own idea but I must’ve read it from these scholars; Sh Abi Ulaa bin Rashid &amp; Sh Khalid Al-Maradhy Al-Ghamidy"
8,
9,
10,"[משתמש עשה ריטוויט]
""Scholars have classified around 20+ types of ḥukm bi-ghayr mā anzal Allāh &amp; taḥākum ilā ṭāghūt into different categories: 

16 constitute kufr akbar (some of these are ṭāghūt i.e. from Tawhīd to takfīr) 
1 is kufr aṣghar 
1 falls under ikrāh 
1 gets one reward 
1 is sinful"""
11,"[משתמש עשה ריטוויט]
""Different types of ḥukm bi-ghayr mā anzal Allāh Shaykhul Islam Ibn Taymiyyah rh categorises as major kufr:

- Istihlal of ruling by other than Shariah
- Not doing iltizām of ruling by what Allah has revealed
- Imtināʿ from ruling by Allah’s laws in matters of blood, wealth etc."""
12,"[משתמש עשה ריטוויט]
""- تصحيح مفاهيم .."
13,"[משתמש עשה ריטוויט]
""🧵 The Wahhābī assault on Karbalāʾ: A complete history

I think Daniel Haqiqatjou might be suffering from a severe case of Stockholm Syndrome, he keeps getting rinsed with the facts but insists on coming back for another round with the sandal 🩴.

In any case, this thread is a comprehensive history of the Wahhābī assault on Karbalāʾ in 1802.

[1] The Ottoman violation of the treaty between them and the First Saudi State
[2] The Shīʾī attack on a group of civilian Wahhābī caravans
[3] The Ottomans’ refusal to punish the perpetrators
[4] The Saudi advance towards Karbalāʾ
[5] The Wahhābīs did not attack civilians
[6] Karbalāʾ had become a refuge for worst elements in society
[7] The Wahhābī assault only lasted for a few hours"""
14,"[משתמש עשה ריטוויט]
""Saʾūd Ibn ʿAbd al-ʿAzīz was to the First Saudi State what Khālid Ibn al-Walīd was to the Khulafāʾ al-Rāshidīn.

Saʾūd was a man of great piety and jealousy for the religion of Allāh, a leader who would always seek peace and would never violate an agreement.

Yet when he fought, he fought hard. He was a military genius who never lost a battle, a commander whose bravery was unmatched, a leader whose letters and actions struck fear into the hearts of the enemy.

His campaigns were nothing but major successes for the daʾwah, leading his soldiers from victory to victory, conquering land after land.

He passed in 1814, four years before the destruction of the First Saudi State in 1818, at the ripe old age of 66.

I personally believe that had Saʾūd lived to witness the campaign of Ibrāhīm Pāshā against al-Dirʿiyyah, the Wahhābīs would’ve been victorious. Ultimately we accept whatever the decree of Allāh brings."""
15,"[משתמש עשה ריטוויט]
""Sheikh Mustafa Canood, an extremist preacher often labeled a Khawarij, said he has never seen Al-Shabab directly target Somaliland. Their closest to establishing presence was limited to Bari region, not within Somaliland.

He added that the group has targeted areas with stronger security and intelligence.

Hargeisa’s only terrorist attack occurred in 2008 under the direction of Aden Ayrow, who was killed that same year before Ahmed Abdi Godane, a Hargeisa native, assumed full control. Since then, under Godane and his protege Ahmed Diriye, Al-Shabab has not attacked Somaliland."""
16,"[משתמש עשה ריטוויט]
""A Syrian i met asked me about ""Ard al-Somal"" or Somaliland in arabic

When i told him the full script wallahi he said ""these people are just like the Druze"""""
17,"[משתמש עשה ריטוויט]
""Daniel Jou: ""Ibn Taymiyah was upon major kufr""

Muslims: ""What?! And, ur Khomeni tht clearly says imams control every single atom of entire universe was upon tawhid &amp; not on kufr?""

Jou: ""Correct. The statements of Imam Khomeni are not kufr at all. He didn't have the intentions""."
18,"[משתמש עשה ריטוויט]
""When I say I’m Muslim, This is what I mean

I love all of the ones here for their Aqeedah and manhaj and indeed their Aqeedah and manhaj is the same.

As for their differences, then I am not concerned about it as to not wanting to create an unnecessary tension.
+"
19,"While Sh Bin Baz rh did view legislating manmade laws to be kufr duna kufr, however, he did view some to be kufr within itself without istihlāl, e.g. making Muslims &amp; Christians citizens equal &amp; allowing consensual zina

Unfortunately, most constitutions include these articles"
20,"[משתמש עשה ריטוויט]
""In 2014, Real Madrid won the UCL and Carlo Ancelotti was sacked the following season in 2015.  
Florentino Pérez signed Liverpool legend Rafa Benítez, who was sacked six months later.  
Zinedine Zidane was promoted from Castilla to manage the first team, and Real Madrid were knocked out early in the Copa del Rey but went on to win the three-peat.

Ten years later:  
In 2024, Real Madrid won the UCL and Carlo Ancelotti was sacked later in 2025.  
Florentino appointed Liverpool legend Xabi, who was sacked six months later.  
A Castilla manager has also been appointed, and Real Madrid have been knocked out of the Copa del Rey.

Are you thinking what I’m thinking?"""
21,"Who do I trust more when it comes to Tawheed Hakimiyyah; Murji' Haddadis or Ashari/Maturidis?

Unequivocally, the Ashari/Maturidis, as alot can clearly see the kufr of manmade laws"
22,
23,
24,"[משתמש עשה ריטוויט]
""Found a book written by the son of Mufti Ibn Ibrahim rh &amp; the father of Sh Saleh Aal-Sheikh

He goes into depth in Hakimiyyah &amp; says that its one of the usool of the Da'wah of his grandfather, Sh Muhammad Ibn AbdulWahhab rh

Quotes same references as we do &amp; affirms Mufti's fatwa"
25,"Its crazy how some of the Murji’ah are still claiming Mufti Ibn Ibrahim, when his own son, his actually closest student, is clearly saying exactly what the Muslims say

He’s the father of Sh Saleh Āl-Shaykh &amp; was a big scholar himself

All the Āl-Shaykh are on Hakimiyyah Maxxing"
26,
27,"The 2 Qurtubis on replacing Shari’ah

Qurtubi, the mufassir: Tabdīl = Istibdāl = Istihlāl, the one who replaces has made istihlāl

Qurtubi, the muhaddith: Abandonment of establishing Asl of the Deen i.e. not establishing Salah or applying Hudūd = Kufr = Ruler is deposed by ijma"
28,"Question : Is the athar of Ibn Abbas ra a hujjah for not making takfir of those who legislate manmade laws?

Answer: Unequivocally no, according to 1930s-1970s scholars 

- Mufti Ibn Ibrahim
- Sh Ahmed &amp; Mahmud Shakir
- Sh Muhammad Amin Shinqiti
- Sh Abdurrahman al-Dawsari

🧵"
29,Sh Abdurrahman al-Dawsari rh
30,Sh Muhammad Amin Shinqiti rh
