id,text
1,"LIARS WILL BE TRUSTED 
@InstituteGC 

CRIMINAL BLAIR will bring peace after lying and killing iraqis. 

May Allah destroys him and all who participated"
2,"lol, the question was not even asked. Saudi is a Taghout state. We will return it to Arabia soon. be iznillah. MBs to Versailles and the rest to the holes they belong."
3,stop saying garbage. if u have nothing to say make dhikr rather than lying or chasing fame. sit down and learn. @ProjectGuiding
4,"[משתמש עשה ריטוויט]
""@AdhelAlSalafi We obey the ruler if hes good or bad, if he showed his sin everytime we seen him, the Muslims would still fight with him, and be good towards him, so long as he does not disbelieve and make his disbelief apparent. We do not obey the Taghut, no matter how badly you want us to."""
5,"הציוץ המקורי (ציטוט):
""JUST IN🇸🇦🔥 Saudi Arabia’s MBS destroy thr dream of Israel-UAE within months in Syria, Yemen, Somalia and Sudan and next will be #Gaza and Lebanon if Israel strikes Saudi Arabia

MBS is New King of Islamic ummah 🔥 

Syria 🇸🇾✅
Yemen 🇾🇪 ✅
Somalia 🇸🇴✅
Sudan 🇸🇩 ⏳
Gaza 🇵🇸 ⏳ 

--------------

תגובת המשתמש:
OT MY KING DUDE. We need an Imaam and MBS is far from that. Keep
him for you own self. Thanks"
6,"[משתמש עשה ריטוויט]
""This guy is a moron. Either he’s trolling, and he’s lying to try and be funny, or he genuinely did what he did because he knew this would get attention (basically an attention whore). Using “islamic” flavored content to get attention. Madkhalis collectively need to be shunned from Da’wah. This guy is the DH equivalent, but on the Madkhali side. Both morons, both obese, both emotional, both love attention, both are clowns, and both can’t get out of their own way."""
7,"[משתמש עשה ריטוויט]
""“A da’wah that offends no falsehood, is not the right path…”

— Shaykh Ahmad Musa Jibril حفظه الله تعالى"""
8,"[משתמש עשה ריטוויט]
""Obese, emotional, possibly diagnosed bipolar disorder, begs strangers online for money in many of his videos, can’t speak Arabic, calls Shamsi the Zindiq’s aqeedah as “A” tier, openly puts down a Muslim debating against a christian, saying they got “destroyed” — to say this knowing it will be used as ammo by the enemies of Islam against Islam, is itself bordering on Zandaqa, if not full fledged Zandaqa.

Let’s not get it twisted, it’s bafoons like this who push people away from the correct Aqeedah, and likewise deaden the hearts of those who are stupid enough to listen to them. If people like this were present at the time of The Salaf, they’d be lashed in the city square, and likely shunned from the general community of Muslims."""
9,May Allah free the tourtured Prisoner of war- Abu Zubaydah
10,"[משתמש עשה ריטוויט]
""Saudi Madkhali calling the UAE Madkhalis Ikhwani…lol. May Allah further cause disunity and destruction between this heretical group. All the while, western Madkhalis are in a heated civil war amongst each other, over one of the most petty teenage squabbles I’ve ever seen. The sect is self-imploding, اللهم زد وبارك."""
11,"[משתמש עשה ריטוויט]
""Shaykh Al Islam said: “And they said…”

The Jahmi who thinks slaughtering to a flower is not Shirk, quotes him as saying: “Ibn Taymiyyah said…”

The Jahmi brain continuously provides us with an adequate metaphor of the Jahmi creed as a whole, in that its existence truly exists without a place. Truly brainless, just like the creed of its adherents."""
12,"[משתמש עשה ריטוויט]
""Speaking all day about the Names and Attributes of Allah جل جلاله وتقدست اسماؤه, and likewise attacking the neo-Jahmis of today (Asharis/Maturidis), sometimes even delving into grey areas with respect to your rhetoric, but then being a mute donkey when it comes to calling out the rampant Shirk of Legislation that occurs, and likewise being buddy-buddy with those who downplay it and call it “Kufran Duna Kufr” — makes you no different than the equally reprehensible Ikhwanjiyyah — that’s assuming you’re not a full fledged Zindīq like the “Kufran Duna Kufr” crowd. Muslims should lend an attentive ear to Scholars who call out Shirk in all its forms, not just the low hanging fruit of grave worship."""
13,"[משתמש עשה ריטוויט]
""@ProjectGuiding Haqq. The Salaf as-Salih continued to address previous innovations in their works, even when newer forms of Bid'ah had emerged. In the works of the A'immah, who lived during the time of the Mihnah, one can still find them talking about and refuting the Bid'ah of the Khawārij."""
