id,text
1,"📣 Continue Today 17th January insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
2,"🆕 NEW UPLOAD!

🔊 Khutbah: Allah Tests the Believers

🎙️ Ustādh @AbuMuadhTaqweem

Link:"
3,"🆕 NEW UPLOAD!

📖 Kitāb At-Tawheed: Covenants of Allah and His Prophet (Part 3) &amp; Adjuring Allah

🎙️ Ustādh @AbuMuadhTaqweem
Link:"
4,"הציוץ המקורי (ציטוט):
""Due to technical issues no Mixlr today. Please listen to the lesson on Telegram.

Jazakumullahu khayran""

--------------

תגובת המשתמש:
Mixlr is back online alhamdulillah"
5,"הציוץ המקורי (ציטוט):
""LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on


--------------

תגובת המשתמש:
Due to technical issues no Mixlr today. Please listen to the lesson on Telegram.

Jazakumullahu khayran"
6,"LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on"
7,"📣 Continue Today 10th January insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
8,"🆕 NEW UPLOAD!

🔊 Khutbah: Your Wealth is a Test

🎙️ Ustādh @AbuMuadhTaqweem

Link:"
9,"📢 REMINDER

❌ NO LESSON TODAY. 

👉 Listen or attend the seminar with Shaykh Dr Khālid Al-Dhufayri in Cardiff, at Masjid at-Tawheed.

🔊"
10,"🆕 NEW UPLOAD!

📖 Kitāb At-Tawheed: Covenants of Allah and His Prophet (Part 2)

🎙️ Ustādh @AbuMuadhTaqweem
Link:"
11,"LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on"
12,"📣 Continue Today 27th December insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
13,"🆕 NEW UPLOAD!

🔊 Khutbah: Islām

🎙️ Ustādh @AbuMuadhTaqweem

Link:"
14,"🆕 NEW UPLOAD!

📖 Kitāb At-Tawheed: Covenants of Allah and His Prophet (Part 1)

🎙️ Ustādh @AbuMuadhTaqweem
Link:"
15,"LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on"
16,"📣 Continue Today 20th December insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
17,"🆕 NEW UPLOAD!

📖 Kitāb At-Tawheed: Excessively Taking Oaths (Part 3)

🎙️ Ustādh @AbuMuadhTaqweem
Link:"
18,"LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on"
19,"📣 Continue Today 13th December insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
20,"🔊 Khutbah: Happiness

🎙️ Ustādh @AbuMuadhTaqweem

Link:"
21,"🆕 NEW UPLOAD!

📖 Kitāb At-Tawheed: Excessively Taking Oaths (Part 2)

🎙️ Ustādh @AbuMuadhTaqweem
 
Link:"
22,"LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on"
23,"📣 Continue Today 6th December insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
24,"🆕 NEW UPLOAD!

🔊 Khutbah: Ask the People of Knowledge if You Do Not Know

🎙️ Ustādh @AbuMuadhTaqweem

Link:"
25,"🆕 NEW UPLOAD!

📖 Kitāb At-Tawheed: Excessively Taking Oaths (Part 1)

🎙️ Ustādh @AbuMuadhTaqweem
 
Link:"
26,"LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on"
27,"📣 Continue Today 29th November insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
28,"🆕 NEW UPLOAD!

🔊 Khutbah: Envy

🎙️ Ustādh @AbuMuadhTaqweem

Link:"
29,"🆕 NEW UPLOAD!

📖 Kitāb At-Tawheed: Pictures and Statues (Part 2)

🎙️ Ustādh @AbuMuadhTaqweem
 
Link:"
30,"LIVE NOW 🟢 Kitāb At-Tawheed

With Explanation of Shaykh Sāleh Al-Fawzān

🎙Ustādh @AbuMuadhTaqweem

🔊 Broadcast live on"
31,"📣 Continue Today 22nd November insha'Allah

🕰️ 8:00pm
     
📝 Kitāb at-Tawhēd

🆕 Chapter: Pictures and Statues

Read by Ustādh @AbuMuadhTaqweem

🕌 Live @ Masjid
👍 Brothers &amp; Sisters

🔊 Live:"
32,"🆕 NEW UPLOAD!

🔊 Khutbah: Allah does not Look at Your Appearance or Wealth, but rather He Looks at your Hearts and Actions

🎙️ Ustādh @AbuMuadhTaqweem

Link:"
33,"🔊 𝗚𝗿𝗲𝗮𝘁𝗲𝗿 𝗠𝗮𝗻𝗰𝗵𝗲𝘀𝘁𝗲𝗿 𝗖𝗼𝗻𝗳𝗲𝗿𝗲𝗻𝗰𝗲: 𝗘𝘅𝗽𝗹𝗮𝗻𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝗔𝗹-𝗠𝗮𝗻𝗱𝗵𝘂̄𝗺𝗮𝗵 𝗮𝗹-𝗛𝗮̄'𝗶𝘆𝘆𝗮𝗵 - Lesson 8

🎙️ Ustādh Abu Ukkashah Abdul-Hakim"
34,"🆕 NEW UPLOAD!

🔊 𝗚𝗿𝗲𝗮𝘁𝗲𝗿 𝗠𝗮𝗻𝗰𝗵𝗲𝘀𝘁𝗲𝗿 𝗖𝗼𝗻𝗳𝗲𝗿𝗲𝗻𝗰𝗲: 𝗘𝘅𝗽𝗹𝗮𝗻𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝗔𝗹-𝗠𝗮𝗻𝗱𝗵𝘂̄𝗺𝗮𝗵 𝗮𝗹-𝗛𝗮̄'𝗶𝘆𝘆𝗮𝗵 - Lesson 7

🎙️ Ustādh Abu Inaayah Seif"
35,"📢 LIVE NOW - LECTURE 8

🕌 𝗚𝗿𝗲𝗮𝘁𝗲𝗿 𝗠𝗮𝗻𝗰𝗵𝗲𝘀𝘁𝗲𝗿 𝗖𝗼𝗻𝗳𝗲𝗿𝗲𝗻𝗰𝗲

📍 AlHuda Bolton

🔊𝐁𝐫𝐨𝐚𝐝𝐜𝐚𝐬𝐭 𝐥𝐢𝐯𝐞 𝐨𝐧:"
36,"📢 LIVE NOW - LECTURE 7

🕌 𝗚𝗿𝗲𝗮𝘁𝗲𝗿 𝗠𝗮𝗻𝗰𝗵𝗲𝘀𝘁𝗲𝗿 𝗖𝗼𝗻𝗳𝗲𝗿𝗲𝗻𝗰𝗲

👤 Ustādh Abu Inaayah Seif

📍 AlHuda Bolton

🔊𝐁𝐫𝐨𝐚𝐝𝐜𝐚𝐬𝐭 𝐥𝐢𝐯𝐞 𝐨𝐧:"
