id,text
1,"🎧 New Audio

👤 Ustādh Abu Ukkasha @Abu_Ukkaashah

📖 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله"
2,"📢 LIVE NOW!

📚 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله

👤 Ustādh Abu Ukkasha @Abu_Ukkaashah

🎧 Listen Live:"
3,"📢Starting soon...

📚 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله

👤 Ustādh Abu Ukkasha @Abu_Ukkaashah

🎧 Listen Live:"
4,"📢 LIVE NOW! 

🎤 Jumu'ah Khutbah 

🎙 By Ustādh @AbuRayhaana Yahya #MasjidBinBaz

🌐"
5,"📢 This Friday | Lesson Continues!

📖 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله 

📝 “The Twentieth Aspect: Believing that the Acts of Sorcerers and Magicians is from the Miraculous Endowments of the Righteous”

🗓 Friday 16th January ان شاء الله

🕗 7:30pm GMT | 10:30pm KSA | 2:30pm EST

🎙️ Ustādh Abu Ukkasha @Abu_Ukkaashah 

📝 Alternating Fridays with Ustādh Abu 'Ināyah Seif @Oxford_Dawah

🕌 Masjid Bin Bāz East Rd London E15 3QR

👥 All Welcome 

🌐"
6,"📢 LIVE NOW!

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali
#MasjidBinBaz

🎧 Listen Live:"
7,"📢 Starting soon...

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali

🎧 Listen Live:"
8,"📌 Additional Class Today 

📚 'Etiquettes of Walking to the Prayer' of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

🎙Ustādh Abu Maymūnah Sa'īd Ali

🗓 13th January 2026

🕕 7.45PM GMT UK - After 'Eesha Prayer

🕌 Masjid Bin Baz East Rd London E15 3QR

👥 All Welcome 

🌐"
9,"📢 LIVE NOW!

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali
#MasjidBinBaz

🎧 Listen Live:"
10,"Starting soon...

📖 Etiquettes of Walking to the Prayer of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

👤 Ustādh Abu Maymūnah Sa'īd Ali

🎧 Listen Live:"
11,"📌 Sunday Class Continues Today 

📚 'Etiquettes of Walking to the Prayer' of Imām Muhammad Bin Abdul Wahāb with Explanation of Shaikh Abdul Muhsin Al-'Abbād

🎙Ustādh Abu Maymūnah Sa'īd Ali

🗓 11th January 2026

🕕 7.45PM GMT UK - After 'Eesha Prayer

🕌 Masjid Bin Baz East Rd London E15 3QR

👥 All Welcome 

🌐"
12,"📌 Weekly Sunday Qur'an Class 

🎙️Ustādh Abu Maymūnah Sa'īd Ali

🗓️ Sunday 11th January 2026

🕢 2:30 PM UK - After Asr Prayer

🕌 Masjid Bin Baz East Rd London E15 3QR

📌 Brother's Only Class"
13,"🎧 Playlist updated

👤 Ustādh Abu 'Ināyah Seif @Oxford_Dawah

📚 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله

📝 The Seventeenth Aspect: Ascribing Falsehood to the Prophets."
