id,text
1,"[משתמש עשה ריטוויט]
""Is This Your Thanks to Allah?"
2,"[משתמש עשה ריטוויט]
""Wallahi an unforgettable journey! From Kuwait to Makkah, it was truly beautiful! and that is the same sentiment anyone who attended has. The many sittings, whether with the people of knowledge or the students of knowledge or just the many brotherly sittings over good food or coffee, the whole occasion was monumental and hugely beneficial for the soul!

It brings to mind the statement of Imām Ibnil Qayyim:

“Keeping the company of the righteous transforms you from six states to six others:
1.From doubt to certainty.
2.From showing off (riyā’) to sincerity.
3.From heedlessness to remembrance (dhikr).
4.From desiring the worldly life to desiring the Hereafter.
5.From arrogance to humility.
6.From bad intention to genuine sincere naṣīḥah.”

(Ighāthat al-Lahfān 1/136)

May Allah return us for many more!"""
3,"[משתמש עשה ריטוויט]
""The Muslims performed the Prayer for Rain in Saudi Arabia 🇸🇦 on Thursday 13th and it rained Saturday 15th. 

Alhamdu lillah. 

May Allah bless the Muslims in Palestine, Sudan and worldwide with safety and ease."
4,"[משתמש עשה ריטוויט]
""Effects of Sincere Seeking of Knowledge

Al-Hasan Al-Basri, may Allah have mercy upon him, said: “When a man used to seek knowledge, it did not take long before (the effect) was seen on his eyesight, his fear of Allah, his tongue, his hands, his prayer and his abstinence from the lawful but unnecessary worldly things”.

Reported by Imaam Ad-Darimi 385"""
5,"[משתמש עשה ריטוויט]
""We visited Dallori Balla, a remote village in Swabi where landslides caused by the floods killed 37 villagers, including 13 members of one household
We found a young boy there that constantly sits on the rubble of his house where all of his family perished, may Allāh bless him

PayPal 🔗 

DonorBox 🔗"
6,"[משתמש עשה ריטוויט]
""If we truly understood what Allāh prepared in Paradise &amp; Hell, we wouldn’t tire of striving, nor let sleep distract us. The Prophet ﷺ marvelled: how can one sleep while fleeing Hell or seeking Jannah?"
7,"[משתמש עשה ריטוויט]
""The West must dismantle the Muslim Brotherhood in full, not just monitor it, not just debate it. Dissolve it. Shut down its networks, charities, and political fronts.

Countries like Ireland, the UK, the US, France, and Germany must follow the example set by the UAE and Jordan. These aren’t just foreign policy moves, they’re acts of national defense.

Every day the Muslim Brotherhood is allowed to operate is a day it recruits, infiltrates, and rewrites the rules from within. This is not an organization with a place in civil society. It is a threat engineered to exploit it.

The UAE labeled the Muslim Brotherhood a terrorist organization and removed it from every institution, educational, religious, financial, and civic. Jordan went even further: the Brotherhood formally dissolved itself after losing all political and legal ground. These were not gestures. They were deliberate state decisions to eliminate the roots of radicalism before they could bloom into violence.

The same clarity is needed across the West, before the same patterns take hold in new soil…"""
8,"[משתמש עשה ריטוויט]
""Yasir Qadhi didn’t dismantle any myth, he only dismantled his credibility &amp; integrity. 

By his own admission, after immersing himself in Western institutions, he began to experience doubts about his faith.

The romanticization of Orientalism raises serious concerns &amp; questions."""
9,"[משתמש עשה ריטוויט]
""Please keep our dear sister and her family @Abumusa_TaahirB in your adiyaat. Our sister has been a positive influence and teacher to our youth and diligent in supporting the Salafis.  May Allah grant her a speedy and complete recovery with safety and wellbeing."
10,"[משתמש עשה ריטוויט]
""People who object to Hajj permits & government limitations on who can make Hajj each year...

LOOK at images of the Ka'bah on this day (the 10th of Thul-Hijjah) with your own eyes & put your emotions aside & contemplate objectively what it would mean for this level of crowding to be DOUBLED or TRIPLED, because of no limits or regulations. Consider your parents or grandparents are in the middle of the crowd. 

The harm would be great; deaths & injuries would increase significantly, and you vocal critics of the Muslim leaders would be the first to say, ""WHY AREN'T THEY DOING ANYTHING ABOUT THIS!?""

We ask Allah to aid the Muslim leaders in facilitating Hajj for the Muslims, in safety & good health, and to reward them for their great efforts."""
11,"[משתמש עשה ריטוויט]
""📢 Continuation of the 4-Part Series taking place in Nottingham

📜 The 3 Principles of Islām

🎙 Ustādh Abu 'AbdirRahmān Hilāl

📆 Lesson 2 of 4: Monday 19th May @ 7pm

📍 The Vine Community Centre, Bobbersmill Road, NG7 5GZ

Brothers &amp; Sisters Welcome"
