id,text
1,"[משתמש עשה ריטוויט]
""New Year Celebrations in Islam"
2,"[משתמש עשה ריטוויט]
""The Shaykh always sets the standard with these topics, Allahumma Bārek Lah."""
3,"[משתמש עשה ריטוויט]
""The Duʿāʾ of the People of the Cave:
رَبَّنَا آتِنَا مِن لَّدُنكَ رَحْمَةً وَهَيِّئْ لَنَا مِنْ أَمْرِنَا رَشَدًا"
4,"[משתמש עשה ריטוויט]
""Truth Demands Firmness. When Met With Leniency, the Ummah Fades into Ruin.

During the Khilāfah of ‘Umar (رضي الله عنه), a man called Subaigh Ibn ‘Asal came to Madinah and asked persistently about the Mutashābihāt. 

ʿUmar (رضي الله عنه) summoned him and struck him until his head bled. Subaigh then said, “Enough, O Commander of the Faithful! What I used to find in my head has now gone.”

‘Umar (رضي الله عنه) then exiled him to Basra and wrote to its people, “Do not sit with him.”

Years later, when the Khawārij emerged, they invited Subaigh to join them and become a leader. Look at his response:

“Far be it! Allah has benefited me through the admonition of the righteous man, the Commander of the Faithful, ʿUmar (رضي الله عنه).”

Subaigh remained humbled until his death, after once been noble. 

We need men like ‘Umar (رضي الله عنه). Through firm discipline, exile, and social restriction, ‘Umar (رضي الله عنه) cut off a potential source of deviation, encouraged Subaigh’s repentance, and set an example for all who stubbornly questioned that which brought no benefit.

 - Shaykh Musa Jibril (حفظه الله تعالى)"""
5,"[משתמש עשה ריטוויט]
""Invisible Behind Bars: Muslim Prisoners in the Maldives
#VaanuvaaSarcar #EndVaanuvaa"
6,"[משתמש עשה ריטוויט]
""When Allah (سبحانه وتعالى) tested Shaykh Musa (حفظه الله تعالى) with trials weeks ago, his joyous and upbeat demeanor did not falter for a second, rather it increased. And when advised to step back from speaking with others, he firmly refused, asking ALL who reach out to speak with him be sent his way, Allahumma barek Lahu.

His own trials only strengthened his resolve to help others. Anytime Allah resolved a conflict through him, he rejoiced, celebrating and weeping in joy.

When we spoke to the Shaykh during this health crisis, may Allah protect him, he did not complain once. Though his voice bore the weight of fatigue, he spoke with unwavering strength, constantly praising Allah.

Trials reveal true character, so what do we say of someone whose character only grew more radiant through them? May Allah protect him, preserve him, grant him full Shifaa' and a long life filled with good deeds.

As always, please reach out to the Shaykh’s Instagram ( for any assistance or questions, or call, InshaAllah."""
7,"[משתמש עשה ריטוויט]
""Saudi Arabia has widened access to alcohol sales, allowing non-Muslim expatriates earning at least 50,000 riyals ($13,300) a month to buy from the country’s only liquor store in Riyadh.

Shoppers must show proof of income and are capped by a monthly points-based system.

Source: Bloomberg"""
8,"[משתמש עשה ריטוויט]
""Seven Daily Ibadat to Kick-Start a Blessed Day and Elevate Your Akhirah"
9,"[משתמש עשה ריטוויט]
""In the very handwriting of Imam Jamil Al-Amin, sent shortly before he returned to his Lord. رحمه الله

Ahmad Musa Jibril 
2 Jumāda ath-Thānī 1447"
10,"[משתמש עשה ריטוויט]
""Imam Jamil Al-Amin passed away today while still confined within the prison walls. Like his companion, Imam Luqman Abdullah, who preceded him, these were men who, in shā’Allāh, remained steadfast and true to their covenant with Allāh. They stood in stark contrast to many other “imams” in the West, who faltered and compromised.

Though they may not have been formally recognized as ulama, they—in shā’Allāh—acted upon the knowledge they possessed, which is what truly matters. نَحْسُبُهُمْ كَذَلِك، وَاللَّهُ حَسِيبُهُمْ، وَلَا نُزَكِّي عَلَى اللَّهِ أَحَدًا. Even amid his suffering, Imam Jamil remained thoughtful, conveying his salām to me through some who were in touch with him.

May Allāh forgive them both, envelop them in His infinite mercy, illuminate their graves with radiant light, and elevate their ranks among the righteous.

Ahmad Musa Jibril 
2 Jumāda ath-Thānī 1447"""
11,"[משתמש עשה ריטוויט]
""I zoomed in for a closer look &amp; it made me smile with love. 

Truly a thorn in the eyes of the Deviants &amp; Kuffar. A rare gem &amp; an entire mountain of knowledge for the Muwahhideen. 

May Allah protect &amp; bless The Sheikh!"""
12,"[משתמש עשה ריטוויט]
""يا عدو الله، قبل ان تتكلم في هذه المسألة، على الأقل اضبط انه يوجد فرق واضح بين الاستعانة والإعانة. أقوال العلماء في الاستعانة بالكفار (حرام)، لا تنطبق على صور اعانة الكفار (كفر)، يا جاهل. كل كلامك في الاستعانة بالكفار، والانضمام إلى التحالف تحت قيادة الكفرة، تكون اعانة للكفار يا احمق. أوَصل بك الأمر ان لا تفرق بين الاستعانة والإعانة؟!"""
13,"[משתמש עשה ריטוויט]
""Can a ""Muslim"" Leader Join a Non-Muslim-Led Coalition Against the ""Khawarij""?"
14,"[משתמש עשה ריטוויט]
""13 | The Ghurabā Series | Insights from the Story of the Boy and the King (Surah Al-Burooj) – From a Class Delivered Two Years Ago"
15,"[משתמש עשה ריטוויט]
"""
16,"[משתמש עשה ריטוויט]
""The Ṭawāghīt of the UAE
🎯To the Yahūd, they bow and extend allegiance through the Abraham Accords, a modern veil for walāʾ to the Yahūd and global powers.
🎯To the Naṣārā, they offer the so-called Abrahamic House.
🎯To the mushrikīn, they open their doors, erecting Hindu temples and idols.
🎯But to the Muslimīn, in Al-Fashir, in Sudan, and beyond, they send funding, weapons, and aid, fueling slaughter, spreading terror, and staining the earth with innocent blood. They build palaces for their enemies while digging graves for their own.

As the poet once said:
وكم عند الحكومة من رجال
تراهم سادة وهم العبيد
كلاب للأجانب هم ولكن
على أبناءِ جِلدتهم أسود
How many serve the throne,
masked as masters, yet chained as slaves?
Dogs before enemy,
fierce as wolves against their own.

These events reveal not the rulers themselves, their servitude to the enemies of Islam has long been clear. Rather, they expose the shuyūkh who defend them, legitimize them, and the deluded followers who anoint such tyrants as “legitimate rulers,” labeling all who resist them as khawārij.

And above all, they expose the West’s hypocrisy: when the executioner is a friend of the US and the Yahūd, when Sharīʿah is flouted, and the victims are Muslim, the world does nothing. No coalition of 89 nations rises; no outrage is voiced; no terror labels are issued. Silence becomes policy. Indifference becomes law.

May Allah protect our brothers and sisters in Al-Fashir, shield them from harm, grant them patience, and preserve their faith; and may He hold accountable those who oppress them or aid their oppressors.

Ahmad Musa Jibril
7 Jumādā al‑Ūlā 1447 H"""
17,"[משתמש עשה ריטוויט]
""Al-Fashir has become the new Gaza, a genocide unfolding in plain sight while the world remains silent. The people there endure horrors as grave as, if not worse than, those faced by our brothers and sisters in Gaza, and comparable to the atrocities that Syrians suffered under Bashar’s tyranny.

This injustice cannot go unnoticed. It demands global outrage and unwavering solidarity from Muslims everywhere.

Behind this oppression stands the UAE’s corrupt and wicked ṭāghūt, Muhammad ibn Zayed, arming, funding, and supporting killers, spreading tyranny from one land to another.

O Allah, he has transgressed throughout the land and spread corruption, so unleash upon him every form of severe punishment.
Protect our brothers and sisters in Al-Fashir, and safeguard all those oppressed around the world.

Ahmad Musa Jibril
6 Jumādá al‑Ulā 1447 AH"""
18,"[משתמש עשה ריטוויט]
""May Allah bless and preserve our beloved sheikh AMJ"""
19,"[משתמש עשה ריטוויט]
""Imam al-Awzā‘ī and the Legacy of the ‘Ulamā’ al-Ḥaqq: A Contrast with the Filthy ‘Ulamā’ al-Sū’ of Today"
20,"[משתמש עשה ריטוויט]
""Sowing Discord Between Spouses: A Major Sin Most Beloved to Iblīs"
21,"[משתמש עשה ריטוויט]
""Should We Forgive Everyone Who Harmed Us?"
