id,text
1,"[משתמש עשה ריטוויט]
""“And when they see a sign, they ridicule”

(37:14)"""
2,"“And when they see a sign, they ridicule”

(37:14)"
3,"[משתמש עשה ריטוויט]
"""" Don't say anything about Ayatollah Khamenei, or else """""
4,""" Don't say anything about Ayatollah Khamenei, or else """
5,"[משתמש עשה ריטוויט]
"""" It's not Shirk bro , or else """""
6,""" It's not Shirk bro , or else """
7,"[משתמש עשה ריטוויט]
""Daniel Haqiqatjou defends Shia beliefs, yet doesn’t even know the difference between Usulis and Akhbaris 😂😂😂😂

He got absolutely rinsed by this brother"
8,"Daniel Haqiqatjou defends Shia beliefs, yet doesn’t even know the difference between Usulis and Akhbaris 😂😂😂😂

He got absolutely rinsed by this brother"
9,"[משתמש עשה ריטוויט]
""Taqiyatjou lost to @provingislam and look how he pathetically behaves

Victimhood"
10,"Taqiyatjou lost to @provingislam and look how he pathetically behaves

Victimhood"
11,"[משתמש עשה ריטוויט]
""Taqiyatjou got cooked live 😂😂😂😂"
12,Taqiyatjou got cooked live 😂😂😂😂
13,"[משתמש עשה ריטוויט]
""But, but, Khamenei's fatwa.... 

Don’t fall for the deception of Khamenei’s defender, Taqiyatjou 

The reality is that cursing the Sahaba (Aisha, Umar, Uthman, Abu Bakr) is common ritual in 🇮🇷

May Allah curse those who curse the Sahaba"""
14,"But, but, Khamenei's fatwa.... 

Don’t fall for the deception of Khamenei’s defender, Taqiyatjou 

The reality is that cursing the Sahaba (Aisha, Umar, Uthman, Abu Bakr) is common ritual in 🇮🇷

May Allah curse those who curse the Sahaba"
15,"[משתמש עשה ריטוויט]
""Love someone who curses the Sahaba, Aisha and attacks and hates the Sunnah 🤗"
16,"Love someone who curses the Sahaba, Aisha and attacks and hates the Sunnah 🤗"
17,"[משתמש עשה ריטוויט]
""There is no ""Abrahamic religion"" with Jews and Christians"""
18,"There is no ""Abrahamic religion"" with Jews and Christians"
19,"[משתמש עשה ריטוויט]
""A very wholesome interaction between a shaykh and an African brother inside Masjid Nabawi"
20,A very wholesome interaction between a shaykh and an African brother inside Masjid Nabawi
21,"[משתמש עשה ריטוויט]
""A man who claimed to be a prophet  came to Sh. Abdurazzaq Al Badr"""
22,A man who claimed to be a prophet  came to Sh. Abdurazzaq Al Badr
23,May Allah guide Anthony Joshua to Islam
24,"For the haters and liars:

AJ acknowledging he was listening to the Quran"
25,"[משתמש עשה ריטוויט]
""May Allah guide Anthony Joshua to Islam"
26,"[משתמש עשה ריטוויט]
""Last Ramadan, he learned about Islam on his own, and Allah opened his heart to it and guided him to accept it

May Allah keep the brother steadfast"
27,"Last Ramadan, he learned about Islam on his own, and Allah opened his heart to it and guided him to accept it

May Allah keep the brother steadfast"
28,"[משתמש עשה ריטוויט]
""A cleaner, a security guard and a Shaykh, all are equal in the sight of Allah 🤍"
29,"A cleaner, a security guard and a Shaykh, all are equal in the sight of Allah 🤍"
30,"[משתמש עשה ריטוויט]
""Day and night they attack Islam, trying to destroy it

But they will never succeed, it's only growing and growing , Alhamdulilah ❤️"
31,"Day and night they attack Islam, trying to destroy it

But they will never succeed, it's only growing and growing , Alhamdulilah ❤️"
32,"[משתמש עשה ריטוויט]
""New Year's Eve and it's pagan roots"""
33,New Year's Eve and it's pagan roots
34,"[משתמש עשה ריטוויט]
""May Allah have mercy on Abdul Latif (Latz) 

I didn't know the brother, before the deadly accident, but one can really tell that he was a great person

A revert to Islam, and a good example of a muslim"
35,"May Allah have mercy on Abdul Latif (Latz) 

I didn't know the brother, before the deadly accident, but one can really tell that he was a great person

A revert to Islam, and a good example of a muslim"
36,"[משתמש עשה ריטוויט]
""Christian apologetics in a nutshell"""
37,Christian apologetics in a nutshell
38,"[משתמש עשה ריטוויט]
""Daniel Haqiqatjou and his lies about Sh. Ibn Abdul Wahhab 

2026"""
39,"Daniel Haqiqatjou and his lies about Sh. Ibn Abdul Wahhab 

2026"
40,"[משתמש עשה ריטוויט]
""The Messenger of Allah (SAW) said, “Remember often the destroyer of pleasures, Death”

(Saheeh,  Sunan al-Tirmidhi 2307)"""
