id,text
1,"[משתמש עשה ריטוויט]
""What a scandal! A police chief has been bullied into retirement for daring to put the safety of British citizens in Birmingham first above the needs of foreign hooligans known for racism and Islamophobic chanting.

This is the latest disgraceful example of the UK Labour government putting Israeli interests first to the great detriment of British people."""
2,"[משתמש עשה ריטוויט]
""You. Cannot. Make. This. Shit. Up.

Maccabi Tel Aviv fans went on a racist riot in Israel.

The VERY SAME DAY that the British Home Secretary demanded the sacking of the West Midlands Chief Constable over the ban on Maccabi Tel Aviv fans coming to Birmingham."""
3,"[משתמש עשה ריטוויט]
""This doctor has now been arrested 4 times by British “counter-terrorism” police at the behest of the Israel lobby

Her “crime” is opposing Zionism and the genocide in Gaza

Complete madness

(I am aware of her political trajectory, it’s irrelevent to the case)"""
4,"[משתמש עשה ריטוויט]
""This morning at 6.20 am the Metropolitan Police arrested Dr Rahmeh Aladwan AGAIN.  For the fourth time in three months.

This has got to stop.  

We must declare that it is not permissible for the police to arrest people on the whim of genocidal Zionists.

#DismantleZionism"""
5,"[משתמש עשה ריטוויט]
""How Labour Antisemitism Hoax Paved Way for Genocide @pularjs"
6,"[משתמש עשה ריטוויט]
""The Zionists got him. Yet another good man loses his career because he dared to cross the genocide lobby. 

When will Brits say enough is enough? When will they say we will not be beholden to the demands of a foreign state?"""
7,"[משתמש עשה ריטוויט]
""@Patrick_T_Quinn @HCWsAC Britain is an occupied territory."
8,"[משתמש עשה ריטוויט]
""Today, India shut down a medical school in #Kashmir because the majority of its admitted students were Muslims.

The limits of Indian Islamophobia have no end."""
9,"[משתמש עשה ריטוויט]
""In 1937 Winston Churchill said about Palestinians.

I don’t agree that a dog in a manger has final rights to the manger, even if he was there long before.

I don’t admit that a wrong was done to American red Indians or Black people of Australia.

Because a higher-grade race has come in & took their place.

Prime Minister Yitzhak Shamir called them grasshoppers who could be crushed."""
10,"[משתמש עשה ריטוויט]
""Hiroshima was hit  with less  firepower. 
As sad and sick and horrific as that sounds it’s absolutely true -"""
11,"[משתמש עשה ריטוויט]
""A clip that left the world in disbelief and horror.

Israel blocked media outlets from airing it.

Israel did this."""
12,"[משתמש עשה ריטוויט]
""&gt;there is no genocide

&gt;anyway here’s a satellite view of the genocide we committed"""
13,"[משתמש עשה ריטוויט]
""Today, I was arrested for the fourth time in less than three months. During interrogation, officers explicitly stated, 'jews keep calling' to report me.

The Metropolitan Police have traveled from London, booked hotel stays, and arrested me on four separate dates: October 21, December 4, December 22, and today, January 15—for social media posts sharing news, opposing 'israel' and expressing solidarity with Palestine.

I have been released on bail, which now combines the restrictive conditions from all three prior arrests. I remain under a form of house arrest and prohibited from attending Palestine events in London. I am also not to post anything that could 'stir up racial hatred' or 'express support for a proscribed organisation'—neither of which I have done.

This is state-sponsored harassment and judicial terrorism, carried out by the British state in partnership with the UK 'israel' lobby and also at the apparent behest of the jews who 'keep calling' the police, including the Anti-Terrorism Hotline, to silence me.

The Met officers today were Saul Carroll and Steve Burgess.

If you wish to support my legal defence against this politically-motivated persecution, please consider contributing here:


The 'israel' lobby is an enemy to free speech and civil liberties in Britain.
We will fight this. We will win."""
14,Abdul Wahab was a coninuation of Ibn Taymiyyahs mistake  via @YouTube
15,"[משתמש עשה ריטוויט]
""@Malala Oh hello! Long time no see...:) I hope you're well. BTW, did you see what Israel did to women and children for the last 2 years?"""
16,"[משתמש עשה ריטוויט]
""@Malala Like clockwork, the Western puppet woke up."""
17,"[משתמש עשה ריטוויט]
""@Malala the ongoing Gaza Genocide exposed all you frauds, fabrications of the CIA-Human Rights Industrial complex. Go party again with your bestie Hillary Clinton where you can bond over how many girls and women she has mass murdered during her long career as a Zionist warmonger"
18,"[משתמש עשה ריטוויט]
""Look who’s on @GBNEWS calling for draconian laws and witch-hunts targeting British Muslim charities and mosques.

You guessed it: a Zionist Emirati “influencer”."
19,"[משתמש עשה ריטוויט]
""FUCK KEIR STARMER"
20,"[משתמש עשה ריטוויט]
""Former CIA agent John Kiriakou talks about how its israeli backed rioters who set fire to over 40 fire engines so the fires their starting can’t be stopped.

Just look at who the media is favouring, it’s israel! 

It’s so obvious this is a coup attempt!"
21,"[משתמש עשה ריטוויט]
""Three things we’ve learnt about majority of “patriots” on both sides of the Atlantic:

- They don’t care about free speech.

- They don’t care about women and girls.

- They don’t care about Christianity.

Race and empire. It’s all about skin and oil."""
22,
23,"[משתמש עשה ריטוויט]
""The UAE is at war with Muslims in the east and the west.

Whenever you hear or read Emirati propagandists and “influencers” use the following words or terms, this is what they really mean:

“Islamism” = Islam

“Muslim Brotherhood” = Muslims

“Political Islam” = political Muslims"""
24,"[משתמש עשה ריטוויט]
""“Since the start of the cease-fire”"
25,"Really deep.dive on some subjects islamophobes use to attack Islam on. 

Its long, but there are timestamps and descriptions, can be used as a reference should you encounter the subjects"
26,"[משתמש עשה ריטוויט]
""So, the Prophet Muhammad would have no issue with:

- The nightclubs, prostitution, casinos and slave labour.

- A usury-based banking system.

- New polytheistic temples and idols being built, because Prophet Muhammad didn’t actually destroy 360 idols inside the Kaaba with his own hands.

- Hosting, normalising and collaborating with Israelis who are killing and oppressing the Muslims of the Levant, a region and a people Prophet Muhammad explicitly praised and honoured.

- The UAE killing and oppressing the Muslim of Yemen, another region and people Prophet Muhammad explicitly praised and honoured.

- Funding and arming a genocide in Muslim Sudan, while destabilising Muslim Libya and Muslim Somalia.

- Sending millions of dollars to fund hatred and hostility against Muslims in Europe.

- A nation that is widely praised and visited by those who blaspheme the Prophet Muhammad. 

All of the above is in total alignment with the Prophetic mission and vision. 🤡"""
27,"[משתמש עשה ריטוויט]
""“France condemns the use of violence against protesters in Iran”. 

France with protesters. 👇🏼"
28,"[משתמש עשה ריטוויט]
""For the Love of God @DavidLammy (choral choir singer) follow your conscience, show backbone and balls and safe the hunger striker by giving them bail. It would be e the Christian thing to do."""
