id,text
1,"[משתמש עשה ריטוויט]
""One of the beautiful things Sh Muhammad alBanna rahimahullah said to me is ""inshaaAllah we will meet in Jannah and we will remember the good there.""

In 1995 he was the best we had in Jeddah.
He was teaching Tafseer ibn Katheer, Mukhtasar Saheeh Muslim and Umdatul Ahkaam."""
2,"[משתמש עשה ריטוויט]
""Daniel is now quoting and trusting Khamenei.

Subhan Allah. This speaks for itself.

Any so-called Sunni who shares a platform with such a person is a disgrace.

They curse Aisha, as it is documented in their own books.

Taqiyyah 101."""
3,"[משתמש עשה ריטוויט]
""Whoever reads the Quran and respects it will find:

The greatest affair in the Quran is the right of Allah: to be singled out with all worship.

“Know that none has the right to be worshipped except Allah.”

Shaykh Al-‘Allamah Salih Āl al-Shaykh"
4,"[משתמש עשה ריטוויט]
""This man is, Shaykh Ṣāliḥ ibn ʿAbd al-ʿAzīz Āl-Shaykh.

He was mentioned amongst those who carry  the flag of al-Jarḥ wa al-Taʿdīl. Those who Allah has granted  understanding of the religion in general and understanding in calling to Allah, along with insight into major contemporary events (al-nawāzil)

- al-Ajwībat Athrīyah an al-Masā'il al-Manhajiyyāh, p.59 of Shaykh Zayd ibn Muḥammad al-Madkhalī"""
5,"[משתמש עשה ריטוויט]
""Q’s : What are the virtues of making Umrah in Ramadhān ? 
Hadith States Making Umrah in Ramadhān has the reward equivalent to making Hajj with the Prophet ﷺ
Also this Ramadhan Umrah trip falls in the school holidays so take advantage of this opportunity! 
Call 
 📞07966 544260"
6,"[משתמש עשה ריטוויט]
""How did Music start?"
7,"[משתמש עשה ריטוויט]
""May Allah reward the community @GtownMasjid generally and Shaykh Hassan as-Somāli @hikmahpubs specifically for the beneficial gatherings this last week. 

Especially commendable was the selection of the topic, The Disease and it's Cure by al-Imām Ibn Qayyim, may Allah have mercy upon him. The week was filled with  beautiful reminders and benefits. May Allah reward the speakers and the organizers."""
8,"[משתמש עשה ריטוויט]
""Innā lillāhi-wa-innā-ilayhi-rāji’ūn.

We all say or read this statement when someone has passed away, but how many of us reflect and know its meaning, and what it necessitates?"
9,"[משתמש עשה ריטוויט]
""Too busy to read? And still haven’t studied the important fundamental works? Or need help memorising the text? 

Then download & listen to them!

AudioBook list

 Qawaa’idul Arba’ah (The 4 Principles)
 Usooluth Thalaatha (The 3 Fundamentals)
3.Masaa’ilul Jaahiliyah (The Issues from Pre-Islām)
4.The 10 Nullifiers of Islam
5.Kitaabut Tawheed (7/7)
6.Kashfush Shubuhaat (Removing the doubts)
7.Aqeedatur Raazi’ain
 Aqeedatul Waasitiyah (2/2)
 Aqeedatut Tahaawiyah
10.Sharhus Sunnah (Explanation of the Creed) of Imām Barbaāari (3/3)
 Haa’iyah
 Laamiyah
13.40 Hadeeth (+ 8 Hadīth added by Ibn Rajab)
14.The Prophet’s Prayer Described
15.Description of the Wudhu of the Prophet ﷺ 
16.Usoolus Sunnah (Foundations of the Sunnah) of Imaam Ahmad
17.Fortress of the Believer (Supplications)"
10,"[משתמש עשה ריטוויט]
""Abū Ḥātim al-Rāzī (d. 277H) traveled more than 4000 miles on foot in pursuit of Islamic knowledge. He stopped counting his footsteps after that. 

Look at the sincerity and dedication of the Salaf.

Some of us make excuses why we can’t drive 20 minutes to attend lessons."
11,"[משתמש עשה ריטוויט]
""From Allah we belong to Allah we return, sad shocking news about the death of our dear brother Abdul-Latif resulting from a car crash, May Allah have mercy on him and grant him Jannah,make this difficult time easy for his family.wish a speedy recovery for the champ @anthonyjoshua"
12,"[משתמש עשה ריטוויט]
""Siddeeq Hasan Khan rahimahullah said:

Truth is known from whomsoever has gathered five attributes, the greatest of them is sincerity, understanding, justice, striving to know the truth and striving much to call to it.

 (Qatfu Thamr fi Bayaan 'Aqeedati Ahlil Athar p.175)"""
