id,text
1,"[משתמש עשה ריטוויט]
""It’s allowed to say Bismillah in the bathroom when making Wudū.

Is the position of: 

1. Sh Ibn Baz (it’s not disliked as there is a need to say it) 
2. Permanent committee 
3. Sh Albani (it’s only prohibited to mention Allāh’s name when USING the toilet)
4. Sh Fawzān"""
2,"[משתמש עשה ריטוויט]
""The Truth is More Beloved to Us - Ibnul Qayyim"
3,"[משתמש עשה ריטוויט]
""Over 1,100+ live listeners on Mixlr.

The Masjid filled with brothers and sisters.

Shaykh Abul Hasan delivering an excellent and timely address on this topic."
4,"[משתמש עשה ריטוויט]
""Jummah khutbah Mustafa Fulaani"
5,"[משתמש עשה ריטוויט]
""Conference 2025: The Methodology of Ahlul-Hadith - That is the path of Ahlus-Sunnah wal-Jamāʿah &amp; the Salaf in truth. Shaykh @AbuHafsahKK حفظه الله"
6,"[משתמש עשה ריטוויט]
""Unable to visit father's grave, can I still be righteous towards him?"
7,"[משתמש עשה ריטוויט]
""Imām Rabī' bin Hādī said:

""If you see yourself refusing (to accept) the truth if it comes from a particular party, and you accept falsehood if it comes from a particular party and you deem it to be the truth, then know that your heart is diseased!""

📚 Asnāf Al-Qulūb (pg. 12)"""
8,"[משתמש עשה ריטוויט]
""Unity Upon the Truth

The Path to Strength, Guidance, and Success. 

#UnityUponTruth
#HoldingFirmTogether
#UponTheSunnah
#StrengthInUnity
#OneUmmah"
9,"[משתמש עשה ריטוויט]
""You were never truly “Salafist,” and you are still in need of tazkiyyah.

It would serve you well to step away from social media.

A proper understanding of tazkiyyah would restrain a person from issuing fatawa on global events without the requisite knowledge or qualification."""
10,"[משתמש עשה ריטוויט]
""Representatives of Iblis amongst humans Shaykh Allamah Abdullah Al Bukhari"
11,"[משתמש עשה ריטוויט]
""Concerning the Dar-us-Salam Publication: The Biography of Imam Aboo Dawood As-Sijistani by Salaahuddeen ‘Alee ‘Abdul-Mawjood"
12,"[משתמש עשה ריטוויט]
""Close to 2000 people listening live on Mixlr &amp; YouTube. 

Masjid filled with brothers &amp; sisters. Alhamdu lillah. 

May Allah reward Shaykh Abul Hasan, attendees and listeners."
13,"[משתמש עשה ריטוויט]
""Truthfulness with Allāh and His creation will save a person in this life and in the Hereafter. 

Allāh, the Most High, says:
هَٰذَا يَوْمُ يَنفَعُ الصَّادِقِينَ صِدْقُهُمْ
""This is the Day when the truthful will benefit from their truthfulness."" [Sūrah al-Māidah, verse no.119]"
14,"[משתמש עשה ריטוויט]
""أهمية علم التوحيد"
15,"[משתמש עשה ריטוויט]
""Clarifying the Truth Is More Virtuous Than Remaining Silent

A letter sent from Shaykh ‘Abd al-Laṭīf b. ʿAbd al-Raḥman Āl Al-Shaykh (d. 1293 AH) to Shaykh Ḥamd b. ʿAṭīq (d. 1301 AH) on the state of affairs and the need for Ahl al-Sunnah to rise up and clarify the truth and defend its people."
