id,text
1,"[משתמש עשה ריטוויט]
""Fixed it"
2,I am looking for fluent Arabic speakers who can translate into English. DM me if interested
3,Brother is back kindly follow him
4,
5,"[משתמש עשה ריטוויט]
""@shababalhanbali Loool, how low will you guys go?

Imam Bukhari literally wrote a whole book on refutation against those who have similar beliefs as the ashaira.

Also in his Sahih he brings some of the salafs statements about the istiwa of Allah, clearly affirming it on its apparent meaning…"
6,"הציוץ המקורי (ציטוט):
""An academic surface-to-air missile project named “Omid” developed by students of Jabal al-Siraj Boys High School in Parwan province, secured first place at the National Science Competition Center in Kabul, competing against representatives from all 34 provinces of the country. 

--------------

תגובת המשתמש:
What kind of school project is this 😭😭"
7,"[משתמש עשה ריטוויט]
""@Sajwani @mariam_almaz11 @DillyHussain88 @DubaiPoliceHQ @TRobinsonNewEra If only your gheerah for the prophet ﷺ was as strong as your gheerah for the UAE"""
8,"[משתמש עשה ריטוויט]
""I am not associated with the Muslim Brotherhood or any political group, but I say: the slipper used for the toilet by a Muslim Brotherhood leader is more noble than the entire Zionist UAE.

To hell with the UAE. 

May Allah ruin them; by Allah, they know that they will eventually receive a divine punishment that will haunt their descendants for generations."""
9,"[משתמש עשה ריטוויט]
""@Ilmseeker_ Madkahlis: Why don't ISIS attack Jews see they are enemies of Islam 

ISIS: *attacks Jews*

Madkhalis: OMG you hate Islam how could you do this? 

can't make this up loll"""
10,"They alway's condemn when J*ws &amp; kuffār are killed, but you will never hear a word from them about the Muslims in Gaza &amp; Sudan..."
11,"Shaykh Saʿīd bin Zuʿayr, one of the students of Shaykh Ḥamūd bin ʿUqlāʾ ash-Shuʿaybī, mentioned that Shaykh Muḥammad ibn Ibrāhīm would not issue a fatwā until he presented it to his student Shaykh Ḥamūd bin ʿUqlāʾ."
12,"[משתמש עשה ריטוויט]
""BREAKING! Heartbreaking: A baby tragically died in Gaza due to the severe cold."
13,"Question to Imām an-Nawawī: which is better - engaging in J or in knowledge?""

Answer: as long as J is a communal obligation (farḍ kifāyah) - then engaging in knowledge is better. And if J becomes an individual obligation (farḍ ʿayn) - then engaging in J is better."
14,"A common trait between the hypocrites of the Messenger ﷺ and those of today is that they both turn away from J in the path of Allah, they prefer to sit back and drown in the sea of shahawāt &amp; worldly luxuries"
15,O Madkhalī!
16,"Takfīr needs to be balanced - we should be neither too lenient nor too extreme and hasty in judgement - as both will be punished for.

By excusing ṭawāghīt, mushrikūn and murtaddūn you risk your Islām and may fall under the principle:"
17,"""Whoever doesn't takfīr the kāfir is a kāfir.""

And by being too extreme and unjustly takfīring Muslims in unclear matters or out of assumption - you may fall under the Messenger ﷺ's statement: ""If a man says to his brother, 'O kāfir,' then surely one of them are such."""
18,"[משתמש עשה ריטוויט]
""Seven Daily Ibadat to Kick-Start a Blessed Day and Elevate Your Akhirah"
19,"הציוץ המקורי (ציטוט):
""In an interview with the American magazine “The Atlantic,” MBS reaffirmed that Ibn Abdul Wahhab is not Saudi Arabia.

“I would say that Muhammad Ibn Abdul Wahhab is not a prophet, he is not an angel. He was just a scholar like many other scholars in who lived during the first Saudi state, among many political leaders and military leaders.""

""The problem at that time in the Arabian Peninsula was that Ibn Abdul Wahhab’s students were the only people who knew how to read and write and history was written from their perspective. Ibn Abdul Wahhab’s writing has been used by many extremists for their own agendas. But I’m sure that if Ibn Abdul Wahhab, Ibn Baz, and others were alive today, they would be among the first people to fight these extremist ideas and these terrorist groups. The thing is, ISIS doesn't use as an example any living Saudi religious figures. When they die, they start to use their words and twist their views out of context.""

He said Saudi Arabia has Sunni and Shiite, and among Sunni, you have four schools, and Shiite have different schools, and all of them are represented in number of religious boards.

""Today, No one can push one of the schools’ views to make it as the only way of seeing religion in Saudi Arabia. Maybe that took place in some parts of our history due to the events that I told you about, especially in the 80s, and the 90s, and early 2000s. But today, we are back on the right track, as I said,"" he added.

""We are going back to the roots, back to pure Islam, to be sure that the soul of Saudi Arabia, based on Islam, our culture, whether tribal, or urban , is serving the nation , serving the people, serving the region, serving the whole world, and is leading us to economic growth. And that's what happened in the past five years. So today, I'm not saying we might do this. Maybe if we were having an interview in 2016, you would say I’m making assumptions, and that this is just the analysis of the Crown Prince of Saudi Arabia. But we did it. You see it now with your eyes in Saudi Arabia. Just come and check it out, and watch the videos of Saudi Arabia six or seven years ago. We did a lot, and there are a few things still to do. And we are going to work to make them happen.""""

--------------

תגובת המשתמש:
Don't let Shamsi see this 😂"
20,"The Prophet ﷺ said:

الدُّنْيَا سِجْنُ الْمُؤْمِنِ وَجَنَّةُ الْكَافِرِ
""The dunyā is the prison of the believer and paradise of the disbeliever."" [Ṣaḥīḥ Muslim, #2956]"
21,"[משתמש עשה ריטוויט]
""Imam Jamil Al-Amin passed away today while still confined within the prison walls. Like his companion, Imam Luqman Abdullah, who preceded him, these were men who, in shā’Allāh, remained steadfast and true to their covenant with Allāh. They stood in stark contrast to many other “imams” in the West, who faltered and compromised.

Though they may not have been formally recognized as ulama, they—in shā’Allāh—acted upon the knowledge they possessed, which is what truly matters. نَحْسُبُهُمْ كَذَلِك، وَاللَّهُ حَسِيبُهُمْ، وَلَا نُزَكِّي عَلَى اللَّهِ أَحَدًا. Even amid his suffering, Imam Jamil remained thoughtful, conveying his salām to me through some who were in touch with him.

May Allāh forgive them both, envelop them in His infinite mercy, illuminate their graves with radiant light, and elevate their ranks among the righteous.

Ahmad Musa Jibril 
2 Jumāda ath-Thānī 1447"""
22,Madkhalīs never surprise me with their nifāq
23,"To them - defending ṭawāghīt who replace and abolish the Sharīʿah is part of the Sunnah that none may defy, and anyone who is willing to defend Muslims from aggression of kuffār is a ""khārijī"" and/or ""emotional.""

الله مستعان."
24,"Also, the ironic thing is that the evidence is totally with us in the matter of J and defending Muslim lands. Shaykh ʿAbdullah ʿAzzām تقبله الله authored an excellent treatise on defending Muslim lands, which I believe every Muslim and Muslimah should read:"
25,"[משתמש עשה ריטוויט]
""Shaykh Alwan has declared every Israeli above the age of puberty one who’s blood is halal

There is no mercy to the occupiers"""
