id,text
1,"[משתמש עשה ריטוויט]
""I'd say that if you're actually worried about anti-semitism, it's probably a bad idea to announce to Americans that you now have developed AI tech to monitor Americans' speech about Israel and Jews, and you have a mega-network of 50,000 lawyers ready to sue them for free."""
2,"[משתמש עשה ריטוויט]
""U.S. Federal Appeals Court thrown out all the remaining convictions against Sheikh Dr Ali al-Timimi and ruled his convictions were unlawful and unconstitutional. 

This was Sheikh Ali's short speech before his arrest many years ago..."
3,"[משתמש עשה ריטוויט]
""@Keir_Starmer ""We regarded Maduro as an illegitimate President and we shed no tears about the end of his regime.""

Pretty sure Putin regarded Zelenskiy as an ""illegitimate president"" too.

So presumably invading Ukraine was okay, then?"""
4,"[משתמש עשה ריטוויט]
""The Tikvah Fund—which just got a $10.4M grant from the Trump admin to fight ""anti-Semitism"" and teach the Talmud—released a 22-min video touting ""Jewish exceptionalism"" and attacking the ""Tucker Carlson-AOC alliance.""

""American Jews are the wealthiest Jewish community in the history of the world,"" Tikvah's President and CEO Eric Cohen says after arguing that every Jewish youth should attend a Jewish day school (rather than assimilate into America).

He says throughout the speech that Israelis and American Jews are one and need to understand that ""being Jewish is the most important thing in the world, and in our own lives.""

Simply incredible that this outfit is now being funded by US taxpayers."""
5,"[משתמש עשה ריטוויט]
""You dumb scumbag the source of Islamic law are the Qur’an, the Sunnah, the athār (reports) of the Prophet’s Companions, the consensus (ijmāʿ) of the scholars, and qiyās (analogical reasoning) - not the actions or policies of the rulers of the UAE.

The rulers of the UAE permitted the sale of alcohol and filled Dubai with escort natashas from Russia and Ukraine - does that now make it permissible in Islam?

The holidays of the disbelievers are prohibited by the unanimous agreement of the scholars of Islam."""
6,"[משתמש עשה ריטוויט]
""Reminder while it’s being shoved down our throats with ads that gambling is goyslop slave activity"""
7,"[משתמש עשה ריטוויט]
""Anybody who uses buzzwords such as Islamist or political Islam to demonise Sunni Muslims or to use “UK Muslims” as a slur is a Zionist, or a Zionist in spirit.

Islam is through and through political, just as Christianity was before it was castrated (liberalised) by the small-hat people."""
8,"הציוץ המקורי (ציטוט):
""Mr Ahmad was an utter hero, no question. But he gets a $2.5 million check and all the press, because it's a great story and a useful 'feel good' narrative, while the Jews who also tried and fought back and died or were gravely injured get very little attention. Interesting.""

--------------

תגובת המשתמש:
it's always about the money with these people"
9,"[משתמש עשה ריטוויט]
""Dr Ellen Kriesels (@EllenKriesels) has just been arrested by the london met police on behalf of the 'israeli' jewish lobby for two X posts.

Ellen is a senior consultant paediatrician with an unblemished record. The lobby began hunting her in September because of her sign at a Palestine national demonstration.

They doxxed her and smeared her in the press.
3000+ zionist jews and pro-'israelis' complained to her hospital (that she had worked in for 15 years)
She was suspended from the Whittington Hospital within 4 days.
They (UKLFI and CAA) reported her to the medical board (GMC) and then to the tribunal (MPTS) where she had her licence suspended for 9 months.

And now they've had her arrested.

Her crimes:
- Opposing the Holocaust in Gaza
- Naming and criticising jewish supremacy.

Britain is doing this to our NHS doctors for 'israel'.
Britain is occupied."""
10,"[משתמש עשה ריטוויט]
""The most important line of this exchange:

“I’m here on the invite of the Emiratis who I am meeting tomorrow to discuss terrorist organisations in the UK.”

The Emirates is a kha’in state - one that needs to be reclassified an enemy of Muslims globally and Islam itself."""
11,"[משתמש עשה ריטוויט]
""English subtitles have been added to the interview with the brother of Muhammad Zaki Hamad, author of Beneath the Banner of the Flood.

I can’t overstate how essential this episode is. It isn’t just worth listening to, it’s one of those conversations that fundamentally clarifies what’s at stake and stays with you long after it ends."""
12,"[משתמש עשה ריטוויט]
""If chants to globalise Palestinian struggle against genocide, ethnic cleansing &amp; occupation are to be deemed violent and illegal, then it should only be fair that the ideology - zionism - predicated on genocide, ethnic cleansing &amp; occupation should also be made  illegal."""
