id,text
1,"[משתמש עשה ריטוויט]
""Yk what’s interesting as a revert

Whenever Muslims try to crowdfund

They don’t market “you’ll make more money in this life”

They talk about the deeds you’ll get in the afterlife

Interesting distinction"""
2,"[משתמש עשה ריטוויט]
""Chaos in Sudan, collapse in Libya, bloodshed in Yemen and Gaza followed by moral lectures about peace, while their islands are still occupied.
Protect sovereignty first, then speak."""
3,"[משתמש עשה ריטוויט]
""Who are my peers in a multicultural society?"""
4,"[משתמש עשה ריטוויט]
""But but IRAAAAN"""
5,"[משתמש עשה ריטוויט]
""Reporter: Why would you want someone else’s Nobel Prize?

Trump: She offered it to me."
6,"[משתמש עשה ריטוויט]
""He literally bombed hospitals every week, they gave it to him cause he’s black"""
7,"[משתמש עשה ריטוויט]
""New Restaurant Rules in Thailand🇹🇭."
8,"[משתמש עשה ריטוויט]
""ماشاء الله"
9,"[משתמש עשה ריטוויט]
""He is South African."""
10,"[משתמש עשה ריטוויט]
""""I used to work with a guy who was unemployed"""
11,"[משתמש עשה ריטוויט]
""How on earth do people watch this shite.

Society is a shambles"""
12,"[משתמש עשה ריטוויט]
""This is complete bullshit btw, the real reason is that the upper class has a deep disdain for their country's own culture and love to larp as westerners"""
13,"[משתמש עשה ריטוויט]
""The description of Kufr bi Taghut by Shaykh Sulaiman al-Alwan (may Allah free him)"
14,"[משתמש עשה ריטוויט]
""🚨  From Mecca, Saudi Arabia — Imam of the Grand Mosque prays for victory for Palestine and defeat of Israel."
15,"[משתמש עשה ריטוויט]
""It seems Tel Aviv decides who is and who isn't a Police Chief in the UK."
16,"[משתמש עשה ריטוויט]
""Fun fact: Barack Obama is the only Nobel Peace Prize winner to bomb another Nobel Peace Prize winner (Doctors Without Borders, 2015)"""
17,"[משתמש עשה ריטוויט]
""الرئيس الروسي فلاديمير بوتين يتسلم أوراق اعتماد سفير الحكومة الأفغانية المؤقتة غول حسن في الكرملين

#تفاعل ليصل إليك كل جديد"
18,"[משתמש עשה ריטוויט]
""&gt; when the Whitest people in your country are the Chinese"""
19,"[משתמש עשה ריטוויט]
""Canada hires meme as new deputy prime minister"
20,"[משתמש עשה ריטוויט]
""“Muslims only win (a battle) when they are the only one with guns.”

How did that work out in Iraq and Afghanistan for the strongest white christian army that has ever existed despite having total aircraft supremacy?"""
21,"[משתמש עשה ריטוויט]
""""i'm pro-choice, but i wasn't expecting the most predictable outcome of pro-choice"""
22,"[משתמש עשה ריטוויט]
""برنامج تلفزيوني في إحدى وسائل الإعلام الأفغانية يدوره النساء حول حق النساء في الميراث مع تسليط الضوء على أسباب حرمانهن وسبل تعزيز الوعي المجتمعي بهذا الحق.

هذه النقاشات تدحض بوضوح الادعاءات القائلة إن النساء ممنوعات من العمل الإعلامي في أفغانستان."
23,"[משתמש עשה ריטוויט]
""اكثر شيء مزعج في موضوع الحسينية ليس الاقتحام ولا عدد القيادات ولا الأفراد ولا الجرافات ولا إلقاء القبض وتكبيل صاحب المنزل ..هو انه وضع غترته على انفه ..ما فهمت الحكمة ..هل كانت هناك روائح او هناك مواد كيميائية او المكان بالنسبة وتراه مقرف او هكذا تريد إيصال الرسالة للبعض .."
24,"[משתמש עשה ריטוויט]
""عاجل 🔴 

دولة الكويت تعلن رسمياً :

ضبط حسينية غير مرخصة داخل إحدى المنازل ..

وأشرف وزير الداخلية الشيخ فهد الصباح بشكل مباشر على عملية الضبط، حيث تبيّن استخدام حسينية داخل أحد المنازل دون ترخيص لإقامة شعائر دينية بصورة مخالفة للقانون.

-"
25,"[משתמש עשה ריטוויט]
""Somali President Hassan Sheikh Mohamud and Prime Minister Hamza Barre have arrived in the city of Lasanod, the capital of the newly created Northeast State.

This is the first time a Somali president is visiting the region in four decades. The visit coincides with the inauguration of Abdikadir Ahmed Aw-Ali, known as Firdhiye, who was elected in August 2025 as the first president of Somalia’s Northeast State.

They are due to attend the swearing-in ceremony and a series of consultations with traditional elders, civil society leaders, and local officials.

The visit comes at a crucial time as Somalia makes efforts to assert its sovereignty and territorial integrity following recent unilateral recognition of the breakaway region of Somaliland by Israel, which has angered the international community, with many saying Tel Aviv's decision violated Somalia's sovereignty"""
26,"[משתמש עשה ריטוויט]
""لابد راود الكثير سؤال : ليش فهد اليوسف 
داخل الحسينية حاط الغترة على خشمه !! 
وهو الوحيد من بين الموجودين فعل هذي الحركة 

ليش حاط الغتره مغطي خشمه ؟! 

هل هو اشمئزاز ؟! 
هل هو يشعر بالقرف ؟! 

والله لا بارك الله فيك على هذا الشوو التافه 
وعلى اثارتك للطائفية وتقسيم المجتمع."
27,"[משתמש עשה ריטוויט]
""Why? And this is the why.

The point 👍"
28,"[משתמש עשה ריטוויט]
"""
