id,text
1,"[משתמש עשה ריטוויט]
""Explanation of Kitāb at-Tawḥīd

Shaykh Hassan Somali 

Tonight after Maghrib 5:30pm EST | 10:30pm UK

Broadcast LIVE : YouTube &amp; Germantown Masjid Radio"
2,"[משתמש עשה ריטוויט]
""You were never truly “Salafist,” and you are still in need of tazkiyyah.

It would serve you well to step away from social media.

A proper understanding of tazkiyyah would restrain a person from issuing fatawa on global events without the requisite knowledge or qualification."""
3,"[משתמש עשה ריטוויט]
""قال رسول الله صلى الله عليه وسلم :

” إنَّ اللهَ تعالى: لا ينامُ، ولا ينبَغِي لهُ أن ينامَ، يخْفِضُ القِسْطَ ويَرْفَعُهُ، ويُرفَعُ إليهِ عمَلُ الليلِ قَبْلَ عملِ النهارِ، وعملُ النهارِ قبلَ عملِ الليلِ، حِجابُهُ النورُ، لو كَشَفَهُ لأحْرَقَتْ سُبُحاتُ وجْهِهِ ما انتَهى إليهِ بَصَرُهُ من خلقِهِ “ .

[ أخرجه مسلم (١٧٩) ]"""
4,"[משתמש עשה ריטוויט]
""Over 1,100+ live listeners on Mixlr.

The Masjid filled with brothers and sisters.

Shaykh Abul Hasan delivering an excellent and timely address on this topic."
5,"[משתמש עשה ריטוויט]
""Truthfulness with Allāh and His creation will save a person in this life and in the Hereafter. 

Allāh, the Most High, says:
هَٰذَا يَوْمُ يَنفَعُ الصَّادِقِينَ صِدْقُهُمْ
""This is the Day when the truthful will benefit from their truthfulness."" [Sūrah al-Māidah, verse no.119]"
6,"[משתמש עשה ריטוויט]
""تبدأ دُروس شيخنا من هذا الأسبوع بإذن الله"
7,"[משתמש עשה ריטוויט]
""That Which is Worse Than Death: Wasting Time
Imām Ibn al-Qayyim"
8,"[משתמש עשה ריטוויט]
""Conference 2025: The Methodology of Ahlul-Hadith - That is the path of Ahlus-Sunnah wal-Jamāʿah &amp; the Salaf in truth. Shaykh @AbuHafsahKK حفظه الله"
9,"[משתמש עשה ריטוויט]
""The Honest Businessman and Trader 

Abdullah ibn Mas‘ud (radiyallahu anhu) used to say: “How astonishing is the state of the merchant; how can he remain safe? When he sells, he excessively praises [the product to raise the price]; and when he buys, he finds fault [to lower the price].”

Ibn Rushd (rahimahullah) said: “He means, how can he remain safe from falling into sin through praise, it is feared that he may be deceitful by praising or by finding fault. The Messenger of Allāh (sallallahu alayhi wa sallam) said: “Whoever cheats us is not from us,” (Muslim) meaning he is not upon our guidance and our path.”

(al-Bayan wal-Tahsil of Ibn Rushd 18/412)"""
10,"[משתמש עשה ריטוויט]
""How to Begin Seeking Knowledge and What to Focus On 

Shaykh Saalih Al-Fawzan 

The answer, insight, and guidance given by Shaykh Fawzan show us why they are scholars, and why we should connect ourselves to them and adhere to their advice."
11,"[משתמש עשה ריטוויט]
""Tomorrow insha Allah!

Shaykh Abul Hasan Malik (in person)

Followed by a community dinner 🍽️"
12,"[משתמש עשה ריטוויט]
""قال رسول الله صلى الله عليه وسلم :

” إِذا كانَ يَوْمُ الجُمُعَةِ وقَفَتِ المَلائِكَةُ على بابِ المَسْجِدِ يَكْتُبُونَ الأوَّلَ فالأوَّلَ، ومَثَلُ المُهَجِّرِ كَمَثَلِ الذي يُهْدِي بَدَنَةً، ثُمَّ كالَّذِي يُهْدِي بَقَرَةً، ثُمَّ كَبْشًا، ثُمَّ دَجاجَةً، ثُمَّ بَيْضَةً، فَإِذا خَرَجَ الإمامُ طَوَوْا صُحُفَهُمْ، ويَسْتَمِعُونَ الذِّكْرَ “ .

[ صحيح البخاري (٩٢٩) ]"""
