text,label_Salafi jihadi,label_Salafi taklidi,label_Irrelevant,max_prob,model_decision
"According to Shaykh Ibn Uthaymn:

The one who commits fornication and boasts about it must be called to repentif he does not, he is to be killed. 

Boasting openly shows he considers it allwhich amounts to kufr. 

He gives the example of people traveling to a Bangkok.",0.011650288,0.9876567,0.0006929712,0.9876567,Salafi taklidi
"Kufr of seeking judgment from the United Nations @UN 

 Amad Shkir
 Muqbil bin Hd
 Abdullh As-Sd 

Now imagine bragging about how much you believe in the sovereignty of the @UN, abide by its laws and belittle those who do not join in this Kufr?",0.0008421361,0.99913627,2.157246e-05,0.99913627,Salafi taklidi
"excusedrather rewarded, due to his ijtihd, good intent, and lack of negligence. But whoever follows him, being deluded by his greatness without paying attention to the true proofs from the Book of Allh and the Sunnah of His Messenger , is not excused and is in great danger.",4.5860554e-05,0.9947885,0.0051655774,0.9947885,Salafi taklidi
"In Pashto ""Sha"" sounds more accurate than ""kha"" .
It's Just my opinion, don't get mad at me.",5.0779985e-05,0.00056909595,0.9993801,0.9993801,Irrelevant
"Sheikh   : 

 Beware of defending or praising Tawaghit, otherwise you will be complicit in all their crimes..",0.9909696,0.008875473,0.00015499766,0.9909696,Salafi jihadi
"""       , 
      .  
What are the reasons for not enjoying acts of worship and what should be done. 

Sheikh SardarWali Thaqib  
[Pashto - English]",3.705834e-05,0.99970263,0.00026025518,0.99970263,Salafi taklidi
"Democracy is a Taghut and the Muslim must believe in his heart that it is falsehood, he must leave it and hate it. As for it's people, he must hate them and make takfir on them because the people of Democracy are Kuffar.

- Shaykh Ali al-Khudayr (  )",0.034308437,0.96542335,0.00026818897,0.96542335,Salafi taklidi
"New crazy laws under the Sufi regime in Afghanistan: 

Attributes of a Da'e below : 
 Must be a Muslim and from the Hanafi school of thought 

 Prohibiting a non-Hanafi from preaching

[ Basically if you are a salafi / ahlul hadith then you have no right preach ]",0.00036245043,0.97856355,0.021073947,0.97856355,Salafi taklidi
"If they had just mentioned ""Muslims and Sunni""  it would have been alright but to restrict preaching only to hanafis it's madness and fanaticism and wallahi imam Abu hanifa RH would not have approved of this.",0.5482444,0.45111898,0.0006366078,0.5482444,Salafi jihadi
"Sheikh Muhammad Ibn 'Abdul-Wahhab  : 

""Meaning of kfr bit-Taghut is to reject everything which is worshipped instead of Allah and to testify that such is on kfr and misguidance, to hate him, even if he is you father or brother. One who says: ""I'm worshipping only Allah",0.999648,0.00013063467,0.00022137057,0.999648,Salafi jihadi
"but I'm not hostile towards leaders neither towards shrines over graves and similar. Such person in essence is negator of La llha Ila Allh. He does not believe in Allh nor he performed kufr in Taghut.""

[ad-Durar As-Saniyyh, vol. 2, p. 121/122]",0.3059135,0.0032186713,0.6908678,0.6908678,Irrelevant
"""""Hey Eitan! We are quite pleased to have upset Israeli-funded so-called ""OSINT"" fraudsters like yourselves. 

You can only continue to delude yourselves with your nonsense. 

If you conduct your research properly, you will understand why our early growth was so rapid.

We recommend you get support from your other funded friends. Its hard to even understand what youre trying to say. Maybe you should get some help with that. 

We are not trying to take over this platform like you, by buying bots or manipulating algorithms.

The news is what it is. And we just share it. Keep following us.""
""
--------------",3.0053547e-05,0.001552631,0.99841726,0.99841726,Irrelevant
"""""@BroHajji @just1happycat As an urf, since when do they wear hijab?

You gave academic proofs as to why they should wear it.

There is also scriptural proof why they should believe in 1 God, shouldn't drink/eat swine

But none do due to the corruption of their faith.

Corruption Allah acknowledges in 5:73 
""
--------------

This prostitute of iblis and lover of Zaqqum had the audacity to call me a Jewish agent for takfiring rawafidh and nusayris yet he is married to a Jew and she doesnt even cover

These redpillers are the biggest munafiqeen Wallahi. No surprise whatsoever tho",0.6476302,0.029991303,0.32237843,0.6476302,Salafi jihadi
"Bro wants to shit on Muslim women online 24/7 whilst he bowcats a Jew you cant make this up. That doesnt even count as a marriage either, he just wants to justify his zina",3.27032e-05,0.0013380655,0.9986292,0.9986292,Irrelevant
"""""Mali : Russian mercenaries are being kicked out of Kidal unceremoniously as FLA Tuareg rebels send them their regards.

Like Karabakh in 2023, and Syria in 2024, the Russians refuse to fight when things got tough, and are being showed the door as a result. 
""
--------------

Been saying for ages that Russia is legitimately the worst ally to have lmfao. Genuinely pathetic and incompetent clowns, acted all tough r*ping Niqaabis and burning down villages and as soon as real men step up, they get smoked and ran away. Sahel governments are clowns",0.0016753048,1.1593181e-05,0.9983132,0.9983132,Irrelevant
"""""BREAKING: Malis Defence Minister General Sadio Camara has been killed amid coordinated attacks in military sites across the country, sources told Al Jazeera  
""
--------------

JNIM and FLA:",0.03681071,9.675629e-05,0.9630925,0.9630925,Irrelevant
"""Kufr of seeking judgment from the United Nations @UN 

 Amad Shkir
 Muqbil bin Hd
 Abdullh As-Sd 

Now imagine bragging about how much you believe in the sovereignty of the @UN, abide by its laws and belittle those who do not join in this Kufr?",0.9831139,0.016826073,6.0029975e-05,0.9831139,Salafi jihadi
"""Ibn al-Qayyim mentions similar point as Shaykh Khlid, but in a different context:

This interpretation is weak, because the mere act of denying it is disbelief, whether one rules by it or does not rule.",0.00039932778,0.9810067,0.01859399,0.9810067,Salafi taklidi
