text,id
"""""Wahhabism is the tool of extremism and modern day terrorism. 

It began as theology fused with power.

Muhammad ibn Abd al-Wahhab was an 18th-century cleric from Najd who preached uncompromising monotheism and condemned what he saw as religious deviation. But his defining weapon was not spirituality. It was takfir: declaring other Muslims outside the fold.

And even inside his own home, there was alarm.

His father, Abd al-Wahhab ibn Sulayman, reportedly warned people not to follow his sons extremism. His own brother, Sulayman ibn Abd al-Wahhab, wrote an entire refutation:

      
Al-Sawaiq al-Ilahiyya fi al-Radd ala al-Wahhabiyya
(Divine Thunderbolts in Refutation of the Wahhabis)

In it, he warned that reckless takfir leads to bloodshed. He compared the movement to early Kharijite extremism  religion weaponized against Muslims. And, that is exactly what happened in the following years.

Then came 1744.

The pact between Ibn Abd al-Wahhab and Muhammad bin Saud in Diriyah.

The formula was simple and ruthless:

Al-Sheikh holds religion.
Al-Saud holds power.

Through that alliance, theology became state machinery.

Expansion was framed as purification. Campaigns like the attack on Karbala in 1802 are documented in multiple chronicles. Sectarian violence was justified as religious correction. Unity meant obedience. Dissent meant deviance.

That fusion : Religion as political legitimacy became the backbone of the Saudi state model.

Fast forward to the 20th century.

Oil wealth globalized the doctrine. Religious institutions expanded. Clerical authority was centralized. Universities such as Imam Muhammad ibn Saud Islamic University became exporters of a rigid interpretation of Salafism.

Then came Afghanistan.

During the Soviet war, Saudi religious rhetoric aligned with U.S. anti-communist strategy. Arab Afghans were mobilized under religious banners. The ideological infrastructure created centuries earlier proved adaptable to modern geopolitics.

From that environment emerged figures like Osama bin Laden, founder of Al-Qaeda. Later movements from Al-Qaeda to ISIS drew heavily from Takfiri Wahhabi logic: excommunication as a political weapon to justify jihad and murder. 

This does not mean Ibn Abd al-Wahhab sat in the 18th century planning 9/11.

It means that when you normalize declaring Muslims apostates, and when state power protects that logic, you build an intellectual ecosystem extremists can later radicalize further.

The 9/11 hijackers, European terror cells, sectarian militias in Iraq and Syria  they justified violence using theological frameworks built on takfir and militant purification.

That ideological pipeline matters.

Throughout modern Middle Eastern politics, religion was repeatedly used as leverage:

Against Arab nationalism.
Against Jamal Abdulnasser.
During Cold War alignments.
During regional rivalries.

Each time, theology served strategy.

And now?

When Saudi enters political conflict whether in Yemen, Qatar, or against the UAE  the instinctive tool is familiar: religious framing. Accuse. Label. Delegitimize.

Same method. New arena.

History shows the pattern:

When religion becomes state armor, power hides behind piety.
When dissent becomes heresy, control becomes sacred.
And when takfir becomes political currency, violence follows.

The earliest warning came from inside the family itself. But were silenced so Bin Saud and Alsheikh can carry out their gruesome acts of genocide against the Shia people in Alhassa and then in 1802, Saudi-Wahhabi forces attacked Karbala and killed under the justification of Takfir.""
""
--------------

Zio-Emiratism is a tool of 

The reality, as i stated before, is that many of these  funded Emiratis hate Islam and Tawheed

May Allah have mercy on Shaykh Muhammad Ibn Abdulwahhab

He is free from the lies you associate with him",
"""Aid the Dawah in Coventry 

We are running low on funds!

Whatever you can give 1, 2, 5, 10, 20 it will all add up insha Allah and go towards the running of the free lessons that are on offer",
"""You know we're cooked when the bare minimum is considered ""significantly stricter"" and a ""win.""""",
"""  NEW: Reality of the Rafidah  By Al-Allamah Salih Al-Fawzan and Al-Allamah Rabee 

Excerpt: In The Name of Allah, The Most Merciful, The Bestower of Mercy.
Al-Allamah Salih Al-Fawzan, may Allah preserve him, was asked:

Is it correct that the first to innovate the path of the Raafidah was Abdullah Ibn Saba - a Yahudi?

Response:

Yes, without a doubt. The Rafidah or the Shiites in general are of two types: The Shiites from the fire worshipers and the Shiites from the...

 Read the full post: 

 Join our Telegram Channel:",
"""08 | #Ramadan1447 | WOULD A LIE LAST THAT LONG | Shaykh Musa Jibril (  )
PDF: 
SRT:",
""" NEW UPLOAD - Music is from the Sunnah of The Mushrikn (Polytheists) 

By Sh. Abdulilah Lahmami  
@Abdulilah_UK 

Link  

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah",
"""Quran classes 1-1",
"""Thomas Massie: Covid, Epstein, and Iran",
"""@gtdawahcenter",
"Tafseer, Palestine Update &amp; Q&amp;A 
 Today @ 1PM UK  All welcome!
  Sheikh Muhammad Al- Massari
 Zoom: 
 ID: 744 6271 2970 |  Pass: hello
 Surah Ash-Shu'araa: 
 YouTube:",70.0
"""Free Ebook:

Ruqyah for Treatment of Magic and Evil Eye From the Noble Quran

140 pages, PDF.

Download here:

 
InshAllh, 10,000 print copies for free distribution available from  soon.",
"""Ash-Shahd Ab Hamzah as-Sdn describes how the orphans of Shm used to boast about their fathers Shahdah:",
"""Ahmed al-Sharaa states in his Consitution:

""Citizens are equal before the law in rights and duties, without discrimination based on race, religion, gender, or lineage.""

Who would risk throwing themselves into Hellfire by declaring that the one who holds this belief is a Muslim?",
"The CENTCOM has published footage of the US military HIMARS firing ""ATACMS"" Missiles towards 3 Iranian TEL's, including that of what is presumably ""Kheibar Shekan"" &amp; ""Fateh-110"" MRBMs, and 1 VHF Radar, laced via USAF ""MQ-9A"" UAV, during Operation ""Epic Fury"" over the past day.",
"""If you shelter murderers and give them a head quarters to attack from, dont play the victim card when youre attacked by the murderers victims.

Shaykh Younus Kathrada  """,
"""""Don't give the Turks what they want, they are itching for it 
""
--------------

It will look completely different than that 
Arming militias, coups and civil war 
This is what they want",
#islamicreminder  #quran  #health  #quranichealing  via @YouTube,
"""Looks like we've got our closest look at the quad canister launchers for Mikholit munitions on a downed Israeli Hermes-900",
"""@xavierjp__ @MAkhtar59405 MBS stripped all their powers to the point where they became essentially useless. 

So practically, they do not exist anymore there.""",26.0
"""Sh.Abdul-Aziz Bin Baz (may Allah have mercy on him) said:

""As for National Day and celebrating National Day on any day...then all of this is an innovation, all of it is from the innovations &amp; an imitation of the enemies of Allah.""

#Saudi_National_Day_92
#__""",
""""" 
""
--------------

This movie was insulting Muslims
They portrayed a Muslim mutabarijah whos sleeping with non Muslim man as a honeypot trap of jihadists 

The funny thing is; they do it themselves 
Everyone knows that Mossad does this and others too
Projecting their degeneracy onto Muslims",
May Allah reward our brothers @salafidawahdub for facilitating the conference over the past weekend. The enthusiasm of all involved in the community was extremely encouraging. We ask Allah that their dawah continues to go from strength to strength,
"""Starting in August In Sha Allah please repost and share, Baarakallahufeekum",
"""",
"""To those who call for Unity with the Rafidha.",
"They alway's condemn when J*ws &amp; kuffr are killed, but you will never hear a word from them about the Muslims in Gaza &amp; Sudan...",10.0
"""NHS doctors arrested in Britain for speech against 'israel': 5+

IOF soldiers arrested in Britain for mass murder, war crimes, and genocide: 0

This is the real hierarchy.""",18.0
"Inna lillahi wa inna ilahyi rajioon

Sheikh Rabee Bin Hadi al-Madkhali has passed away, may Allah forgive him, have mercy on him and grant him paradise ameen.

Certainly the passing of the scholars is a loss for the Ummah.",
"""05 | #Ramadan1447 | THE NAMES &amp; ATTRIBUTES OF ALLAH | Shaykh Musa Jibril (  )
PDF: 
SRT:",
"""SNEAKO asks Glenn Greenwald why Brazilian UFC fighters such as Charles Oliveira are Z*onists who support lsraeI 

""There's a big dr*g gang, they renamed this huge favela 'The Complex of lsraeI'. They wear IDF uniforms, their pools have a gigantic Star of David in the middle. You'll see more lsraeI flags than Brazil flags.""

""If you're Evangelical in Brazil, central to your religious identity, is you have to support the current modern day lsraeI.""

""Catholics and Orthodox have stayed immune to that.""""",
"""so im watching shaykh khalid   teach the children - seconds into the dars and i cant stop smiling",
"""Builds iOS apps from Windows or Linux via GitHub Actions",
"""Daniel Haqiqatjou is a disgusting Iranian agent

Look at how he mocks Saudi Arabia while it was being unjustly attacked""",
"Khamenei, the oppressor, tyrant, and butcherer of Muslims is no more",
"""Indeed those who disbelieved and died as disbelievers, not even an earth full of gold will be accepted from them as ransom. For such people there is a painful punishment; and none shall come to their help.""

-Quran 3:91",
"""""The Haifa Museum of Art in Israel displays the McJesus statue.

Funny how they can mock Jesus like this while constantly claiming Israel is the greatest ally of Christians. 
""
--------------

no such thing as judeo-christian",
"""Our story is one of transient venues in an effort to seek knowledge and call the people to it

Moving from one venue to another for 12 years. 

Alhamdulilaah Allah has made it easy for us to buy a building and we are in the process of refurbishing it. 

A Markz built upon the correct Aqeedah and sound Manhaj. 

Dawah Salafiyah is a blessed dawah that calls people to the Quran and Sunnah upon the understanding of the 
Salaf Us Saalih.



Ways to donate 

 



 Lloyds Bank
Markaz Bukhari
41059860
309089""",
""" A Mistake in Children's Tarbiyah

In many communities, there are children who grow up memorising Qur'an but without learning Iman.

This leads to a generation of Huffadh, who are ignorant of the correct Aqidah and the basics of Islam.

Jundub (radihaAllhu anhu) said, ""We were with the Prophet as young boys, we learnt Iman before we learnt the Qur'an, then we learnt the Qur'an and we increased by it our Iman."" [Ibn Majah]""",
"""This is the logical endpoint of islamo-leftism: an ambiguously brown uncovered foid posting about the haramness of capitalism while shacking up with a (presumably white) kaffir in ramadan

The Jews have molested us in ways we cant even comprehend",
"asan al-Basr   said: 
Every path has a shortcut, and the
short cut to Paradise is hd.",99.0
"""""American embassies in the Islamic world are not like other embassies. Rather, they are embassies that perform an intelligence role and seek to extend American influence in Muslim lands. The ongoing war against Islam,  including the war against jihad (which they call terrorism) and the spread of the democratic creed,  is all planned from within these embassies.

American embassies present in Muslim lands have no legal (shar') status whatsoever. Indeed, the religious obligation requires severing relations with the American government and expelling its ambassadors, since it is a state at war with Islam and occupying Muslim lands.""

Shaykh Abu Mundhir as Shanqiti""",
Guidance Lost Through Shirk (Associating Partners with Allah)  |ClickDEE...  via @YouTube,
"It is narrated from Abdullh ibn Amr that he said:

""A time will come upon the people, when they will gather in the mosques, yet there will not be a single believer within them.""

 || a al-Mustadrak No. #8585",98.0
"""EXPOSED: The Confused Epistemology of Dr Yasir Qadhi

New video just dropped",
""" Continuation of the 4-Part Series taking place in Nottingham

 The 3 Principles of Islm

 Ustdh Abu 'AbdirRahmn Hill

 Lesson 2 of 4: Monday 19th May @ 7pm

 The Vine Community Centre, Bobbersmill Road, NG7 5GZ

Brothers &amp; Sisters Welcome",
"""""It is far past time we Christians and Muslims unite on our shared similarities rather than fight over our minor differences. 

They spit on Christians and bomb the Muslims. Why are we deceived into hating each other by those who hate the Messiah?""
""
--------------

Shirk is not a minor difference

We only unite on Islam

Say, ""O People of the Scripture, come to a word that is equitable between us and you - that we will not worship except Allah and not associate anything with Him and not take one another as lords instead of Allah..."" [3:64]",
Islam is the only true religion,
#allah#love #respect  via @YouTube,
"""Never forget Gaza""",
"""Jonathan Hall KC, the UKs Independent Reviewer of Terrorism Legislation, stated in a speech that the ""demonisation of Israelis"" should be treated as a hate crime under existing laws.

Speaking at an event hosted by the think tank Policy Exchange, Hall argued that current legal frameworks are not being adequately enforced to protect Israeli citizens or those targeted based on their nationality.

Hall KC has a family connection to UK Lawyers for Israel (UKLFI) through his father-in-law, Lord Dyson.

Lord Dyson (John Dyson), a former Supreme Court judge and Master of the Rolls, is a patron of UKLFI.

These links were highlighted by critics and independent journalists in August 2025, leading to accusations of a potential conflict of interest given his role in reviewing terrorism laws that affect pro-Palestinian groups like Palestine Action.""",85.0
Do Not Associate Anything With Allah |ClickDEEN360  via @YouTube,
"""Zarqawi cutting their head off was understandable""",
"""Madinah Book 1 courses available
Starting soon
Email for more details 
Discounts available!",
"""This is my will and my final message. If these words reach you, know that Israel has succeeded in killing me and silencing my voice. First, peace be upon you and Allahs mercy and blessings.

Allah knows I gave every effort and all my strength to be a support and a voice for my people, ever since I opened my eyes to life in the alleys and streets of the Jabalia refugee camp. My hope was that Allah would extend my life so I could return with my family and loved ones to our original town of occupied Asqalan (Al-Majdal). But Allahs will came first, and His decree is final. I have lived through pain in all its details, tasted suffering and loss many times, yet I never once hesitated to convey the truth as it is, without distortion or falsificationso that Allah may bear witness against those who stayed silent, those who accepted our killing, those who choked our breath, and whose hearts were unmoved by the scattered remains of our children and women, doing nothing to stop the massacre that our people have faced for more than a year and a half.

I entrust you with Palestinethe jewel in the crown of the Muslim world, the heartbeat of every free person in this world. I entrust you with its people, with its wronged and innocent children who never had the time to dream or live in safety and peace. Their pure bodies were crushed under thousands of tons of Israeli bombs and missiles, torn apart and scattered across the walls.

I urge you not to let chains silence you, nor borders restrain you. Be bridges toward the liberation of the land and its people, until the sun of dignity and freedom rises over our stolen homeland. I entrust you to take care of my family. I entrust you with my beloved daughter Sham, the light of my eyes, whom I never got the chance to watch grow up as I had dreamed.

I entrust you with my dear son Salah, whom I had wished to support and accompany through life until he grew strong enough to carry my burden and continue the mission.

I entrust you with my beloved mother, whose blessed prayers brought me to where I am, whose supplications were my fortress and whose light guided my path. I pray that Allah grants her strength and rewards her on my behalf with the best of rewards.

I also entrust you with my lifelong companion, my beloved wife, Umm Salah (Bayan), from whom the war separated me for many long days and months. Yet she remained faithful to our bond, steadfast as the trunk of an olive tree that does not bendpatient, trusting in Allah, and carrying the responsibility in my absence with all her strength and faith.

I urge you to stand by them, to be their support after Allah Almighty. If I die, I die steadfast upon my principles. I testify before Allah that I am content with His decree, certain of meeting Him, and assured that what is with Allah is better and everlasting.

O Allah, accept me among the martyrs, forgive my past and future sins, and make my blood a light that illuminates the path of freedom for my people and my family. Forgive me if I have fallen short, and pray for me with mercy, for I kept my promise and never changed or betrayed it.

Do not forget Gaza And do not forget me in your sincere prayers for forgiveness and acceptance.

Anas Jamal Al-Sharif
06.04.2025

This is what our beloved Anas requested to be published upon his martyrdom.""",
"""This lecture will examine the claims of the Quranists. Insha Allah. 

Those who reject the Sunnah as a source of Islamic legislation while claiming to follow the Quran alone.

This doctrine stands in blatant contradiction to the commands of the Quran itself.""",
"Idlib, Syria",
#surahmuzamil #viral #explorepage  via @YouTube,
