text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,max_prob,model_decision,uncertainty_score
""" LIVE TODAY!
Please join us for a special DawahWise 450K subscribers livestream!
Live Q&A - Engage, Challenge, Clarify
Link: 
Thursday, 23rd Apr, 2026 at 5pm (UK) | 9:30pm (IST) | 12pm (EST)
 Panel: Dr. Sarmad and I.Hakim @CogentFaith with the #DawahWise Team: @MansurXAhmed and Hashim @DawahWise
Please Like, Share, Subscribe and Follow""",0.25161418,0.08014348,0.75772834,0.75772834,Salafi taklidi,0.24838581999999998
""" LIVE NOW!
Please join us for a special DawahWise livestream!
P2 - If Hinduism Is Universal Truth, Why Did the World Reject It? - Live Q&A
Link: 
Thursday, 16 Apr, 2026 at 9:30pm (UK)
 Panel: Zeeshan @Smile2Jannah, I.Hakim @CogentFaith with the #DawahWise Team: @MansurXAhmed, Mohammad @Real_MetaPhysix and Hashim @DawahWise
Please Like, Share, Subscribe and Follow""",0.26783052,0.0722446,0.7432111,0.7432111,Salafi taklidi,0.23216947999999998
""" LIVE TODAY!
Please join us for a special DawahWise livestream!
If Hinduism Is Universal Truth, Why Did the World Reject It? - Live Q&A
Link: 
Thursday, 16 Apr, 2026 at 5pm (UK) | 9:30pm (IST) | 12pm (EST)
 Panel: Zeeshan @Smile2Jannah, I.Hakim @CogentFaith with the #DawahWise Team: @MansurXAhmed, Mohammad @Real_MetaPhysix and Hashim @DawahWise
Please Like, Share, Subscribe and Follow""",0.22170185,0.08836833,0.7896685,0.7896685,Salafi taklidi,0.27829815
""" LIVE TODAY!
Please join us for a special DawahWise livestream!
Live Q&A - Engage, Challenge, Clarify
Link: 
Thursday, 9th Apr, 2026 at 5pm (UK) | 9:30pm (IST) | 12pm (EST)
 Panel: Al-Yemeni @MARazack26 and I.Hakim @CogentFaith with the #DawahWise Team: @MansurXAhmed and Hashim @DawahWise
Please Like, Share, Subscribe and Follow""",0.22171575,0.08446913,0.7325546,0.7325546,Salafi taklidi,0.23255459999999994
""" LIVE TODAY!
Please join us for a special DawahWise livestream!
Most Compelling Argument for Gods Existence
Link: 
Thursday, 2nd Apr, 2026 at 5pm (UK) | 9:30pm (IST) | 12pm (EST)
 Panel: @YusufPonders and Muris @IslamDiscovered with the #DawahWise Team: @MansurXAhmed and Hashim @DawahWise
Please Like, Share, Subscribe and Follow""",0.35500705,0.058610477,0.6054358,0.6054358,Salafi taklidi,0.10543579999999997
"[Al-Baqarah - 136] Say (O Muslims), ""We believe in Allah and that which has been sent down to us and that which has been sent down to Ibrahim (Abraham), Isma'il (Ishmael), Ishaque (Isaac), Ya'qub (Jacob), and to Al-Asbat [the twelve sons of Ya'qub (Jacob)], and that which has been given to Musa (Moses) and 'Iesa (Jesus), and that which has been given to the Prophets from their Lord. We make no distinction between any of them, and to Him we have submitted (in Islam).""

Sadly, the earlier people that were entrusted with much of what was revealed to these prophets, these communities failed to preserve these revelations. 

Muslims do not need to look for these revelations of the past. Quran describes to us what is needed to know. 

Previous revelations were for the people of the past. 
Quran is for now and for the future. 
There is within it guidance, without doubt, for people of consciousness of God.",0.765181,0.068073034,0.14019029,0.765181,Irrelevant,0.265181
"""Ramadan Mubarak! from the DawahWise team.
May Allah forgive our shortcomings and accept our prayers, fasts, tilawa'at, charity and all ibada'at in this blessed month. Keep us all in your du'as  

@MansurXAhmed",0.8516121,0.07350802,0.07824937,0.8516121,Irrelevant,0.3516121
""" LIVE TODAY!
Please join us for a special DawahWise Livestream!
Link: 
Decoding Advaita Vedanta Hindu Philosophy - Live Q&A
Thursday, 12th Feb, 2026 at 5:30pm (UK) | 11pm (IST) | 12:30pm (EST)
 Panel: Malik and I.Hakim @CogentFaith with the #DawahWise Team: @MansurXAhmed and Hashim @DawahWise
Please Like, Share, Subscribe and Follow
#brahman #hinduism #advaitavedanta""",0.27067968,0.06726571,0.7049993,0.7049993,Salafi taklidi,0.2049993
""" LIVE TODAY!
Please join us for a special DawahWise livestream!
The Dharma Myth: Why So Many Hindus Defend What's Not Divine? - LIVE Q&A
 Thursday, 29th Jan, 2026 at 5pm (UK) | 10:30pm (IST) | 1pm (EST)
Link: 
 Panel: Zeeshan @Smile2Jannah, I.Hakim @CogentFaith with the #DawahWise Team: @MansurXAhmed and Hashim @DawahWise""",0.24442132,0.07468031,0.74119925,0.74119925,Salafi taklidi,0.24119924999999998
"POST 6  Motive check: Did he gain anything?

Power, wealth, status?
False prophets seek:
  Luxury
  Control
  Dynasties

Muhammad :
  Lived in a mud-brick room
  Often slept on a straw mat
  Died with his armour pawned for food
  Left no inheritance

When offered kingship and wealth, he refused.
Even after ruling Arabia, his lifestyle did not change.
Reminder:
People fake religion to gain the world  Muhammad  abandoned the world when it was offered to him.

The claim that Muhammad  sought worldly gainwealth, power, or prestigeis contradicted by well-attested historical and material evidence from his life.

Despite ruling Madinah and having access to resources unavailable to him earlier in Makkah, the Prophet  continued to live in extreme material simplicity. His dwelling beside the Prophets Mosque was austere, especially when contrasted with the luxury of contemporary Byzantine and Sasanian rulers. This physical reality remains a tangible historical testimony.

Multiple authentic reports establish that his lifestyle was one of consistent moderation and self-denial:

  Chronic material scarcity: ishah reported that the Prophets household in Madinah did not eat their fill for three consecutive nights until his death (Bukhr 6089; Muslim 2970). Even at the time of his passing, there was nothing edible in his home except a small amount of barley (Bukhari 6086, Muslim 5281).

  Voluntary asceticism: This deprivation was not forced by weakness or persecution; it continued unchanged even when wealth and authority were available to him.

  Aversion to wealth at death: During his final illness, the Prophet  insisted that a small amount of gold in his possession be given away in charity immediately, expressing fear of meeting God with any worldly attachment (reported by Amad; authenticated by al-Haytham).

  Eyewitness testimony of companions: Umar ibn al-Khab described finding the Prophet  sleeping on a rough mat that left marks on his body, with only a small measure of barley and a few leaves as provisions. When Umar wept at this contrast with imperial luxury, the Prophet replied: Are you not pleased that they have the world, and we have the Hereafter? (Ibn Mjah; authenticated by al-kim).

  No accumulation or inheritance: He died with his armour held as collateral by a Jewish resident of Madinah for barley (Bukhr 2759). He explicitly declared that prophets do not leave inheritance; whatever they leave is charity (Bukhr 6346; Muslim 1758). Consequently, neither his wives nor his daughter inherited wealth from him.

This patternliving with the bare minimum, dying with the bare minimum, and leaving ones family with the bare minimumis fundamentally inconsistent with the behaviour of a charlatan motivated by self-interest, prestige, or material gain.

This conclusion is not confined to Muslim scholarship. The New Catholic Encyclopedia states:
A case has been made that mere economic gain was the inspiration for Mohammeds religious revolution. That case does not suit the facts as they are known. (The New Catholic Encyclopedia 2003, second edition, vol 10, p52. art. Muhammad.)

Taken collectively, the evidence strongly indicates that Muhammad  did not possess, nor act upon, any worldly interest in his claim to Prophethood.",0.8477638,0.062172204,0.10980954,0.8477638,Irrelevant,0.34776379999999996
""" LIVE TODAY!
Please join us for a special DawahWise livestream!
Live Q&A - Engage, Challenge, Clarify
Link: 
Thursday, 22nd Jan, 2026 at 5pm (UK) | 10:30pm (IST) | 1pm (EST)
 Panel: Muris @IslamDiscovered, I.Hakim @CogentFaith and Al-Yemeni @MARazack26 with the #DawahWise Team: @MansurXAhmed and Hashim @DawahWise
Please Like, Share, Subscribe and Follow""",0.18105093,0.09817013,0.77209693,0.77209693,Salafi taklidi,0.27209693
""" LIVE TODAY!
Please join us for a special #DawahWise Livestream!
The Shocking Connection Between UFOs, Aliens and Jinns- LIVE Q&A
Link: 
 Thursday, 15th Jan, 2026 at 5pm (UK) | 10:30pm (IST) | 1pm (EST)
 Panel: @ImranHussein87, @BroFaruq, Islam Hakim @CogentFaith and Hashim @DawahWise
Please Like, Share, Subscribe and Follow
#ufos, #alien, #jinn, #islam, #paranormal, #encounters, #supernatural, #abductions, #demons, #spiritual, #unexplained""",0.24917127,0.0814608,0.7250988,0.7250988,Salafi taklidi,0.22509880000000004
