text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,max_prob,model_decision,uncertainty_score
"""Aisha (may Allah be pleased with her), who said that the Prophet () said:
""Indeed, it (good character) increases homes in prosperity and prolongs lifespans.""

Imam Ahmad (6/159).

This hadith is Saheeh""",0.6465326,0.011817797,0.5087462,0.6465326,Irrelevant,0.008746200000000037
"""Generation after generation, the masjid (mosques) have been the blessed foundation for every student of knowledge and the path of the scholars in seeking & spreading knowledge. Step by step, until many were raised by Allh to become illustrious Imms, beacons of guidance who combined true knowledge with righteous action, benefiting both themselves and the Ummah.""",0.5666879,0.020959152,0.21975121,0.5666879,Irrelevant,0.06668790000000002
""" The Salaf and their Fear of the Fitnah of Women",0.500386,0.34122986,0.06664214,0.500386,Irrelevant,0.00038599999999999746
"""""The Salaf never made men the scale for truth.

They followed the truth, and honoured those who followed it.

Today, many have reversed this: we follow fulan = therefore we must be upon the truth.

This is not Salafiyyah.

Its sectarianism in Salafi clothes.""
""
--------------

Personality-Based Hizbiyyah: A Hidden Fitnah in the Salafi Dawah",0.043723825,0.32465047,0.69251204,0.69251204,Salafi taklidi,0.17534952999999998
"The Salaf never made men the scale for truth.

They followed the truth, and honoured those who followed it.

Today, many have reversed this: we follow fulan = therefore we must be upon the truth.

This is not Salafiyyah.

Its sectarianism in Salafi clothes.",0.031929992,0.06223704,0.89124703,0.89124703,Salafi taklidi,0.39124703000000005
"May Allah purify the dawah from hidden hizbiyyah,

Unite us upon truth,

And make our hearts attached to the aqq, not people.",0.8549545,0.036475036,0.04061845,0.8549545,Irrelevant,0.35495449999999995
"""Abu alah Dawood Burbank (may Allh have mercy upon him and his wife) he was a beloved teacher and friend, a good example to us all. He died in 2011, and till this day, almost daily,  we come across some work he did during his lifetime! 

We miss him dearly, may Allh reward him for his great efforts and grant him and his family the highest ranks of paradise.""",0.29195073,0.01611087,0.6576763,0.6576763,Salafi taklidi,0.1576763
"O Students of Knowledge put everything in its right place. Venerate the Book and the Sunnah, and return to the scholars: their speech, books, and their application; but its not proof.",0.7906556,0.008453445,0.3346175,0.7906556,Irrelevant,0.1653825
"""NEW: The Trials will Increase as Time Goes By Until the Hour is Established. 

40 Hadith in Clarification of the Madhhab of the Salaf, that is the Madhhab of Ahlul-Hadith. (Hadith no. 10)

Read and share the PDF link:",0.08256409,0.015150217,0.83424616,0.83424616,Salafi taklidi,0.33424615999999996
"""The Messenger of Allah  said, Take up your shields. They said, O Messenger of Allah, is the enemy present? The Prophet said, No, rather your shields from the Hellfire are to declare the glory of Allah, the praise of Allah, there is no God but Allah, and Allah is the greatest. Verily, they will come on the Day of Resurrection as saviors and guardian angels, and they are righteous deeds everlasting.

Source: al-Sunan al-Kubr lil-Nas 10617

Grade: Sahih (authentic) according to Al-Albani""",0.079237714,0.021101298,0.83608776,0.83608776,Salafi taklidi,0.33608775999999996
"""En route to Birmingham for a workshop at Al-Mahdi Institute (@almahdi_inst). I will be reading and sharing my thoughts on al-Rz's natural theology based on Malim Ul al-Dn, along with background knowledge of al-Malib al-liya.",0.224485,0.012900487,0.6565047,0.6565047,Salafi taklidi,0.15650470000000005
"""The adddiyyah] used to lie and slander (people), and slander (more). So we explained their shaykhs lie, and his errors and misguidance, but they only increased their exaggeration in him.",0.4504826,0.02910685,0.21672553,0.4504826,"No decision, maximum is Irrelevant",0.04951739999999999
""" Tafdhl (Preferment) of Men and Madh-habs Over Others Contains Danger to the Intellect, Knowledge and the Religion

Ibn Taymiyah (rahimahullh) stated: ""...the Hud-Hud (Hoopoe) was just a bird from the birds; yet he said to Sulaimn, the Prophet of Allh to whom He had given wisdom and knowledge: 'I have encompassed [knowledge of a thing] which you have not encompassed.'""""",0.21996155,0.02676974,0.5320516,0.5320516,Salafi taklidi,0.03205159999999996
