text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,max_prob,model_decision,uncertainty_score
"According to Shaykh Ibn Uthaymn:

The one who commits fornication and boasts about it must be called to repentif he does not, he is to be killed. 

Boasting openly shows he considers it allwhich amounts to kufr. 

He gives the example of people traveling to a Bangkok.",0.10299484,0.16913839,0.3320161,0.3320161,"No decision, maximum is Salafi taklidi",0.16798390000000002
"Shaykh Abu Al al-asan said,

Dont be surprised by the actions, behavior or stances of the Madkhilahfor they are vile traitors.

If a person becomes slave to the ruler, then expect from him every evil action.

A Madkhal feels no shame to act as a pimp for his authority.",0.03990758,0.28743258,0.5743022,0.5743022,Salafi taklidi,0.07430219999999998
10. Senior student of Shaykh Sulayman al-Alwn said the same.,0.050408684,0.09925325,0.64540654,0.64540654,Salafi taklidi,0.14540653999999997
"""""#NEW | The Ruling on Normalization Treaties | (01) Ramadn 1445 Q&amp;A | Shaykh Ahmad Musa Jibril (  )

#Ramadan1445QA 
""
--------------

11. Shaykh Amad Ms Jibrl",0.08408917,0.87950677,0.19412817,0.87950677,Salafi jihadi,0.30587183
"al-Muallim al-Yamn said,

Know that Allh,  , may cause some of the sincere people to fall into a certain mistake as a trial for others: will they follow the truth and leave that persons statement, or will they be deceived by his virtue and status? That person is",0.22168335,0.023889225,0.51806045,0.51806045,Salafi taklidi,0.018060450000000006
"excusedrather rewarded, due to his ijtihd, good intent, and lack of negligence. But whoever follows him, being deluded by his greatness without paying attention to the true proofs from the Book of Allh and the Sunnah of His Messenger , is not excused and is in great danger.",0.5767949,0.019563857,0.24796575,0.5767949,Irrelevant,0.0767949
"The Salaf saw the school of the Murji'ah to be the most dangerous, because it is an entrance for falsehood. The Murji'ah of old opened the door for the Jahmiyyah, and the modern day Murji'ah have opened the door for Liberalism.",0.040458187,0.1132156,0.7737156,0.7737156,Salafi taklidi,0.27371559999999995
"Sheikh   : 

 Beware of defending or praising Tawaghit, otherwise you will be complicit in all their crimes..",0.36275074,0.5690139,0.071677946,0.5690139,Salafi jihadi,0.06901389999999996
"""       , 
      .  
What are the reasons for not enjoying acts of worship and what should be done. 

Sheikh SardarWali Thaqib  
[Pashto - English]",0.059514716,0.33386916,0.435195,0.435195,"No decision, maximum is Salafi taklidi",0.064805
"Democracy is a Taghut and the Muslim must believe in his heart that it is falsehood, he must leave it and hate it. As for it's people, he must hate them and make takfir on them because the people of Democracy are Kuffar.

- Shaykh Ali al-Khudayr (  )",0.12632366,0.62614596,0.15832111,0.62614596,Salafi jihadi,0.12614596
"New crazy laws under the Sufi regime in Afghanistan: 

Attributes of a Da'e below : 
 Must be a Muslim and from the Hanafi school of thought 

 Prohibiting a non-Hanafi from preaching

[ Basically if you are a salafi / ahlul hadith then you have no right preach ]",0.2359264,0.51686436,0.11434765,0.51686436,Salafi jihadi,0.016864360000000023
"Sheikh Muhammad Ibn 'Abdul-Wahhab  : 

""Meaning of kfr bit-Taghut is to reject everything which is worshipped instead of Allah and to testify that such is on kfr and misguidance, to hate him, even if he is you father or brother. One who says: ""I'm worshipping only Allah",0.075259574,0.09806936,0.52152234,0.52152234,Salafi taklidi,0.021522339999999973
"but I'm not hostile towards leaders neither towards shrines over graves and similar. Such person in essence is negator of La llha Ila Allh. He does not believe in Allh nor he performed kufr in Taghut.""

[ad-Durar As-Saniyyh, vol. 2, p. 121/122]",0.35679835,0.22932707,0.06714845,0.35679835,"No decision, maximum is Irrelevant",0.14320165
"""   

This is a response to Mourad on the Aqidah of Shaykhul Islam Muwaffaq Ibn Qudamah Al-Maqdisi   .
There will be 3 parts to this
1Terminology
2Refutation
3Statements of the Imam himself""",0.6350356,0.108047776,0.057525855,0.6350356,Irrelevant,0.13503560000000003
"""Sh Iyad Ghali is probably the best thing thats ever come out of Tablighi Jamaah

They are very good at targeting Muslims who have a dunya centred life in bringing them back to the mosques and creating awareness for Islam 

Yet being stuck with them is the greatest waste of time""",0.26242942,0.22354046,0.18943681,0.26242942,"No decision, maximum is Irrelevant",0.23757057999999998
"""""Moroccan minister of justice Abdul Latif Wahbi says that a (unrelated) man &amp; woman being alone in a house is not a crime. He then refers to the Hadith of Shaytaan being the third of them &amp; mocks it by saying Give me the national identity card of Shaytaan. 
""
--------------

Look how dirty these jahannamis are. Just last week we saw tebboune making these filthy statements and now these dogs decided to hop on too. Its also pure cope to limit to to these states or UAE. None of the other rulers are different",0.8360361,0.14796996,0.025330463,0.8360361,Irrelevant,0.33603609999999995
"""""@BroHajji @just1happycat As an urf, since when do they wear hijab?

You gave academic proofs as to why they should wear it.

There is also scriptural proof why they should believe in 1 God, shouldn't drink/eat swine

But none do due to the corruption of their faith.

Corruption Allah acknowledges in 5:73 
""
--------------

This prostitute of iblis and lover of Zaqqum had the audacity to call me a Jewish agent for takfiring rawafidh and nusayris yet he is married to a Jew and she doesnt even cover

These redpillers are the biggest munafiqeen Wallahi. No surprise whatsoever tho",0.2641076,0.46643272,0.081255786,0.46643272,"No decision, maximum is Salafi jihadi",0.03356727999999998
"""Kufr of seeking judgment from the United Nations @UN 

 Amad Shkir
 Muqbil bin Hd
 Abdullh As-Sd 

Now imagine bragging about how much you believe in the sovereignty of the @UN, abide by its laws and belittle those who do not join in this Kufr?",0.026587926,0.09465678,0.8466581,0.8466581,Salafi taklidi,0.34665809999999997
"""Ibn al-Qayyim mentions similar point as Shaykh Khlid, but in a different context:

This interpretation is weak, because the mere act of denying it is disbelief, whether one rules by it or does not rule.",0.40650067,0.064907156,0.14499494,0.40650067,"No decision, maximum is Irrelevant",0.09349932999999999
"""A statement of the Murjiah:

Aiding kuffr in killing Muslims is only kufr if it stems from love for their religion.

 Shaykh Abdullh al-unaymn
 Shaykh Sulaymn al-Alwn
 Shaykh Khlid al-Fulayj
 Faial al-Jsim",0.014046031,0.41665712,0.80765676,0.80765676,Salafi taklidi,0.08334288000000001
"""The adversaries of tawd, the promoters of moral decay, and those calling for liberation from values, ethics, and divine commands and prohibitions; such people are increasing in this age, not diminishing. They proclaim that whoever merely says l ilha ill Allh is a believer, even if he abandons the Sharah of Allah entirely!

In their view and creed, rulings pertain only to what lies in the heart, not to outward actions. And the more pretentious among them insist that l ilha ill Allh does not encompass all aspects of life. The result of this corrupt ideology has been the spread of wickedness across the earth, the suspension of jihd in the path of Allah, and the rise of shirk, biddah, and political, economic, intellectual, and social deviations among the Muslims, whereby the true meanings of the Sharah have been lost.

Thus the Murji doctrine fused with the secular mindset that seeks to sever religion from life and life from religion. Many people came to believe that worship is confined to ritual acts performed in the home and the mosque, and that religion has no place in governance or politics. They roll off their tongues the word of unbelief: Render unto Allah what is Allahs, and unto Caesar what is Caesars.

al-Allmah Sulaymn al-Alwn - Al inna nasra Allhi qarb""",0.7629781,0.017697819,0.1151663,0.7629781,Irrelevant,0.2629781
"""Imam Jamil Al-Amin passed away today while still confined within the prison walls. Like his companion, Imam Luqman Abdullah, who preceded him, these were men who, in shAllh, remained steadfast and true to their covenant with Allh. They stood in stark contrast to many other imams in the West, who faltered and compromised.

Though they may not have been formally recognized as ulama, theyin shAllhacted upon the knowledge they possessed, which is what truly matters.         . Even amid his suffering, Imam Jamil remained thoughtful, conveying his salm to me through some who were in touch with him.

May Allh forgive them both, envelop them in His infinite mercy, illuminate their graves with radiant light, and elevate their ranks among the righteous.

Ahmad Musa Jibril 
2 Jumda ath-Thn 1447""",0.5350927,0.5622243,0.059082758,0.5622243,Salafi jihadi,0.03509269999999998
"Certain people are given clear proof of Muslim members of govt (people who make decisions for a Muslim population) mocking the religion &amp; supporting secularism, &amp; their first reaction is to defend the rulers &amp; mention Khawarij. Their Fitrah has been flipped upside down.",0.6887522,0.25947234,0.041113064,0.6887522,Irrelevant,0.18875220000000004
"My Shaykh was a Wali of Allah, you dont understand.

The Shaykh hes talking about:",0.48668274,0.08070813,0.097054906,0.48668274,"No decision, maximum is Irrelevant",0.013317259999999997
The madkhalis and those like them will direct your arrows away from the kuffar towards the Muslims.,0.1338116,0.5967763,0.15114722,0.5967763,Salafi jihadi,0.09677630000000004
Allah swt is punishing the ummah with useless scholars like rabi al madkhali and his likes who only cause the ummah more difficulty and cast us deeper into this black hole.,0.14335436,0.14452158,0.33106738,0.33106738,"No decision, maximum is Salafi taklidi",0.16893261999999998
"""Three major scholars of 60s-80s:

Every ruler who judges by other than the hukm of Allah &amp; His Messenger  is a Tght, a kfir in Allah.

Murjiah 2000s:

Khariji belief, its kufr dna kufr""",0.19525065,0.8356029,0.10025699,0.8356029,Salafi jihadi,0.30474935000000003
"""Accomplices To Murder Face Capital Punishment Under Shariah

Shaykh Abdullah al-Faisal",0.27030265,0.71338636,0.07665117,0.71338636,Salafi jihadi,0.21338636
"""Imm an-Nawaw  :

Joking was rarely done by the Messenger of Allh  for a good cause, for cheering people up and it is a recommended Sunnah.

[ ]

Keep in mind that the prophet  never lied when joking.""",0.63184047,0.020404283,0.19668797,0.63184047,Irrelevant,0.13184047
""" Imam Sulayman Ibn Abdullah ale-Shaykh:

His statement, Exalted is He: And they were commanded to disbelieve in it meaning: the Taghut. 

-",0.35549563,0.5996292,0.07011688,0.5996292,Salafi jihadi,0.09962919999999997
"""Even though the Islamic Rituals were apparent in his lands, Sakhawi brings a semi ijma' on the takfir of Tamerlane for making the laws of Genghis Khan, the Yasiq constitution, the foundation to rule his government by.",0.209628,0.64233553,0.11744584,0.64233553,Salafi jihadi,0.14233553
"""Kuwait early 1900s; every single Najdi scholars made takfr of them &amp; called it Bildul kufr

Ask yourself this: would the Najdi Imms hesitate to takfr Sisi, MbS, MbZ, and rulers &amp; govs from Muslim world when they didnt hesitate with Kuwait?",0.17444678,0.76017547,0.100392215,0.76017547,Salafi jihadi,0.26017546999999996
