text,id
"""Love for Jihad tells you how much you love Allah",
Call Upon Allah Sincerely |ClickDEEN360  via @YouTube,
"""""Whoever disbelieves in the ght and rejects all forms of it is saved by holding firmly to the firmest handhold, which is the pure religion that cannot break. Whoever holds to the firmest handhold walks upon guidance from his Lord. The paths do not divide him, he does not bend nor deviate from the straight path."" 
Shaykh Musa Jibril (  )
YouTube: 
PDF: 
SRT:",
"""Please share widely.

If you're a doctor in the UK and have had complaints about you to the GMC by ""zionists""...and the GMC is ""investigating"" you ....could you get in touch with me/@HCWsAC please by DM?
Outcome irrelevant.

Thanks.""",22.0
"""   

Mass exodus of colonial settlers from Israel are reportedly fleeing the country. 

They are coming back to America, abandoning the stolen land project.",
"Iraq's Saraya Awliya al-Dam Brigades has targeted the Erbil International Airport, achieving a direct hit on the helicopter Apron on the site. 

 POV Coordinates:
36.206183, 43.984303
 Coordinates of the target:
36.243456, 43.962286",
O Madkhal!,15.0
"""""You can tell @TuckerCarlson is fuming hard  I cant blame him after watching those cultish maniacs. 
""
--------------

Tucker should be taken with a grain of salt 
He and his family is still part of MAGA movement and established in the current administration (his son with JD Vance) plus hes very good on terms with Hegseth
He even wrote a book review for Hegseths books about American cruade etc",
"After a long break, I have finally made a clip with Shemrani commentarythis time exposing Zionist Pahlavist vermin.",47.0
""" Umar ibn 'Abdul-'Azeez, rahimahullaah, said, ""He who allows his Religion to be open to disputing will frequently change over."" See Jaami' Bayaanil 'Ilm (2/113)",
No Salvation With Shirk |ClickDEEN360  via @YouTube,
"""If we truly understood what Allh prepared in Paradise &amp; Hell, we wouldnt tire of striving, nor let sleep distract us. The Prophet  marvelled: how can one sleep while fleeing Hell or seeking Jannah?",
"""BOOM there you have it, senator Lindsey Graham is calling for a religious war!

They are exposing themselves day by day, until they will force you to return to your religion....

Preach on senator @LindseyGrahamSC",
Yasir Qadhi and certain Imams want Muslims to give their Zakat to US politicians whilst Muslims in #Sudan are living like this,
"""No one deserves it more",
"""This is one of the Shaykhs books that was partially translated into English. 

A very beneficial treatise about the Angels.",
"""Last ten days and all you need to know about Eid.",
"Satellite imagery today display the ""AlMuntar"" IDF Outpost [2] of northern Gaza, and another established IDF FOB [3] approximately 2km away north.",
"""""URGENT: This is Yuuuuuuuuuge.

Islamic Revolutionary Guard Corps of Iran:

Any Arab or European country that expels the Israeli and American ambassadors from its territories will be granted full authorization and freedom of passage through the Strait of Hormuz starting tomorrow.""
""
--------------

Hahahaha",
"""This dunya is but a fleeting enjoyment, while the Hereafter is everlasting.
Will we trade the eternal for what is perishing?
A hard reminder to awaken the heart.
Click to listen 

@albaseerah""",
"And whosoever disbelieves, then Allaah is indeed Self-Sufficient, not in need of any of the creation

And whosoever is ungrateful, then Allaah is indeed All-Rich Free of need, Worthy of all praise",51.0
"""@BackupJeffx",
"""*Dawah Debt Appeal*

There is a brother who is a student of knowledge, actively engaged in Dawah as part of SD (San Diego) Dawah in the US.

I know the brother and his condition, he previously arranged for a Dawah center and a bookshop to be established by taking out some loans. Unfortunately, last year, the brother was hospitalised with life threatening Tuberculosis which he has now recovered from. Due to his illness and there not being many Salafis around him, he was unable to cover the costs of rent for the premises during his illness and subsequently the center was closed down. The Dawah efforts remain largely online as can be seen from the Twitter account for @SDdawah.

The brother remains in $3500 (~2800) of debt which the debtors are demanding be paid back immediately.

I'm trying to aid his situation, he is due to return to Riyadh, Saudi Arabia to complete his studies however is unable to do so at the moment due to this debt looming above his head.

Karim Al Maghribi

PayPal: karimhadeq@msn.com (Please choose *FRIENDS & FAMILY OPTION ONLY*)

UK Bank Transfer:

Mr K Hadeq
40-13-10
42046016
HSBC

Reference: SD Debt""",
Do Not Take Two Gods  Allah Alone Is One |ClickDEEN360  via @YouTube,
"""These three brothers are some of the most famous Zionists in America. Their parents live in Israel. 

They were friends with EVERYBODY. 

They drugged, raped, and trafficked at least 60 girls and women.""",
"""Youre a Kafir, and hes a Kafir, and whoever knows of him and his actions, yet doesnt label him a Kafir, is also a Kafir who hasnt smelt the scent of Islam. The Muslims get closer to Allah by Takfiring you and your likes, as well as your filthy Tawagheet.""",
"The Hukm of the Rafidha.
Shaykh Turki Al-binali Rahimahullah",
""" [Playlist] Raman Reminders 1447 | 2026.

 [New Track] Men are Known by way of the Truth, and the Truth is not Known by way of Men - By Shaykh Abu Khadeejah Abdul Wid (may Allh preserve him).

 @MasjidSalafi | @AbuKhadeejahSP",
"""Allah said:

""Had they been believers they would not have taken Kuffar as allies but most of them are fasiqun.""

  Quran 5:81

Imam Tabari: Had they truly affirmed Allah and his lordship and Nabi and his prophethood,""",
Guidance Is Personal |ClickDEEN360  via @YouTube,
"""Look at these useless, corrupt fools - bought and owned by the Israeli lobbies. They airlifted free of charge hundreds of Israelis to Britain during Irans bombing campaign but would not offer its own UK citizens from the flotilla to Gaza any form of protection or help after we had been kidnapped and held hostage. There is a day of reckoning coming in May during the Holyrood elections and in England during the council elections. Tiocfaidh r l """,83.0
"""Today a murderer was sentenced to retribution punishment (Qisas) in the sport stadium in Badghis province",
""""" 
""
--------------",44.0
"""Remember Hind Rajab.

Just 6 years old. She sat for hours on the phone to paramedics with 6 murdered family members around her.

She told them They are shooting at us. The tank is next to me.

The Red Cross waited hours for Israel to permit them rescue her. 

When the ambulance that was cleared to rescue arrived they executed the medics and then murdered her putting 355 bullets into the car she was in.

Her final words to paramedics and recorded were ""Im so scared, please come"".""",80.0
""" [Playlist New Tracks] Raman Reminders 1447 | 2026.

- Ahlul-adth: Desire for Study and Truth - Sh Abu Khadeejah Abdul Wid.
- All of Mankind are at Loss, Except - Sh Abu Fuayl Abdur Raqb.

 @MasjidSalafi | @AstonMasjid | @AbuKhadeejahSP",
The Unforgivable Sin Shirk (Associating Partners with Allah) |ClickDEEN360  via @YouTube,
"""The Evil companions of the Rulers.",
The False Gods Cannot Hear or Help |ClickDEEN360  via @YouTube,
"""Shaykh Muqbil was asked which country is closest to ruling by the Shari'ah. He said that the default position is that all the countries are agents of America &amp; there are no exceptions, &amp; the closest to the Shari'ah are the land of the Haramain &amp; Yemen, much good remains in them.",
"""""@One_Dawah As a Wahhabi in Saudi, do you host US soldiers at your house?

Do they join you for iftar every night? 

Are you also required to shine their boots? Or is that optional?""
""
--------------

I am not a Saudi nor do I live there, nor do I justify sins or bad stuff that may occur there, happy?

By the way, you literally live in the U.S. and pay taxes to them, which they use to bomb Iran

This isn't a W you think it is

Come on Taqiyatjou, I expected better from you",
"""Shall I tell you about the people of Paradise?

#Jannah #Paradise #BukhariBenefits",
"""Despite what it looks like online, the knowledge that democracy is Shirk has become way more widespread among the western youth than previously.

Its a blessing from Allh   first &amp; foremost &amp; a fruit of the viral Dawah of this lim. May Allh protect &amp; reward him.""",
"""Effects of Sincere Seeking of Knowledge

Al-Hasan Al-Basri, may Allah have mercy upon him, said: When a man used to seek knowledge, it did not take long before (the effect) was seen on his eyesight, his fear of Allah, his tongue, his hands, his prayer and his abstinence from the lawful but unnecessary worldly things.

Reported by Imaam Ad-Darimi 385""",
"""This is what happens when you let secular lawyers larp as Islamic law experts:

""[The Shari'ah] is a broad ethical framework concerned with justice, welfare, and accountability...""

-Faisal Kutty, a lawyer and legal academic""",
"""Alhamdulillah! My First Book ""The Path to Pure Tawheed: Breaking the Chains of Shirk"" is now officially launched! 

Free with Amazon Select, available in Kindle &amp; hardcopy via Amazon.

Get your copy here:
 

Please share!",
"""""Why are there no Sunni mosques in Tehran? Never knew this. SubhanAllah where do the Sunnis pray or how do they do Tarawee &amp; Jummah?""
""
--------------

Good morning, darling 
Where was your curiosity some weeks ago?",
"""@brandon_maly @AAGDhillon @BillAckman @tedcruz @LauraLoomer @benshapiro @VivekGRamaswamy @KatiePavlich @GovMikeHuckabee @EYakoby Settle down jew, nobody is reading that and nobody cares""",
"""@MyDubhLinn @Selfridges Jewish Palestine returned to its original name - ISRAEL.  THERE HAS NEVER BEEN AN ARAB PALESTINE IN THE HISTORY OF TIME  EVER""",
"Coordinates:
Shahid Bagheri = 27.03958, 56.16119
Shahid Mahdavi  = 27.01787, 56.10956",
"One Mission, One God  The Call of Every Prophet |ClickDEEN360  via @YouTube",
#islamicreminder #quran #surahalmulk  via @YouTube,
"""""   Congratulations on your new flag. A new secular state is awaited.""
""
--------------

In Pakistan () they say: KKSK",45.0
"""""          
""
--------------

It's an actual cult",36.0
"""The best of women and the worst of women.",61.0
""" Sisters Afternoon Tea!   

An exclusive event for our Sisters upon Sunnah 

Join us for a unique and exclusive gathering with a tele-link to Shaykh Uways At-Taweel @uwaysT (Hafidhahullah)

 Saturday 8th February 2025
 2:00pm to 4:00pm
 Unit 5, Blenheim Business Centre, Mitcham CR4 2JX

A special occasion for sisters to connect & meet each other for the sake of Allah. (in-sh-Allh)

Dont miss out!

#SistersEvent #IslamicGathering #London #Salafi""",
"Social media making it easily accessible while also encouraging promiscuity from women is what makes those who fall in weaker each time.

Practical actions for are to stay busy, avoid places that encourage it, fast to diminish it's strength. And the best, if you can, get married.",67.0
"Despite the CENTCOM claiming to have targeted the IRGCN Shahid Bagheri UAV Carrier on the first day of Operation ""Epic Fury"", the Carrier was seen on the move, 10km+ away from the 'Bandar Abbas' port today.

Nearby it is the ""Shahid Mahdavi"" Drone Carrier less than 6km away.",
