Text,Final Decision
"""""Was gonna ignore this madkhali but I cant anymore, this isnt the first time youve spewed this kind of vile garbage about our sisters. Imagine calling urself a Muslim and making dua for women to suffer, be imprisoned or worse when theyre already living through sm hardship 
""
--------------

All die and get abducted towards Muslimaat. Women whose blood was made more honourable than the kaaba. Just because theyre the wife of so-and-so. While showing nowhere near the same animosity for kuffar. A literal sign of Al-Khawarij.",Salafi jihadi
"""""How far online salafis are from the salaf. His cause for tabdee was saying tark us salah is not major kufr. If consistency is maintained he also makes tabdee of:

Imam Abu Hanifah
Imam Malik
Imam Shafii
Imam Az Zuhri
Sufyan Ath Thawri
Imam An Nawawi
Imam At Tabari
Ibn Qudamah""
""
--------------

Actually you make takfir. Since they say the ijma of the sahabah is that tark us salah is major kufr, they accuse the majority of the ulama of kufr by rejecting this consensus. And as we know, rejecting consensus is kufr.",Salafi jihadi
"""""AMJ the dirty khariji dog""
""
--------------

Salafis despise the khawarij more than the kuffar. Most of these lot dont have this same energy for kuffar. Many of them have traits of the kharijites themselves. Rough wid the Muslims and soft with the mushrikeen.",Salafi jihadi
"""""Shocking video shows several ladies crying for help amid alleged r+ping festival by groups of men in Ozoro, Delta state

""
--------------

????? These lot need Shekau fiqh wallahi",Salafi jihadi
"""""@Alien_Zaki @YahyaAh71424190 @abumusa7th The tabin even said it's impossible for anybody to enter paradise without salah, there is many  solutions to this narration like the slave nor knowing how to pray. 

Every sect includes murji like you  claim to have evidence for  their bidah""
""
--------------

How far online salafis are from the salaf. His cause for tabdee was saying tark us salah is not major kufr. If consistency is maintained he also makes tabdee of:

Imam Abu Hanifah
Imam Malik
Imam Shafii
Imam Az Zuhri
Sufyan Ath Thawri
Imam An Nawawi
Imam At Tabari
Ibn Qudamah",Salafi jihadi
"""Some people be like:
- The Rafidha generals of Iran are Kafir

- But the Secular, Rafidha, Qadiani generals of Pakistan are good. So Goodd.",Salafi jihadi
"MADKHALISM EXPOSED BY TRUMP! - Saudi Humiliation - MBS Attacked Publicly! 
@Haqiqatjou @SapienceOrg @Cryptodownbad @AA_andalusi @Abo_mohap6 @almass3ari @RashidRants @Islam21c @propandco @5Pillarsuk 
Crimes of Ibn Salman",Salafi jihadi
"TRUMP HUMILIATED MBS - Bin Salman Destroyed
#donaldtrumpisrael #saudi @MuslimSkepticHQ @sorenascence @jalalayn @AbuTaymiyyahMJ @MiddleEastEye @Ahmed_hassan_za @HATzortzis @BroHajji @YasirAlHanafi @HassanShibly",Salafi jihadi
"""""Was imam Abu hanifa a ""madhkali"" too ?! 
""
--------------

Abu Hanifah   is literally one of the few that permit rebellion against a sinful Muslim ruler . You lot would call him a khariji if he was here today lol.",Salafi jihadi
"""""BREAKING  Iraqi Shiite parties pick Nouri Al-Maliki as candidate for prime minister 

 Coordination Framework statement

Maliki served two consecutive terms from 2006-2014.

He still needs to form a government.""
""
--------------

Is this a part two I smell? 
#MujahidMatt",Salafi jihadi
