username,date,full_display_text
TheMumMuslim,25/03/2026 10:47,Candace Owens explains to Tucker Carlson why Israel is an evil made up country!
TheMumMuslim,25/03/2026 07:57,"Piers Morgan SHUTS DOWN Adam Sosnick: Stop Lying About UK Muslims

Watch full video here:"
TheMumMuslim,25/03/2026 07:56,"""@theafroaussie Does not surprise me in the slightest!"""
TheMumMuslim,25/03/2026 07:55,"""@FormulaRauda Youre the cancer of the Gulf!"""
TheMumMuslim,25/03/2026 07:48,"""American Host SHOCKED as Tucker Carlson Explains How SHARIA Made Muslim Nations Better Than the West!

Watch full video here:"
TheMumMuslim,25/03/2026 07:45,"""@tyleraloevera All this talk of Sharia courts in the west, and here you have the Jewish police in America!"""
TheMumMuslim,24/03/2026 20:16,Adam Sosnick's zionist propaganda fails miserably as Piers Morgan hilariously calls out his Israeli lies about Muslims in the UK!
TheMumMuslim,24/03/2026 18:30,"""@5Pillarsuk This is insane, these people are disgusting"""
TheMumMuslim,24/03/2026 18:15,"""Professor Marandi gets Piers Morgan to condemn Trump and Israel for their part in the Iran war. As well as Elon Musk for allowing Israelis to make death threats against the professor on X.

@s_m_marandi also declared Iran will not let up with their defensive war efforts until the US is defeated!"""
TheMumMuslim,24/03/2026 17:28,"""Piers Morgan DUMBSTRUCK as Professor Marandi Proves Trump &amp; Israel Are LOSING Iran War

Watch full video here;"
TheMumMuslim,24/03/2026 15:19,"American Host SHOCKED as Tucker Carlson Explains How SHARIA Made Muslim Nations Better Than the West!

Watch full video here:"
TheMumMuslim,24/03/2026 14:59,Ana Kasparian debunks the 'Muslim immigration to the west' scaremongering propaganda!
TheMumMuslim,24/03/2026 14:51,"""@radiojibi Is this supposed to offend us, billions of people are not Muslim, no one cares!"""
TheMumMuslim,24/03/2026 09:50,"""@RmSalih And it's much worse than a few ambulances being set on fire as part of a false flag insurance job!"""
TheMumMuslim,24/03/2026 09:36,"""Tucker Carlson stuns American host with the shocking claim that the practice of Islam and adhering to sharia has made Muslim nations more advanced than western countries..."
TheMumMuslim,24/03/2026 09:16,"Candace Owens rips apart atheist jew Sam Harris for pushing the zionist pharma covid scam, and labels him a satanist that serves the anti-Christ, which is an accurate description of the average Israel supporter."
TheMumMuslim,24/03/2026 08:13,"Irrelevant Jewish atheist Sam Harris cries with jealousy about Sneako being more famous than him, and hates on Candace and Tucker for being more popular also. 

This is high school level of insecurity and pettiness from a grown man...

Maybe try not be a lying, repetitive, played out, pro Israel bigot Sam?"
TheMumMuslim,24/03/2026 07:53,"""@PBDsPodcast Hasbara clowns indirectly calling for the US to nuke Iran for Israel"""
TheMumMuslim,24/03/2026 02:08,"Piers Morgan DUMBSTRUCK as Professor Marandi Proves Trump &amp; Israel Are LOSING Iran War

Watch full video here;"
HalalNation_,25/03/2026 14:35,Every Soul Shall Taste Death
HalalNation_,25/03/2026 11:50,The Keys To The Kaaba
HalalNation_,25/03/2026 10:11,Vintage Mecca
HalalNation_,25/03/2026 09:47,The Red-Eyed Owl
HalalNation_,25/03/2026 09:25,Allah Is The Best Of Creators
HalalNation_,25/03/2026 03:59,The Grave Of Prophet Muhammad
HalalNation_,25/03/2026 03:52,The Holiest Place On Earth
HalalNation_,25/03/2026 02:20,Allah Is Most Great
HalalNation_,25/03/2026 01:08,Allahu Akbar
HalalNation_,24/03/2026 21:27,A Close Up On The Black Stone Of Mecca
HalalNation_,24/03/2026 19:45,""""": A study shows that y chromosome in men is shrinking, it might lead to the end of male births in future. 
""
--------------

Among the signs of the Hour are that knowledge will be taken away, ignorance will prevail, adultery will appear, women will increase in number and men will decrease to the extent that one man will look after fifty women.""

Sahih Al Bukhari"
HalalNation_,24/03/2026 19:34,"From This Cave, The Quran Was First Revealed"
HalalNation_,24/03/2026 18:56,Allah Is The Greatest
HalalNation_,24/03/2026 18:05,Allah Provided Us With Fresh Foods We Take For Granted
HalalNation_,24/03/2026 17:23,The Beauty In Allahs Creation
HalalNation_,24/03/2026 13:19,A Proud Father
HalalNation_,24/03/2026 10:43,Look! The Beauty Of Allahs Creation
HalalNation_,24/03/2026 10:30,""""": Research reveals mitochondria communicate using light, revealing humans are essentially beings of light 
""
--------------

How can you disbelieve in Allah when you were lifeless and He gave you life, then He will cause you to die, then He will bring you back to life, and then to Him you will be returned?

Quran 2:28"
HalalNation_,24/03/2026 09:53,Tucker Carlson Speaks About Islam
HalalNation_,24/03/2026 09:37,Praying INSIDE The Kaaba
MishalHusain,24/03/2026 21:58,A new importance for this pipeline and the port of Yanbu
MishalHusain,24/03/2026 21:28,Two battalions plus enabling units
MishalHusain,24/03/2026 07:05,"President Trumps pivot came after some allies warned the war was quickly becoming a disaster, @business reports"
MishalHusain,22/03/2026 17:00,"Heres a gift link to Tala Ahmadis
Nowruz piece"
MishalHusain,22/03/2026 14:50,"Read below with my notes - we also talk about taxing billionaires, plans that will affect some of those who backed him to represent Silicon Valley in Congress (gift link )"
MishalHusain,22/03/2026 14:46,Watch: Rep. Khanna on how he believes the economics of the war will change the Presidents mind
MishalHusain,22/03/2026 14:43,"This weekends episode of the show - the Congressman at the heart of the Epstein files release @RepRoKhanna 

Listen"
MishalHusain,22/03/2026 14:39,"Rupert Murdoch among those who influenced Trumps decision on the Iran war, @business reports - Rubio, Wiles, Vance more muted (gift link)"
MishalHusain,22/03/2026 07:54,"40 people injured in residential area of Dimona, another 7 in Arad"
MishalHusain,21/03/2026 18:27,The story of a 1927 Picasso thats in Tehran
MishalHusain,21/03/2026 18:22,"The information war - from Iran, to elsewhere in the region, and the US. By @morganmeaker for Weekend"
MishalHusain,21/03/2026 18:16,A supply shock
MishalHusain,21/03/2026 15:38,"""California Representative Ro Khanna says exposing elite impunity, opposing Middle East wars and taxing extreme wealth could unite progressives with disaffected Trump voters.

Read this weekend's interview with Mishal Husain here: 

: Adam Gray/Bloomberg"
