Tweet ID,Text,Final Decision,Assigned To,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
2ozo2rf2h,"""WE LOVE PIE, WE LOVE PIE! 

Such a treat to have @BegumNadiya in the studio, blowing us away with her keema plate pie (or one huge samosa!) &amp; charred mango salad! 

Recipes here 

@knackeredmutha recommends Brite Pineapple &amp; Mango (Sainsburys, 2)",Irrelevant,בנימין ווליך;הודיה עופרי,,,,,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,,,,,
ygcrele9c,"""Pleased to see @BegumNadiya @Schwartzflavour #spice blends &amp; #recipe kits so prominently displayed @asda #oldkentroad - loving the on shelf in aisle displays in particular.
#nadiyahussain #licensing",Irrelevant,הודיה עופרי;הילי חכמי,,,,,,,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,,,
6m8kq3qdn,"""A Palestinian Gazzan man from inside Gaza and above the rubble of destruction sends a message to the Shia and all those in support of Iran and Sunni-Shia unity.

This what the Palestinians make of such absurd and shameful idea which the likes of @Haqiqatjou promoting

Any words @Haqiqatjou @dkayofficial_""",Irrelevant,ענה-יה אך,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,
epmtzsw0y,"""Alhamdulillah a dog of hellfire has been suspended from this platform.

Let's see if this hypocrite kharijite will appeal to Twitter laws (laws other than Laws of Allah), so, will that make him then kaafir as per his ""standards""?",Salafi taklidi,צבי גופרי;אילון כהן,,,,,,,,,Salafi jihadi,ד. תמיכה בתכפיר קולקטיבי,,,,,,,,,,,,,Irrelevant,,,
6c7k9nle5,"Im going to the World Halal Food Festival on Saturday! Join me on the Tariq Halal Cookery Theatre for a LIVE cookery demoat 12pm, followed by a book signing.

Tickets available at their",Irrelevant,אילון כהן;אריאל כהן,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,,,,,,,,,
6rbq2xj89,"""Syrias revolution was first crushed, and then misread. @qunfuz2 reviews five recent books that show how elites, ideologues and foreign observers alike failed to see the people at its heart.",Irrelevant,אריאל כהן;בנימין ווליך,,,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,,,,,,,
k8ke8bqii,"""Al-Hasan al-Basri   said:

""The righteous used to say: The difficult thing is not praying at night, but rather protecting your deeds from being wasted by sins and heedlessness.""

[Hilyat al-Awliya, 2/354]""",Irrelevant,בנימין ווליך;הודיה עופרי,,,,,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,,,,,
oox1henpe,"""Baking champion and TV chef @BegumNadiya is here! 

What are your best bakes to make? Wed love to hear about and see them! 

Tonight at 7pm on @BBCOne &amp; @BBCiPlayer  #TheOneShow",Irrelevant,הילי חכמי;זיו חסון,,,,,,,,,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,
f1ygy68nf,"""Shaykh Al Islam, the Imam of the Imams, Ibn Khuzaymah Al-Shfii Al-Wahhbiyy (d. 311 AH) said about the quoted Mushrik fellow and his Jahmi cult:

Whoever does not affirm that Allah the Mighty and Majestic has Rose above His Throne above His seven heavens  he is a disbeliever in his Lord, his blood is lawful. He is to be called to repent; if he repents, well and good, otherwise his neck is to be struck, and he is to be thrown onto some of the rubbish heaps so that neither the Muslims nor the dhimms are harmed by the putrid stench of his corpse. And his wealth becomes fay  no Muslim inherits from him, for a Muslim does not inherit from a disbeliever, as the Prophet  said: A Muslim does not inherit from a disbeliever, nor a disbeliever from a Muslim.""",Salafi jihadi,זיו חסון;ענה-יה אך,,,,,,,,,,,,,,,,,,,Salafi jihadi,ד. תמיכה בתכפיר קולקטיבי; ח. אחר,Salafi jihadi,ב. ביטויי גנאי או האשמה בכפירה של חכמי הלכה,,,,
6sfizd1d1,"""1) The referenced tweet is in the context of Gaza being slaughtered by the apes and swines. In response to this Zindiqs scholars dishing out satanic fatwas that no one is allowed to help them physically without the rulers permission. Open up a book of Fiqh and read about   you Zindq. Already exposed the ignorance of these Zanadiqa here: 

2) Again, hes talking about the Jihad of the Palestinians against Israel, and you bring statements of Al-Hafidh Ibn Hajar about the Qadiyyah, to try and prove hes inciting against the ruler. So youre implying Israel is the ruler who is to be obeyed and not rebelled against, nor spoken against, nor incited against? Great refutation and self expos of you being a now out of the closet Zionist. Lol

3) You Zanadiqa MBS/MBZ worshippers cant tell the difference between an actual sinful Muslim ruler and a Taghut whom Allah conditions our Islam with Hating and Rejecting, and in turn apply the rights of the former on the latter.

4) You Zanadiqa have yet to bring a single incident from the Salaf, of your applied understanding. Bring a SINGLE instance, where a Muslim ruler (let alone a Kafir like we have nowadays), was criticized for open Fisq he was committing, whether in front of his face, or behind his back, and the Salaf called the one who criticizing him a Khariji. Ill wait, and this is an open challenge. Unless youre implying Islam was missing this crucial applied understanding for 1400+ years, until spubs came along in junction with Prevent (UK Gov agency) to show us the way of the salaf. Lol

5) Ive brought multiple instances of Salaf criticizing to the rulers face, behind the rulers back, and even making Takfir of rulers behind their back here: 

6) Not a single one of you minions has brought forth his statements in their appropriate context (ever), and refuted it academically. You just rely on others being as incompetent as you.

7) This is all coming from an Abu Khadeejah fanboy mind you, who is viewed as a scholar according to these morons. A guy whom my 4 year old   can recite better Quran than. 

The Jahmis and Madkhalis are in a close race to win out, who is the most intellectually brain dead group ascribing itself to Islam. The new age Madkhalis are making a strong case to be honest.""",Salafi jihadi,ענה-יה אך;צבי גופרי,,,,,,,,,,,,,,,,,,,,,Salafi jihadi,ג. קריאה לג׳האד התקפי (לא הגנתי),Salafi jihadi,א. האשמה בכפירה של שליטי ערב; ב. ביטויי גנאי או האשמה בכפירה של חכמי הלכה; ביקורת על סלאפים תקלידיים,,
