Tweet ID,Text,Final Decision,Assigned To,Label_Lior,Reasons_Lior,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אוריכהן,Reasons_אוריכהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_כיתה,Reasons_כיתה,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
82z7ytocv,"""""Wahhabism is the tool of extremism and modern day terrorism. 

It began as theology fused with power.

Muhammad ibn Abd al-Wahhab was an 18th-century cleric from Najd who preached uncompromising monotheism and condemned what he saw as religious deviation. But his defining weapon was not spirituality. It was takfir: declaring other Muslims outside the fold.

And even inside his own home, there was alarm.

His father, Abd al-Wahhab ibn Sulayman, reportedly warned people not to follow his sons extremism. His own brother, Sulayman ibn Abd al-Wahhab, wrote an entire refutation:

      
Al-Sawaiq al-Ilahiyya fi al-Radd ala al-Wahhabiyya
(Divine Thunderbolts in Refutation of the Wahhabis)

In it, he warned that reckless takfir leads to bloodshed. He compared the movement to early Kharijite extremism  religion weaponized against Muslims. And, that is exactly what happened in the following years.

Then came 1744.

The pact between Ibn Abd al-Wahhab and Muhammad bin Saud in Diriyah.

The formula was simple and ruthless:

Al-Sheikh holds religion.
Al-Saud holds power.

Through that alliance, theology became state machinery.

Expansion was framed as purification. Campaigns like the attack on Karbala in 1802 are documented in multiple chronicles. Sectarian violence was justified as religious correction. Unity meant obedience. Dissent meant deviance.

That fusion : Religion as political legitimacy became the backbone of the Saudi state model.

Fast forward to the 20th century.

Oil wealth globalized the doctrine. Religious institutions expanded. Clerical authority was centralized. Universities such as Imam Muhammad ibn Saud Islamic University became exporters of a rigid interpretation of Salafism.

Then came Afghanistan.

During the Soviet war, Saudi religious rhetoric aligned with U.S. anti-communist strategy. Arab Afghans were mobilized under religious banners. The ideological infrastructure created centuries earlier proved adaptable to modern geopolitics.

From that environment emerged figures like Osama bin Laden, founder of Al-Qaeda. Later movements from Al-Qaeda to ISIS drew heavily from Takfiri Wahhabi logic: excommunication as a political weapon to justify jihad and murder. 

This does not mean Ibn Abd al-Wahhab sat in the 18th century planning 9/11.

It means that when you normalize declaring Muslims apostates, and when state power protects that logic, you build an intellectual ecosystem extremists can later radicalize further.

The 9/11 hijackers, European terror cells, sectarian militias in Iraq and Syria  they justified violence using theological frameworks built on takfir and militant purification.

That ideological pipeline matters.

Throughout modern Middle Eastern politics, religion was repeatedly used as leverage:

Against Arab nationalism.
Against Jamal Abdulnasser.
During Cold War alignments.
During regional rivalries.

Each time, theology served strategy.

And now?

When Saudi enters political conflict whether in Yemen, Qatar, or against the UAE  the instinctive tool is familiar: religious framing. Accuse. Label. Delegitimize.

Same method. New arena.

History shows the pattern:

When religion becomes state armor, power hides behind piety.
When dissent becomes heresy, control becomes sacred.
And when takfir becomes political currency, violence follows.

The earliest warning came from inside the family itself. But were silenced so Bin Saud and Alsheikh can carry out their gruesome acts of genocide against the Shia people in Alhassa and then in 1802, Saudi-Wahhabi forces attacked Karbala and killed under the justification of Takfir.""
""
--------------

Zio-Emiratism is a tool of 

The reality, as i stated before, is that many of these  funded Emiratis hate Islam and Tawheed

May Allah have mercy on Shaykh Muhammad Ibn Abdulwahhab

He is free from the lies you associate with him,","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","Salafi taklidi","","",""
hgmtddnbf,"""Aid the Dawah in Coventry 

We are running low on funds!

Whatever you can give 1, 2, 5, 10, 20 it will all add up insha Allah and go towards the running of the free lessons that are on offer,","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","",""
5gaaxkv9a,"""You know we're cooked when the bare minimum is considered ""significantly stricter"" and a ""win."""",","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
h8f44f439,"""  NEW: Reality of the Rafidah  By Al-Allamah Salih Al-Fawzan and Al-Allamah Rabee 

Excerpt: In The Name of Allah, The Most Merciful, The Bestower of Mercy.
Al-Allamah Salih Al-Fawzan, may Allah preserve him, was asked:

Is it correct that the first to innovate the path of the Raafidah was Abdullah Ibn Saba - a Yahudi?

Response:

Yes, without a doubt. The Rafidah or the Shiites in general are of two types: The Shiites from the fire worshipers and the Shiites from the...

 Read the full post: 

 Join our Telegram Channel:,","Salafi taklidi","אילון כהן;זיו חסון","","","","","","","","","","","","","Salafi taklidi","","","","","","","","","","Salafi taklidi","","","","","","","","",""
qckgtw0w7,"""08 | #Ramadan1447 | WOULD A LIE LAST THAT LONG | Shaykh Musa Jibril (  )
PDF: 
SRT:,","Salafi jihadi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","",""
xn03hmokx,""" NEW UPLOAD - Music is from the Sunnah of The Mushrikn (Polytheists) 

By Sh. Abdulilah Lahmami  
@Abdulilah_UK 

Link  

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah,","Salafi taklidi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Salafi taklidi","","","","",""
kr3qc5buh,"""Quran classes 1-1,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
532wba5wr,"""Thomas Massie: Covid, Epstein, and Iran,","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
gdllka7ru,"Tafseer, Palestine Update &amp; Q&amp;A 
 Today @ 1PM UK  All welcome!
  Sheikh Muhammad Al- Massari
 Zoom: 
 ID: 744 6271 2970 |  Pass: hello
 Surah Ash-Shu'araa: 
 YouTube:,70.0","Salafi jihadi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","Salafi jihadi","ז. אחר","","","",""
jlmnzij5l,"""Free Ebook:

Ruqyah for Treatment of Magic and Evil Eye From the Noble Quran

140 pages, PDF.

Download here:

 
InshAllh, 10,000 print copies for free distribution available from  soon.,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Salafi taklidi","","","","Irrelevant","","","","","","","","","","","","",""
