username,date,full_display_text
AbuHafsah1,25/03/2026 00:52,"""Dont forget to continue to discipline yourself after Ramadan, or as the haters like to call it Skipping Lunch.

The Messenger of Allah () said:

""Whoever fasts during the month of Ramadan and then follows it with six days of Shawwal will be (rewarded) as if he had fasted the entire year."" Related by Muslim.

    -    -    -     -: {   ,         }   1 .
1 - .   ( 1164 )."""
AbuHafsah1,25/03/2026 00:47,"Benjamin Netanyahu says it's not US decision when this war ends. It's when the IDF says this war ends.

MAGA Goytards :"
AbuHafsah1,25/03/2026 00:42,"Dont forget to continue to discipline yourself after Ramadan, or as the haters like to call it Skipping Lunch.

The Messenger of Allah () said:

""Whoever fasts during the month of Ramadan and then follows it with six days of Shawwal will be (rewarded) as if he had fasted the entire year."" Related by Muslim.

    -    -    -     -: {   ,         }   1 .
1 - .   ( 1164 )."
AbuHafsah1,25/03/2026 00:33,"""""@itsJohnRocker WE 
BEEN
TELLING
YOU 
TO
STAY
OUT
OF 
THE 
REST
OF
THE
WORLD
SINCE
FOREVER
BUT
YOU
MFS
DONT
WANNA
LISTEN""
""
--------------

You still dont wanna listen"
AbuHafsah1,25/03/2026 00:02,"Hey @Channel4News why did you delete this?

Were people asking too many questions?"
AbuHafsah1,24/03/2026 21:24,"""Youd think shes responding to someone who just disrespected the UAE.

Go see the tweet shes responding to """
AbuHafsah1,24/03/2026 19:49,"If I were Christian, Id be looking at two camps:

One honours Jesus and his mother.

The other claims hes boiling in poop and semen in Hell and calls his mother a whore.

Choosing who to be more inclined to wouldnt be a hard choice.

Why are so many ChristGoys today so cucked?"
AbuHafsah1,24/03/2026 16:52,"""""Can Muslims stop saying Jesus was a Muslim or Palestinian?

Jesus was a Jew, born in Bethlehem, and lived in Judea. 

Islam didn't exist.""
""
--------------

And youre a Jeet, born in Bihar living in India."
AbuHafsah1,24/03/2026 16:39,"""They put me on a metal table, pressed my chest and head against it, cuffed my hands to end of the bed and pulled my legs apart forcefully. 

I felt a penis penetrating my anus and a man raping me. I started screaming, and they beat me on my back and head. 

While I was blindfolded, I felt a man who was raping me ejaculate inside my anus. I kept screaming and being beaten, and I could hear a camera, so I believe they were filming me.

I cannot describe what I felt. I wished for death. Every moment."" 

 UN Special Rapporteur Francesca Albanese reads Palestinian survivor accounts of rape, torture, and killings in Israeli detention.

18,500+ have been detained since October 7. At least around a hundred, including a child, have died in custody. And some 4,000 are forcibly disappeared. 

 What is lost in Palestine will be lost to us all.  @FranceskAlbs told the Human Rights Council in Geneva."""
AbuHafsah1,24/03/2026 15:47,"""""Youre the cancer of the UK.""
""
--------------

Youd think shes responding to someone who just disrespected the UAE.

Go see the tweet shes responding to"
AbuHafsah1,24/03/2026 00:08,"""You might not like me you may not agree with me you could even hate me but one thing I am is honest. I always tell the truth even when I lie."
AbuHafsah1,23/03/2026 20:48,False Flag
AbuHafsah1,23/03/2026 17:20,"""""JUST IN: Iranian passport found at burn site of Jwish ambulances in the UK. A copy of the Mein Kampf was also recovered intact in the burnt down vehicle. /s 
""
--------------

Please tell me this is satire"
AbuHafsah1,23/03/2026 14:44,"Should British Jews be allowed to operate a parallel health care system in the UK?

A question Im certain would have been asked if there were Islamic ambulances operating in the UK."
AbuHafsah1,23/03/2026 14:31,Imagine the smell
AbuHafsah1,23/03/2026 13:54,What kind of devils attack ambulances?
AbuHafsah1,22/03/2026 20:25,Mo Salah as his pfp is crazy.
AbuHafsah1,22/03/2026 14:01,"If Britain decides to send boots on the ground to Iran to serve Israeli interests, how many patriots are signing up?"
AbuHafsah1,22/03/2026 12:45,"""Maybe learn to read English oh proud one."
AbuHafsah1,22/03/2026 12:37,"""""#Boycott all brands that have ERASED the Word ""Easter""
Don't like Jesus Christ?
Screw your Profits 
""
--------------

Maybe learn to read English oh proud one."
HATzortzis,23/03/2026 18:51,"""""OnlyFans owner Leonid Radvinsky dies at 43 
""
--------------

Learn an important lesson from this. Do not waste your life chasing wealth for its own sake, pursuing unethical ventures, or aligning yourself with oppression and genocide (he was a Zionist). The life of this world is temporary, but the Hereafter is eternal. Do not trade the everlasting for what is temporary.

""The life of this world is nothing but a game and a distraction; the Home in the Hereafter is best for those who are aware of God. Why will you [people] not understand?"" Quran 6:32"
HATzortzis,23/03/2026 18:41,"""Theres a brother that I (Yusuf Ponders) have known for a few years whos currently trying to raise funds to save his eyesight. Hes been struggling with serious eye problems for some time, and now a promising opportunity has come up that could help restore his vision.
Please consider supporting this genuine cause, every bit helps. If youd like to speak to him directly or see any evidence from him, let me know and I can connect you.
It would also mean a lot if you could share this link on your socials to help him out, more info on the gofundme page:"
HATzortzis,23/03/2026 18:35,"""From brother Yusuf Ponders (see link in first comment):

""Sorry to bother you all with this. Theres a brother that I have known for a few years whos currently trying to raise funds to save his eyesight. Hes been struggling with serious eye problems for some time, and now a promising opportunity has come up that could help maintain his vision inshaAllah.

Please consider supporting him , every bit helps. If youd like to speak to him directly or see any evidence from him, let me know and I can connect you.

It would also mean a lot if you could share this link on your socials to help him out, more info on the gofundme page about his condition and what they are hoping to achieve.."""""
HATzortzis,20/03/2026 10:47,"""As-salamu alaykum dear brothers and sisters,

Eid Mubarak.

May Allah accept from you and from us, forgive our sins, and accept all of our worship.

We sincerely thank you for your continued support of Sapience Institute, and we pray that Allah richly rewards you, blesses you and your families, grants you goodness in this life and the khirah, and makes the coming year a productive and blessed one for all.

Regards,
The Sapience Institute Team"""
HATzortzis,20/03/2026 06:50,"Eid Mubarak, everyone.

May Allah accept from you and from us.

May Allah rectify our affairs, unite the Ummah, and grant it relief from Zionist oppression and every other form of injustice and evil. May He help us recognise how to transform our condition through sincere adherence to His guidance, and make us beacons of light for the world. May He grant us peace, harmony, and His Divine love."
HATzortzis,20/03/2026 03:31,"""I am so pleased to announce that my article on al-Rz and the origins of language has been published in Eid. Enjoy!"
HATzortzis,19/03/2026 14:40,"""""My top 5 reasons to give your Zakt through this project:



1. Your Zakt will be delivered directly to some of the people in greatest need, including in places such as Syria.
2. This Zakt project has approval from the Islamic Finance Advisory (IFA).
3. 100% of your Zakt will reach eligible recipients, with admin costs covered through tax reclaims.
4. Your Zakt will be distributed as cash, in line with Islamic principles, preserving dignity and giving recipients choice.
5. I will personally be travelling to the region with Muslims in Need, and I receive nothing financially for supporting this cause. I will never accept anything that can be perceived as a gift or financial benefit. In-sh-a-Allh.

May Allah reward you, accept your Zakt, and make it a source of immense barakah for you this Ramadan.

mn.

Hamza.""
""
--------------

Jazakum Allahu khayran to all those who paid their zakat. We surpassed the target.

Alhamdulillah."
HATzortzis,19/03/2026 10:26,"""""My top 5 reasons to give your Zakt through this project:



1. Your Zakt will be delivered directly to some of the people in greatest need, including in places such as Syria.
2. This Zakt project has approval from the Islamic Finance Advisory (IFA).
3. 100% of your Zakt will reach eligible recipients, with admin costs covered through tax reclaims.
4. Your Zakt will be distributed as cash, in line with Islamic principles, preserving dignity and giving recipients choice.
5. I will personally be travelling to the region with Muslims in Need, and I receive nothing financially for supporting this cause. I will never accept anything that can be perceived as a gift or financial benefit. In-sh-a-Allh.

May Allah reward you, accept your Zakt, and make it a source of immense barakah for you this Ramadan.

mn.

Hamza.""
""
--------------

Less than 600 remaining to reach the target. Pay your zakt now before Ramadan ends."
HATzortzis,19/03/2026 09:48,"Dont lose your Quran habit after Ramadan.

@QuranlyApp, the habit-science app, reminds you every single day.

Get lifetime access  70% OFF"
HATzortzis,19/03/2026 08:48,"""We need less than 800 to reach our target. Pay your zakt now before Ramadan ends."""
HATzortzis,19/03/2026 05:38,"""""My top 5 reasons to give your Zakt through this project:



1. Your Zakt will be delivered directly to some of the people in greatest need, including in places such as Syria.
2. This Zakt project has approval from the Islamic Finance Advisory (IFA).
3. 100% of your Zakt will reach eligible recipients, with admin costs covered through tax reclaims.
4. Your Zakt will be distributed as cash, in line with Islamic principles, preserving dignity and giving recipients choice.
5. I will personally be travelling to the region with Muslims in Need, and I receive nothing financially for supporting this cause. I will never accept anything that can be perceived as a gift or financial benefit. In-sh-a-Allh.

May Allah reward you, accept your Zakt, and make it a source of immense barakah for you this Ramadan.

mn.

Hamza.""
""
--------------

We need less than 800 to reach our target. Pay your zakt now before Ramadan ends."
HATzortzis,19/03/2026 00:16,"""Mojtaba, a 3-day-old infant baby was killed by the Epstein Army in Iran. 

Zionism rots the brain"
HATzortzis,18/03/2026 23:51,"Join The Frontline, 1000 Strong.

By the end of Ramadan we need 1000 people to give just 100.

We now have 82 people remaining. Alhamdulillah.

Who will lend to Allah a good loan which Allah will multiply many times over? It is Allah alone who decreases and increases wealth. And to Him you will all be returned. Quran 2:245

Tonight could be The Night of Power.

Support our mission of educating and empowering individuals and organisations to defend and share Islam.



The Prophet (peace be upon him) said, Whoever guides someone to goodness will have a reward like one who did it. [Sahih Muslim]"
HATzortzis,18/03/2026 21:54,"""Tomorrow on Sapience Academy, we conclude our Ramadan exclusive course Gods Arguments: The Intellectual Power of the Quran in an Age of Doubt with the final live lecture:

Signs of God
From Creation, Order and Meaning
with Imran Hussein

 Sunday 19th March
 3:30 PM (UK) | 10:30 AM (Houston, TX)
 LIVE

Get Access Now: 
Access is available to:
 those who enrol in the Intellectual Ambassador Programme
 and those who sponsor an Intellectual Ambassador

This Ramadan, do not miss the chance to sponsor an Intellectual Ambassador while the nights are passing and the rewards are multiplied. Secure your sponsorship before the month ends.

Sponsor here: 
The Intellectual Ambassador Programme starts on 31 March."""
HATzortzis,18/03/2026 20:29,"""""My top 5 reasons to give your Zakt through this project:



1. Your Zakt will be delivered directly to some of the people in greatest need, including in places such as Syria.
2. This Zakt project has approval from the Islamic Finance Advisory (IFA).
3. 100% of your Zakt will reach eligible recipients, with admin costs covered through tax reclaims.
4. Your Zakt will be distributed as cash, in line with Islamic principles, preserving dignity and giving recipients choice.
5. I will personally be travelling to the region with Muslims in Need, and I receive nothing financially for supporting this cause. I will never accept anything that can be perceived as a gift or financial benefit. In-sh-a-Allh.

May Allah reward you, accept your Zakt, and make it a source of immense barakah for you this Ramadan.

mn.

Hamza.""
""
--------------

This is the last night of Ramadan. We need just over 1k to reach the new target. Pay your zakt here:"
HATzortzis,18/03/2026 19:47,Be a Lightkeeper! - Lighthouse Live Q&amp;A
HATzortzis,18/03/2026 18:41,"10 Reasons Why You Should Get The Purple Quran Translation

Get your copy now:"
HATzortzis,18/03/2026 15:45,"Join The Frontline, 1000 Strong.

By the end of Ramadan we need 1000 people to give just 100.

We now have 104 people remaining. Alhamdulillah.

Let there be a group among you who call others to goodness, encourage what is good, and forbid what is evilit is they who will be successful. Quran 3:104

Tonight could be The Night of Power.

Support our mission of educating and empowering individuals and organisations to defend and share Islam.



The Prophet (peace be upon him) said, Whoever guides someone to goodness will have a reward like one who did it. [Sahih Muslim]"
HATzortzis,18/03/2026 01:42,"""""My top 5 reasons to give your Zakt through this project:



1. Your Zakt will be delivered directly to some of the people in greatest need, including in places such as Syria.
2. This Zakt project has approval from the Islamic Finance Advisory (IFA).
3. 100% of your Zakt will reach eligible recipients, with admin costs covered through tax reclaims.
4. Your Zakt will be distributed as cash, in line with Islamic principles, preserving dignity and giving recipients choice.
5. I will personally be travelling to the region with Muslims in Need, and I receive nothing financially for supporting this cause. I will never accept anything that can be perceived as a gift or financial benefit. In-sh-a-Allh.

May Allah reward you, accept your Zakt, and make it a source of immense barakah for you this Ramadan.

mn.

Hamza.""
""
--------------

Less that 1.5k to reach the new target. Pay your zakt now. It may be the Night of Power!"
HATzortzis,18/03/2026 01:41,"""""My top 5 reasons to give your Zakt through this project:



1. Your Zakt will be delivered directly to some of the people in greatest need, including in places such as Syria.
2. This Zakt project has approval from the Islamic Finance Advisory (IFA).
3. 100% of your Zakt will reach eligible recipients, with admin costs covered through tax reclaims.
4. Your Zakt will be distributed as cash, in line with Islamic principles, preserving dignity and giving recipients choice.
5. I will personally be travelling to the region with Muslims in Need, and I receive nothing financially for supporting this cause. I will never accept anything that can be perceived as a gift or financial benefit. In-sh-a-Allh.

May Allah reward you, accept your Zakt, and make it a source of immense barakah for you this Ramadan.

mn.

Hamza.""
""
--------------

Less that 1.5k to reach the new target. Pay your zakt now. It may be the Night of Power!"
Milat_at_Tawhid,24/03/2026 22:44,"""This same retarded argument I recently saw parroted by those  hijrah bros (usually diet Madkhalites) in the Zionist UAE: Iran fired more missiles at the UAE than at Israel, ak. 

This is a brain dead argument.

Anyone in Irans position would strike those countries that host American bases. What do they expect Iran to do? Spare the Zionist Emirates? What are we as Muslims supposed to do, feel sorry for that Zionist entity called the UAE?

Of course, none of this means we simp for Rafidi Iran, but we are Muslims and principled, and we understand that Pakistan or Turkey would do the same if American bases in the Gulf were used to attack them.

And what have these countries, like the Zionist UAE and Bahrain, gained from hosting American bases on their soil? Nothing but degeneracy and humiliation.

They made their own beds, all of them, and nobody will protest in defence of you evil Zionist clowns."""
Milat_at_Tawhid,23/03/2026 23:42,"""If you didn't know, Israel is currently bombing Syria. Together with Gaza/West Bank, Lebanon and Iran, that's FOUR Muslim lands Israel is bombing AT THE SAME TIME

Israel is at war with all of us, it's time Muslim lands united and returned the ""favour"""
Milat_at_Tawhid,23/03/2026 19:35,"What's worse than a Madkhali? 
A Madkhali Tranny"
Milat_at_Tawhid,23/03/2026 17:23,"""SHAMSI'S MADKHALI TEACHER ABU KHADEEJAH #foryou #foryoupage #salafi #salafiyah #salafiyyah #muslim #Islam"
Milat_at_Tawhid,22/03/2026 23:18,"""""Urgent 

Egypt needs an Islamic revolution. It will soon be a country full of Atheists under the leadership of a Baal supporter. 
""
--------------

The women's side had to be  told to quieten down every single night of Taraweeh without exception

Once, the imam announcrd the passing of a brother, and all you could hear was chitter-chatter

Imagine your death announcement being drowned out by gossip in the Masjid in Ramadan"
Milat_at_Tawhid,22/03/2026 23:12,"""Jhil TikTok Shaykh Faris: defensive Jihad is set by the ruler 

Abu Headless Chicken Musab: I agree 

Dont these 2 know the unanimous consensus of the ulama that defensive jihad does not require permission of the rulers."
Milat_at_Tawhid,22/03/2026 23:10,"""SHAMSI BENSAFI TRIED HIS BEST
#foryou #foryoupage #salafi #salafiyya #muslim #islam"
Milat_at_Tawhid,22/03/2026 20:30,"""This account turns off comments &amp; posts clickbait lies

When the English subtitles for this video release post it again with this same caption

His ilks hate for the Palestinian resistance is unbelievable

May Allah guide you or raise you with the Yahood &amp; Munafiqeen"""
Milat_at_Tawhid,22/03/2026 10:05,"""May Allah protect all Muslims
and inflict the same punishment onto their oppressors, that theyve inflicted upon them."""
Milat_at_Tawhid,21/03/2026 21:38,"""@Aal_Moalim Does he even have a single video refuting Zionism?"""
Milat_at_Tawhid,24/03/2026 18:04,"Notice how a recent convert to Islam thought shaykh Abu Najm was a Madkhali based on his harshness.

This is by no means a coincidence, but calculated branding. Madkhalis push their views via an elaborate faade of orthodoxy.

They've made an absolute muck of Salafi's reputation."
Milat_at_Tawhid,24/03/2026 18:05,Note: This doesn't mean at all that I necessarily agree with what the Shaykh said here.
Milat_at_Tawhid,22/03/2026 10:01,"""""Saudi imam :

On the Day of Judgment, if you do not keep yourself clean from your urine, you will be punished in your grave, but if you are ignorant of the matters of Palestine, you will not be punished.

If we asked those who concern themselves with the issues of Palestine and said to them: How do you clean yourself from urine?

By Allah, they would not know.""
""
--------------

A response to the deviants feigning knowledge who say Allah wont ask you about Palestine &amp; the current affairs of the Muslims, but he will ask you about taking care with dropping urine.

Shaykh Ahmad as-Sayyid"
Milat_at_Tawhid,22/03/2026 10:19,"Opposing this type of (corrupted) speech is from the obligations of the Shari'ah and from the ways of getting close to Allah.

In this speech is distortion of Allah's religion."
Milat_at_Tawhid,22/03/2026 09:51,"His Madkhali state-narrative also misapplies the hadith about fighting Khawrij against the Mujahidn.

And they would say Whoever dies without baya to an Imm (Khalifah) on his neck dies a death of Jahiliya; the Wali Amr is Haftar and whoever doesnt give him baya is Khriji"
Milat_at_Tawhid,22/03/2026 09:51,Such is the government whom many sub-IQ Libyans larp as Salafi
Milat_at_Tawhid,21/03/2026 21:34,"""""Not that this is wrong from ARH but will we also see a video on how the Jews of today ally with Muslims via the Abrahmic House/Abrahamic Accords thereby seeking to destroy Islam from within?""
""
--------------

The entire Salaf Da'wah follows an identical pattern

It's not that what they preach is inherently wrong

But that they surreptitiously neglect major obligatory matters (i.e. Jihad, Palestine, Secular Muslim Rule, Muslim Unity)

Instead concern you with minutia e.g. Isbl"
Milat_at_Tawhid,21/03/2026 21:35,The message is often in what is not said rather than what is.
ImamZayd,23/03/2026 23:17,"""The 18-month-old Palestinian child, Karim Abu Nassar, was tortured while his father was detained by IOF."
ImamZayd,23/03/2026 17:34,"""My little soul"
ImamZayd,23/03/2026 15:52,"""Listen to the mother describing how the IDF tortured her 18-month-old child in front of his father."
ImamZayd,22/03/2026 21:32,"""Israel kidnapped and tortured a one-year-old child in front of his father for 10 hours, burning cigarettes and inserting nails into his legs, in an attempt to extract a false confession under duress.

Israel kidnapped and tortured a baby!"
ImamZayd,22/03/2026 16:29,"""Karim:"
ImamZayd,22/03/2026 16:27,"""Those who did this to the children of Gaza have no right to cry, no matter what happens to them."
ImamZayd,22/03/2026 16:26,"""Israeli settlers rampaged for more than five hours across the West Bank last night, striking over a dozen villages without any intervention. 

The violence followed claims by IsraJaludinisters that a settler had been killed in a car t*rror attack, which was later found to be an accident. In the aftermath, Palestinian homes in Silat ad-Dhahr were set ablaze.

Footage also captures attacks on Jalud, southeast of Nablus, where houses and vehicles were torched."""
ImamZayd,22/03/2026 16:26,"""JUST IN: Israel abused and tortured a baby to pressure his father.

Osama Abu Nassar was stopped near Al-Maghazi camp, forced to strip, and separated from his 18-month-old son. Witnesses say soldiers detained the child, tortured him in front of his father, and interrogated him at a checkpoint.

The child, Karim, was released after 10 hours via the Red Cross with injuries documented in a medical report, while the father remains in detention.

Source: @QudsNen"""
ImamZayd,22/03/2026 16:25,"""Israeli Forces Tortured Child in Front of His Father in Gaza  

Israeli forces subjected a one-year-old child to abuse and torture to pressure his father into giving confessions in Al-Maghazi refugee camp in central Gaza, according to local and family sources.

Osama Abu Nassar, while taking his child to buy supplies a few days ago, he was caught in gunfire near his home and forced by Israeli soldiers to leave his 18-month-old son on the ground and approach the Israeli checkpoint, where he was stripped of his clothes.

According to witnesses, the army then took the child and interrogated the father at the checkpoint. The forces tortured the child in front of his father, including burning his leg with cigarettes, pricking, and inserting a metal nail into his leg, as confirmed by a medical report.

The child, Karim, was released after 10 hours and handed over to his family through the International Red Cross, while the father remains in detention.

 Osama Al-Kahlout"""
ImamZayd,22/03/2026 00:06,"""BREAKING: Iranian ballistic missile hits Arad, Israel.

At least 70 Israeli settlers were injured.

A mass casualty event has been declared by Israeli media after devastating Iranian missiles struck Israel."
ImamZayd,21/03/2026 22:14,"""Israel has declared a mass casualty incident after an Iranian missile hit a residential building in Arad."
ImamZayd,21/03/2026 21:50,"""Footage from Arad, Israel. 

At least 20 buildings damaged in Arad, southern Israel, following Iranian missile launch, Israeli media claims.

Israeli army says 450-kilogram Iranian rocket fell on Arad, Tel Aviv admits failure to intercept."
ImamZayd,21/03/2026 21:06,"""Iran striking Dimona is a warning shot.

If Israel is still thinking of using tactical nukes against Iran, there are many ways to make Israel's occupied territory uninhabitable."""
ImamZayd,21/03/2026 21:04,"""Saudis bomb Yemen for 8 years and then tell everyone ""attacking neighbors is against Islamic teachings."""""
ImamZayd,21/03/2026 21:04,"""Isn't this the best Eid or what 

Direct hit from Iranian missile in  Dimona"
ImamZayd,21/03/2026 21:04,"""BREAKING: Iranian ballistic missile hits Dimona, Israel.

At least 30 Israeli settlers were injured."
ImamZayd,21/03/2026 20:49,"""It appears Iran has just directly struck Dimona. 

The place Israel famously didnt develop nuclear weapons."
ImamZayd,20/03/2026 18:09,"""Eid Mubarak to everyone far and wide
May Allah accept all your good deeds and works this Ramadan - continuing them for the year to come
And we pray and strive to end the occupation and establish unity and rule by Islam 
For justice
For peace
Ameen"
ImamZayd,20/03/2026 18:08,"""From All of us at Tajdeed, Eid Mubarak.
May Allah accept your fasting, duas and efforts.
May Allah help us all to further his message, may we be tools for reviving the Deen, reminding the Ummah of our responsibilities, return the Shura to the Ummah and apply the Shariah and rem"
ImamZayd,20/03/2026 11:36,"""Australian Prime Minister Anthony Albanese and Home Affairs Minister Tony Burke were booed by Muslim worshippers during Eid al-Fitr prayers at Lakemba Mosque in Sydney, as anger grew over the governments stance on Israels war in Gaza, Iran and Lebanon."
AbuHafsah1,22/03/2026 11:30,"IDF headquarters are embedded in a civilian population in Tel Aviv.

Why are they using Jews as human shields?"
AbuHafsah1,21/03/2026 21:44,"""Whats worse?

Death sentence for a man who hacked 2 police officers to death using a machete?

Or

Blowing up 200 children in a nursery?

The Epstein States of America would have you think the former is worse."""
AbuHafsah1,21/03/2026 21:29,"Whats worse?

Death sentence for a man who hacked 2 police officers to death using a machete?

Or

Blowing up 200 children in a nursery?

The Epstein States of America would have you think the former is worse."
AbuHafsah1,21/03/2026 14:55,Iran after the Epstein revolution.
AbuHafsah1,21/03/2026 10:50,"""ICE executes a woman for driving in America.

IRAN executes a man for killing 2 cops with a machete.

MAGA Goyim: IzLaM BaRbArIc """
AbuHafsah1,21/03/2026 07:41,"ICE executes a woman for driving in America.

IRAN executes a man for killing 2 cops with a machete.

MAGA Goyim: IzLaM BaRbArIc"
AbuHafsah1,20/03/2026 21:37,"""""BREAKING: Epstein victim says she has tapes of Donald Trump doing things that will force him to resign from the presidency. 
""
--------------

Release the Kraken."
AbuHafsah1,20/03/2026 18:31,It seems India doesnt want to upset fatherland.
AbuHafsah1,20/03/2026 17:52,Deform voter wishes Eid Mubarak to the Pakis
AbuHafsah1,20/03/2026 16:18,Allahu Akbar
AbuHafsah1,19/03/2026 23:53,"""""Fact: Over 500 eyewitnesses saw Jesus after His resurrection. 
""
--------------

Theres a difference between 500 people witnessing something vs 1 person having a vision that 500 people witnessed something."
