username,date,full_display_text
saifuldeen929,10/03/2026 04:19,"[Retweeted]
""His face is so stereotypical that if an artist drew him, they’d be labeled “Antisemitic”."""
saifuldeen929,10/03/2026 04:14,"[Retweeted]
"""
saifuldeen929,09/03/2026 03:56,"[Retweeted]
""If you shelter murderers and give them a head quarters to attack from, don’t play the victim card when you’re attacked by the murderer’s victims.

Shaykh Younus Kathrada حفطه الله"""
saifuldeen929,08/03/2026 21:49,"[Retweeted]
""“Shaykh Muqbil never mentioned specific rulers.”, absolute copium, here he called specific people Tawagheet. The brainlets have 2 options

1. Claim he retracted these statements (They are all on his website) &amp; admit he was a Khariji before this.

2. Accept that this was his view."""
saifuldeen929,08/03/2026 14:47,"[Retweeted]
""There’s throwing stones from a glass house, but this is a cardboard box. Is uncle Faris forgetting that the biggest Hindu temple outside of India &amp; the Kufri “Abrahamic” interfaith house are located in his country?"
saifuldeen929,08/03/2026 12:26,"[Retweeted]
""Shaykh Muqbil was asked which country is closest to ruling by the Shari'ah. He said that the default position is that all the countries are agents of America &amp; there are no exceptions, &amp; the closest to the Shari'ah are the land of the Haramain &amp; Yemen, much good remains in them."
saifuldeen929,08/03/2026 12:22,"[Retweeted]
""Shaykh Ṣāliḥ al-Fawzān speaks about those who allow the disbelievers into the lands of muslims when assisting them against the muslims and how this is disbelief even if he hates their religion.

Interestingly, he then speaks about those who bring them in and enabled them to build churches and the likes, and this is what he says :

_

Shaykh Sulaymān ibn ‘Abd Allāh ibn Muḥammad ibn ‘Abd al Wahhāb said: “[That if someone openly displays their] agreement with their religion [of the Mushrikin]”

Shaykh Ṣāliḥ al-Fawzān said: “Meaning: He enabled them [the mushrikin] to establish churches in the lands of the Muslims, and granted them freedom, and said to the Muslims: “Do not prevent them from anything; whatever they request from you, comply with it.” This is mudāhanah, because our religion forbids this.”

…

Shaykh Sulaymān ibn ‘Abd Allāh ibn Muḥammad ibn ‘Abd al-Wahhāb said: “[And if he does this then] indeed he is a disbeliever like them.”

Shaykh Ṣāliḥ al-Fawzān commentates: “Because he enabled the [religion of the] disbelievers and was pleased with their religion, and he forewent what the religion of Islām obliged upon him — namely disassociating the religion of the disbelievers and disavowing it. He did not disavow it; rather, he permitted it, justified it, and granted them freedom [to establish their religion] in the lands of the Muslims.”

Shaykh Sulaymān ibn ‘Abd Allāh ibn Muḥammad ibn ‘Abd al-Wahhāb said: “[And if he does this then indeed he is a disbeliever like them] even if he detests their religion and hates them.”

Shaykh Ṣāliḥ al-Fawzān commentates: “Meaning: if he loves their religion, then this makes him a disbeliever (kāfir), an apostate, if he establish them. And if he establishes them while he hates their religion, then this act of his constitutes apostasy from Islām, because he has assisted them against the Muslims.”

شرح رسالة الدلائل في حكم موالاة أهل الإشراك (31,32)"""
saifuldeen929,07/03/2026 16:57,"[Retweeted]
""1 hour long discussion of the Muhaddith, Al Albani, criticizing the Saudi Arabian government for inviting American troops into Saudi to ward off Saddam Hussain. 

[English translation]"
saifuldeen929,07/03/2026 16:33,"[Retweeted]
"""
saifuldeen929,07/03/2026 11:53,"[Retweeted]
""Prevention in Shariah vs Intervention in Taghut Law

Shaykh Abdullah al-Faisal"
saifuldeen929,07/03/2026 11:41,"[Retweeted]
""Zarqawi cutting their head off was understandable"""
saifuldeen929,06/03/2026 16:32,"[Retweeted]
""The Evil companions of the Rulers."
saifuldeen929,06/03/2026 10:35,"[Retweeted]
""BOOM there you have it, senator Lindsey Graham is calling for a religious war!

They are exposing themselves day by day, until they will force you to return to your religion....

Preach on senator @LindseyGrahamSC"
saifuldeen929,05/03/2026 06:16,"[Retweeted]
""Love for Jihad tells you how much you love Allah"
saifuldeen929,05/03/2026 04:18,"[Retweeted]
""Shia vs Yahūd: The War Between Two Friends

Ustadh Abu Ousayd"
saifuldeen929,05/03/2026 04:15,"[Retweeted]
""Pakistani Army Field Marshal, Asim Munir’s misinterpretation of Jihad ruling refuted by Shaykh Ahmad Musa Jibril
#Pakistan #AsimMunir"
saifuldeen929,04/03/2026 17:16,"[Retweeted]
""Shaykh Ahmad Musa Jibril warns against those who misuse statements of scholars to make mass Takfir.

Note: This is NOT in reference to falling into clear kufr like Shirk without valid Ikrah (coercion)."
saifuldeen929,04/03/2026 17:14,"[Retweeted]
""Kindness in Wala &amp; Bara explained by Shaykh Ahmad Musa Jibril"
saifuldeen929,04/03/2026 11:11,"[Retweeted]
"" and  are the two websites to follow for uncompromising Dawah in our era.

Free from bowing down the Taghut and free from sugarcoating to please the masses."
saifuldeen929,04/03/2026 04:17,"[Retweeted]
""A beautiful human who was always in the Frontline calling for the freedom of Muslims unjustly held behind the bars, only to have himself be one of the prisoners.

He spent the first half of his life dedicated to raising awareness for the Muslim prisoners, and now sentenced for the remaining of his life to being one.

Anyone who slanders him, just know this...if you ever get locked up, brother Anjem would be the one calling for your release when your own friends and family would've disowned you. Even if that meant he himself gets sent to prison as a result.

#WeStandWithBrotherAnjem #FreeTheAseer"""
One_Dawah,09/03/2026 18:34,"[Retweeted]
""The difference between a Palestinian date and an Israeli date"""
One_Dawah,09/03/2026 18:34,The difference between a Palestinian date and an Israeli date
One_Dawah,04/03/2026 16:36,"[Retweeted]
""I am not a Saudi nor do I live there, nor do I justify sins or bad stuff that may occur there, happy?

By the way, you literally live in the U.S. and pay taxes to them, which they use to bomb Iran

This isn't a W you think it is

Come on Taqiyatjou, I expected better from you"
One_Dawah,04/03/2026 16:36,"""""@One_Dawah As a Wahhabi in Saudi, do you host US soldiers at your house?

Do they join you for iftar every night? 

Are you also required to shine their boots? Or is that optional?""
""
--------------

I am not a Saudi nor do I live there, nor do I justify sins or bad stuff that may occur there, happy?

By the way, you literally live in the U.S. and pay taxes to them, which they use to bomb Iran

This isn't a W you think it is

Come on Taqiyatjou, I expected better from you"
One_Dawah,04/03/2026 12:34,"[Retweeted]
""Daniel Haqiqatjou is a disgusting Iranian agent

Look at how he mocks Saudi Arabia while it was being unjustly attacked"""
One_Dawah,04/03/2026 12:33,"Daniel Haqiqatjou is a disgusting Iranian agent

Look at how he mocks Saudi Arabia while it was being unjustly attacked"
One_Dawah,03/03/2026 22:16,"[Retweeted]
""It is Ramadan, and this vile deceiver will not stop lying and misleading others during this blessed month"
One_Dawah,03/03/2026 22:16,"It is Ramadan, and this vile deceiver will not stop lying and misleading others during this blessed month"
One_Dawah,02/03/2026 17:10,"[Retweeted]
""Never forget Gaza"""
One_Dawah,02/03/2026 17:09,"""""NOW - Netanyahu: ""You see the difference. The tyrants of Tehran target civilians, we target the tyrants of Tehran to protect civilians."" 
""
--------------

Never forget Gaza"
One_Dawah,01/03/2026 21:48,"[Retweeted]
""Shirk is not a minor difference

We only unite on Islam

Say, ""O People of the Scripture, come to a word that is equitable between us and you - that we will not worship except Allah and not associate anything with Him and not take one another as lords instead of Allah..."" [3:64]"""
One_Dawah,01/03/2026 21:48,"""""It is far past time we Christians and Muslims unite on our shared similarities rather than fight over our minor differences. 

They spit on Christians and bomb the Muslims. Why are we deceived into hating each other by those who hate the Messiah?""
""
--------------

Shirk is not a minor difference

We only unite on Islam

Say, ""O People of the Scripture, come to a word that is equitable between us and you - that we will not worship except Allah and not associate anything with Him and not take one another as lords instead of Allah..."" [3:64]"
One_Dawah,01/03/2026 13:29,"[Retweeted]
""A mosque in Homs, Syria 🇸🇾

“ The Iranian tyrant has perished ” 

“ The tyrant who made our blood,  the blood of Ahl Sunnah, lawful in Syria ” 

“ Glorify Allah for the destruction of the tyrant ”"
One_Dawah,01/03/2026 10:17,"[Retweeted]
""Khamenei, the oppressor, tyrant, and butcherer of Muslims is no more"
One_Dawah,01/03/2026 10:16,"Khamenei, the oppressor, tyrant, and butcherer of Muslims is no more"
One_Dawah,28/02/2026 22:12,"[Retweeted]
""May Allah bring the downfall of Benjamin Netanyahu next"
One_Dawah,28/02/2026 22:10,May Allah bring the downfall of Benjamin Netanyahu next
One_Dawah,01/03/2026 13:27,"A mosque in Homs, Syria 🇸🇾

“ The Iranian tyrant has perished ” 

“ The tyrant who made our blood,  the blood of Ahl Sunnah, lawful in Syria ” 

“ Glorify Allah for the destruction of the tyrant ”"
One_Dawah,01/03/2026 13:29,"Idlib, Syria 🇸🇾"
IbnAli515T,07/03/2026 12:06,"[Retweeted]
""📌 Apostate Taliban movement sends condolences on Ali Khameni and refers to it as a Shaheed (Martyr) which is second highest rank after Prophethood

📌 May Allah curse this Taliban regime and every one Zindiq who allied with it patching up every act of Kufr for them"
IbnAli515T,06/03/2026 02:02,"[Retweeted]
"""
IbnAli515T,05/03/2026 10:43,"""""Yo @sneako can you say “Ameen” to this Dua? If not, stop saying Khamanei was a Martyr. This Mushrik did so much evil it’s impossible to consider him a Muslim let alone a Martyr. 
""
--------------

Hey. Madakhila how can you guys say Khamenei went to Hell listen to your top Rabbi Fawzan 😂 

(May Allah Protect us from such Zandaqah)"
IbnAli515T,05/03/2026 07:06,"""""🖋️A Messege From Shamsi To Br Sneako
@DusDawah 
""
--------------

Zindeeq Shamsi why is Murtad bin Salman praying for forgiveness and paradise for a Mushrik Rafidhi?"
IbnAli515T,04/03/2026 14:23,"[Retweeted]
""Quand c'est pour l'Arabie, c'est une lutte dans le sentier d'Allah.

Quand c'est pour la Palestine, l'lrak etc... c'est de la désobéissance et de la transgression.

Saleh Al Fawzen le savant du sultan. Celui qui le nie est malhonnête."
IbnAli515T,02/03/2026 15:19,"""""
""
--------------

Wallahi anyone who believes this Grifter Zindeeq Sneako is Muslim is either a jahil or Zindeeq himself who should re learn the basics of Islam!"
IbnAli515T,01/03/2026 17:30,"Alhamdullilah the Rafidhi Dog of hellfire has perished.
May Allah give the same fate to the rest of the Tawagheet and make a way for the true Mujahideen to establish Allah's religion."
IbnAli515T,20/02/2026 10:47,"""""Crown Prince Muhammad Bin Salman at Masjid An Nabawi 
""
--------------

Even a Kafir is praying what is your excuse?"
IbnAli515T,16/02/2026 15:36,"""""#Taliban spokesman Zabihullah Mujahid to Radio Tehran: We hope the war between US and #Iran does not occur. However, if such a conflict happens, Iran will emerge victorious and #Afghans will cooperate with Iranian people to fullest extent of our capabilities. 
""
--------------

The Taliban and their Rafidha brothers Mushriks in one camp.  Ya Allah destroy them like you destroyed the people of Madyan"
IbnAli515T,08/03/2026 18:24,"The Hukm of the Rafidha.
Shaykh Turki Al-binali Rahimahullah"
IbnAli515T,02/03/2026 15:17,"""""🖋️‼️..Don’t Deceive The Muslims .. 
""
--------------

Funny how this Munafiq is speaking about Iran allying with America what about your Taghut kingdomof Saudi Arabia ya Munafiq 
🔻(Check thread)🔻"
IbnAli515T,02/03/2026 15:18,Saudi Army of Kufr Shaykh Turki al-Binali Rahimahullah
IbnAli515T,02/03/2026 15:18,"""""How Saudi Arabia Actively Helped Iran Grow

-- With confessions by Saudi Officials

At a time when the Palestinian resistance is unfairly attacked for being ""Iranian"" by Saudi Media, it is important to address the Saudi hypocrisy. 

🧵 A Thread 
""
--------------

For more check out this thread from Xumas the Zindeeq May Allah guide him"
saifuldeen929,03/03/2026 21:10,"[Retweeted]
""Ahmed al-Sharaa states in his Consitution:

""Citizens are equal before the law in rights and duties, without discrimination based on race, religion, gender, or lineage.""

Who would risk throwing themselves into Hellfire by declaring that the one who holds this belief is a Muslim?"
saifuldeen929,03/03/2026 17:35,"[Retweeted]
""Those happy with the bombing of Iran &amp; the killing of the khabith Ali Khamenei need to be remember what the apostate Arab &amp; Gulf states have done to Ahlus-Sunnah &amp; the Muwahideen!

These tawagheet are two sides of the same coin, anyone who can not see this reality is an imbecile"""
saifuldeen929,03/03/2026 17:27,"[Retweeted]
""To those who call for Unity with the Rafidha."
saifuldeen929,03/03/2026 16:14,"[Retweeted]
""Netanyahu is The Proudest Taghut in The World

Shaykh Abdullah al-Faisal"
