username,date,full_display_text
AOM18989,10/12/2025 12:17,"[Retweeted]
""Allah has bestowed upon us the tremendous favor of continuing to discover manuscripts of the works of Ibn Taymiyyah and of his students and followers.

Multiple volumes of his Tafsir works are planned for publication, including one volume being published for the first time."
AOM18989,03/12/2025 14:17,"[Retweeted]
""One advice my grandmother would always give me is to increase my relationship with the book of Allah. 

She passed away last Sunday... And I've never known a loss that stings deeper than that. Pls make du'a for her and our family. Would deeply appreciate it. 🙏🙏"""
AOM18989,02/12/2025 20:43,"[Retweeted]
""@abuhamzahmalizi Sunnis iraqis killed more American soldiers than all of the axis of resistance"""
AOM18989,30/11/2025 14:49,"[Retweeted]
""@AbuAsimHanbali Lol... The Sururis in Saudi Arabia were the most aggressive in declaring takfir against America’s allies and the most vocal in opposing the American coalition during the Gulf War and the Afghanistan War..."""
AOM18989,27/11/2025 14:24,"[Retweeted]
""This is what happens when you let secular lawyers larp as Islamic law experts:

""[The Shari'ah] is a broad ethical framework concerned with justice, welfare, and accountability...""

-Faisal Kutty, a lawyer and legal academic"""
AOM18989,26/11/2025 19:54,"[Retweeted]
""@HaqqRemains_ Retracting one’s opinion on this issue is a common matter among scholars, and it differs from the thinking of Daesh, who carry out istitabah because of it and consider anyone who permits it to be automatically a disbeliever.."""
AOM18989,25/11/2025 19:28,"[Retweeted]
""Alawites are moving based on coordination and orders of SDF. 

One of their goal is to provoke a Sunni reaction that could trigger chaos and instability that serves agendas of SDF, shabiha Assadists, alawites, druze and Israel."""
AOM18989,23/11/2025 10:22,"[Retweeted]
""You know we're cooked when the bare minimum is considered ""significantly stricter"" and a ""win."""""
AOM18989,17/11/2025 06:45,"[Retweeted]
""@tasleemio Nobody cares about your stupid little P@j33t village wars between two fat Halwa molvis

Your both the exactly same

Grow up!"""
AOM18989,16/11/2025 18:05,"[Retweeted]
""🧵A thread on why Al-Qaeda was never an agent of America."
AOM18989,15/11/2025 17:51,"[Retweeted]
""Ahmad Zaidan, recounted that when he asked al-Jaulani whether he adhered to the ideology referred to as “al-Wahhabiyyah”...

Al-Jaulani replied that he did not believe in it and that he would, through a “tadarruj” process, gradually change the mindset of the young mujahidin..."
AOM18989,15/11/2025 10:37,"[Retweeted]
""I have not found a single Salafi-Haraki or Sururi shaykh who fully supports al-Jolani… 

Most of the Salafi-Haraki, and even Sururi, scholars I know criticize many of al-Jolani’s actions..."""
AOM18989,13/11/2025 11:14,"[Retweeted]
""We need more Turks like this guy."
AOM18989,10/11/2025 11:24,"[Retweeted]
""Know your enemy well.

After 9/11, under the strategic guidance of Abu Musab al-Suri, Al-Qaeda shifted from a hierarchical structure to a decentralized model. This change ensured the organization’s survival and the global spread of its ideology through independent local groups."
AOM18989,30/10/2025 10:25,"[Retweeted]
""Iran is not an ""Islamic Republic""
Iran is not ruled by ""Muslims""
Iran's rule has nothing to do with ""Islam"""
AOM18989,28/10/2025 15:24,"[Retweeted]
""🚨 Muslim woman stabbed in Anti-Muslim Attack in Russia

In Saratov, Russia, 17-year-old pro-Zionist Russian student, Daniil Matasov, carried out a knife attack on a Muslim woman wearing a Hijab. He followed the Muslim woman and launched his attack from behind. He tried to kill her by stabbing and then fled the scene. 

“The Muslims are about to be finished. Maybe I'll send you some photos of their bodies.”

After the attack, Matasov boasted about his attack on social media and openly declared his actions were motivated by hatred towards Muslims and the fact that the woman was wearing a Hijab .

The authorities aren’t treating this incident as a terrorist act. The suspect has been arrested and charged with attempted murder."""
AOM18989,22/10/2025 18:38,"[Retweeted]
""There are more than 30,000 kidnapped girls in a single location in Syria.

Many of them have been kidnapped so long that they became ""women.""

It's called Hol camp.

Why doesn't the Syrian government surround that camp and try to free them?"""
AOM18989,18/10/2025 12:27,"[Retweeted]
""✨CA FREE Weekly study of the renowned work Al-Ājurrūmiyyah  in Arabic Grammar starting October 20, 2025 with:
 
His Eminence: Shaykh al-ʿArabiyyah Dr Alī Salīh al-Azharī foremost expert on Arabic language at al-Azhar University in Cairo, Egypt.

More info"
AOM18989,16/10/2025 20:13,"[Retweeted]
""Today a murderer was sentenced to retribution punishment (Qisas) in the sport stadium in Badghis province"
