username,date,full_display_text
archivalpercy,09/03/2026 18:10,"One last AN/TPY-2 Radar in the region. 

Morale highest than ever..."
archivalpercy,08/03/2026 02:59,"[Retweeted]
""We all agree this war is asymmetrical.

How could it not be?

On one side you have people like:

Dr. Ali Larijani (Secretary of the Supreme National Security Council of Iran) author of three essays on Immanuel Kant, his writings are studied in Western universities:

• The Mathematical Method in Kant’s Philosophy
• Metaphysics and the Exact Sciences in Kant’s Philosophy
• Intuition and the Synthetic A Priori Judgments in Kant’s Philosophy

And:

Dr. Abbas Araghchi (Minister of Foreign Affairs of Iran) PhD from the University of Kent.

His doctoral thesis:
“The Evolution of the Concept of Political Participation in Twentieth-Century Islamic Political Thought.”

And on the other side?

Donald Trump.

A man whose vocabulary barely exceeds 200 words.

Most famous quote:

“Grab ’em by the pussy.”"""
archivalpercy,06/03/2026 12:14,"[Retweeted]
""This is the logical endpoint of islamo-leftism: an ambiguously brown uncovered foid posting about the haramness of capitalism while shacking up with a (presumably white) kaffir in ramadan

The Jews have molested us in ways we can’t even comprehend"
archivalpercy,05/03/2026 00:20,"[Retweeted]
""3rd World Sinwarian-Accelerationist Techno Jihadism in the Age of al Dajjal"""
archivalpercy,03/03/2026 19:35,"The IRGC has attacked the US Consulate in the UAE's city of Dubai.

📍 Coordinates:
25°15'49.58""N 55°18'43.89"""
archivalpercy,03/03/2026 19:33,"[Retweeted]
""Can IDF degrade the clip more so that I can see absolutely nothing?"""
archivalpercy,03/03/2026 19:21,"[Retweeted]
""Looks like we've got our closest look at the quad canister launchers for Mikholit munitions on a downed Israeli Hermes-900"
archivalpercy,03/03/2026 17:23,"[Retweeted]
""Total Sinwarification. We're all just pawns in the game of a man who died in battle more than a year ago."""
archivalpercy,01/03/2026 21:16,"[Retweeted]
""I am officially addicted to monitoring the situation 

And if you haven’t been monitoring, the situation was crazy all day 

Situation monitoring might be the greatest activity ever"""
archivalpercy,01/03/2026 16:40,"Iraq's Saraya Awliya al-Dam Brigades has targeted the Erbil International Airport, achieving a direct hit on the helicopter Apron on the site. 

 POV Coordinates:
36.206183, 43.984303
 Coordinates of the target:
36.243456, 43.962286"
archivalpercy,01/03/2026 02:47,"The CENTCOM has published footage of the US military HIMARS firing ""ATACMS"" Missiles towards 3 Iranian TEL's, including that of what is presumably ""Kheibar Shekan"" &amp; ""Fateh-110"" MRBMs, and 1 VHF Radar, laced via USAF ""MQ-9A"" UAV, during Operation ""Epic Fury"" over the past day."
