id,text
1,"[Retweeted]
""Refuting the Notion of Bid'ah Hasanah (Good Innovation) in Worship: Part 1 - Ibn Hajar Al-Asqalani on the Usage of the Word Bid'ah in Its Linguistic Sense"
2,"[Retweeted]
""📢 This Friday | Lesson Continues!

📖 Masā’il Al-Jāhiliyyah - Aspects from the Days of Ignorance by Imām Muhammad ibn ʿAbd ul-Wahhāb رحمه الله 

📝 “The Twentieth Aspect: Believing that the Acts of Sorcerers and Magicians is from the Miraculous Endowments of the Righteous”

🗓 Friday 16th January ان شاء الله

🕗 7:30pm GMT | 10:30pm KSA | 2:30pm EST

🎙️ Ustādh Abu Ukkasha @Abu_Ukkaashah 

📝 Alternating Fridays with Ustādh Abu 'Ināyah Seif @Oxford_Dawah

🕌 Masjid Bin Bāz East Rd London E15 3QR

👥 All Welcome 

🌐"
3,"[Retweeted]
""📜 Birmingham - This Week @AstonMasjid | @MasjidSalafi"
4,Self-scrutiny
5,"Must carefully examine, if you are able, everything presented to you - in your era a- s Maslahah or a pursuit in the name of Bir and Taqwah. One must safeguard himself first &amp; foremost."
6,"""""Reflection upon the constant reminder of a close friend 
""
--------------

He keeps on giving me insights and today he shared this!"
7,"[Retweeted]
""📢 LESSON RESUMES THIS SUNDAY

📚 Kitāb aṭ-Ṭahārah (The Book of Ritual Purification) from ‘Umdatul-Aḥkām  – Explanation of Shaykh al-‘Uthaymeen 

🎙 Ustādh Abu ‘Abdur-Raḥmān Hilāl

⌚ Sunday @ 12.30pm
📍 The ARC Community Hub, LE11 2UP

🌐 Tune in:"
8,"[Retweeted]
""📹 NEW UPLOAD - Everyone claims to call to Salafiyyah (Who Are The Real Salafis)

‼️𝗦𝗮𝗹𝗮𝗳𝗶𝘆𝘆𝗮𝗵 𝗶𝘀 𝗡𝗢𝗧 𝗮 𝗯𝘂𝗳𝗳𝗲𝘁 - 𝗬𝗼𝘂 𝗰𝗮𝗻’𝘁 𝗽𝗶𝗰𝗸 𝗮𝗻𝗱 𝗰𝗵𝗼𝗼𝘀𝗲‼️

🎙By Sh. Abu Khadeejah Abdul-Wāhid حفظه الله
@AbuKhadeejahSP 

Link 👉🏽 

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah"""
9,"[Retweeted]
""Complete Playlist



Important Lessons For Every Muslim

By Imām 'Abdul 'Azeez bin Bāz (may Allāh have mercy upon him)

Read by Ustādh Abū 'Ināyah Seif (may Allāh protect him)

A highly beneficial series of 17 lessons covering 'Aqeedah (belief), Tawḥeed, matters related to acts of worship, and Islamic etiquette and manners.

These lessons are simple, beneficial, and enjoyable. We highly recommend them for new Muslims, those newly practising Islām, and for families to study together with their children on a weekly basis.

This will help provide both parents and children with a sound foundational understanding of their religion and, in-shā-Allāh serve as the beginning of a journey towards studying Islām in greater depth.

May Allāh reward our beloved teacher Abu 'Ināyah tremendously and make his efforts heavy upon his scales of good deeds."""
10,"[Retweeted]
"""
