username,date,full_display_text
james3562675626,28/02/2026 18:40,"""If you hate #Israel please retweet."""
james3562675626,28/02/2026 17:46,"""May Allah protect the people of Iran"""
james3562675626,11/08/2025 22:48,"""Sayn Cumhurbakanm bir konuda sizi uyarmak zorundaym. mrm sizin davanza hizmet etmekle geti ama Gazze konusunda yanl yapyorsunuz. 

Gazzede insanlar diri diri yanyor, alktan can veriyor, bir avu gda ve su iin birbirlerini eziyorlar. 
Siz ise hl BM'den, AB'den ve dier zulm birliklerinden medet umuyorsunuz. u bir hakikat ki Mslman'n kardei yine baka bir Mslmandr. Tarih boyunca Mslmanlara yine sadece Mslmanlar yardm etmitir. Zira kfr tek millettir. Yani sizin arlarnz beyhudedir ve kafirlere bel balamak Mslmanlarn sadece izzetini zedeler. Siz ve bu yazy okuyanlar unu dnebilir ya da syleyebilir: ""u anda gcmz az ve ekonomimiz zayf."" Maalesef bu dnce slm deildir. Bu dnce Allah' hesaba katmayan bir dncedir. Rabbimiz ayetinde "" Neden Allah yolunda ve zayf dm erkek, kadn ve ocuklar iin savamyorsunuz? yle zayflar ki; Ey Rabbimiz! Bizi, ahalisi zalim olan bu ehirden kar; bize kendi katndan bir sahip kl ve bize kendi katndan bir yardmc ver. derler. (Nisa 75. Ayet) buyuruyor. Bu ayet vb. ayetler varken nasl oluyor da birtakm dnyevi kayglarla harekete gemiyorsunuz. Bu vaheti sizin knamalarnz ya da diplomatik giriimleriniz durduramaz. nk muhatap olduumuz varlklar insandan da aa bir topluluk ve bu aalklar yaptklar vaheti ibadet gryorlar.
slm, zulm karsnda ertelemeyi deil, kyam emreder!
Hadisi erifte Allah'n Resul:
Kim bir ktlk grrse, eliyle dzeltsin. Gc yetmezse diliyle, ona da gc yetmezse kalbiyle kar koysun. Bu, imann en zayf derecesidir. (Mslim, mn 78) buyuruyor. 
Biz hep imann en zayfna m talip olacaz. Biz, Bedir'deki 300 Mslmandan daha m azz ya da silahszz ki hep glenmeyi ve zaman hesaplar olduk. Kffara kar yaptnz hazrlk ALLAHn yardmndan daha m gl. Bu mmet ALLAHn yardm ile ne zalimleri devirdi. Hangi silah ALLAHn yardmndan daha gl olabilir. 

Bugn sessiz kalan, yarn zalimin orta olur!
Glenmeyi bekleyenler, zalimin mrn uzatr!
Halk icraat bekliyor.
Bu zulme susulan hergne Hem tarih hesap soracak hem de Rabbimiz.

Artk hamas aklama ya da knama deil, adm atn!
Unutmayn ki mazlumun feryad, liderin snavdr!
Ya imdi, ya asla Sayn Erdoan!
Bu millet sizi One Minute ile hatrlyor. Ama imdi sadece sz deil, fiil duru grmek istiyor!

Adalet ertelemeye gelmez. Zulm seyredilemez. G gelince deil, zulm varken susulmamaldr. 
Bu uyarm da u hadis mucibince yapyorum: ""Sizden nceki mmetler, ilerinden biri gnah ilediinde, dieri onu uyarmazd. Sonunda hepsi helak oldu. (Eb Dvd, Melhim 17)"" topluca helak olmamak adna yapmanz gereken islam devletleri bakanlarn toplayp sraili ve destekilerine kar topluca sava karar almanz. Sizle birlikte savamayacak devlet bakanlarn aklayn. Savaa girmeyecek korkak devlet bakanlarnn gerek yzn kendi halklar grsn. Siz Gazzeye yryn sadece Mslmanlar deil dnyann her kesinden farkl dinlere mensup milyonlar hatta yz milyonlar sizle birlikte Gazzeye girsin. SRALN Ate aarsa sava emri verin. 
Ya hep beraber lrz ya hep beraber diriliriz. 
slm  mmeti ve milletimiz adna seslendim. Selmetle."""
mk_muwahid,11/04/2026 22:49,"Why do you think you cant do it?!

Sh. Abu Atiyyah"
mk_muwahid,10/04/2026 22:20,There are no Scholars who suddenly appear
mk_muwahid,10/04/2026 20:42,"""""trolling madkhali marriage app  
""
--------------

Why are Khawarij all so retarded and weird?

Im yet to come across a normal Khariji:

They either:
- Act like gang members
- Get caught texting sisters inappropriately 
- Mentally unstable 
- Little kids who make Memes

Yet to see one that isnt like this"
mk_muwahid,09/04/2026 13:28,"Why some students of knowledge dont progress
- Brothers this advice is so important, it will change a lot for you if you werent doing it before.

Shaykh Salih as-Sindi"
mk_muwahid,09/04/2026 13:21,"30 Years In Dawah, tayyib, where are your credentials?!

Shaykh Abu Atiyyah"
mk_muwahid,09/04/2026 00:40,"""""The only hypocrite here is you.

I have made not one, but SEVERAL posts stating that the scholars of the Asha'irah and Maturidiyyah are not deviants. 

Perhaps you don't know how to read, or you're purposely lying to people. We will not spare you in the court of Allah.""
""
--------------

SubhanAllah!

The scholars of the Ashairah and Maturidiyyah are not innovators??

Below is Shaykh Ibn Baz and Shaykh Ibn Uthaymeen making it crystal clear."
mk_muwahid,08/04/2026 13:55,"Mehr

Sh. Abdussalam ash-Shuwayer"
mk_muwahid,07/04/2026 23:28,"""Dr. Diyy' Jamil Ar-Rahman who is currently working on a well-written project on the life of his father, Shaykh Jamil Ar-Rahman, mentions the courageousness of Shaykh Rab bin Hadi al-Madkhali during the Jihad against the soviets. May Allah have mercy on them."
mk_muwahid,06/04/2026 23:41,"The Fitnah of Wealth

Shaykh Abu Atiyyah"
mk_muwahid,06/04/2026 21:04,"""I received the tragic news that this brother, an imam from a mosque in Ghardaa, Algeria, has passed away in a car accident, along with his wife, newborn child, mother-in-law, and two brothers-in-law"
mk_muwahid,06/04/2026 19:34,"""""How the Salaf would read Quran

Shaykh Abdussalam as-Shuwayer   
""
--------------

How Often Should I Read the Qurn?
 
Shaykh Muammad bin Al bin dam al-Ityb   said:

 this shows that, at the very least, reading the [entire] Qurn should be done monthly; every night, you should read one juz until you complete it at the end of the month. This is the longest period of time it should be. Then, if you have desire, in twenty, fifteen, and so on, and do not do it more than every seven days; seven days was the standard of the Salaf: the majority of the Salaf used to read the Qurn in seven parts; they split it into seven portions, and so they would finish it every week.

Tr: Ab Hurayrah al-Birn

Source:"
mk_muwahid,06/04/2026 17:46,"How to attain happiness

Sh. Rabi al-Madkhali"
mk_muwahid,06/04/2026 17:45,"How the Salaf would read Quran

Shaykh Abdussalam as-Shuwayer"
mk_muwahid,06/04/2026 00:01,"Know that the Rafidah are Kuffar!

Shaykh AbdulHameed az-Zukuri"
